loss,step,time,l2_error,_timestamp,loss_boundary,_step,_runtime,loss_interior
2.515526377583242,0,1.7244923114776611,0.6021545775394881,1723045695.6265688,2.515194173220324,0,2.377786874771118,0.00033220436291789117
0.414681245456421,1,2.12156343460083,0.7628680939985826,1723045695.8123145,0.41452359837021907,1,2.563532590866089,0.0001576470862019285
0.3055901214804126,2,2.3085012435913086,0.7628680939985826,1723045695.9991739,0.3053151703270043,2,2.750391960144043,0.00027495115340831123
0.3055901214804126,3,2.500300407409668,0.7628680939985826,1723045696.1910453,0.3053151703270043,3,2.94226336479187,0.00027495115340831123
0.3055901214804126,4,2.6888458728790283,0.7632264074727027,1723045696.3795502,0.3053151703270043,4,3.130768299102783,0.00027495115340831123
0.3055899055611035,5,2.880671977996826,0.7866691491960675,1723045696.571396,0.3053155242739889,5,3.3226141929626465,0.0002743812871145818
0.3040105233672183,6,3.072601079940796,0.7324613308621131,1723045696.7634525,0.30362766111099837,6,3.5146706104278564,0.00038286225621989354
0.2834163311584219,7,3.271641969680786,0.6579589435725499,1723045696.9623995,0.2550478939907069,7,3.7136175632476807,0.028368437167715043
0.27479861901696434,8,3.460198402404785,0.6220023451555928,1723045697.1509225,0.23477252134244242,8,3.9021406173706055,0.0400260976745219
0.27237213734054383,9,3.6479997634887695,0.5969201303313775,1723045697.3387218,0.2292559478479392,9,4.089939832687378,0.04311618949260463
0.2708997619268674,10,3.8383960723876953,0.5551591184297877,1723045697.529152,0.2277432392429127,10,4.280369997024536,0.04315652268395466
0.26618015542599915,11,4.033914089202881,0.6403841297855455,1723045697.7247424,0.23234939067116903,11,4.4759604930877686,0.03383076475483013
0.23897071715865584,12,4.224519491195679,0.6837420926702895,1723045697.915372,0.227670056159944,12,4.666589975357056,0.011300660998711822
0.22791504801981505,13,4.416320562362671,0.5279049412777328,1723045698.107152,0.22415414952084706,13,4.858370065689087,0.00376089849896798
0.20701779910208204,14,4.606656312942505,0.5525988349713822,1723045698.297531,0.19782127358463664,14,5.048748970031738,0.009196525517445407
0.18781010690511912,15,4.7966461181640625,0.571618668767997,1723045698.4875565,0.1647713445775373,15,5.238774538040161,0.02303876232758182
0.1867739364757507,16,4.986626625061035,0.5314403824476003,1723045698.677469,0.16099507322548606,16,5.42868709564209,0.025778863250264614
0.18208479039214703,17,5.176274299621582,0.5747585711187672,1723045698.8672287,0.16130012253361808,17,5.6184468269348145,0.020784667858528956
0.176671495287705,18,5.370524644851685,0.48278696704034524,1723045699.0614948,0.16304930465082185,18,5.812712907791138,0.013622190636883165
0.16618356206051882,19,5.560715198516846,0.48629721952314364,1723045699.2516415,0.14742427560351404,19,6.002859592437744,0.018759286457004785
0.16044144770394347,20,5.750009298324585,0.5487206763810425,1723045699.440965,0.13702006469631833,20,6.192183017730713,0.023421383007625148
0.1565991683612805,21,5.937941551208496,0.4825117761895385,1723045699.628939,0.14252431755726735,21,6.380156993865967,0.014074850804013134
0.14931150324936876,22,6.124054431915283,0.42648874835868195,1723045699.815133,0.14036674692275744,22,6.5663511753082275,0.008944756326611306
0.14288094667856488,23,6.314698696136475,0.48051483242170734,1723045700.00569,0.12766732279306922,23,6.756908178329468,0.015213623885495658
0.1382366341728769,24,6.510534286499023,0.4337498684853332,1723045700.2015934,0.12447375873314256,24,6.9528114795684814,0.013762875439734337
0.12639471501854993,25,6.698065757751465,0.41418790786071746,1723045700.3891299,0.10009739109929991,25,7.140347957611084,0.02629732391925003
0.12183575712580912,26,6.889017343521118,0.40246921027809546,1723045700.5800414,0.10267353660831774,26,7.331259489059448,0.019162220517491377
0.12083462656262055,27,7.076039552688599,0.39185518650409634,1723045700.767158,0.10387471686543147,27,7.518376111984253,0.01695990969718908
0.11111272311434274,28,7.2655932903289795,0.41619781611161955,1723045700.9566193,0.08930078693304225,28,7.707837343215942,0.021811936181300496
0.10467875778160804,29,7.456003904342651,0.3710854220948078,1723045701.1470413,0.09054358506659409,29,7.898259401321411,0.014135172715013956
0.10066077767462712,30,7.650629281997681,0.34240342192137907,1723045701.341833,0.08523969906797875,30,8.093051195144653,0.015421078606648379
0.09975634382715741,31,7.839564323425293,0.3974874304658436,1723045701.5305727,0.08254557052821221,31,8.281790733337402,0.017210773298945204
0.09250659687184543,32,8.032373189926147,0.34533772249217226,1723045701.7234144,0.0805951206599298,32,8.474632501602173,0.011911476211915621
0.0871865638836338,33,8.222031593322754,0.32893666538007615,1723045701.9130948,0.07280339502978257,33,8.664312839508057,0.014383168853851231
0.0867367962161823,34,8.413906812667847,0.3109218012771747,1723045702.1050215,0.0706775575537679,34,8.856239557266235,0.01605923866241441
0.07353519825565445,35,8.603343486785889,0.2767764277396916,1723045702.2943404,0.0579104056367526,35,9.045558452606201,0.015624792618901847
0.0701347511242551,36,8.797265768051147,0.2751295056233377,1723045702.4883761,0.05189357051481168,36,9.239594221115112,0.018241180609443425
0.06941624832493029,37,8.986584186553955,0.30140405287389843,1723045702.677575,0.049106748881276134,37,9.42879319190979,0.020309499443654164
0.06702623703413693,38,9.17588496208191,0.28028084670236747,1723045702.8668482,0.05109276400159638,38,9.618066310882568,0.015933473032540557
0.06453282823160032,39,9.364686727523804,0.24885547281283074,1723045703.055675,0.049699999254801196,39,9.806893110275269,0.01483282897679913
0.062270383050796484,40,9.553680181503296,0.2559543497594292,1723045703.244705,0.04605952953148413,40,9.995923042297363,0.016210853519312354
0.05776720369383881,42,9.931931257247925,0.23928936637893886,1723045703.6229675,0.04439515858526123,41,10.374185562133789,0.01337204510857758
