_timestamp,loss_interior,step,_runtime,loss_boundary,time,_step,l2_error,loss
1723045736.8060846,3.796917940553107e-06,0,51.40281367301941,2.789697141878816,50.57649540901184,0,1.393321593432969,2.7897009387967566
1723045778.6905644,0.013639744446242308,1,93.28729343414307,1.69714155405334,92.8553512096405,1,1.0718325230218766,1.7107812984995825
1723045817.9372907,0.003507565053938601,2,132.53401970863342,1.0346810789221563,132.10208654403687,2,1.0113807164989026,1.038188643976095
1723045863.213383,0.002332936470983664,3,177.81011199951172,0.8704110347468283,177.37822937965393,3,0.5111586554833579,0.872743971217812
1723045910.0532634,0.009927652858150978,4,224.6499924659729,0.3062248161397797,224.21673202514648,4,0.4391240874902738,0.3161524689979307
1723045951.7554007,0.013980846893266084,5,266.3521296977997,0.18544480012820125,265.9202344417572,5,0.16821941198430243,0.19942564702146734
1723045996.6196358,0.018400178919567824,6,311.21636486053467,0.02862180792613355,310.7845594882965,6,0.046925281947857694,0.04702198684570137
1723046052.636707,0.0005608501050073086,7,367.2334361076355,0.001766926916786691,366.8008818626404,7,0.01385332466606031,0.002327777021794
1723046102.069076,8.803268380270456e-06,8,416.66580510139465,0.00011392976832227567,416.2340006828308,8,0.0036009565153053954,0.00012273303670254612
1723046151.1424518,2.503643372821577e-05,9,465.73918080329895,8.254621199776525e-06,465.3073561191559,9,0.004449871337905248,3.329105492799229e-05
1723046191.6241412,2.74874893794246e-06,10,506.22087025642395,7.879013290612924e-06,505.78870916366577,10,0.0016346068165982558,1.0627762228555384e-05
1723046231.4382925,1.864468958777412e-06,11,546.0350215435028,3.229316997366825e-06,545.6031730175018,11,0.0020773495600186678,5.093785956144237e-06
1723046272.5547194,1.0700700185284188e-06,12,587.1514484882355,2.5169878097153476e-06,586.7197515964508,12,0.0014109541205441784,3.5870578282437666e-06
1723046316.1814437,9.539353503371972e-07,13,630.7781727313995,1.4099319217774717e-06,630.346428155899,13,0.0012257477525261652,2.363867272114669e-06
1723046358.1923077,8.415576896736836e-07,14,672.7890367507935,1.150272374959692e-06,672.3567526340485,14,0.0009860359218741102,1.9918300646333756e-06
1723046400.6712723,5.955025396307834e-07,15,715.2680013179779,7.675443918385205e-07,714.8360912799835,15,0.000827255224046181,1.363046931469304e-06
1723046451.7471862,4.856524895538501e-07,16,766.3439152240753,6.066140332621852e-07,765.911821603775,16,0.0007672625320418273,1.0922665228160354e-06
1723046490.5328748,4.0244429659870455e-07,17,805.1296038627625,5.543753999675599e-07,804.6977679729462,17,0.000764437297543858,9.568196965662644e-07
1723046535.293722,4.011474007286209e-07,18,849.8904509544373,5.796970032965637e-07,849.4586460590363,18,0.0006859918728767806,9.808444040251845e-07
1723046584.9269304,3.164122818744152e-07,19,899.5236594676971,4.522235442361019e-07,899.0919795036316,19,0.0006108966284656302,7.686358261105171e-07
1723046628.1252508,2.9253778265847034e-07,20,942.7219798564911,4.040344520536424e-07,942.2901389598846,20,0.000559319649456039,6.965722347121128e-07
1723046678.160462,3.4305452067463625e-07,21,992.7571909427643,2.7159023595307e-07,992.3251752853394,21,0.000641515768508595,6.146447566277062e-07
1723046719.9065962,2.7172191091994935e-07,22,1034.5033252239227,4.168379700558242e-07,1034.071239233017,22,0.0005087952576833588,6.885598809757735e-07
1723046764.4610753,2.2245253468069634e-07,23,1079.0578043460846,2.624474544078296e-07,1078.625955581665,23,0.0005005642860317099,4.848999890885259e-07
1723046806.4674082,1.865249969812528e-07,24,1121.0641372203827,1.9860808271154527e-07,1120.63232755661,24,0.00045374491652608117,3.8513307969279805e-07
1723046850.2295406,1.8096565405495634e-07,25,1164.8262696266174,2.0960427899348206e-07,1164.3944294452667,25,0.0004187591030937314,3.9056993304843843e-07
1723046905.198779,1.9546227191195295e-07,26,1219.795508146286,1.7406262459421328e-07,1219.3638980388641,26,0.0004279547878209953,3.6952489650616626e-07
1723046944.9521549,1.826228785078817e-07,27,1259.5488839149475,1.9414714781834156e-07,1259.1170239448547,27,0.0003947829870615703,3.7677002632622325e-07
1723046988.042192,1.6299839173559603e-07,28,1302.6389210224152,1.5416699052615934e-07,1302.2068994045258,28,0.00036988820130910417,3.1716538226175537e-07
1723047026.4186466,1.5156584341317995e-07,29,1341.0153756141663,1.2965122357947492e-07,1340.58349943161,29,0.00036165052491106897,2.812170669926549e-07
1723047068.1001713,1.395202166739604e-07,30,1382.6969003677368,1.3951183695534276e-07,1382.265103340149,30,0.0003742056312102291,2.7903205362930314e-07
1723047109.914672,1.4039684685033133e-07,31,1424.511400938034,1.3226799139664914e-07,1424.079576253891,31,0.0003704900984250573,2.726648382469805e-07
1723047151.8348897,1.2149699558218195e-07,32,1466.4316186904907,1.220495215031212e-07,1465.9998924732208,32,0.0004458226553819987,2.4354651708530315e-07
1723047190.3779168,1.2803683146517214e-07,33,1504.9746458530426,1.3030439024918175e-07,1504.5428311824799,33,0.0003438842284104176,2.5834122171435387e-07
1723047237.1386378,1.2184828131655316e-07,34,1551.735366821289,9.966490273612551e-08,1551.3037462234497,34,0.0003589800073543334,2.2151318405267866e-07
1723047283.4000826,1.0878901844241806e-07,35,1597.9968116283417,9.21325471511499e-08,1597.5650494098663,35,0.0003225143437218705,2.0092156559356796e-07
1723047329.585599,1.1348823692822353e-07,36,1644.1823279857635,9.312122437073581e-08,1643.7500009536743,36,0.0003829806107241786,2.0660946129895935e-07
1723047376.668214,1.0673035386602119e-07,37,1691.2649431228638,1.2523307744995212e-07,1690.832967042923,37,0.00032556253316785573,2.319634313159733e-07
