l2_error,step,time,_step,_timestamp,_runtime,loss,loss_boundary,loss_interior
1.9830467729030785,0,1.5708019733428955,0,1723045698.26522,2.267340898513794,3.1243397321180804,3.123687466814027,0.0006522653040536535
0.648112550771006,1,2.213991641998291,1,1723045698.673911,2.676032066345215,3.1243325093107868,3.12368023176507,0.0006522775457166711
0.7367234313653847,2,2.6272623538970947,2,1723045699.0869656,3.0890865325927734,0.4250446608043228,0.41921198831750317,0.005832672486819632
0.774707116699596,3,3.038538694381714,3,1723045699.4982955,3.5004165172576904,0.37495236832734846,0.3747694726816739,0.00018289564567459425
0.7051645243414897,4,3.450888156890869,4,1723045699.9106364,3.912757396697998,0.36234319094417045,0.3571942202246775,0.005148970719492938
0.7329635313545311,5,3.8624892234802246,5,1723045700.3224094,4.324530363082886,0.356040848548628,0.33721922378369945,0.018821624764928546
0.3938169040288193,6,4.277287244796753,6,1723045700.73701,4.739130973815918,0.34546091123822104,0.3090441794182427,0.036416731819978364
0.5740253225608328,7,4.691927194595337,7,1723045701.1518562,5.153977155685425,0.25260359719388104,0.16415566720600377,0.08844792998787727
0.5350698990588404,8,5.1013360023498535,8,1723045701.5612903,5.563411235809326,0.18697548344143367,0.16626063216464734,0.02071485127678631
0.5665849166576341,9,5.511122226715088,9,1723045701.9726322,5.974753141403198,0.18101177609487448,0.16900785937260304,0.012003916722271432
0.4057347147947748,10,5.922830581665039,10,1723045702.3833377,6.385458707809448,0.16951708195318346,0.166308549185121,0.0032085327680624704
0.4550462973654012,11,6.335443496704102,11,1723045702.795959,6.798079967498779,0.15697021104264355,0.14905558629488838,0.007914624747755176
0.42982115431067663,12,6.746140003204346,12,1723045703.2066517,7.208772659301758,0.1380252125575165,0.12306952805410991,0.014955684503406605
0.4627390981737786,13,7.156566858291626,13,1723045703.6171503,7.619271278381348,0.13516460681810932,0.11373833955223313,0.021426267265876184
0.4367923686078175,14,7.56838321685791,14,1723045704.0288658,8.030986785888672,0.13234093354104956,0.11297337295733431,0.019367560583715242
0.4511566755335526,15,7.980128049850464,15,1723045704.4407012,8.442822217941284,0.12428849951318895,0.10932657797555521,0.014961921537633727
0.4005936331244907,16,8.391405820846558,16,1723045704.8521001,8.854221105575562,0.12270443602340816,0.1116843635716163,0.011020072451791867
0.40196783317777735,17,8.803693532943726,17,1723045705.2641826,9.266303539276123,0.11759253515577132,0.10877063906762299,0.008821896088148328
0.3823531151835593,18,9.215636253356934,18,1723045705.676349,9.678469896316528,0.11098233386216769,0.1011659582261938,0.009816375635973894
0.4134231199370486,19,9.627009391784668,19,1723045706.0874825,10.089603424072266,0.10948087630027657,0.09518535170102711,0.014295524599249463
0.3775381565807012,20,10.038350820541382,20,1723045706.4990792,10.501200199127197,0.09779730013915512,0.08646322146170132,0.011334078677453795
0.37105857588604557,21,10.450930118560791,21,1723045706.9114106,10.91353154182434,0.09121321408417578,0.07843317073015027,0.01278004335402551
0.28071237607988786,22,10.86171269416809,22,1723045707.322166,11.324286937713623,0.08363189250313481,0.06793228208508162,0.015699610418053192
0.29005090911970904,23,11.27280855178833,23,1723045707.7333224,11.735443353652954,0.06822713557442028,0.04538556920372576,0.02284156637069452
0.2367421572581018,24,11.683954954147339,24,1723045708.144531,12.146651983261108,0.06337486021354778,0.042992334739284134,0.020382525474263648
0.24523801958679947,25,12.09462857246399,25,1723045708.555063,12.557183980941772,0.05129772197691322,0.040813231502844376,0.010484490474068842
0.22595135704071045,26,12.50522518157959,26,1723045708.9656715,12.967792510986328,0.0507041864734812,0.04118764374916712,0.009516542724314079
0.22075556697941934,27,12.916335344314575,27,1723045709.3769028,13.379023790359497,0.04623937565821622,0.03582671003112674,0.01041266562708948
0.1935750789621626,28,13.330858707427979,28,1723045709.7913158,13.793436765670776,0.04481922701329433,0.0345578535073284,0.01026137350596593
0.1788055268907885,29,13.746160507202148,29,1723045710.2065942,14.208715200424194,0.04254128664351801,0.031228213635842352,0.011313073007675655
0.178211845556841,30,14.161139488220215,30,1723045710.6215909,14.623711824417114,0.036492548458235075,0.02053368548836546,0.015958862969869612
0.18999516013414564,31,14.575675249099731,31,1723045711.0360794,15.038200378417969,0.0354194023483336,0.019124229246083212,0.016295173102250392
0.16015272499373703,32,14.990051746368408,32,1723045711.4503813,15.452502250671387,0.033685964822708026,0.01874121651373157,0.014944748308976456
0.16934104193313165,33,15.40149712562561,33,1723045711.8618362,15.863957166671753,0.030605619475705836,0.017317376192341506,0.013288243283364328
0.1480037290366242,34,15.81655478477478,34,1723045712.2768745,16.278995513916016,0.02817556883173688,0.017238120881259568,0.010937447950477313
0.16695433054377953,35,16.231030225753784,35,1723045712.6914043,16.693525314331055,0.026126140736431193,0.017185502608897004,0.00894063812753419
0.15318903176217438,36,16.6450457572937,36,1723045713.1053603,17.107481241226196,0.024594044293985082,0.017323463304504953,0.007270580989480128
0.1549450204035966,37,17.067690134048462,37,1723045713.5281947,17.5303156375885,0.0235283128171348,0.01644242972731359,0.007085883089821212
0.16199021222186832,38,17.482079029083252,38,1723045713.9424999,17.944620847702026,0.022773832375096198,0.016594786594314587,0.006179045780781609
0.16480858542838175,39,17.896445512771606,39,1723045714.3567185,18.358839511871338,0.021756238070257387,0.015856810979784704,0.0058994270904726845
0.15822937675259982,40,18.31125569343567,40,1723045714.7718215,18.773942470550537,0.02110267820141374,0.015777868058352615,0.005324810143061123
0.1555886395703795,42,19.122609853744507,41,1723045715.583143,19.585263967514038,0.019524138526078292,0.014811214310005835,0.004712924216072457
