l2_error,_step,step,time,_timestamp,loss,_runtime,loss_boundary,loss_interior
0.667591520044745,0,0,1.5357909202575684,1723045694.7386122,2.7897009387967566,2.405931234359741,2.789697141878816,3.796917940553107e-06
0.7923064211390196,1,1,2.3782801628112793,1723045695.2124975,0.4051799531417075,2.8798165321350098,0.39463749691782585,0.010542456223881688
0.6084122085211127,2,2,2.826345205307007,1723045695.6602275,0.3455307164753614,3.3275465965270996,0.34072383877086737,0.004806877704494009
0.6556371886932547,3,3,3.3065261840820312,1723045696.1423225,0.30001989684450653,3.8096415996551514,0.2910334263169303,0.008986470527576227
0.7410513821399147,4,4,3.7509803771972656,1723045696.5850594,0.2951033409228862,4.252378463745117,0.28564982576634246,0.00945351515654372
0.640321225012215,5,5,4.239995241165161,1723045697.0740154,0.28344587989577197,4.741334438323975,0.2706425309483641,0.012803348947407887
0.7725608968173028,6,6,4.667815685272217,1723045697.5034444,0.26835479376079857,5.1707634925842285,0.24994520477639454,0.01840958898440401
0.6033802273150141,7,7,5.1181440353393555,1723045697.9521074,0.250345330378792,5.619426488876343,0.24309905073043048,0.007246279648361476
0.5762102136375432,8,8,5.522531270980835,1723045698.356541,0.2165171228604267,6.023859977722168,0.1990448899355394,0.017472232924887313
0.5157611047886625,9,9,5.950261831283569,1723045698.7842627,0.19138594174934614,6.451581716537476,0.17024911266959544,0.021136829079750695
0.5933614785792815,10,10,6.4396281242370605,1723045699.2736266,0.18943833287490758,6.940945625305176,0.1683745599929491,0.021063772881958497
0.5315323237960201,11,11,6.9288489818573,1723045699.7628512,0.19063053507281325,7.430170297622681,0.17885379819546426,0.01177673687734897
0.5996058678222805,12,12,7.3989269733428955,1723045700.2331047,0.18424182883181356,7.900423765182495,0.1669160595606936,0.01732576927111994
0.5321167689047576,13,13,7.838707208633423,1723045700.673062,0.16676388919263613,8.340381145477295,0.1535480538975982,0.013215835295037929
0.48024362828220696,14,14,8.310906887054443,1723045701.1450841,0.15471918211875185,8.812403202056885,0.14061994444269096,0.014099237676060885
0.5205332051316576,15,15,8.762012004852295,1723045701.5961845,0.14674331443924563,9.263503551483154,0.13654353867280225,0.01019977576644337
0.48328682512987076,16,16,9.238924503326416,1723045702.0731907,0.15939622758501598,9.740509748458862,0.14906516377555326,0.010331063809462722
0.5099477335234376,17,17,9.71138858795166,1723045702.5455961,0.14430821049062015,10.212915182113647,0.12742739482903548,0.01688081566158466
0.5329765970861156,18,18,10.161717653274536,1723045702.9958825,0.14217023821037938,10.663201570510864,0.12950724869194263,0.01266298951843676
0.5074449948785497,19,19,10.605768203735352,1723045703.4399834,0.12423836550878399,11.10730242729187,0.11261363937492433,0.01162472613385966
0.4653719280533305,20,20,11.06760573387146,1723045703.901856,0.14836333535420843,11.569175004959106,0.1343989494978677,0.01396438585634073
0.4953461525438428,21,21,11.477387428283691,1723045704.3115604,0.1389107943345427,11.978879451751709,0.12223774555236418,0.016673048782178516
0.4587144911039702,22,22,11.895262718200684,1723045704.729475,0.13898113296889794,12.396794080734253,0.12657543607299293,0.012405696895905009
0.48807414257747356,23,23,12.310341835021973,1723045705.1445847,0.1407476626165148,12.811903715133667,0.1241309975286691,0.01661666508784571
0.4564640945000272,24,24,12.782577991485596,1723045705.6167696,0.13305434600616617,13.284088611602783,0.12082278573538403,0.012231560270782139
0.4892489168741873,25,25,13.238775730133057,1723045706.0729833,0.13327956282665498,13.740302324295044,0.11617475787223293,0.01710480495442205
0.46711805353149694,26,26,13.668353080749512,1723045706.5026255,0.12463169525339526,14.169944524765015,0.11040895696112592,0.014222738292269341
0.5054159863157894,27,27,14.089586019515991,1723045706.9239745,0.13584085013159528,14.591293573379517,0.1203457431381268,0.015495106993468472
0.47732050647980107,28,28,14.560277700424194,1723045707.3945465,0.12573630926280105,15.06186556816101,0.11105596456185009,0.014680344700950967
0.43919811146830434,29,29,15.03761076927185,1723045707.8718038,0.13494276481780326,15.539122819900513,0.11855296851440077,0.016389796303402482
0.4606895193387876,30,30,15.499494552612305,1723045708.3336482,0.13641220496270487,16.000967264175415,0.11902889117293336,0.017383313789771516
0.4697714258905185,31,31,15.918394804000854,1723045708.752656,0.1208262408067971,16.41997504234314,0.1051767098373985,0.015649530969398598
0.4390015227851261,32,32,16.34413766860962,1723045709.178324,0.1231994593211183,16.845643043518066,0.11081231865773974,0.012387140663378548
0.47168733612314084,33,33,16.79701828956604,1723045709.631229,0.1303435686774007,17.298547983169556,0.1147128400458293,0.015630728631571427
0.43059509424836895,34,34,17.213974714279175,1723045710.0481968,0.12046520011252541,17.715515851974487,0.10668217679990302,0.013783023312622395
0.4599752735056942,35,35,17.654057502746582,1723045710.4884117,0.13474274404714895,18.155730724334717,0.11896133142037545,0.01578141262677351
0.42960387321694693,36,36,18.11877942085266,1723045710.9530733,0.1138636035873288,18.620392322540283,0.09944292879667208,0.014420674790656724
0.46504532448617575,37,37,18.548264741897583,1723045711.382474,0.13202920915231708,19.049793004989624,0.11440225372486779,0.01762695542744931
0.43142715682289146,38,38,19.00591230392456,1723045711.8401144,0.12346720530712543,19.50743341445923,0.10833973178674973,0.015127473520375696
0.4726506734399836,39,39,19.4238018989563,1723045712.2580543,0.12278742914083773,19.925373315811157,0.10758457985466022,0.01520284928617751
0.445412119057917,40,40,19.876891136169434,1723045712.71103,0.10706722881077835,20.37834906578064,0.09108166378766691,0.01598556502311144
0.4415497587595587,41,42,20.73973512649536,1723045713.57399,0.11609575241969947,21.24130916595459,0.09933678865708874,0.016758963762610726
