time,loss_boundary,loss,_runtime,_timestamp,loss_interior,step,l2_error,_step
0.9763808250427246,3.1734512319644956,3.173703907627406,3.123730182647705,1723045652.6856472,0.00025267566290999985,0,2.0146210560920528,0
1.25596284866333,3.218223831343839,3.2184491121976793,3.1478748321533203,1723045652.709792,0.00022528085384008537,1,1.9697079334417325,1
1.2779715061187744,3.081179479418425,3.0813910298156193,3.1704294681549072,1723045652.7323465,0.00021155039719415988,2,1.9251311199421284,2
1.3006718158721924,2.9123585795653018,2.912571897439784,3.1932284832000732,1723045652.7551455,0.0002133178744823154,3,1.8803583226268807,3
1.3241443634033203,2.7847636897118733,2.7849785429629383,3.216742992401123,1723045652.77866,0.00021485325106509377,4,1.8347615582003491,4
1.3468780517578125,2.677252718963972,2.677493086807315,3.2395217418670654,1723045652.8014388,0.00024036784334262754,5,1.7876194131405363,5
1.3696238994598389,2.52194052025544,2.522211586624373,3.261993646621704,1723045652.8239107,0.0002710663689332354,6,1.7381527030520718,6
1.3930318355560303,2.6298865158541913,2.6301984552933306,3.285149097442627,1723045652.8470662,0.0003119394391391176,7,1.685488793493907,7
1.4176833629608154,2.3602180725561643,2.3605947471655133,3.3136401176452637,1723045652.8755572,0.0003766746093488441,8,1.62905042181208,8
1.4465842247009277,2.2969414523120455,2.297381806173749,3.3384032249450684,1723045652.9003203,0.00044035386170374063,9,1.5682309606817832,9
1.4710240364074707,2.1008129091147523,2.1013332715143265,3.362945079803467,1723045652.9248621,0.000520362399574219,10,1.502618159180278,10
1.4960741996765137,1.9589617043945373,1.9596192782646251,3.3872299194335938,1723045652.949147,0.0006575738700878957,11,1.431864409128134,11
1.5207104682922363,1.8056681776333048,1.8064750419694453,3.4133787155151367,1723045652.9752958,0.0008068643361406117,12,1.355773465111486,12
1.5456223487854004,1.6561769311614138,1.657208182733297,3.437026023864746,1723045652.998943,0.0010312515718831784,13,1.2743436170768665,13
1.5682306289672852,1.535524855422865,1.536844838616669,3.459821939468384,1723045653.021739,0.001319983193804029,14,1.1878040757818276,14
1.5904240608215332,1.337766174027418,1.3393706831191818,3.4807469844818115,1723045653.042664,0.0016045090917637594,15,1.0969693794273918,15
1.6104915142059326,1.2183092651190446,1.2204736988851124,3.5012760162353516,1723045653.063193,0.002164433766067708,16,1.0028942278883446,16
1.6312260627746582,1.135773893487484,1.1384339797621439,3.5219478607177734,1723045653.083865,0.0026600862746600767,17,0.9072005059569478,17
1.6515653133392334,0.9881825605993215,0.991428806845779,3.5425214767456055,1723045653.1044385,0.0032462462464575605,18,0.8127475581705473,18
1.6719245910644531,0.8301715276266416,0.8341877284909592,3.5629615783691406,1723045653.1248786,0.004016200864317687,19,0.7239988635520656,19
1.6926946640014648,0.6860821541587523,0.6907995809633368,3.5833396911621094,1723045653.1452568,0.00471742680458458,20,0.647201644297613,20
1.7122743129730225,0.5842916887662584,0.5899477889212579,3.6032259464263916,1723045653.165143,0.005656100154999561,21,0.5898692354435658,21
1.7358853816986084,0.4788242726859566,0.4851005883110142,3.6267974376678467,1723045653.1887145,0.0062763156250575936,22,0.5596872977550738,22
1.755849838256836,0.4376905877086583,0.4446786481403312,3.646749496459961,1723045653.2086666,0.006988060431672902,23,0.5607019595531944,23
1.7757987976074219,0.35325713609590687,0.36089872935037104,3.6667532920837402,1723045653.2286704,0.007641593254464152,24,0.5905882796467398,24
1.7959401607513428,0.3029536437162093,0.3108423140418657,3.686803102493286,1723045653.2487202,0.007888670325656391,25,0.6412256391903505,25
1.815657377243042,0.2917066163514559,0.29925362185373816,3.7068047523498535,1723045653.2687218,0.007547005502282271,26,0.7031047448149707,26
1.8356363773345947,0.2733864124309744,0.2812494792946296,3.7267637252807617,1723045653.2886808,0.007863066863655207,27,0.7681438219163093,27
1.8554956912994385,0.2970553270113647,0.3043733921406728,3.746615171432495,1723045653.3085322,0.0073180651293080845,28,0.8304566403399597,28
1.8793084621429443,0.2964297121635797,0.3029721421609977,3.770319938659668,1723045653.332237,0.0065424299974179935,29,0.8851488739589105,29
1.8993325233459473,0.3081734280176349,0.31397214790883143,3.7903451919555664,1723045653.3522623,0.005798719891196491,30,0.9299856585945333,30
1.919269323348999,0.33757674360573847,0.34268519888208077,3.8104422092437744,1723045653.3723593,0.005108455276342274,31,0.9621931915326185,31
1.9393842220306396,0.3380462062066702,0.34223231129037146,3.830542802810669,1723045653.3924599,0.0041861050837012645,32,0.9817316885505644,32
1.9593932628631592,0.4035325260854476,0.40707681316469896,3.8506293296813965,1723045653.4125464,0.003544287079251348,33,0.9876455810021416,33
1.979661226272583,0.3715774085539431,0.3741291795440261,3.8708157539367676,1723045653.4327328,0.002551770990082985,34,0.9819670541960057,34
1.9997954368591309,0.3418741607150476,0.3439838231247504,3.8923299312591553,1723045653.454247,0.002109662409702797,35,0.9667234216707451,35
2.021836757659912,0.3376771067733993,0.33942015808194376,3.9129154682159424,1723045653.4748325,0.001743051308544469,36,0.9432267178870326,36
2.0412495136260986,0.3396035135213993,0.34134723969212255,3.9323697090148926,1723045653.4942868,0.0017437261707232718,37,0.9121193526944644,37
2.0611612796783447,0.32576505676824247,0.32805820708441374,3.9523396492004395,1723045653.5142567,0.0022931503161713043,38,0.8749829110229733,38
2.0811855792999268,0.3020907292262999,0.30522793635617274,3.9723246097564697,1723045653.5342417,0.003137207129872819,39,0.8328963053843494,39
2.1012470722198486,0.2782278863434358,0.2833165375043805,3.992410659790039,1723045653.5543277,0.005088651160944707,40,0.7874818299013748,40
