_runtime,_timestamp,loss_boundary,time,_step,loss_interior,l2_error,loss,step
2.589752674102783,1723045695.7373447,3.2617973017784463,1.8038651943206787,0,0.001954453830865279,0.7397899385994323,3.2637517556093116,0
2.786504030227661,1723045695.934096,0.3393732120736898,2.2437713146209717,1,0.00387459745325064,0.7669432974391126,0.34324780952694045,1
2.9753386974334717,1723045696.1229308,0.33725622694294827,2.4341468811035156,2,0.004313564131798546,0.7786899867490076,0.34156979107474683,2
3.1665737628936768,1723045696.3141658,0.33661342782876524,2.6253700256347656,3,0.004612694199508174,0.7961604742346412,0.3412261220282734,3
3.363534450531006,1723045696.5111265,0.33550593748222113,2.8209376335144043,4,0.005373077269364367,0.8126658860666003,0.3408790147515855,4
3.552107334136963,1723045696.6996994,0.33271378629634446,3.0107839107513428,5,0.007343261896062425,0.7196242358832989,0.3400570481924069,5
3.741117238998413,1723045696.8887093,0.2797100234463378,3.1998088359832764,6,0.040380844560000934,0.6274014103794348,0.3200908680063387,6
3.9308764934539795,1723045697.0784686,0.2602374157126758,3.3894665241241455,7,0.0519240429907998,0.7636202185487816,0.31216145870347556,7
4.123839378356934,1723045697.2714314,0.24820502859490373,3.58243465423584,8,0.014090670379885078,0.6124654125468857,0.2622956989747888,8
4.31722617149353,1723045697.4648182,0.22343781176027153,3.775848388671875,9,0.014500562514385161,0.59098687208283,0.2379383742746567,9
4.508573532104492,1723045697.6561656,0.2227803411453287,3.9671406745910645,10,0.014641267531294019,0.4910547102353198,0.2374216086766227,10
4.698368787765503,1723045697.8459609,0.20828729113308003,4.156963109970093,11,0.01522706261026027,0.6150591515467788,0.2235143537433403,11
4.892972946166992,1723045698.040565,0.1905257058007382,4.351593732833862,12,0.011133320220487053,0.6150591515467788,0.20165902602122524,12
5.083201885223389,1723045698.230794,0.1905257058007382,4.541729688644409,13,0.011133320220487053,0.6154789167050289,0.20165902602122524,13
5.276288032531738,1723045698.42388,0.17856170103234634,4.734760761260986,14,0.01688084546751678,0.5394061199776898,0.19544254649986312,14
5.4652674198150635,1723045698.6128595,0.16807551371358762,4.923834800720215,15,0.02128359115779554,0.5122301377982875,0.18935910487138316,15
5.658581733703613,1723045698.8061738,0.16826361038301985,5.117153644561768,16,0.019714313058431233,0.5514233081214399,0.1879779234414511,16
5.847862482070923,1723045698.9954545,0.1688100689162863,5.306430816650391,17,0.013308484501742957,0.5840397613382354,0.18211855341802927,17
6.037719964981079,1723045699.185312,0.17038506258403158,5.496275186538696,18,0.009927332027035385,0.47424006354869797,0.18031239461106696,18
6.228991985321045,1723045699.376584,0.15314070574352143,5.687576532363892,19,0.014776801881769991,0.5209965863603923,0.16791750762529142,19
6.423961639404297,1723045699.5715537,0.15041054735611073,5.882520914077759,20,0.010865612635459626,0.5372505752047093,0.16127615999157036,20
6.6141037940979,1723045699.7616959,0.15082388983536218,6.072612762451172,21,0.009600729389594984,0.4541646460980552,0.16042461922495715,21
6.805507183074951,1723045699.9530993,0.1293342186978624,6.2640061378479,22,0.01189406389003238,0.4851005578873123,0.1412282825878948,22
6.996817111968994,1723045700.1444092,0.12226305176437216,6.455305814743042,23,0.015551945427869958,0.42903823526437407,0.1378149971922421,23
7.191236734390259,1723045700.3388288,0.11559459585858067,6.64975380897522,24,0.018532892856497625,0.41603940755895286,0.1341274887150783,24
7.3804943561553955,1723045700.5280864,0.11478767952273095,6.839057445526123,25,0.019073828305229953,0.4486447691630127,0.1338615078279609,25
7.571866989135742,1723045700.719459,0.113221567512881,7.030408620834351,26,0.01598178930655979,0.42509420499914513,0.12920335681944078,26
7.7616126537323,1723045700.9092047,0.10870262139859443,7.220158100128174,27,0.018018335224136574,0.4104541367623486,0.126720956622731,27
7.955960512161255,1723045701.1035526,0.10472946339371157,7.4144606590271,28,0.02095776966916315,0.45946655456573837,0.12568723306287471,28
8.144572496414185,1723045701.2921646,0.1051943257621699,7.60314416885376,29,0.01619105350399627,0.40417257515425753,0.12138537926616617,29
8.334297895431519,1723045701.48189,0.09930147233507076,7.7928526401519775,30,0.016740642209117956,0.3893029599933512,0.11604211454418872,30
8.524896383285522,1723045701.6724885,0.09944106897355083,7.9833664894104,31,0.01620811019486454,0.3935330142297405,0.11564917916841537,31
8.715880393981934,1723045701.8634725,0.10253590621112357,8.174395561218262,32,0.009653970460569058,0.3880068707222536,0.11218987667169263,32
8.910249710083008,1723045702.0578418,0.08820287803427271,8.368674755096436,33,0.015820636061161145,0.3932854328146054,0.10402351409543385,33
9.10114336013794,1723045702.2487354,0.07386648540977345,8.559622049331665,34,0.021580296721478532,0.3476853413250922,0.09544678213125198,34
9.292912244796753,1723045702.4405043,0.07238297801919574,8.751413822174072,35,0.009703724839227459,0.34558377364108794,0.0820867028584232,35
9.487352848052979,1723045702.634945,0.07250706752218494,8.945792198181152,36,0.009543804790107862,0.3313622767917319,0.0820508723122928,36
9.677050828933716,1723045702.824643,0.0724133596061513,9.13559103012085,37,0.009251015222217883,0.2789393346408973,0.08166437482836919,37
9.863191843032837,1723045703.010784,0.05597426125406707,9.321676969528198,38,0.016087420972241993,0.29836736378903983,0.07206168222630907,38
10.048051834106445,1723045703.195644,0.05598213068093717,9.506568431854248,39,0.012071314906090577,0.3092329655382945,0.06805344558702775,39
10.232791423797607,1723045703.3803835,0.05652371583402696,9.691295146942139,40,0.010990850682938907,0.31830469806262546,0.06751456651696587,40
10.604954242706299,1723045703.7525463,0.04736441379026246,10.063443183898926,41,0.014356113960436904,0.27714948048332394,0.06172052775069936,42
