_step,l2_error,time,loss_boundary,step,_timestamp,loss_interior,loss,_runtime
36,0.962782768795555,2.694789171218872,0.35830936769339383,36,1723045655.587315,0.002347359068107894,0.36065672676150173,3.4673280715942383
37,0.959372731117225,2.7162652015686035,0.391689555776525,37,1723045655.60844,0.0018646790919231873,0.39355423486844815,3.488452911376953
38,0.9492987271179885,2.7375335693359375,0.3771293456403289,38,1723045655.629598,0.0015558212200071087,0.37868516686033604,3.509610891342163
39,0.9339721975434666,2.7587437629699707,0.3344720239696183,39,1723045655.650791,0.0012017822963219787,0.33567380626594023,3.530803918838501
40,0.9141167756249695,2.782215118408203,0.35377885164110967,40,1723045655.673672,0.0009443244889020926,0.35472317613001175,3.553684949874878
41,0.8634214741902357,2.821730852127075,0.34060883135328207,42,1723045655.7136345,0.00063949899313395,0.341248330346416,3.5936474800109863
42,0.7365861179549461,2.8992679119110107,0.2899646567724774,46,1723045655.791273,0.0016627672312447067,0.2916274240037221,3.671286106109619
43,0.6216109431761269,2.972076654434204,0.27508995101788264,50,1723045655.8642306,0.006360428702439485,0.2814503797203221,3.744243621826172
44,0.5401304487698854,3.062819719314575,0.2552835541758726,55,1723045655.9547722,0.01610172278493846,0.27138527696081105,3.834785223007202
45,0.5246017244598049,3.1732163429260254,0.25062993694473534,61,1723045656.064849,0.018787548156097712,0.2694174851008331,3.944861888885498
46,0.5644615873774308,3.2841689586639404,0.2295413353453696,67,1723045656.1762996,0.013257401270362151,0.24279873661573176,4.056312561035156
47,0.6002704614174593,3.3878915309906006,0.22044227478277195,73,1723045656.2797952,0.007293996510970426,0.22773627129374238,4.159808158874512
48,0.5774899265697274,3.521409511566162,0.19650479707262145,81,1723045656.414898,0.00819873926741549,0.20470353634003693,4.294910907745361
49,0.5250795909057387,3.654771089553833,0.18638827511514466,89,1723045656.5472825,0.01324040553048592,0.19962868064563058,4.427295446395874
50,0.5329970317416628,3.808828115463257,0.17840721507826882,98,1723045656.70131,0.013773829889444684,0.1921810449677135,4.581322908401489
51,0.5185915150086754,3.965264320373535,0.1709103289103472,107,1723045656.8574405,0.013084882347142794,0.18399521125749,4.737453460693359
52,0.5114684625967978,4.150482177734375,0.17895729673648425,118,1723045657.0429945,0.015701732374468376,0.19465902911095262,4.923007488250732
53,0.4949730789652993,4.353625535964966,0.14342425719255744,130,1723045657.246158,0.01293972023753462,0.15636397743009206,5.126170873641968
54,0.4823840382801582,4.572238206863403,0.12642126246717922,143,1723045657.4647386,0.009687209774252603,0.13610847224143183,5.344751596450806
55,0.45523662698340417,4.805540561676025,0.12811702545127154,157,1723045657.6982963,0.011304979888578481,0.13942200533985002,5.5783092975616455
56,0.45503887729670517,5.052733421325684,0.11637478396756541,172,1723045657.945129,0.011030967385872595,0.127405751353438,5.825141906738281
57,0.445411284719043,5.3550965785980225,0.1084980402934886,190,1723045658.2475753,0.01352143523898039,0.12201947553246899,6.127588272094727
58,0.4421431862090188,5.658964395523071,0.105843243475908,208,1723045658.55262,0.010474711714253064,0.11631795519016105,6.432632923126221
59,0.42235640645539013,6.003706216812134,0.10623135651620172,229,1723045658.896268,0.010492714680107516,0.11672407119630923,6.776280879974365
