loss,loss_boundary,step,l2_error,loss_interior,_step,_runtime,_timestamp,time
2.6393765714064155,2.639374320335948,0,1.7366289650126499,2.2510704673150684e-06,0,3.161416530609131,1723045654.5276246,1.372939109802246
1.0875574390158396,1.0778553125168198,1,0.5281738694861937,0.009702126499019859,1,3.827425479888916,1723045655.1936336,2.2991602420806885
0.5086531051648222,0.31646783159926756,2,0.647545080846524,0.1921852735655547,2,4.441838026046753,1723045655.808046,2.913447380065918
0.49735186909647583,0.4438079989285999,3,0.669161808881266,0.053543870167875915,3,5.021505832672119,1723045656.387714,3.4932239055633545
0.38821925764775306,0.38113323289817636,4,0.393878728420894,0.00708602474957669,4,5.7339186668396,1723045657.1001267,4.205625534057617
0.19885010161546202,0.04849412736209364,5,0.30633174272671393,0.15035597425336839,5,6.27082633972168,1723045657.6370344,4.742539167404175
0.13347109205306434,0.09234577079414408,6,0.12509473227941093,0.04112532125892027,6,6.803335428237915,1723045658.1695435,5.275033235549927
0.012096539227531199,0.009084731214684531,7,0.06550627807887122,0.003011808012846668,7,7.4942946434021,1723045658.8605027,5.965975522994995
0.00978436717630292,0.005898423935979735,8,0.040531276946797826,0.003885943240323185,8,8.225847721099854,1723045659.5920558,6.696238279342651
0.0020227212187093474,0.0013869789803923707,9,0.036371821087057506,0.000635742238316977,9,10.9178466796875,1723045662.2840548,9.389538764953613
0.0016742135722884407,0.001073585552185689,10,0.03600098889369232,0.0006006280201027517,10,12.073974132537842,1723045663.4401822,10.545683860778809
0.0016791233945189252,0.001041347187452778,11,0.03654886800830203,0.000637776207066147,11,13.073991537094116,1723045664.4401996,11.545694351196289
0.0015580642995052085,0.0009566223301662216,12,0.03386030782338948,0.0006014419693389868,12,14.014906644821167,1723045665.3811147,12.486629962921143
0.0013702262331486068,0.0007897632631974356,13,0.028735389654751593,0.000580462969951171,13,15.030830144882202,1723045666.3970382,13.502500772476196
0.0013175353861127263,0.0006176551560113657,14,0.024445125697481793,0.0006998802301013605,14,15.83437728881836,1723045667.2005854,14.306009531021118
0.0010949556577335522,0.0004813184426093944,15,0.022170864076228796,0.0006136372151241577,15,16.718040466308594,1723045668.0842485,15.189812183380127
0.0009191149653367859,0.00039613248105639605,16,0.021010200087522635,0.00052298248428039,16,17.828507900238037,1723045669.194716,16.300194263458252
0.0006973774549857292,0.0003222646172413685,17,0.02222405087470233,0.00037511283774436074,17,18.858511447906494,1723045670.2247195,17.330172061920166
0.0006630920769343681,0.0003506362691968655,18,0.009860272722103484,0.0003124558077375025,18,19.862179040908813,1723045671.228387,18.333868503570557
0.00044155413538067784,9.896466150486419e-05,19,0.008709720585531705,0.00034258947387581367,19,20.83361315727234,1723045672.1998212,19.30532670021057
0.0003210078126124554,7.09105352506613e-05,20,0.009137360663134713,0.00025009727736179414,20,23.013440370559692,1723045674.3796484,21.484890699386597
0.00029144227994145087,8.238562353819446e-05,21,0.00986539097712118,0.0002090566564032564,21,23.94901442527771,1723045675.3152225,22.420727968215942
0.00027161848458730263,8.769163208530665e-05,22,0.00893425862211706,0.000183926852501996,22,24.98551344871521,1723045676.3517215,23.457153797149658
0.0002417902041125556,7.90581674510522e-05,23,0.0077624248187303305,0.0001627320366615034,23,26.042473793029785,1723045677.4086819,24.51419186592102
0.00021512299620404278,5.344735365496187e-05,24,0.006640008861990002,0.0001616756425490809,24,27.03521227836609,1723045678.4014204,25.506911277770996
0.0002074463879487145,3.473579715305854e-05,25,0.005582489886173072,0.00017271059079565599,25,27.93370223045349,1723045679.2999103,26.405429363250732
0.00017960066028691442,2.7593388246275212e-05,26,0.005441410442275074,0.0001520072720406392,26,28.96609330177307,1723045680.3323014,27.437819480895996
0.00014974779705094715,2.493089695542701e-05,27,0.00450928242004693,0.00012481690009552015,27,30.095505475997925,1723045681.4617136,28.567249298095703
0.00012347068999412746,1.737200618896072e-05,28,0.0054727391066094885,0.00010609868380516673,28,32.310391664505005,1723045683.6765997,30.78209900856018
0.00010961439015688347,2.728221104669064e-05,29,0.006680524929045398,8.233217911019283e-05,29,33.361698150634766,1723045684.7279062,31.833429098129272
8.466081859073078e-05,3.660615081413745e-05,30,0.0062734526711486225,4.805466777659333e-05,30,35.314584255218506,1723045686.6807923,33.78628349304199
6.521346869309382e-05,2.908667163697782e-05,31,0.003405159232705071,3.6126797056116e-05,31,37.02850580215454,1723045688.3947139,35.50024151802063
6.433798867256055e-05,6.416891085372101e-06,32,0.004303005510767137,5.792109758718844e-05,32,38.156928062438965,1723045689.5231361,36.62864089012146
3.427964561036307e-05,7.011562776427897e-06,33,0.0043888036845416666,2.7268082833935177e-05,33,43.19550061225891,1723045694.5617087,41.66596484184265
2.7482104078948773e-05,7.674775789181024e-06,34,0.0017499610704859972,1.980732828976775e-05,34,44.90443754196167,1723045696.2706456,43.37518358230591
2.5497789894559798e-05,3.4987740142253716e-06,35,0.0022155746795897466,2.1999015880334425e-05,35,45.76688766479492,1723045697.1330957,44.238643646240234
2.2999528356610384e-05,4.898530540844933e-06,36,0.0028124773615883845,1.810099781576545e-05,36,47.85371446609497,1723045699.2199225,46.32500457763672
2.0688846912976173e-05,6.352987119340596e-06,37,0.003644977641504483,1.4335859793635576e-05,37,48.92001223564148,1723045700.2862203,47.39173913002014
1.9568452298187605e-05,9.573241273431704e-06,38,0.0023254899330229823,9.9952110247559e-06,38,54.13498139381409,1723045705.5011895,52.60629057884216
1.4543673249623683e-05,4.900224365113342e-06,39,0.00241138738935186,9.643448884510341e-06,39,54.8388090133667,1723045706.205017,53.31048226356506
