step,_runtime,l2_error,loss_interior,time,loss,_step,_timestamp,loss_boundary
0,2.499030828475952,1.7591995101488194,2.2510704673150684e-06,0.9469194412231445,2.6393765714064155,0,1723045652.99765,2.639374320335948
1,2.5225186347961426,1.7085749406895931,2.9384058104064785e-05,1.2236757278442383,2.4641509208061962,1,1723045653.0211377,2.464121536748092
2,2.545274257659912,1.6567932631178104,0.00010917742737552008,1.2460057735443115,2.4055277035649003,2,1723045653.0438933,2.4054185261375247
3,2.5681145191192627,1.6031005896976636,0.00025033794360388985,1.2689342498779297,2.39533481402845,3,1723045653.0667336,2.395084476084846
4,2.590498685836792,1.546827269820035,0.00046491659311280014,1.2912678718566895,2.2494863497616375,4,1723045653.0891178,2.2490214331685245
5,2.612738609313965,1.4873914617120774,0.0007700148683939089,1.3134486675262451,2.0189890380777156,5,1723045653.1113577,2.018219023209322
6,2.634540557861328,1.42421176221958,0.0011781761770029938,1.3351056575775146,1.9650117429820213,6,1723045653.1331596,1.9638335668050184
7,2.6567957401275635,1.3571303404187818,0.0017232598485668463,1.3575055599212646,1.7881854533172579,7,1723045653.1554148,1.786462193468691
8,2.6788363456726074,1.286030505372592,0.002413964112706484,1.3795242309570312,1.7526932606950654,8,1723045653.1774554,1.7502792965823588
9,2.701160430908203,1.2112742547073352,0.00332236246549837,1.4018032550811768,1.528501992045476,9,1723045653.1997795,1.5251796295799778
10,2.723317861557007,1.1333770039771554,0.004431079434396474,1.423945665359497,1.4516078403128887,10,1723045653.221937,1.4471767608784922
11,2.7457520961761475,1.0531514818978023,0.005841319417920547,1.4462931156158447,1.3756721632354791,11,1723045653.2443712,1.3698308438175586
12,2.7668771743774414,0.9721301675796431,0.007285735068070314,1.468080759048462,1.1816705374381256,12,1723045653.2654963,1.1743848023700552
13,2.786701202392578,0.8921930157808918,0.00908870910839531,1.489215612411499,1.0706756158192934,13,1723045653.2853203,1.061586906710898
14,2.806298017501831,0.816030198155531,0.011021694276803435,1.508469581604004,0.926407763832497,14,1723045653.304917,0.9153860695556936
15,2.8257434368133545,0.7466226118576567,0.01297580825308133,1.5280029773712158,0.9164529142619715,15,1723045653.3243625,0.9034771060088902
16,2.8454623222351074,0.6882980248953808,0.01489967106249511,1.5476634502410889,0.7823053267008002,16,1723045653.3440814,0.7674056556383051
17,2.8648593425750732,0.6455295724721896,0.01658576193703115,1.5672566890716553,0.6707434631375917,17,1723045653.3634784,0.6541577012005605
18,2.884263515472412,0.6220693296986423,0.017950678156798693,1.586648941040039,0.5682156911281311,18,1723045653.3828826,0.5502650129713323
19,2.903627634048462,0.6196517658511665,0.01910690536909129,1.605973243713379,0.507846872600438,19,1723045653.4022467,0.4887399672313468
20,2.9233157634735107,0.6371186967769503,0.019553132799187287,1.6255505084991455,0.4574097433439532,20,1723045653.4219348,0.4378566105447659
