loss,step,_step,_runtime,l2_error,_timestamp,loss_boundary,time,loss_interior
2.631392111380915,0,0,2.7458267211914062,0.6488801764880818,1723045655.4879417,2.631385783201568,1.8770654201507568,6.3281793471193575e-06
0.27380421884135187,1,1,3.056126832962036,0.5149594631182282,1723045655.7982419,0.25629835016203356,2.539978504180908,0.017505868679318297
0.16937701448057257,2,2,3.408773899078369,0.25499587207380897,1723045656.150889,0.15764781641790296,2.8922464847564697,0.011729198062669614
0.07409744612077539,3,3,3.7991819381713867,0.20218966133844157,1723045656.541297,0.044017139398034894,3.2828733921051025,0.030080306722740494
0.042014527930382226,4,4,4.233139991760254,0.1575367622314957,1723045656.975255,0.030888743843857643,3.7168853282928467,0.011125784086524584
0.025378508546007,5,5,4.711549520492554,0.14056242874311276,1723045657.4536645,0.02037700856435339,4.195167541503906,0.005001499981653611
0.017372376138720756,6,6,5.236145973205566,0.1164266766868862,1723045657.978261,0.011857000578027927,4.71965479850769,0.005515375560692829
0.014705083371424791,7,7,5.812307596206665,0.09365277426415783,1723045658.5544226,0.011544001361299667,5.295417785644531,0.0031610820101251242
0.009035550375051306,8,8,6.425245523452759,0.0646167170840952,1723045659.1673605,0.007082612718866791,5.908856630325317,0.0019529376561845144
0.005005185826454043,9,9,7.073534250259399,0.05466187389228466,1723045659.8156493,0.0028979649372482355,6.5571417808532715,0.002107220889205808
0.0036355033033728746,10,10,7.770900011062622,0.06652397682340117,1723045660.513015,0.0026846633755514774,7.254397869110107,0.0009508399278213974
0.00445517013158928,11,11,8.50472903251648,0.04431256821794516,1723045661.246844,0.0030595873089158377,7.988319635391235,0.001395582822673442
0.00290073412943843,12,12,9.24651312828064,0.043825198590177715,1723045661.9886281,0.002254452091214604,8.728530645370483,0.0006462820382238256
0.002195968357380421,13,13,9.987561702728271,0.03717098354545418,1723045662.7296767,0.0016197593389228615,9.470681428909302,0.0005762090184575591
0.0018282024044878804,14,14,10.727720260620117,0.03291535576032448,1723045663.4698353,0.001361862074553958,10.211246490478516,0.00046634032993392234
0.0013721416696345422,15,15,11.45477843284607,0.031410344210644134,1723045664.1968935,0.001010200228293233,10.938262224197388,0.0003619414413413091
0.0011926484841958537,16,16,12.19198727607727,0.02767090179068915,1723045664.9341023,0.0008776709055521327,11.675462007522583,0.0003149775786437211
0.0009753063804165444,17,17,12.933438777923584,0.02499632805315225,1723045665.6755538,0.0006951418125895152,12.41701078414917,0.0002801645678270292
0.0010439686627888188,18,18,13.683145999908447,0.029516966863065323,1723045666.425261,0.0007803227236889685,13.166409492492676,0.00026364593909985014
0.0012824734495415946,19,19,14.411134243011475,0.024642492905614877,1723045667.1532493,0.000810894511303895,13.89440369606018,0.00047157893823769967
0.0008074145738643197,20,20,15.149296283721924,0.02386729284329248,1723045667.8914113,0.0005933057029429457,14.632793188095093,0.00021410887092137394
0.0007801095031409543,21,21,15.886762380599976,0.023751969345429773,1723045668.6288774,0.0006046883509589335,15.370197057723999,0.0001754211521820208
0.0006662067957979604,22,22,16.616294622421265,0.02174120661196556,1723045669.3584096,0.0005249111470099744,16.09970259666443,0.00014129564878798603
0.0005510485034680011,23,23,17.347475290298462,0.02224339051923672,1723045670.0895903,0.00043698742591654304,16.83102822303772,0.00011406107755145803
0.0006090316008168624,24,24,18.083125591278076,0.022661446188045303,1723045670.8252406,0.0004946485561679406,17.566575527191162,0.00011438304464892183
0.0005421106095972297,25,25,18.819321155548096,0.021624076733201526,1723045671.5614362,0.00043928344856164036,18.302690982818604,0.00010282716103558937
0.0005764000740649176,26,26,19.554876565933228,0.020769993013338525,1723045672.2969916,0.00047496851797241424,19.038272857666016,0.00010143155609250338
0.0004841977966511509,27,27,20.2915301322937,0.020159845308850934,1723045673.0336452,0.0003733891513334505,19.775064706802368,0.0001108086453177004
0.0005050778210566553,28,28,21.026148557662964,0.020287505027826974,1723045673.7682636,0.0004080153286794597,20.509568452835083,9.706249237719563e-05
0.00047437303916194636,29,29,21.755331993103027,0.01969290314389914,1723045674.497447,0.0003832492573871265,21.238882780075073,9.112378177481986e-05
0.00040002003094892404,30,30,22.48041081428528,0.01923746544176862,1723045675.2225258,0.0002952520938349291,21.963865518569946,0.00010476793711399492
0.00044118884063281284,31,31,23.214747667312622,0.018712379299264354,1723045675.9568627,0.0003481538346567353,22.698277950286865,9.303500597607755e-05
0.0004232723302894232,32,32,23.94337487220764,0.018265700158752902,1723045676.68549,0.00033772557029165606,23.42691135406494,8.554675999776714e-05
0.00038439869373701053,33,33,24.681119441986084,0.016366363428344553,1723045677.4232345,0.0002911307277005395,24.16457772254944,9.326796603647106e-05
0.0004016271456778027,34,34,25.408819437026978,0.017312326717193818,1723045678.1509345,0.0003108191013473859,24.892394065856934,9.080804433041682e-05
0.00034128462319893513,35,35,26.146108150482178,0.016416452468527236,1723045678.8882232,0.0002487024195843902,25.62952756881714,9.258220361454497e-05
0.00035602815896105324,36,36,26.882373571395874,0.016669116676187083,1723045679.6244886,0.00025867154182901577,26.365817546844482,9.735661713203747e-05
0.0003280454916067448,37,37,27.610678911209106,0.016341293273531062,1723045680.352794,0.00023947394769791773,27.094064712524414,8.857154390882704e-05
0.0003748911298791034,38,38,28.344924926757812,0.01576073121959509,1723045681.08704,0.0002828445001974359,27.828468561172485,9.204662968166744e-05
0.0003973617326633982,39,39,29.08759880065918,0.01601912970780104,1723045681.8297138,0.00030599686278238975,28.570911169052124,9.136486988100848e-05
0.0003484202001481408,40,40,29.81699538230896,0.016044100035846606,1723045682.5591104,0.00024387486172334856,29.300459623336792,0.00010454533842479223
