step,_timestamp,loss_boundary,loss_interior,_step,l2_error,loss,time,_runtime
0,1723045653.6692033,2.515194173220324,0.00033220436291789117,0,1.1638763042809428,2.515526377583242,1.3484275341033936,2.785921335220337
1,1723045654.5599813,0.49419262128720737,0.2442759864731336,1,0.7236713445237937,0.738468607760341,2.5080502033233643,3.67669939994812
2,1723045655.1557288,0.3762507836756621,0.25596847722464494,2,0.5790625353911567,0.632219260900307,3.103806734085083,4.272446870803833
3,1723045655.8180966,0.3532176877311309,0.06792884272718669,3,0.6161614760610189,0.42114653045831757,3.7661948204040527,4.934814691543579
4,1723045656.350458,0.34658045238380625,0.043727167970582216,4,0.617256063210129,0.3903076203543885,4.298515319824219,5.4671759605407715
5,1723045656.8971639,0.3252029830657343,0.03821867473617906,5,0.5674456445171631,0.3634216578019134,4.8452324867248535,6.0138819217681885
6,1723045657.4440236,0.26837326700172454,0.055478017002026356,6,0.46740951112482293,0.3238512840037509,5.39206075668335,6.560741662979126
7,1723045658.1560943,0.15216802405719962,0.02248283803340017,7,0.3491116950332973,0.1746508620905998,6.104162931442261,7.272812366485596
8,1723045658.919903,0.07444456645600758,0.001653997188723896,8,0.21622312249772427,0.07609856364473148,6.866649389266968,8.03662109375
9,1723045660.473437,0.022791676591160746,0.0008478206139204946,9,0.12245559185016792,0.02363949720508124,8.421532392501831,9.590155124664307
10,1723045661.5491567,0.007496704171208906,0.0003733671650341252,10,0.04369352363959551,0.007870071336243031,9.497187376022339,10.665874719619751
11,1723045663.552142,0.0009392879648601949,0.0005127044483489583,11,0.025898705836118283,0.0014519924132091531,11.500130891799927,12.668859958648682
12,1723045667.4572282,0.00024750863622542674,0.0001381978811868075,12,0.0287528829481367,0.00038570651741223424,15.405203104019165,16.573946237564087
13,1723045669.269091,0.0003215976499715058,8.512134545247286e-05,13,0.023527244663253805,0.00040671899542397863,17.21706509590149,18.38580894470215
14,1723045670.1660879,0.000250392178240461,0.00012198036843855302,14,0.020056906370705264,0.00037237254667901406,18.113362550735474,19.282805919647217
15,1723045671.24265,0.0002012553431766741,0.0001426924245983804,15,0.018045150413116842,0.0003439477677750545,19.190721035003662,20.359368085861206
16,1723045672.995134,0.0001601993835069964,0.00014909289908320578,16,0.016340404167310904,0.0003092922825902022,20.943203687667847,22.111852169036865
17,1723045674.014186,0.00015809959792808048,0.00015516991296925093,17,0.01495590690202673,0.0003132695108973314,21.96227765083313,23.130903959274292
18,1723045675.0450094,0.00013350371072498723,0.0001384665189663165,18,0.013273114768404065,0.0002719702296913037,22.993048667907715,24.16172742843628
19,1723045676.1013305,0.00010732701004853901,0.00013111735623428706,19,0.01139366125076665,0.00023844436628282607,24.049391746520996,25.218048572540283
20,1723045677.120872,8.863199092143289e-05,0.00013186106655715642,20,0.010296383982827194,0.00022049305747858932,25.068936347961426,26.237590074539185
21,1723045678.1496613,7.434117043968019e-05,0.00012101224933918844,21,0.009550342024261213,0.00019535341977886862,26.097736597061157,27.266379356384277
22,1723045682.705085,6.176952305993278e-05,0.00011803818880569376,22,0.00828786498967597,0.00017980771186562654,30.652997493743896,31.821803092956543
23,1723045683.7426293,2.4888005305535863e-05,0.0001033016220856676,23,0.00472639768822152,0.00012818962739120346,31.6905620098114,32.859347343444824
24,1723045685.3498404,1.1720999531730986e-05,0.00010117692295688915,24,0.003645332275351454,0.00011289792248862013,33.29781246185303,34.4665584564209
25,1723045686.3442488,9.837194755253392e-06,9.4446150145061e-05,25,0.0033482331358312928,0.0001042833449003144,34.292316198349,35.46096682548523
26,1723045688.9552646,8.092904281494437e-06,8.926806489125428e-05,26,0.0034864407241882328,9.736096917274872e-05,36.90333890914917,38.071982622146606
27,1723045689.8440847,5.848931449459162e-06,8.347473601105418e-05,27,0.0034109513949256093,8.932366746051334e-05,37.792144775390625,38.96080279350281
28,1723045690.987527,6.663701166232313e-06,8.192812478296707e-05,28,0.003852065009302034,8.859182594919938e-05,38.935611724853516,40.10424494743347
29,1723045692.151576,6.455310244639852e-06,6.899228593674541e-05,29,0.005004754532260876,7.544759618138526e-05,40.09866786003113,41.26829409599304
30,1723045694.6903374,1.63156777145597e-05,5.504610952105008e-05,30,0.005656122376019988,7.136178723560977e-05,42.63739061355591,43.80705547332764
31,1723045696.5137913,1.981386057978778e-05,8.887421235168955e-06,31,0.005798261392621054,2.8701281814956735e-05,44.460771799087524,45.63050937652588
32,1723045698.3106284,2.1363445467714283e-05,4.841630822127192e-06,32,0.004757935765221751,2.6205076289841473e-05,46.25864601135254,47.4273464679718
33,1723045700.0289912,2.0053846209807063e-05,1.7510134259986677e-06,33,0.004058301276527709,2.1804859635805732e-05,47.97687220573425,49.14570927619934
34,1723045701.2023187,1.371336558117537e-05,2.4154074887387007e-06,34,0.00360343035074318,1.6128773069914072e-05,49.15032434463501,50.31903672218323
35,1723045706.2400494,1.2607227420019268e-05,3.7239904722305946e-06,35,0.0035561274228505624,1.6331217892249863e-05,54.18813490867615,55.356767416000366
36,1723045707.171169,4.87852780627761e-06,4.7580488404771796e-06,36,0.003627696265871689,9.63657664675479e-06,55.11926484107971,56.28788709640503
37,1723045712.0882597,5.872981480954867e-06,3.372168713420752e-06,37,0.003090700406125287,9.245150194375619e-06,60.03635549545288,61.2049777507782
38,1723045713.6357834,3.833040998022936e-06,1.197907194746032e-06,38,0.0018691059864004282,5.030948192768969e-06,61.58384823799133,62.752501487731934
39,1723045718.6679957,1.981523182323255e-06,1.6870907513691208e-06,39,0.002141312709961815,3.6686139336923757e-06,66.6157009601593,67.78471374511719
40,1723045719.649212,2.9332426272826366e-06,7.884236553650938e-07,40,0.0019879815521909117,3.7216662826477305e-06,67.5971941947937,68.76592993736267
42,1723045725.438957,2.377258253671192e-06,7.029216149593203e-07,41,0.0015055895610258483,3.0801798686305123e-06,73.38702869415283,74.55567502975464
46,1723045734.802379,6.794538024538946e-07,1.3954979695455682e-06,42,0.0012289040193101091,2.0749517719994626e-06,82.75048065185547,83.91909694671631
