l2_error,loss_boundary,_timestamp,step,time,_runtime,loss_interior,loss,_step
1.7170223934773297,2.3941474858584644,1723045654.4753892,0,1.3501923084259033,3.274160146713257,1.0692413319824011e-05,2.394158178271784,0
1.7483594614778113,2.4421682406264065,1723045654.9092786,1,2.0605971813201904,3.7080495357513428,0.0012180354784493785,2.4433862761048557,1
1.3965884694434307,2.2880077758575874,1723045655.394285,2,2.545386552810669,4.193055868148804,0.007233237215530163,2.2952410130731176,2
1.1408655976210202,1.0790213413727998,1723045655.8414283,3,2.9926106929779053,4.640199184417725,0.13583652998190707,1.214857871354707,3
0.12384663945974296,0.961981553272833,1723045656.3863854,4,3.5374348163604736,5.185156345367432,0.014449696793575858,0.9764312500664089,4
0.19098829782894847,0.01194947272273,1723045657.3029382,5,4.454038143157959,6.1017091274261475,0.00991422186888812,0.02186369459161812,5
0.024681190325206843,0.015372961123495638,1723045658.1639383,6,5.3136146068573,6.962709188461304,0.002215033951959932,0.01758799507545557,6
0.02906110986499727,0.0006146198323504225,1723045659.8931475,7,7.044131278991699,8.69191837310791,0.00041095920287082926,0.0010255790352212517,7
0.016862462640066224,0.0006290749909483023,1723045661.520754,8,8.671616077423096,10.319525003433228,0.0002909003015513291,0.0009199752924996315,8
0.015184330041363886,0.00028432149811328714,1723045662.5064425,9,9.657407999038696,11.305213451385498,0.0005802499540487977,0.0008645714521620849,9
0.020713357508262652,0.00023459497252262536,1723045663.6057775,10,10.75688910484314,12.404548406600952,0.0006135279784184268,0.0008481229509410521,10
0.014450263493662052,0.00031242023326606916,1723045665.3215284,11,12.472500085830688,14.120299339294434,0.00027741729020896327,0.0005898375234750324,11
0.008856914089760025,0.00014561234329404894,1723045667.3691082,12,14.520170450210571,16.167879104614258,3.604022381435693e-05,0.00018165256710840586,12
0.007915333530365385,6.324805649059375e-05,1723045669.816008,13,16.967066764831543,18.614778995513916,4.260564081506044e-05,0.0001058536973056542,13
0.0068741847534122425,4.6189415793080895e-05,1723045670.8339784,14,17.98508620262146,19.632749319076538,3.604411673420346e-05,8.223353252728436e-05,14
0.006386109464480353,2.957800291202456e-05,1723045671.9267337,15,19.07779598236084,20.725504636764526,4.262631449446663e-05,7.220431740649119e-05,15
0.005846623047284991,2.3593599309401984e-05,1723045673.6719828,16,20.823042631149292,22.47075366973877,4.830163884402192e-05,7.18952381534239e-05,16
0.004755457989298281,2.0007065864599697e-05,1723045678.803097,17,25.954092025756836,27.60186791419983,4.803067774835003e-05,6.803774361294973e-05,17
0.004317610965952449,1.6100044040551728e-05,1723045679.7286277,18,26.879547595977783,28.527398586273193,4.395626897697759e-05,6.005631301752932e-05,18
0.004057630193882734,1.2802726680686327e-05,1723045680.757878,19,27.908870935440063,29.55664896965027,4.133492017054249e-05,5.413764685122882e-05,19
0.0038594284799983846,1.3505310838739587e-05,1723045681.9095225,20,29.06045699119568,30.708293437957764,3.9827631050705347e-05,5.3332941889444935e-05,20
0.0038298686941946555,1.382426984419267e-05,1723045683.0258565,21,30.17665982246399,31.82462739944458,3.7200100169246246e-05,5.102437001343892e-05,21
0.003945836926058492,1.4537906545759833e-05,1723045684.0325341,22,31.183530569076538,32.83130502700806,3.647267008672318e-05,5.1010576632483015e-05,22
0.004078277006924955,1.425711238210467e-05,1723045685.2396781,23,32.39072370529175,34.03844904899597,3.452913502307089e-05,4.878624740517556e-05,23
0.004202723247288775,1.3798049036394698e-05,1723045686.3179245,24,33.468870401382446,35.116695404052734,3.356372312895566e-05,4.736177216535036e-05,24
0.004414426839533281,1.5145133043930219e-05,1723045687.4208188,25,34.571853160858154,36.219589710235596,3.0744170556548406e-05,4.588930360047863e-05,25
0.0045136573553508745,1.6823790804965224e-05,1723045688.492093,26,35.643146991729736,37.29086399078369,2.9377657295986116e-05,4.620144810095134e-05,26
0.004311548853965791,1.7306774251603006e-05,1723045694.0229647,27,41.17289066314697,42.82173562049866,2.647053535377596e-05,4.377730960537897e-05,27
0.0044642801724045595,1.535288891291311e-05,1723045695.0426056,28,42.193602561950684,43.841376543045044,2.4537492903308693e-05,3.98903818162218e-05,28
0.004538936549527181,1.7229068208951437e-05,1723045695.7765775,29,42.927287578582764,44.57534837722778,2.0846093921312734e-05,3.8075162130264174e-05,29
0.004694347537584704,1.6839264812054293e-05,1723045696.8135293,30,43.96356391906738,45.612300157547,1.8439561312658108e-05,3.5278826124712404e-05,30
0.004734761302899493,1.851265104484701e-05,1723045697.5657585,31,44.71674704551697,46.3645293712616,1.668728802978102e-05,3.519993907462803e-05,31
0.004671025927010899,1.8459573304308744e-05,1723045698.7032566,32,45.85426735877991,47.50202751159668,1.5419345242504536e-05,3.387891854681328e-05,32
0.004463117059532386,1.8492603436701136e-05,1723045699.7639253,33,46.91481852531433,48.5626962184906,1.4010377313620208e-05,3.250298075032134e-05,33
0.00419821150749608,1.716901640933152e-05,1723045701.7835498,34,48.934561014175415,50.58232069015503,1.2711971892331128e-05,2.9880988301662647e-05,34
0.004051107072073083,1.4998137499586218e-05,1723045702.8890145,35,50.03998017311096,51.687785387039185,1.2094442421638461e-05,2.709257992122468e-05,35
0.0038106372812287547,1.406966168962434e-05,1723045703.9148722,36,51.06576919555664,52.713643074035645,1.24842969934396e-05,2.655395868306394e-05,36
0.003582380214595839,1.3918617462326086e-05,1723045704.9490829,37,52.10003447532654,53.74785375595093,1.1826086519948874e-05,2.574470398227496e-05,37
0.0035312908570306733,1.2746759441447237e-05,1723045707.0252721,38,54.175994873046875,55.8240430355072,1.0676434219895326e-05,2.3423193661342563e-05,38
