time,l2_error,_timestamp,loss_boundary,loss,loss_interior,step,_step,_runtime
1.5244290828704834,0.6541660479847762,1723045694.8947911,2.631385783201568,2.631392111380915,6.3281793471193575e-06,0,0,2.4165990352630615
2.340780258178711,0.8269320148916436,1723045695.361008,0.5501403743661556,0.5559841544030321,0.005843780036876455,1,1,2.8828158378601074
2.804192543029785,0.7009873189046983,1723045695.8241549,0.3544131609064918,0.3596748552264287,0.005261694319936945,2,2,3.3459627628326416
3.268249988555908,0.727221190802936,1723045696.290334,0.31638364933042123,0.3166646086865429,0.00028095935612164645,3,3,3.8121418952941895
3.732309103012085,0.6520730195044682,1723045696.7524688,0.2886128632398696,0.30674115773799066,0.018128294498121037,4,4,4.2742767333984375
4.1964781284332275,0.703536878575659,1723045697.2165463,0.2583545775555757,0.2798403117305947,0.02148573417501896,5,5,4.738354206085205
4.662035703659058,0.6043303896971444,1723045697.6834598,0.25628309442042474,0.25998525577084036,0.0037021613504156126,6,6,5.205267667770386
5.13241982460022,0.4997121162475802,1723045698.1524742,0.21963048081174624,0.234469020141401,0.014838539329654765,7,7,5.674282073974609
5.58872127532959,0.6081695122512509,1723045698.6087425,0.16483207557225757,0.20087257254637536,0.036040496974117806,8,8,6.130550384521484
6.04366135597229,0.5543927627588637,1723045699.0636375,0.1842047485746619,0.20053570765545173,0.01633095908078982,9,9,6.585445404052734
6.499067544937134,0.5873522014075352,1723045699.5191593,0.19221288765752895,0.2121973676230047,0.01998447996547576,10,10,7.040967226028442
6.954878091812134,0.5461332982990585,1723045699.9749315,0.18156558261619676,0.19218222613798394,0.010616643521787185,11,11,7.496739387512207
7.413193702697754,0.6000035254399597,1723045700.4333222,0.16698339839733978,0.18217529609618174,0.015191897698841978,12,12,7.955130100250244
7.874675035476685,0.5456325785782546,1723045700.8950357,0.1739156846522726,0.18817955267588496,0.01426386802361234,13,13,8.41684365272522
8.328430414199829,0.5660432330219314,1723045701.348508,0.15879276621143476,0.17726987110534065,0.0184771048939059,14,14,8.870315790176392
8.78483247756958,0.5208454214648192,1723045701.8049905,0.17212258953281334,0.18106249836121296,0.008939908828399613,15,15,9.326798439025879
9.24488639831543,0.5573260882315099,1723045702.2650204,0.15936470383106946,0.1801205628364381,0.020755859005368645,16,16,9.78682827949524
9.70267653465271,0.4770426011152313,1723045702.7229247,0.14085922318475777,0.1555678165327227,0.014708593347964921,17,17,10.24473261833191
10.165369749069214,0.522247074013129,1723045703.1856065,0.12712958641610686,0.14373388041490745,0.01660429399880059,18,18,10.707414388656616
10.626583576202393,0.47136304634675286,1723045703.646872,0.13592902007369054,0.14949154293396796,0.013562522860277433,19,19,11.16867995262146
11.07774806022644,0.5231762003513267,1723045704.09803,0.1341918737364686,0.149800992020107,0.015609118283638404,20,20,11.619837999343872
11.529985189437866,0.566545913254573,1723045704.5502663,0.13108033502829933,0.142589981338186,0.011509646309886686,21,21,12.072074174880981
11.987967014312744,0.5099555481690878,1723045705.0082593,0.13166575152208232,0.14881664518409954,0.017150893662017233,22,22,12.530067205429077
12.448410749435425,0.47397567152419084,1723045705.4689403,0.13357121498966534,0.14900533974409685,0.015434124754431513,23,23,12.990748167037964
12.91041898727417,0.5254002599909612,1723045705.9307942,0.1382148435442749,0.15201875665331321,0.01380391310903832,24,24,13.45260214805603
13.369789838790894,0.48882739893450355,1723045706.3900933,0.12987166995488558,0.1413271299117377,0.011455459956852128,25,25,13.911901235580444
13.826770782470703,0.5240446699356663,1723045706.8470852,0.12078582182769976,0.13469715556099526,0.013911333733295516,26,26,14.368893146514893
14.280399084091187,0.46228658909845405,1723045707.3006825,0.13941342843456225,0.14934016231814037,0.009926733883578119,27,27,14.822490453720093
14.740461349487305,0.5118030320519623,1723045707.760809,0.11946060572873654,0.13286322498777497,0.013402619259038422,28,28,15.28261685371399
15.200122594833374,0.46686698775730207,1723045708.220402,0.12040814834420524,0.13104082270359452,0.010632674359389279,29,29,15.742209911346436
15.655596733093262,0.5041334495319971,1723045708.6759093,0.12115233348830862,0.1329963415300907,0.01184400804178209,30,30,16.19771718978882
16.109498262405396,0.47022792281554276,1723045709.129854,0.11554442194205479,0.12535412569221968,0.009809703750164888,31,31,16.65166187286377
16.560175895690918,0.41639547624650464,1723045709.5805037,0.12012724124775802,0.13242416184612177,0.012296920598363745,32,32,17.102311611175537
17.012835025787354,0.4621104663150633,1723045710.0331821,0.10735511512352562,0.1192292952367405,0.011874180113214877,33,33,17.55499005317688
17.467344284057617,0.430982222959782,1723045710.4877746,0.10782073060048371,0.11810093849332316,0.010280207892839456,34,34,18.00958251953125
17.92705798149109,0.46026461127093166,1723045710.9474878,0.1006113456599846,0.11209151013079319,0.011480164470808584,35,35,18.469295740127563
18.382343292236328,0.4223268481088225,1723045711.4027169,0.1085140088237336,0.1186278304374153,0.010113821613681693,36,36,18.924524784088135
18.84310007095337,0.46328159083551507,1723045711.8634665,0.10271216422745766,0.11591942148343012,0.01320725725597246,37,37,19.385274410247803
19.29941749572754,0.45849319867807226,1723045712.3199928,0.0965448510066416,0.10713156805288843,0.010586717046246828,38,38,19.841800689697266
19.757667779922485,0.40914462217938047,1723045712.7781153,0.09446307588672967,0.10981504851468296,0.015351972627953299,39,39,20.299923181533813
20.216922998428345,0.4472578468559293,1723045713.237377,0.09827852587305091,0.11029041807397746,0.012011892200926553,40,40,20.75918483734131
21.11929678916931,0.44384677589988825,1723045714.1397681,0.0885189591827498,0.1019907363413465,0.013471777158596715,42,41,21.66157603263855
