loss_boundary,step,_step,l2_error,_timestamp,time,loss_interior,_runtime,loss
2.789697141878816,0,0,1.8543393377283999,1723045699.274465,1.7189877033233643,3.796917940553107e-06,2.3352391719818115,2.7897009387967566
2.7896895246947824,1,1,0.876550836677269,1723045699.4115825,2.092536449432373,3.7970077486694126e-06,2.4723565578460693,2.789693321702531
0.3520709530262298,2,2,0.675657830735248,1723045699.5270414,2.2089762687683105,0.0001719357780040787,2.587815523147583,0.3522428888042339
0.3011184618781721,3,3,0.7250024089304493,1723045699.6366956,2.3186192512512207,0.023428308448118742,2.697469711303711,0.3245467703262908
0.27818546049717224,4,4,0.5153679548913025,1723045699.7515564,2.4331893920898438,0.03434785294172301,2.812330484390259,0.31253331343889523
0.24897550621094444,5,5,0.6229545643007122,1723045699.8645523,2.5463368892669678,0.020106144613588443,2.925326347351074,0.2690816508245329
0.20281265360496667,6,6,0.5468652877961595,1723045699.974384,2.656203269958496,0.006596856772036907,3.035158157348633,0.2094095103770036
0.180041401378503,7,7,0.5953886232301571,1723045700.0866745,2.7684144973754883,0.02163674505814734,3.1474485397338867,0.20167814643665033
0.17324875963640585,8,8,0.6132696030977872,1723045700.1999068,2.8816027641296387,0.023563287139782042,3.260680913925171,0.19681204677618788
0.17788899516544446,9,9,0.5331025821704841,1723045700.312043,2.992393970489502,0.008645287484930467,3.372817039489746,0.18653428265037492
0.17070372112479149,10,10,0.5130428055764638,1723045700.4213312,3.1027722358703613,0.008900244277742518,3.482105255126953,0.179603965402534
0.13470840645596,11,11,0.5384241854939913,1723045700.5364823,3.2181341648101807,0.016242038994144694,3.5972564220428467,0.1509504454501047
0.13495122255156616,12,12,0.4975728293334481,1723045700.6492364,3.33082914352417,0.013329467136451428,3.710010528564453,0.14828068968801758
0.13071661150838335,13,13,0.49916389547621015,1723045700.759802,3.4413721561431885,0.014292085661248342,3.8205761909484863,0.1450086971696317
0.12551049060053937,14,14,0.45720700844738754,1723045700.874022,3.555562734603882,0.01794138451048091,3.934796094894409,0.14345187511102028
0.12042001115472163,15,15,0.44782996131158576,1723045700.9855914,3.66725492477417,0.021465549064747392,4.04636549949646,0.14188556021946902
0.11655289292350843,16,16,0.420220277432943,1723045701.0981143,3.7797961235046387,0.01983817468066002,4.158888339996338,0.13639106760416844
0.10823953738168135,17,17,0.44570456900014066,1723045701.2109568,3.8925065994262695,0.024528995998484474,4.271730899810791,0.1327685333801658
0.11060136357598614,18,18,0.4159509656369468,1723045701.3272457,4.008718013763428,0.02041454952251454,4.388019800186157,0.1310159130985007
0.11046551528762814,19,19,0.43452663765984,1723045701.4392228,4.120589971542358,0.01757201798823577,4.499996900558472,0.12803753327586392
0.09543098080086432,20,20,0.351488062624712,1723045701.55129,4.232885837554932,0.012950438473717137,4.6120641231536865,0.10838141927458145
0.07946656703097695,21,21,0.3130742030834256,1723045701.6647115,4.346380710601807,0.018792956360342505,4.725485563278198,0.09825952339131945
0.06245965632711395,22,22,0.27698250775870564,1723045701.7740824,4.455835580825806,0.019150806625711832,4.8348565101623535,0.08161046295282579
0.05866745771552658,23,23,0.22748148364937032,1723045701.883289,4.565015077590942,0.02096518725638987,4.944063186645508,0.07963264497191645
0.04536491553191007,24,24,0.23385181059195778,1723045701.999237,4.680797338485718,0.019051287061360545,5.060011148452759,0.06441620259327062
0.040845086672185525,25,25,0.20937393222609205,1723045702.1112888,4.793007850646973,0.01915493173095964,5.172062873840332,0.060000018403145165
0.03308969975609952,26,26,0.21818423247790383,1723045702.2207274,4.9024741649627686,0.017302422257523955,5.281501531600952,0.050392122013623475
0.03180266255886217,27,27,0.21063446456845583,1723045702.331873,5.013499736785889,0.016203333460099553,5.39264702796936,0.048005996018961716
0.028627460446320214,28,28,0.1963456792565512,1723045702.4449573,5.126613616943359,0.015722036930438627,5.5057313442230225,0.04434949737675884
0.027363492156403605,29,29,0.17776745239249245,1723045702.5586946,5.240355730056763,0.01267217951743566,5.619468688964844,0.040035671673839264
0.025933198838583332,30,30,0.18602974071022368,1723045702.672363,5.354020595550537,0.011810794408806913,5.733137130737305,0.037743993247390244
0.025577222138488474,31,31,0.17951801832661846,1723045702.7808795,5.462657928466797,0.010169603378495928,5.84165358543396,0.0357468255169844
0.024358408723531157,32,32,0.17882676585601684,1723045702.8942225,5.575943946838379,0.007833041501603775,5.954996585845947,0.032191450225134935
0.021694355619886273,33,33,0.18513131675285033,1723045703.010373,5.69199013710022,0.006087755865836018,6.071147203445435,0.02778211148572229
0.02133561763711561,34,34,0.16186376890018125,1723045703.121523,5.803295135498047,0.005729329230333168,6.182296991348267,0.02706494686744878
0.0186700862276233,35,35,0.15801208202629968,1723045703.231185,5.912899732589722,0.004761791664825431,6.291959047317505,0.023431877892448733
0.018088178934886096,36,36,0.15791375564348575,1723045703.3456388,6.027277231216431,0.004960698263707862,6.406412839889526,0.023048877198593956
0.017121916673464344,37,37,0.14898176514335656,1723045703.4583354,6.14005708694458,0.004284909947558583,6.519109487533569,0.021406826621022928
0.016614499774954272,38,38,0.14316417401693518,1723045703.567832,6.24957799911499,0.003954981517744773,6.628606081008911,0.020569481292699046
0.014522021448732993,39,39,0.14291966729939407,1723045703.67815,6.35983419418335,0.004769091074007974,6.738924026489258,0.019291112522740968
0.012552655952606401,40,40,0.1152599501675971,1723045703.7900524,6.471733093261719,0.0046919635786449145,6.8508265018463135,0.017244619531251316
0.0087256902999153,42,41,0.11259830703573291,1723045704.0033011,6.685042142868042,0.005270586730957507,7.064075231552124,0.013996277030872807
