_step,_runtime,loss_boundary,loss_interior,l2_error,_timestamp,time,loss,step
0,357.32482862472534,2.639374320335948,2.2510704673150675e-06,1.0227276787269628,1723046012.3901815,356.4231758117676,2.6393765714064155,0
1,699.16055727005,1.1390638592139075,0.19775029342058295,0.7191633705605517,1723046354.2259102,698.710738658905,1.3368141526344905,1
2,1111.6236670017242,0.7101470554662158,0.314068410597983,0.6685199970454093,1723046766.68902,1111.175863981247,1.0242154660641989,2
3,1527.5293989181519,0.6411574196665707,0.35575568373937744,0.6445822567224158,1723047182.5947518,1527.0809392929077,0.9969131034059482,3
4,1980.920575618744,0.5606370015629423,0.20913944137159113,0.4212584328232997,1723047635.9859285,1980.469810962677,0.7697764429345334,4
5,2345.021562576294,0.21222000888977202,0.1357496189812752,0.2105141963528779,1723048000.0869155,2344.573224544525,0.34796962787104724,5
6,2712.1628358364105,0.02789686762867735,0.008264015907301522,0.03780365434445134,1723048367.2281888,2711.7144088745117,0.03616088353597887,6
7,3112.8083276748657,0.0007686182407583686,0.0016402122454582456,0.01730775911549589,1723048767.8736806,3112.3600137233734,0.002408830486216614,7
