loss_interior,loss,step,time,l2_error,loss_boundary,_runtime,_step,_timestamp
2.484706696701231e-05,2.992959675888267,0,1.1434800624847412,1.871634353615685,2.9929348288213,2.6287827491760254,0,1723045654.3656907
1.898625263523086e-05,2.8132273625143402,1,1.527777910232544,1.7734913499104934,2.813208376261705,2.6556549072265625,1,1723045654.3925629
1.1124100453117767e-05,2.604075442697311,2,1.5476233959197998,1.639900436132171,2.604064318596858,2.6777403354644775,2,1723045654.4146483
8.228166626870149e-06,2.231151001694463,3,1.5704281330108643,1.479770986790898,2.231142773527836,2.7003250122070312,3,1723045654.437233
1.3176597632995072e-05,2.016827647301502,4,1.5923771858215332,1.2977619538147,2.016814470703869,2.7224388122558594,4,1723045654.4593468
3.068008680813695e-05,1.6298969583816278,5,1.6140499114990234,1.1001980891313696,1.6298662782948197,2.744119644165039,5,1723045654.4810276
6.477927088622217e-05,1.1963745466589755,6,1.6359803676605225,0.898655070982603,1.1963097673880891,2.766061544418335,6,1723045654.5029695
0.00011770771655633661,0.876794620402926,7,1.6586039066314697,0.7186073046613957,0.8766769126863697,2.788447380065918,7,1723045654.5253553
0.0002052045645562384,0.6676701039744498,8,1.6810882091522217,0.6186705167126957,0.6674648994098936,2.8108091354370117,8,1723045654.547717
0.00034052538466204966,0.5032003693071809,9,1.7021737098693848,0.6729841438514317,0.5028598439225189,2.830278158187866,9,1723045654.567186
0.0005247904901212959,0.3279469063860848,10,1.7219653129577637,0.8584641705996973,0.32742211589596354,2.8500611782073975,10,1723045654.5869691
0.0006758486436040577,0.34197322684443887,11,1.7414135932922363,1.0877362779642055,0.34129737820083483,2.869619369506836,11,1723045654.6065273
0.0007891151814557163,0.4497468575946785,12,1.760815143585205,1.2842936981980928,0.4489577424132228,2.890380859375,12,1723045654.6272888
0.0008270566533733433,0.5935781813216545,13,1.781660556793213,1.3964592600500945,0.5927511246682812,2.9100399017333984,13,1723045654.6469479
0.0007153972959209159,0.6650130971817092,14,1.8009006977081299,1.4100733399864556,0.6642976998857882,2.9291720390319824,14,1723045654.66608
0.0006794170137922553,0.6616345903301964,15,1.8201899528503418,1.3316905459565964,0.6609551733164042,2.9483237266540527,15,1723045654.6852317
0.0008662833927614881,0.6106032360101621,16,1.8392391204833984,1.1854176461746266,0.6097369526174006,2.96730375289917,16,1723045654.7042117
0.0015150308406697646,0.462080781554716,17,1.8583261966705322,1.0155097298278228,0.4605657507140462,2.9863340854644775,17,1723045654.723242
0.0025733410743609187,0.4233060334290362,18,1.8782470226287842,0.8527965819936628,0.4207326923546753,3.005402088165283,18,1723045654.74231
0.003876438545023836,0.3375109287759924,19,1.8980131149291992,0.7244802907991719,0.3336344902309686,3.0293684005737305,19,1723045654.7662764
0.0052915839743766695,0.33449048976277374,20,1.924043893814087,0.6441592318185536,0.32919890578839706,3.0520308017730713,20,1723045654.7889388
0.006528973522160616,0.37334075075854983,21,1.9441382884979248,0.6089813719476957,0.3668117772363892,3.071300983428955,21,1723045654.808209
0.007626086424192865,0.407333826978586,22,1.9626939296722412,0.6009815714327518,0.3997077405543931,3.090663433074951,22,1723045654.8275714
0.008614263763167802,0.42437484815950777,23,1.9812581539154053,0.6009511152170077,0.41576058439633995,3.1093297004699707,23,1723045654.8462377
0.009676015532689477,0.4561888584844268,24,2.000652551651001,0.599453579916028,0.4465128429517373,3.128584861755371,24,1723045654.8654928
0.010628602923196926,0.44099270805709984,25,2.0196125507354736,0.5949794042672504,0.4303641051339029,3.147625684738159,25,1723045654.8845336
0.011654843313750649,0.43559655021003774,26,2.0385096073150635,0.5910860708460073,0.4239417068962871,3.166628837585449,26,1723045654.9035368
0.012873525530584231,0.42935886918313,27,2.05838680267334,0.5943526248496184,0.41648534365254575,3.1862144470214844,27,1723045654.9231224
0.014179976304707272,0.3726752474978734,28,2.0782692432403564,0.6108331100330918,0.3584952711931661,3.206181526184082,28,1723045654.9430895
0.015438682397856623,0.35720581580588984,29,2.097466468811035,0.6412543860090891,0.3417671334080332,3.2254364490509033,29,1723045654.9623444
0.016942644022395724,0.34342574044806384,30,2.116673231124878,0.6836855598430526,0.32648309642566814,3.244561195373535,30,1723045654.9814692
0.018375788485860058,0.32576918253358145,31,2.1360268592834473,0.7313325462191631,0.30739339404772137,3.263908863067627,31,1723045655.0008168
0.0195340477092933,0.32381849581117694,32,2.1550745964050293,0.7775331178613426,0.30428444810188365,3.2831482887268066,32,1723045655.0200562
0.020977444939982638,0.31389832807486734,33,2.174233913421631,0.8139059151855789,0.2929208831348847,3.302138090133667,33,1723045655.039046
0.021675468923742537,0.31794899782661107,34,2.193011522293091,0.8378039091861819,0.2962735289028685,3.3209547996520996,34,1723045655.0578628
0.022257543042238648,0.3315276803239428,35,2.2115478515625,0.8450365701261439,0.30927013728170416,3.3395931720733643,35,1723045655.0765011
0.022800799140122223,0.3615031690455304,36,2.231421947479248,0.8386548367853995,0.3387023699054082,3.359255075454712,36,1723045655.096163
0.02317312875182268,0.3382496303909686,37,2.2510945796966553,0.8191488722823408,0.3150765016391459,3.3791282176971436,37,1723045655.1160362
0.023640131565936955,0.34414179175430587,38,2.270291805267334,0.7900567577558363,0.3205016601883689,3.398301601409912,38,1723045655.1352096
0.023676364355201967,0.3499717642629926,39,2.289583206176758,0.7547681789681255,0.3262953999077906,3.4175381660461426,39,1723045655.1544461
0.024319541432450607,0.3095786385777952,40,2.3084630966186523,0.7178639052201506,0.2852590971453446,3.4365336894989014,40,1723045655.1734416
