time,_timestamp,loss_interior,loss,step,_step,_runtime,l2_error,loss_boundary
1.6712286472320557,1723045654.9228508,0.0006522653040536535,3.1243397321180804,0,0,3.0354528427124023,1.9367039530300656,3.123687466814027
2.053337574005127,1723045654.9479146,0.001107318967247707,2.9390816808755518,1,1,3.060516595840454,1.889673667611274,2.937974361908304
2.07574725151062,1723045654.9706347,0.0017013101369350197,2.821754374832435,2,2,3.0832366943359375,1.8415302607497481,2.8200530646955
2.098334312438965,1723045654.9933488,0.002383690694188638,2.7791169985734463,3,3,3.1059508323669434,1.7920105138645868,2.7767333078792578
2.1199684143066406,1723045655.0153189,0.003199958253859233,2.676951286605321,4,4,3.1279208660125732,1.7407870358853486,2.673751328351462
2.1416923999786377,1723045655.036936,0.004044104237833398,2.502411424590039,5,5,3.149538040161133,1.6875374274671728,2.4983673203522057
2.1632320880889893,1723045655.058434,0.005021269526360716,2.431828122235541,6,6,3.1710360050201416,1.6318694574409245,2.4268068527091806
2.1847550868988037,1723045655.0800443,0.0061327853748399785,2.3061672445729537,7,7,3.1926462650299072,1.5734705199145336,2.300034459198114
2.206000804901123,1723045655.1014428,0.007397356783430561,2.1955400020932805,8,8,3.2140448093414307,1.5119992891762526,2.18814264530985
2.227506637573242,1723045655.1229258,0.008739543996813278,1.9736162246681623,9,9,3.235527753829956,1.4473096218626345,1.9648766806713491
2.249573230743408,1723045655.1450548,0.010339220225149222,1.9154940386840968,10,10,3.2576568126678467,1.379240401905565,1.9051548184589475
2.272336721420288,1723045655.167724,0.011633925244585787,1.77705471988935,11,11,3.2803258895874023,1.3078749334063655,1.7654207946447642
2.295572280883789,1723045655.1927037,0.01353489858684229,1.704128949019364,12,12,3.3053057193756104,1.2334400296633345,1.6905940504325219
2.319531202316284,1723045655.2149916,0.015519527207558075,1.553971389291674,13,13,3.3275935649871826,1.1565298937065747,1.5384518620841159
2.3409836292266846,1723045655.2344673,0.017267225045525792,1.4609886446488238,14,14,3.347069263458252,1.0779604303539512,1.4437214196032981
2.3605055809020996,1723045655.2539968,0.019089965626661726,1.2358737181193038,15,15,3.3665988445281982,0.9992380589874209,1.2167837524926421
2.3797647953033447,1723045655.2734766,0.020653307109978744,1.1971379259035497,16,16,3.3860785961151123,0.9219260193232841,1.176484618793571
2.3989405632019043,1723045655.2928524,0.022252273306441726,0.9961929009477936,17,17,3.405454397201538,0.8485959149334479,0.9739406276413518
2.418501138687134,1723045655.3123677,0.023790112109872676,0.9198571456812253,18,18,3.4249696731567383,0.7819697218702625,0.8960670335713526
2.437913417816162,1723045655.331726,0.02455339176838197,0.7819102934150638,19,19,3.4443280696868896,0.7253531873471987,0.7573569016466818
2.458124876022339,1723045655.3516757,0.024553074956591234,0.7201244035365798,20,20,3.464277744293213,0.6820310475404148,0.6955713285799886
2.478489398956299,1723045655.3719568,0.025302363545089187,0.6109354977756044,21,21,3.4845588207244873,0.6551269076921445,0.5856331342305152
2.498966932296753,1723045655.3924308,0.024807514757129296,0.5616488024131574,22,22,3.505032777786255,0.6461445686246879,0.5368412876560281
2.518707752227783,1723045655.4122953,0.024206452773894757,0.5058525199810934,23,23,3.524897336959839,0.654597315670807,0.4816460672071986
2.538097858428955,1723045655.4317832,0.02333962995722761,0.4797202248331314,24,24,3.5443851947784424,0.6780543142836716,0.4563805948759038
2.55713152885437,1723045655.450934,0.021479321143728553,0.3809124198736814,25,25,3.5635359287261963,0.7119936197403127,0.3594330987299529
2.5767951011657715,1723045655.4703908,0.020496849508793717,0.38687853979359477,26,26,3.5829927921295166,0.7522345791146271,0.36638169028480105
2.5960452556610107,1723045655.4896605,0.019051889234010775,0.38483764235960977,27,27,3.602262496948242,0.7956656564892733,0.36578575312559897
2.615353584289551,1723045655.5087957,0.017748036536619858,0.36264543806787686,28,28,3.6213977336883545,0.8391723860242779,0.344897401531257
2.6344082355499268,1723045655.5281436,0.015746883090361746,0.38621346124245387,29,29,3.6407456398010254,0.8795168412797215,0.3704665781520921
2.654452323913574,1723045655.5480003,0.014265349822064595,0.41826259054983744,30,30,3.660602331161499,0.914804496448099,0.4039972407277728
2.674755811691284,1723045655.5680776,0.013237748076843395,0.3922308485174,31,31,3.6806795597076416,0.9448033149676918,0.37899310044055656
2.6953139305114746,1723045655.5886486,0.011381833748726412,0.3839193503169207,32,32,3.7012505531311035,0.9682595645071167,0.3725375165681943
2.715524435043335,1723045655.6088867,0.010265041845180381,0.4132084669594707,33,33,3.7214887142181396,0.9850186573408417,0.4029434251142903
2.735034465789795,1723045655.6286082,0.009201715534856603,0.39748412908423314,34,34,3.7412102222442627,0.9943728469761794,0.38828241354937654
2.7546229362487793,1723045655.648278,0.00841099374897382,0.38692207729608674,35,35,3.7608799934387207,0.997882956946684,0.37851108354711294
2.7741589546203613,1723045655.6678116,0.007204987967406157,0.4295389109588478,36,36,3.7804136276245117,0.9953774465687175,0.4223339229914416
2.793088674545288,1723045655.6868758,0.006044215887035546,0.39930044378462703,37,37,3.7994778156280518,0.9872795889506408,0.3932562278975915
2.812922477722168,1723045655.706645,0.005315077075779331,0.39130521102005855,38,38,3.819247007369995,0.9752045671493909,0.3859901339442792
2.8327488899230957,1723045655.7263317,0.004578179717486377,0.38801906296648125,39,39,3.8389337062835693,0.9594484622466196,0.3834408832489949
2.852334499359131,1723045655.7459905,0.004031608122233993,0.4247115451551079,40,40,3.8585925102233887,0.9398971929351156,0.42067993703287393
2.8892340660095215,1723045655.7828188,0.002916043475997546,0.4032952147575393,42,41,3.895420789718628,0.893305288410352,0.40037917128154177
