loss,loss_boundary,_step,_runtime,l2_error,loss_interior,step,time,_timestamp
2.631392111380915,2.631385783201568,0,49.83431673049927,1.8040036625539058,6.3281793471193575e-06,0,49.062551736831665,1723045725.5794587
2.635349792024986,2.635260769448849,1,100.63027954101562,1.0204298097488065,8.902257613724355e-05,1,100.21203303337097,1723045776.3754215
0.819220180907114,0.7548632444003293,2,144.37827801704407,0.5112324631117199,0.06435693650678473,2,143.96021008491516,1723045820.12342
0.3768072256606095,0.2256569337439944,3,188.44127583503723,0.32513034490552134,0.15115029191661508,3,188.02294921875,1723045864.1864178
0.11306921593224775,0.10569099081373523,4,246.5245440006256,0.17311002931652192,0.007378225118512525,4,246.10506224632263,1723045922.269686
0.04042431494890357,0.030497641906487367,5,292.06981682777405,0.11815910451809923,0.009926673042416205,5,291.6515460014343,1723045967.8149588
0.01918346368156106,0.014847591667085795,6,337.6139106750488,0.018366717846655348,0.004335872014475265,6,337.1953692436218,1723046013.3590527
0.0023872489678947104,0.00044190880542852295,7,381.44564628601074,0.009188434434903121,0.0019453401624661873,7,381.02742075920105,1723046057.1907883
0.00023805890524370313,9.13170438282794e-05,8,425.8256709575653,0.0061419792915205895,0.00014674186141542373,8,425.40717124938965,1723046101.570813
2.186158094897528e-05,1.6086820255524464e-05,9,465.1964728832245,0.0025162024600723226,5.774760693450817e-06,9,464.77818179130554,1723046140.9416149
7.461998299388849e-06,4.480255898556163e-06,10,509.3566508293152,0.001512559851806199,2.981742400832686e-06,10,508.9378001689911,1723046185.1017928
4.810841539506926e-06,2.8888810526915955e-06,11,559.0358648300171,0.0018787176645169035,1.92196048681533e-06,11,558.6176345348358,1723046234.7810068
3.6631180502815874e-06,2.4360849115672375e-06,12,603.3196413516998,0.0011846820538125027,1.2270331387143499e-06,12,602.9015982151031,1723046279.0647833
2.4188355609185957e-06,1.4149407727751113e-06,13,644.7882571220398,0.001074818595052559,1.0038947881434844e-06,13,644.370091676712,1723046320.533399
1.9219701561038637e-06,1.1389724526952457e-06,14,688.3579134941101,0.0008862325797534254,7.829977034086179e-07,14,687.9399049282074,1723046364.1030555
1.4417995911909557e-06,7.572887057971067e-07,15,733.5631139278412,0.000948991507809107,6.845108853938489e-07,15,733.1448590755463,1723046409.308256
1.3899503290188833e-06,7.456537120079868e-07,16,777.9858458042145,0.0007608435957013483,6.442966170108965e-07,16,777.5673687458038,1723046453.7309878
1.0694017251391807e-06,5.581390119640052e-07,17,823.6643359661102,0.0006913635414392408,5.112627131751757e-07,17,823.2461123466492,1723046499.409478
9.427115333669951e-07,5.152705373695533e-07,18,866.1404700279236,0.0006394288280613767,4.2744099599744184e-07,18,865.7220544815063,1723046541.885612
7.699577414504758e-07,3.4997510494272246e-07,19,911.6584532260895,0.0005849060163858437,4.199826365077533e-07,19,911.240118265152,1723046587.4035952
6.22112478862286e-07,2.786286964230841e-07,20,953.967054605484,0.0005711276544989506,3.4348378243920184e-07,20,953.5490148067474,1723046629.7121966
6.627297405372166e-07,3.332637676657205e-07,21,997.1393795013428,0.0005076679128677325,3.2946597287149616e-07,21,996.7209875583649,1723046672.8845215
4.858961891608813e-07,2.3641178836866943e-07,22,1037.835304737091,0.0005584799912693187,2.4948440079221187e-07,22,1037.4161105155945,1723046713.5804467
5.450096410604451e-07,2.7952567559359656e-07,23,1083.9605550765991,0.0005166822390610092,2.654839654668486e-07,23,1083.5423347949982,1723046759.705697
4.6936613887681843e-07,2.2837675214419686e-07,24,1126.0393249988556,0.0004160003750049399,2.409893867326216e-07,24,1125.6207830905914,1723046801.784467
3.4229257119397556e-07,1.7283520730401612e-07,25,1172.3845324516296,0.00041423134908354396,1.694573638899594e-07,25,1171.9663410186768,1723046848.1296744
3.9874918952619393e-07,2.1554695933157724e-07,26,1225.6019010543823,0.0003999163815458081,1.832022301946167e-07,26,1225.1835916042328,1723046901.347043
3.2394405096230503e-07,1.4770116268436817e-07,27,1270.5502603054047,0.0004363894525296459,1.7624288827793686e-07,27,1270.130891084671,1723046946.2954023
3.55433363736522e-07,1.918714467732309e-07,28,1318.526736497879,0.00037022397971653455,1.635619169632911e-07,28,1318.1054646968842,1723046994.2718785
2.5508043238890936e-07,1.0252338313463713e-07,29,1361.2625396251678,0.000409319501090963,1.5255704925427225e-07,29,1360.8442833423615,1723047037.0076816
3.4021222319514646e-07,1.6320492546383308e-07,30,1403.3815388679504,0.00033993793125195387,1.7700729773131335e-07,30,1402.9612646102905,1723047079.1266809
2.349739854332999e-07,1.1252187189087469e-07,31,1450.0922102928162,0.0003891865904435749,1.224521135424252e-07,31,1449.6737577915192,1723047125.8373523
2.7182759021159075e-07,1.4202828422709798e-07,32,1492.8318512439728,0.0003636554609717296,1.2979930598449277e-07,32,1492.413492679596,1723047168.5769932
2.6427290233164507e-07,1.2974490973191944e-07,33,1531.7754850387573,0.0003191126922464263,1.3452799259972563e-07,33,1531.3572499752045,1723047207.520627
2.254886806974243e-07,1.1007889349538401e-07,34,1577.286690711975,0.00032620821301169154,1.1540978720204026e-07,34,1576.8665409088135,1723047253.0318327
2.24401746247905e-07,1.1266130519099971e-07,35,1620.3235566616058,0.00033627940936693774,1.1174044105690529e-07,35,1619.9048132896423,1723047296.0686986
1.9488641704376317e-07,8.366941217550338e-08,36,1664.12073802948,0.000271921549348355,1.1121700486825979e-07,36,1663.701111793518,1723047339.86588
1.7662873113520863e-07,7.923340875269316e-08,37,1706.2436418533325,0.00028521467066914207,9.739532238251547e-08,37,1705.8240933418274,1723047381.9887838
