step,time,_timestamp,loss_interior,loss,loss_boundary,_step,_runtime,l2_error
0,0.9699981212615967,1723045654.0685976,0.00037414547225684495,2.766838655504229,2.7664645100319722,0,2.6897904872894287,1.8044105959022254
1,1.2331197261810303,1723045654.0918894,0.0006154064047593465,2.618683227451971,2.6180678210472115,1,2.7130823135375977,1.75019138380168
2,1.2545998096466064,1723045654.1137369,0.0009230984875064916,2.56659327804177,2.565670179554264,2,2.7349298000335693,1.6948746710224005
3,1.2765886783599854,1723045654.1355045,0.001305174409068784,2.4738808415403613,2.4725756671312924,3,2.756697416305542,1.6378577359142557
4,1.2981762886047363,1723045654.157291,0.0017698891023573372,2.2199566629872742,2.218186773884917,4,2.7784838676452637,1.578802163753474
5,1.3198304176330566,1723045654.1791232,0.0023356706913079937,2.1897463672629405,2.1874106965716327,5,2.800316095352173,1.5171944196848968
6,1.3412656784057617,1723045654.2008185,0.0030018275132413217,2.003115509511069,2.000113681997828,6,2.8220114707946777,1.4528153373387318
7,1.3632745742797852,1723045654.2227106,0.0037318689186529447,1.9372624462921293,1.9335305773734763,7,2.8439035415649414,1.3854600288909993
8,1.3850445747375488,1723045654.2444305,0.004641712995378013,1.7720796408430592,1.7674379278476813,8,2.8656234741210938,1.315115020973875
9,1.4071340560913086,1723045654.2666006,0.005603613362140786,1.6691077852229563,1.6635041718608155,9,2.88779354095459,1.2419105496908707
10,1.4293320178985596,1723045654.2888708,0.006749232111013821,1.5762785523301057,1.5695293202190919,10,2.9100637435913086,1.1661138052081823
11,1.451585292816162,1723045654.3112514,0.00813562864392993,1.4429339036831785,1.4347982750392485,11,2.9324443340301514,1.0882520259481974
12,1.4739940166473389,1723045654.335034,0.009512555869612567,1.3114343771354309,1.3019218212658183,12,2.9562268257141113,1.0093165505520678
13,1.4977293014526367,1723045654.357399,0.011000805639137226,1.1816421130680586,1.1706413074289213,13,2.9785919189453125,0.9306365790544342
14,1.5200626850128174,1723045654.3780825,0.012601610244919409,1.0428089782279566,1.0302073679830372,14,2.9992754459381104,0.854213228981305
15,1.5407626628875732,1723045654.3983736,0.014219749457501308,0.9645868513653318,0.9503671019078306,15,3.019566535949707,0.7825224034660841
16,1.560744285583496,1723045654.418565,0.015532835183172125,0.7969770996425584,0.7814442644593862,16,3.0397579669952393,0.7190071627447197
17,1.580817461013794,1723045654.4386733,0.0173567112603834,0.656225199372882,0.6388684881124986,17,3.059866189956665,0.6674704916624448
18,1.60166335105896,1723045654.4589508,0.018312555864164234,0.6438238469407543,0.6255112910765901,18,3.080143690109253,0.6313492435340162
19,1.6214816570281982,1723045654.479104,0.019666955335411036,0.536344297964623,0.5166773426292119,19,3.100296974182129,0.6135716724318063
20,1.6415033340454102,1723045654.499167,0.020011840932224405,0.47184603779096307,0.45183419685873866,20,3.1203598976135254,0.6149512619819858
21,1.6615386009216309,1723045654.5192153,0.01970328538701842,0.4615342892818172,0.4418310038947988,21,3.1404082775115967,0.6338814579207455
22,1.6816508769989014,1723045654.5393515,0.020509188280746677,0.39721897835419134,0.3767097900734447,22,3.1605443954467773,0.666495133614948
23,1.701944351196289,1723045654.5595405,0.020602511633241664,0.38894553274510635,0.3683430211118647,23,3.1807334423065186,0.7085546696775623
24,1.7221086025238037,1723045654.5798016,0.02049512816408629,0.3423547077368752,0.32185957957278893,24,3.2009944915771484,0.7552826311751355
25,1.7426445484161377,1723045654.6001952,0.019980833284667966,0.36117737981971865,0.34119654653505066,25,3.221388101577759,0.8027113043638195
26,1.763352394104004,1723045654.6208947,0.01915653401781595,0.3267377103570677,0.30758117633925175,26,3.2420876026153564,0.8474686055984187
27,1.784010410308838,1723045654.6415017,0.01798981496215915,0.35864474686806913,0.34065493190590995,27,3.2626945972442627,0.8875944515319498
28,1.8047170639038086,1723045654.6621876,0.01738088899163541,0.3871678013918786,0.3697869124002432,28,3.2833805084228516,0.9219885681567596
29,1.824998378753662,1723045654.6826603,0.016160496819536265,0.3724313009168271,0.35627080409729084,29,3.3038532733917236,0.948238495337304
30,1.8468680381774902,1723045654.703933,0.015015465676125463,0.41481083513436395,0.3997953694582385,30,3.3251259326934814,0.9662966099582416
31,1.8667113780975342,1723045654.7241664,0.014182636576012674,0.376928183287212,0.36274554671119935,31,3.3453593254089355,0.9773060342707361
32,1.8868486881256104,1723045654.7444746,0.012535134206289898,0.4014128514416595,0.3888777172353696,32,3.3656675815582275,0.9803613323483521
33,1.9071216583251953,1723045654.764883,0.01124812354179067,0.3708196666160643,0.35957154307427364,33,3.386075973510742,0.9769860526964105
34,1.9280719757080078,1723045654.7855053,0.010210407068515979,0.4010726869815452,0.3908622799130292,34,3.406698226928711,0.9671381695842396
35,1.9490606784820557,1723045654.8061779,0.009070717503396802,0.3900346114982568,0.38096389399485997,35,3.42737078666687,0.9516931931522127
36,1.9708781242370605,1723045654.827762,0.007901287127420149,0.3727053748229035,0.36480408769548334,36,3.4489548206329346,0.9315580589588641
37,1.990462064743042,1723045654.8479354,0.006545452766287886,0.3725599821752978,0.3660145294090099,37,3.469128370285034,0.9083084860353927
38,2.010939121246338,1723045654.8682954,0.005283338156542528,0.37213767927753055,0.366854341120988,38,3.489488363265991,0.8821397178273798
39,2.030930995941162,1723045654.8884435,0.004474210398379822,0.3387223515892688,0.33424814119088897,39,3.509636402130127,0.8547551032742634
40,2.050966262817383,1723045654.9084837,0.0035029782465115763,0.3351690759499115,0.33166609770339994,40,3.529676675796509,0.8266643821914759
42,2.0862743854522705,1723045654.9439762,0.0018854978291933553,0.3085924527432877,0.3067069549140944,41,3.565169095993042,0.7691296529262883
46,2.1542155742645264,1723045655.011636,0.0006405053251948768,0.31393603935244685,0.31329553402725197,42,3.632828950881958,0.6678147417278835
50,2.2224044799804688,1723045655.0799038,0.0026005839355217105,0.2719382925285185,0.26933770859299677,43,3.701096773147583,0.6018279944902446
55,2.3065555095672607,1723045655.164286,0.008730252195533552,0.2965179809208775,0.28778772872534397,44,3.7854788303375244,0.5644628060763827
61,2.407869338989258,1723045655.2655313,0.014960696176381575,0.2626015059134257,0.2476408097370441,45,3.8867242336273193,0.5766326697509323
67,2.509467124938965,1723045655.3671088,0.014367419282530467,0.23154422891431928,0.21717680963178881,46,3.9883017539978027,0.6261886060720163
73,2.6105196475982666,1723045655.4681156,0.011472054168782265,0.25966573987908714,0.2481936857103049,47,4.089308500289917,0.6484401329728411
