time,_runtime,_timestamp,loss_boundary,loss_interior,loss,step,_step,l2_error
1.6284832954406738,2.313723087310791,1723045699.2540362,2.515194173220324,0.00033220436291789117,2.515526377583242,0,0,1.7781786242408162
2.015516996383667,2.4466331005096436,1723045699.3869462,2.5151872398999076,0.0003322032730440968,2.5155194431729515,1,1,0.7287025496496282
2.1434972286224365,2.5744712352752686,1723045699.5147843,0.3059699243483384,0.00020864347999423804,0.30617856782833264,2,2,0.5866758728814011
2.255722761154175,2.6860013008117676,1723045699.6263144,0.22420355074195186,0.04978445337723002,0.2739880041191819,3,3,0.6800624300105684
2.3649485111236572,2.795081853866577,1723045699.735395,0.23204661495696627,0.02914344861983469,0.26119006357680097,4,4,0.6375159137025556
2.4802234172821045,2.9102942943573,1723045699.8506074,0.23506903717241773,0.0034460408758763728,0.2385150780482941,5,5,0.4749368367545992
2.5777697563171387,3.007784366607666,1723045699.9480975,0.1588143401564818,0.06835734973361988,0.22717168989010167,6,6,0.5290537555325623
2.6756651401519775,3.1057090759277344,1723045700.0460222,0.1624642798926649,0.02052355185510665,0.18298783174777156,7,7,0.5609108295024502
2.773291826248169,3.2034823894500732,1723045700.1437955,0.16267652543969682,0.018815387755016,0.18149191319471283,8,8,0.47407497445722685
2.8723392486572266,3.303995132446289,1723045700.2443082,0.14566623550884317,0.013170313780376747,0.15883654928921992,9,9,0.5123246703362205
2.971737861633301,3.4021148681640625,1723045700.342428,0.14387175766493432,0.011277510542006952,0.15514926820694128,10,10,0.38275515131012966
3.07942795753479,3.5098986625671387,1723045700.4502118,0.10832295803870363,0.03459055311313449,0.14291351115183812,11,11,0.4409046336268342
3.1847035884857178,3.6154661178588867,1723045700.5557792,0.1132582163036065,0.02407633815761187,0.13733455446121837,12,12,0.42467783655548036
3.2963476181030273,3.726975679397583,1723045700.6672888,0.11710083739121635,0.016224964535738334,0.13332580192695467,13,13,0.44727191089836915
3.4076452255249023,3.838253974914551,1723045700.778567,0.11240956097002579,0.014035693449591784,0.12644525441961757,14,14,0.4233315866642078
3.518294095993042,3.9488954544067383,1723045700.8892086,0.10968287325822994,0.015644856537252564,0.1253277297954825,15,15,0.43164607429845936
3.6286609172821045,4.059237718582153,1723045700.9995508,0.10840053060317939,0.00871411801478552,0.11711464861796492,16,16,0.3453412903336813
3.7402093410491943,4.170774698257446,1723045701.1110878,0.0909774276695686,0.015098003356098028,0.10607543102566662,17,17,0.3285489675885467
3.8506581783294678,4.281203269958496,1723045701.2215164,0.07320709926925659,0.020525942424530038,0.09373304169378663,18,18,0.30981032821305354
3.961505889892578,4.392062664031982,1723045701.3323758,0.06692998258162575,0.018342423693262604,0.08527240627488836,19,19,0.34372415627864816
4.072880506515503,4.503576278686523,1723045701.4438894,0.06688263550343615,0.01627965191785382,0.08316228742128998,20,20,0.31533018081217284
4.184391498565674,4.614925146102905,1723045701.5552382,0.06156298625551178,0.0126183699912025,0.07418135624671428,21,21,0.33589569760870785
4.294566631317139,4.7252113819122314,1723045701.6655245,0.06230406301728772,0.011032956440203823,0.07333701945749155,22,22,0.30341464594882356
4.40493631362915,4.835538148880005,1723045701.7758512,0.05332313252943989,0.013869612456186776,0.06719274498562666,23,23,0.3150006554932065
4.51487135887146,4.945436716079712,1723045701.8857498,0.05351094842956073,0.011794702509583819,0.06530565093914455,24,24,0.24610681126949127
4.626128673553467,5.056750535964966,1723045701.9970636,0.04573050759284844,0.013650279447630259,0.0593807870404787,25,25,0.24035173845728444
4.738138675689697,5.168821573257446,1723045702.1091347,0.03630108867998382,0.017160081552992618,0.05346117023297644,26,26,0.1990976646960481
4.853759765625,5.284230470657349,1723045702.2245436,0.031067800630249977,0.018505644419286024,0.049573445049536,27,27,0.19966317059234628
4.963684797286987,5.394095182418823,1723045702.3344083,0.03032933763580246,0.014150955111377917,0.04448029274718038,28,28,0.17843227419806765
5.071627378463745,5.502134323120117,1723045702.4424474,0.02962955016926607,0.013302768266997523,0.04293231843626359,29,29,0.19083504030161846
5.181943655014038,5.612657070159912,1723045702.5529702,0.027499226564644347,0.012946293625792006,0.04044552019043635,30,30,0.18766443551893733
5.292405366897583,5.72307276725769,1723045702.6633859,0.026759258055910423,0.012757048781762847,0.03951630683767327,31,31,0.18918487507938772
5.402571678161621,5.833129167556763,1723045702.7734423,0.025518658335093442,0.01149505675650978,0.03701371509160322,32,32,0.17634224300873275
5.513497352600098,5.944138050079346,1723045702.8844512,0.02511342501346693,0.01137848030279098,0.036491905316257914,33,33,0.17426288643773152
5.624551773071289,6.055196046829224,1723045702.9955091,0.024649656619311715,0.010629423966236853,0.03527908058554857,34,34,0.17193344887503687
5.735300779342651,6.165933847427368,1723045703.106247,0.02314466582042133,0.007872248510053182,0.031016914330474512,35,35,0.17937170266184965
5.845002889633179,6.275510311126709,1723045703.2158234,0.022440140956928832,0.007877145794176867,0.030317286751105697,36,36,0.1972096509071811
5.95610785484314,6.386646032333374,1723045703.3269591,0.022391275958477407,0.006217200798547845,0.028608476757025252,37,37,0.18117371767095988
6.065821170806885,6.496332168579102,1723045703.4366453,0.02120170370936825,0.005793898980030376,0.026995602689398625,38,38,0.17794856398075784
6.176951885223389,6.607475280761719,1723045703.5477884,0.019951895446339254,0.005614889979410096,0.02556678542574935,39,39,0.1775948554200942
6.288243055343628,6.7188193798065186,1723045703.6591325,0.019451167001519595,0.0057851745485636465,0.025236341550083242,40,40,0.18421677201572365
6.504405498504639,6.93478536605835,1723045703.8750985,0.016359040754547843,0.006193150593489577,0.022552191348037418,42,41,0.15066177430273542
