_step,_runtime,loss_interior,step,time,loss,loss_boundary,l2_error,_timestamp
64,8.938958644866943,0.014883079955888808,369,7.545950889587402,0.06517459563523735,0.05029151567934854,0.30029429546639036,1723045659.4931426
65,9.55031967163086,0.011672260579895318,406,8.157163381576538,0.051157092780443156,0.03948483220054784,0.2510106486038451,1723045660.1045036
66,10.194735050201416,0.00820206986490728,446,8.801614999771118,0.03798160878094245,0.029779538916035173,0.20842519043652843,1723045660.748919
67,10.922889709472656,0.007103258724216565,491,9.52984881401062,0.02882076489847233,0.021717506174255764,0.182707716555928,1723045661.4770737
68,11.716577768325806,0.006730156938101189,540,10.323872089385986,0.025316713487517916,0.018586556549416728,0.15038775455133652,1723045662.2707617
69,12.589274644851685,0.005976431407598952,594,11.1965012550354,0.02144670830310473,0.015470276895505777,0.15192218905091934,1723045663.1434586
70,13.562541961669922,0.0055116318551542,653,12.169976711273193,0.017885734438366687,0.012374102583212487,0.14864723406833683,1723045664.116726
71,14.628163814544678,0.004403207089555236,718,13.235242128372192,0.01492523550839103,0.010522028418835793,0.12436901578509349,1723045665.1823478
72,15.804752349853516,0.0036778768607581237,790,14.41164755821228,0.012309686449970787,0.008631809589212662,0.11149531690827343,1723045666.3589363
73,17.079925775527954,0.0027951266315318197,869,15.687626600265503,0.009649957201307225,0.006854830569775406,0.10735347076378013,1723045667.6341097
74,18.51214838027954,0.002462160003225133,956,17.118801593780518,0.007716652537874406,0.005254492534649272,0.08809164636845404,1723045669.0663323
75,20.069626808166504,0.0018945324019830165,1052,18.676836729049683,0.005375926966157051,0.0034813945641740344,0.06785213224877534,1723045670.6238108
76,21.8236243724823,0.0014154541049951608,1157,20.430912256240845,0.004323444403845511,0.00290799029885035,0.05447028593482236,1723045672.3778083
77,23.762370824813843,0.0012180758487832701,1272,22.369049787521362,0.004317068169816834,0.0030989923210335635,0.047907703642697974,1723045674.3165548
78,25.911016941070557,0.0011843277250168465,1400,24.518261671066284,0.0029848944798661035,0.0018005667548492573,0.04283398201201213,1723045676.465201
79,28.249122858047485,0.0009422402967962468,1539,26.856287240982056,0.0026356212066437775,0.0016933809098475306,0.04223904815489958,1723045678.8033068
80,30.8354332447052,0.0008690162730146829,1693,29.44247078895569,0.0024624089070987036,0.0015933926340840206,0.044780468539010555,1723045681.3896172
81,33.69572186470032,0.0008012760801107266,1863,32.30304455757141,0.002454669784382742,0.0016533937042720155,0.036381254551984016,1723045684.2499058
82,36.841100215911865,0.0006918692130330794,2049,35.44848656654358,0.001793012222796012,0.0011011430097629326,0.04022413805817855,1723045687.3952842
83,40.362508058547974,0.0005498901472564919,2254,38.96934199333191,0.0015216451652537014,0.0009717550179972096,0.034267818546807514,1723045690.916692
84,44.13718795776367,0.0005118185357646843,2479,42.743545055389404,0.0014058476485647921,0.0008940291128001078,0.03096983670344114,1723045694.691372
85,48.36990261077881,0.0004490644352756881,2727,46.97679114341736,0.0014128068161370067,0.0009637423808613186,0.03589733779022996,1723045698.9240866
