loss,_step,_timestamp,loss_boundary,l2_error,step,_runtime,time,loss_interior
2.6393765714064155,0,1723045720.6873477,2.639374320335948,1.7700203881527716,0,40.20854473114014,37.60924315452576,2.2510704673150675e-06
2.475896211034201,1,1723045757.3233638,2.474268091416335,1.1194794761596345,1,76.84456086158752,74.63253545761108,0.001628119617866112
1.28753424378967,2,1723045794.2066102,1.1565674320450468,0.5383003847446619,2,113.72780728340149,111.51555633544922,0.13096681174462318
0.5560499646818045,3,1723045831.1437948,0.4375039397529838,0.36248942249119115,3,150.66499185562134,148.45274090766907,0.11854602492882066
0.26620255295136674,4,1723045867.923616,0.1863484371581311,0.3218845742561575,4,187.44481301307678,185.23255014419556,0.07985411579323563
0.11931624610792127,5,1723045904.6483903,0.10233077218203292,0.11247510851607373,5,224.16958737373352,221.95764231681824,0.016985473925888353
0.007554619584941989,6,1723045941.485476,0.005200302163262176,0.028273613334017858,6,261.0066730976105,258.7947635650635,0.0023543174216798133
0.0006146673175320694,7,1723045978.307509,0.0004397876285523275,0.013841926963726457,7,297.82870602607727,295.6167106628418,0.00017487968897974185
0.00023152783481477558,8,1723046015.1392417,0.00013675173789242772,0.0039052012991565277,8,334.66043877601624,332.4481191635132,9.477609692234786e-05
1.6604487022220948e-05,9,1723046052.0897636,9.25053082936192e-06,0.002655093242930942,9,371.6109607219696,369.3989555835724,7.353956192859029e-06
1.1399937510093568e-05,10,1723046088.8970125,6.476432024237717e-06,0.002573150730330401,10,408.4182095527649,406.20605969429016,4.923505485855851e-06
7.176199916945426e-06,11,1723046125.6354454,4.026204026492481e-06,0.0016466926342897721,11,445.1566424369812,442.94457387924194,3.1499958904529454e-06
3.8896544743329695e-06,12,1723046162.284069,2.1528767655992166e-06,0.0014990426893576345,12,481.8052661418915,479.5928907394409,1.736777708733753e-06
3.403438654807983e-06,13,1723046199.1547372,1.7388848871065276e-06,0.001388675204162403,13,518.6759343147278,516.4638078212738,1.6645537677014553e-06
2.789039802260964e-06,14,1723046235.977636,1.651374071315276e-06,0.0012622866968954923,14,555.4988331794739,553.2867047786713,1.137665730945688e-06
2.3826465134528483e-06,15,1723046272.8066044,1.4174038197549829e-06,0.001098083794030647,15,592.3278014659882,590.1155467033386,9.652426936978654e-07
1.871243916176493e-06,16,1723046309.556117,1.0880551621669796e-06,0.000945739564764662,16,629.0773141384125,626.8651552200317,7.831887540095134e-07
1.5042279345593158e-06,17,1723046346.30869,8.865377059759374e-07,0.0009412088918248348,17,665.8298871517181,663.6176047325134,6.176902285833784e-07
1.3298277220789307e-06,18,1723046383.0298812,7.423176843590787e-07,0.0008772507499058003,18,702.5510783195496,700.3390071392059,5.875100377198521e-07
1.2933598384813798e-06,19,1723046419.625896,7.086011042557802e-07,0.0007758426205103819,19,739.1470930576324,736.9350955486298,5.847587342255997e-07
1.0906522241941259e-06,20,1723046456.182322,5.845488992689374e-07,0.0007973151676769471,20,775.7035191059113,773.4914660453796,5.061033249251885e-07
1.0734731391621836e-06,21,1723046492.7356915,4.924340538967627e-07,0.0006599078618798723,21,812.256888628006,810.0446784496307,5.810390852654209e-07
7.123599776414807e-07,22,1723046529.3657615,3.6989581811414814e-07,0.0006621987908769423,22,848.8869585990906,846.6747922897339,3.424641595273326e-07
6.309637811606114e-07,23,1723046565.8765867,3.458737342347759e-07,0.0005885711182888152,23,885.3977837562561,883.1856715679169,2.850900469258356e-07
6.13608952956185e-07,24,1723046602.4311075,2.9332641860627995e-07,0.000490888721364535,24,921.9523046016693,919.7404172420502,3.2028253434990506e-07
4.774648242466513e-07,25,1723046638.9017022,2.2545930664914554e-07,0.00046774996573399266,25,958.4228992462158,956.2109298706055,2.520055175975058e-07
4.331184841853447e-07,26,1723046675.5453963,1.9649128170116116e-07,0.0004483966509409329,26,995.0665934085846,992.854056596756,2.3662720248418352e-07
4.060075638089542e-07,27,1723046712.2070074,1.8293862270723956e-07,0.0004177681541490675,27,1031.7282044887543,1029.5158905982971,2.2306894110171465e-07
3.552166461050282e-07,28,1723046748.7101033,1.7803489847993868e-07,0.0004988502526102064,28,1068.231300354004,1066.019466161728,1.771817476250895e-07
3.902390563664866e-07,29,1723046785.1994655,1.6545952663870662e-07,0.0003977644251749857,29,1104.7206625938416,1102.5084481239319,2.2477952972777996e-07
3.765990043053236e-07,30,1723046821.6800082,2.0031763208346183e-07,0.00037207858377707786,30,1141.201205253601,1138.9891357421875,1.7628137222186182e-07
2.628071289203097e-07,31,1723046858.2533305,1.1375708351887747e-07,0.00037085445155093184,31,1177.7745275497437,1175.562328338623,1.490500454014322e-07
2.9176750761540383e-07,32,1723046895.0380695,1.5006549039132268e-07,0.00036082001401055035,32,1214.5592665672302,1212.3469190597534,1.4170201722408115e-07
2.7940293975853457e-07,33,1723046931.5477445,1.1153435553983279e-07,0.00034100538226194927,33,1251.0689415931702,1248.8570396900177,1.678685842187018e-07
2.606553556254835e-07,34,1723046968.1197534,9.753275772740502e-08,0.0003692060702465161,34,1287.6409504413605,1285.4289963245392,1.6312259789807848e-07
2.596571584585537e-07,35,1723047004.6647804,1.1870070434478962e-07,0.00032352125485920303,35,1324.1859774589539,1321.9738051891327,1.409564541137641e-07
2.2177234060528416e-07,36,1723047041.155404,9.308912633535627e-08,0.000347659862093468,36,1360.6766011714935,1358.4644525051117,1.2868321426992788e-07
2.471102689049916e-07,37,1723047077.902381,1.0593294353091766e-07,0.0003487996113321272,37,1397.4235780239105,1395.211587190628,1.4117732537407392e-07
