loss,_step,_timestamp,loss_boundary,l2_error,step,_runtime,time,loss_interior
2.6049929391029346e-07,38,1723047114.547775,1.3162840187728806e-07,0.00029317703886794525,38,1434.0689721107483,1431.856829404831,1.2887089203300537e-07
1.9108646515777983e-07,39,1723047151.0326064,8.046610647181947e-08,0.0003092552415953095,39,1470.5538034439087,1468.341783285141,1.1062035868596038e-07
2.1447861272283814e-07,40,1723047187.514486,1.0168819701529363e-07,0.00027436305217624804,40,1507.0356831550598,1504.8235948085785,1.127904157075445e-07
2.038828570188373e-07,41,1723047260.4759774,9.66372621331098e-08,0.0002812856869407052,42,1579.997174501419,1577.7850184440613,1.072455948857275e-07
1.4267268844354036e-07,42,1723047408.190009,5.800176218184233e-08,0.00027268052885949756,46,1727.7112061977386,1725.4983654022217,8.467092626169803e-08
1.6161387672742558e-07,43,1723047556.9300814,6.179883344922596e-08,0.0002296130518156729,50,1876.4512784481049,1874.2391877174377,9.981504327819961e-08
1.2247839859837923e-07,44,1723047742.9575555,5.6545923542544985e-08,0.00021370242585667614,55,2062.4787526130676,2060.2664721012115,6.593247505583424e-08
7.822432401504101e-08,45,1723047965.8802226,2.7334649963392405e-08,0.00018535016746717802,61,2285.4014196395874,2283.189245700836,5.088967405164861e-08
7.974197636513475e-08,46,1723048187.8924992,3.496546648261494e-08,0.00018710664469719885,67,2507.4136962890625,2505.2013733386993,4.47765098825198e-08
7.439704366838581e-08,47,1723048409.3825955,2.8368389688882345e-08,0.0001653459602076177,73,2728.903792619705,2726.691807746887,4.602865397950346e-08
6.435676987066236e-08,48,1723048704.7437901,2.4487147446687404e-08,0.0001539702999309633,81,3024.264987230301,3022.051915407181,3.986962242397495e-08
