_runtime,_timestamp,loss,step,loss_boundary,time,l2_error,loss_interior,_step
3.2451000213623047,1723045652.808994,3.173703907627406,0,3.1734512319644956,1.3282620906829834,1.9660421202070013,0.00025267566290999985,0
3.7652885913848877,1723045653.3291826,2.8717057842657496,1,2.7873585496697677,2.0928521156311035,1.9442270523135945,0.08434723459598213,1
4.345824480056763,1723045653.9097185,2.657526984348762,2,2.6525199630960707,2.6731975078582764,0.9740670609484858,0.005007021252691009,2
5.242736101150513,1723045654.8066301,1.4730130661422065,3,1.122819961504049,3.5701088905334473,1.141841702169699,0.3501931046381575,3
5.816412925720215,1723045655.380307,1.274074304879692,4,1.0386734310177566,4.143738269805908,0.27909892849016243,0.23540087386193553,4
6.855853796005249,1723045656.4197478,0.12630648021655055,5,0.09145424826332527,5.183161020278931,0.05403589981756566,0.03485223195322529,5
7.7087507247924805,1723045657.2726448,0.003922176516076962,6,0.0019566469646817098,6.034810543060303,0.032064945936421486,0.0019655295513952525,6
8.855293273925781,1723045658.4191873,0.003409415707435936,7,0.0013457871240661135,7.182637453079224,0.029181735043405287,0.0020636285833698226,7
10.261638402938843,1723045659.8255324,0.001003546280162592,8,0.0006386210821877076,8.588976860046387,0.011195408597699555,0.00036492519797488436,8
12.443415880203247,1723045662.00731,0.0001273014805632335,9,8.024467159237032e-05,10.770675897598267,0.007460704879728905,4.705680897086316e-05,9
14.17034101486206,1723045663.734235,9.017044854589491e-05,10,4.07319214786296e-05,12.497114658355713,0.0063376397014084564,4.9438527067265304e-05,10
16.36654567718506,1723045665.9304397,3.94832738483075e-05,11,2.301704563706423e-05,14.69355845451355,0.006108463822000869,1.646622821124327e-05,11
18.671029329299927,1723045668.2349234,3.521368842061816e-05,12,2.263245067167955e-05,16.998353481292725,0.004929551083222609,1.2581237748938614e-05,12
20.328613758087158,1723045669.8925078,4.22918195834761e-05,13,2.6498147658356197e-05,18.655852556228638,0.0046959471087181974,1.57936719251199e-05,13
22.742570400238037,1723045672.3064644,4.148996695822291e-05,14,2.500310570229617e-05,21.06992530822754,0.004743950191636535,1.6486861255926742e-05,14
25.747478723526,1723045675.3113728,3.987130780917466e-05,15,2.3609857315200802e-05,24.074784755706787,0.004261559761918522,1.6261450493973853e-05,15
29.31090521812439,1723045678.8747993,3.479837831231463e-05,16,1.7206452166078723e-05,27.63811469078064,0.003978388239762454,1.7591926146235906e-05,16
31.777069091796875,1723045681.3409631,3.180769104898323e-05,17,1.2671026771907844e-05,30.104405641555786,0.0037947808209672054,1.9136664277075384e-05,17
36.46717190742493,1723045686.031066,3.0309284871631947e-05,18,1.2101915406593166e-05,34.79426717758179,0.003678288994442414,1.820736946503878e-05,18
38.05282139778137,1723045687.6167154,2.76479988113018e-05,19,1.0607207116938792e-05,36.38016748428345,0.0036811538137553057,1.7040791694363007e-05,19
40.48684239387512,1723045690.0507364,2.5571123647200053e-05,20,8.94542632933346e-06,38.81408929824829,0.0036696360454265965,1.6625697317866594e-05,20
41.501622676849365,1723045691.0655167,2.6003083316756704e-05,21,9.642453777310815e-06,39.8289430141449,0.003667139136039907,1.636062953944589e-05,21
43.17900013923645,1723045692.7428942,2.3919835460409234e-05,22,8.467521363651685e-06,41.50527858734131,0.003804410237670964,1.545231409675755e-05,22
44.17792081832886,1723045693.7418149,2.4748007840817433e-05,23,9.288622151169185e-06,42.50523066520691,0.0038859933367695206,1.5459385689648248e-05,23
49.20496439933777,1723045698.7688584,2.291470120225726e-05,24,8.416380933944186e-06,47.53226351737976,0.004016874122143592,1.4498320268313074e-05,24
50.09148335456848,1723045699.6553774,2.2469490942717223e-05,25,9.168659678317915e-06,48.418813943862915,0.0038729756229378028,1.3300831264399306e-05,25
51.08990812301636,1723045700.6538022,2.0900150704605547e-05,26,8.807225576260445e-06,49.4172260761261,0.0037880996943384132,1.2092925128345103e-05,26
52.0620219707489,1723045701.625916,2.153301741826947e-05,27,8.859845037027502e-06,50.389352321624756,0.0036456042702202674,1.2673172381241965e-05,27
53.068615436553955,1723045702.6325095,2.091120984555954e-05,28,8.75063812181352e-06,51.39590620994568,0.003491322316361041,1.216057172374602e-05,28
54.796128034591675,1723045704.360022,1.8755428126581725e-05,29,7.691657670138858e-06,53.12342071533203,0.0034906646408567397,1.1063770456442865e-05,29
55.787365198135376,1723045705.3512592,1.8599992363828582e-05,30,7.80628843882221e-06,54.114707469940186,0.003407628804196415,1.0793703925006372e-05,30
56.79912066459656,1723045706.3630147,1.7536757593459838e-05,31,7.520971203301885e-06,55.12643909454346,0.00323788201288921,1.0015786390157951e-05,31
61.510231733322144,1723045711.0741258,1.6915822272898862e-05,32,7.45890011878614e-06,59.83721661567688,0.003056881085438367,9.456922154112721e-06,32
62.520346879959106,1723045712.084241,1.647583235723573e-05,33,6.968814784618968e-06,60.84769082069397,0.002276132263186894,9.507017572616762e-06,33
63.48155426979065,1723045713.0454483,1.5281487781070958e-05,34,4.585551594884867e-06,61.80889439582825,0.0018011686054149206,1.0695936186186092e-05,34
64.49261426925659,1723045714.0565083,1.4381972308929498e-05,35,3.4515507694707226e-06,62.81993246078491,0.001549425505611225,1.0930421539458776e-05,35
65.41797065734863,1723045714.9818647,1.302389333746724e-05,36,2.5339437255278854e-06,63.74529242515564,0.0014146692400119141,1.0489949611939354e-05,36
69.12513399124146,1723045718.689028,1.2251189196618189e-05,37,2.4901741733325046e-06,67.4523856639862,0.0012352320322237048,9.761015023285684e-06,37
