step,_runtime,loss_boundary,loss,_step,l2_error,time,_timestamp,loss_interior
0,2.3038365840911865,3.2617973017784463,3.2637517556093116,0,2.0730538471057463,1.662017822265625,1723045697.8833606,0.001954453830865279
1,2.429344415664673,3.2617889977776433,3.2637434494948834,1,0.7101158752160134,2.001819372177124,1723045698.0088685,0.0019544517172399123
2,2.535339832305908,0.6357386150744574,0.6366132004572238,2,5.29785765192244,2.1083362102508545,1723045698.1148639,0.0008745853827664341
3,2.646590232849121,16.69406829593415,16.70335587711096,3,1.940064700847199,2.2201550006866455,1723045698.2261143,0.009287581176806753
4,2.758815050125122,2.982418794639603,2.983396667970184,4,1.1363211229707384,2.332414388656616,1723045698.338339,0.0009778733305807919
5,2.870551586151123,1.3243633542286526,1.3243878042821549,5,3.3468176750739262,2.44377064704895,1723045698.4500756,2.4450053502331934e-05
6,2.9820022583007812,7.244657977507201,7.268486157993672,6,7.393534734079195,2.5550596714019775,1723045698.5615263,0.023828180486470906
7,3.094404697418213,24.18788779447562,24.195196744582876,7,0.9676950035526197,2.6676318645477295,1723045698.6739287,0.007308950107256888
8,3.1942784786224365,0.3755105897874985,0.3795456485203844,8,0.7163272285927533,2.767910957336426,1723045698.7738025,0.004035058732885913
9,3.2942264080047607,0.3165915743347663,0.32305527803536166,9,0.7082850561695171,2.8665683269500732,1723045698.8737504,0.0064637037005953555
10,3.3925740718841553,0.2684236370594241,0.3019513316524682,10,0.4697355011364416,2.96620774269104,1723045698.972098,0.03352769459304404
11,3.4915530681610107,0.19786322137481643,0.25899719220391654,11,0.5574564526148023,3.0648269653320312,1723045699.071077,0.06113397082910008
12,3.590131998062134,0.16162024108413336,0.18804077323437476,12,0.5305229104466721,3.1637794971466064,1723045699.169656,0.026420532150241392
13,3.700810670852661,0.16813479228488493,0.18248119666100776,13,0.563948828564275,3.2741832733154297,1723045699.2803347,0.014346404376122838
14,3.81182861328125,0.17175410030606572,0.18030139935322537,14,0.47911318801789,3.3852343559265137,1723045699.3913527,0.008547299047159647
15,3.922250270843506,0.1544477886450349,0.15977923498744323,15,0.5099995901073188,3.4956986904144287,1723045699.5017743,0.005331446342408353
16,4.033050060272217,0.14875754221429358,0.15586110198800146,16,0.47075777956598364,3.6064178943634033,1723045699.612574,0.0071035597737078736
17,4.147150039672852,0.1373362865638212,0.15287032034549705,17,0.48009406743404714,3.7204477787017822,1723045699.726674,0.01553403378167585
18,4.260426998138428,0.11593328216345364,0.13290263435787772,18,0.4233659145481991,3.8336522579193115,1723045699.839951,0.016969352194424085
19,4.366790056228638,0.10841014524726124,0.12776662837171193,19,0.3810060305294739,3.940279722213745,1723045699.946314,0.019356483124450694
20,4.477448463439941,0.09512596627076894,0.10893184996825041,20,0.38706850634740975,4.05085563659668,1723045700.0569725,0.013805883697481461
21,4.586199522018433,0.09096082232837495,0.10635600477007892,21,0.34850212479469467,4.1595399379730225,1723045700.1657236,0.01539518244170397
22,4.699920654296875,0.08659405263452143,0.10350406537410978,22,0.33835185604008705,4.273343324661255,1723045700.2794447,0.016910012739588354
23,4.809376001358032,0.0768488601520699,0.09140441526345383,23,0.33034441272202614,4.382869720458984,1723045700.3889,0.014555555111383933
24,4.919867992401123,0.06863824320957161,0.08596757750067713,24,0.22846632326836466,4.493199348449707,1723045700.499392,0.017329334291105513
25,5.031941175460815,0.05617495354061357,0.07170937775975926,25,0.2532027112896751,4.605269193649292,1723045700.6114652,0.015534424219145691
26,5.1429266929626465,0.05329180810799874,0.06658586203976624,26,0.24606131615892968,4.716345310211182,1723045700.7224507,0.013294053931767505
27,5.243028163909912,0.03814419290862354,0.053249438823762346,27,0.2386938521969751,4.816590309143066,1723045700.8225522,0.015105245915138808
28,5.352341890335083,0.03696683622179447,0.051129009530268846,28,0.24200687130950904,4.9257285594940186,1723045700.931866,0.014162173308474375
29,5.4639201164245605,0.03314197421237671,0.04446470608289735,29,0.22451862486789687,5.037251710891724,1723045701.0434442,0.011322731870520636
30,5.569825649261475,0.03142994172281217,0.042461462408533705,30,0.1970044113278058,5.143098592758179,1723045701.1493497,0.011031520685721538
31,5.681803464889526,0.027262405704478142,0.036159631865282524,31,0.20608078533148758,5.2549872398376465,1723045701.2613275,0.008897226160804381
32,5.792386770248413,0.026747799291642563,0.035537702897800616,32,0.18453872824274856,5.365639686584473,1723045701.3719108,0.008789903606158053
33,5.904992580413818,0.024741101673322875,0.033210596181425966,33,0.18567859820217378,5.478395223617554,1723045701.4845166,0.008469494508103094
34,6.016835689544678,0.02491570267984226,0.03262118536574858,34,0.18363973239861206,5.590383052825928,1723045701.5963597,0.00770548268590632
35,6.127516269683838,0.02196019439933044,0.030297539359686924,35,0.17442682333420434,5.700943470001221,1723045701.7070403,0.008337344960356485
36,6.237950801849365,0.02143006971323442,0.029917928766624524,36,0.1674780162590621,5.811195135116577,1723045701.8174748,0.008487859053390105
37,6.351156711578369,0.020027451735844175,0.028181516020111826,37,0.17037807284039555,5.924426317214966,1723045701.9306808,0.008154064284267652
38,6.46382737159729,0.018844427469749698,0.026645084917846194,38,0.17345234070758894,6.03716254234314,1723045702.0433514,0.0078006574480964964
39,6.577422380447388,0.017091917777450085,0.023961882253643832,39,0.15731123838393776,6.15067195892334,1723045702.1569464,0.006869964476193748
40,6.688567638397217,0.015982889021448628,0.02247650722774259,40,0.15286182356719177,6.2618114948272705,1723045702.2680917,0.006493618206293962
42,6.9091267585754395,0.013787326028757976,0.018083134424738054,41,0.14713765532362436,6.482398748397827,1723045702.4886508,0.004295808395980079
46,7.31015682220459,0.011055265674640454,0.01433267435624125,42,0.13770011426011505,6.88367772102356,1723045702.8896809,0.0032774086816007952
50,7.691102027893066,0.0075060225765388785,0.01055091583342396,43,0.10880121605973146,7.264643669128418,1723045703.270626,0.003044893256885081
55,8.201014280319214,0.0059582413662894905,0.008255013650939025,44,0.1019372569755712,7.774544715881348,1723045703.7805383,0.0022967722846495343
61,8.813513278961182,0.0023533655899982708,0.005100015069819212,45,0.04986241922905461,8.386674404144287,1723045704.3930373,0.0027466494798209415
67,9.467066526412964,0.0013774013985658935,0.003598798009416938,46,0.04172176577182892,9.03734540939331,1723045705.0465906,0.0022213966108510447
73,10.067302942276001,0.0010714262916067677,0.002497219532813666,47,0.0374287667720691,9.640636920928955,1723045705.646827,0.0014257932412068985
81,10.934197902679443,0.0009119023374219762,0.0016590020601906941,48,0.034401899327494184,10.507680654525757,1723045706.513722,0.000747099722768718
89,11.692941665649414,0.0006536105684836661,0.0010936681448504397,49,0.025457553060555516,11.266405820846558,1723045707.2724657,0.00044005757636677364
98,12.601254224777222,0.0005629501414409899,0.0008348622359816683,50,0.02471395176256173,12.17415738105774,1723045708.1807783,0.0002719120945406783
107,13.53459095954895,0.0004923948526343618,0.0007301435101831086,51,0.022905412081176472,13.108009338378906,1723045709.114115,0.0002377486575487467
118,14.696292400360107,0.0004071493850857947,0.0005937339008598508,52,0.022758975621882283,14.269240140914917,1723045710.2758164,0.00018658451577405614
130,15.906937599182129,0.00029537027923512215,0.00044503145469125045,53,0.021319879322238652,15.480302095413208,1723045711.4864616,0.0001496611754561283
143,17.163214683532715,0.00022721413220298247,0.0003405205187545955,54,0.01996497921715585,16.736230611801147,1723045712.7427387,0.00011330638655161303
157,18.55188536643982,0.000159461075032389,0.00023624712002296642,55,0.015882647793608994,18.124748945236206,1723045714.1314094,7.67860449905774e-05
172,20.04360556602478,0.00010992249253000781,0.00016745463360917016,56,0.014095863858452113,19.616414070129395,1723045715.6231296,5.753214107916234e-05
190,21.932936668395996,7.843312304766384e-05,0.0001140202382236661,57,0.012743061650976386,21.506035566329956,1723045717.5124607,3.558711517600227e-05
208,23.680477142333984,7.996364454500669e-05,0.00011082832273974014,58,0.011806843619678403,23.25392770767212,1723045719.2600012,3.086467819473346e-05
229,25.772340774536133,4.6548552768346926e-05,6.754289491352917e-05,59,0.009557297878003414,25.345772981643677,1723045721.3518648,2.0994342145182245e-05
252,28.153730869293213,2.980708963060975e-05,4.654555513562174e-05,60,0.008090372447918165,27.726977348327637,1723045723.733255,1.6738465505011994e-05
277,30.695377111434937,1.7875600454092305e-05,3.053149515908772e-05,61,0.006966634022430176,30.268786907196045,1723045726.2749012,1.2655894704995414e-05
305,33.5326714515686,1.5240607535367427e-05,2.368985217682133e-05,62,0.0047154777511878646,33.10586142539978,1723045729.1121955,8.449244641453903e-06
335,36.80863928794861,4.273798352803262e-06,9.13001556737367e-06,63,0.003024101503447516,36.381996393203735,1723045732.3881633,4.856217214570408e-06
369,40.265219926834106,1.4009021276066073e-06,3.807104593207798e-06,64,0.002078024915962799,39.83864736557007,1723045735.844744,2.4062024656011904e-06
406,44.20933294296265,1.105492769475302e-06,2.5917276647246067e-06,65,0.0013995615636717966,43.78236794471741,1723045739.788857,1.4862348952493046e-06
446,48.43859839439392,2.944996355720268e-07,7.28567183422846e-07,66,0.0009380991310776601,48.01170015335083,1723045744.0181224,4.3406754785081925e-07
491,53.106335401535034,1.0651404893946329e-07,2.8788467342325825e-07,67,0.0006356862603118254,52.67918515205383,1723045748.6858594,1.8137062448379497e-07
540,58.092365980148315,7.096922507174609e-08,1.8571035240714967e-07,68,0.0004445123223107375,57.665306091308594,1723045753.67189,1.147411273354036e-07
594,63.54593825340271,2.1290972292729315e-08,7.170860888141841e-08,69,0.00034647035502468715,63.119311809539795,1723045759.1254623,5.04176365886891e-08
653,69.56732559204102,1.3480087667126061e-08,4.38656197480626e-08,70,0.00026006974433740105,69.14078617095947,1723045765.1468496,3.0385532080936534e-08
718,76.30923390388489,1.5283731602158584e-08,3.3979508881502694e-08,71,0.00019535124491012752,75.88216423988342,1723045771.888758,1.8695777279344107e-08
790,83.83955955505371,2.6949097319222912e-09,1.0070287925568779e-08,72,0.00014202267100308033,83.41295647621155,1723045779.4190836,7.375378193646487e-09
869,91.7293701171875,2.2709966170685356e-09,8.436337582846582e-09,73,0.00010575452031331716,91.3024685382843,1723045787.3088942,6.165340965778047e-09
956,100.56286835670471,1.760999615698175e-09,6.7366589775670635e-09,74,0.00010383034622208267,100.13549518585205,1723045796.1423924,4.975659361868889e-09
1052,110.45406699180603,1.7420374967182295e-09,5.572387957469028e-09,75,8.241856235605428e-05,110.02685141563416,1723045806.033591,3.830350460750798e-09
1157,121.5275948047638,8.643480968595323e-10,3.6087016406101268e-09,76,6.725500022886239e-05,121.1009349822998,1723045817.1071188,2.7443535437505945e-09
1272,133.50506901741028,6.361184317796058e-10,2.8679476215883927e-09,77,6.113407572409018e-05,133.0778570175171,1723045829.084593,2.231829189808787e-09
1400,146.54884791374207,4.558001106417366e-09,9.963534003825286e-09,78,6.145202052436004e-05,146.12153267860413,1723045842.128372,5.405532897407919e-09
1539,160.90799283981323,9.862258195498475e-10,3.0769872284840447e-09,79,5.591501341632611e-05,160.48116755485535,1723045856.4875169,2.0907614089341974e-09
1693,176.8612186908722,3.390680548315522e-10,1.543774941255379e-09,80,6.136762655787386e-05,176.4343752861023,1723045872.4407427,1.2047068864238268e-09
1863,193.92964243888855,3.578762027086738e-10,1.4879708165954285e-09,81,4.4246024828920715e-05,193.50298953056335,1723045889.5091665,1.1300946138867548e-09
2049,212.70147395133972,3.659466773063768e-10,1.4520650777717817e-09,82,4.3293621980856386e-05,212.27447700500488,1723045908.280998,1.086118400465405e-09
2254,233.62972831726074,2.6832126298141276e-10,1.0588050739676419e-09,83,4.086280563294385e-05,233.20304441452026,1723045929.2092524,7.90483810986229e-10
2479,256.466032743454,2.3683915310745893e-10,9.57000688156528e-10,84,3.87636696340501e-05,256.039466381073,1723045952.0455568,7.201615350490691e-10
2727,281.9455668926239,3.926494948328927e-10,1.2441896229008678e-09,85,3.5372988052816606e-05,281.5187256336212,1723045977.525091,8.51540128067975e-10
3000,309.85951924324036,1.3243107606021577e-09,3.774439765477193e-09,86,3.6235441429028104e-05,309.43252992630005,1723046005.4390433,2.450129004875035e-09
3299,340.6460807323456,1.365939311784979e-10,5.823458450001114e-10,87,3.297526065217135e-05,340.2184612751007,1723046036.2256048,4.457519138216135e-10
3629,374.8660361766815,3.2584806062529716e-10,9.652123014544556e-10,88,2.7982365189964024e-05,374.43941617012024,1723046070.4455602,6.393642408291584e-10
3992,411.6872773170471,1.0855411440181671e-10,4.767897248204166e-10,89,2.6811265609113464e-05,411.25981736183167,1723046107.2668014,3.682356104185999e-10
