loss,_step,_timestamp,loss_boundary,step,loss_interior,time,_runtime,l2_error
3.173703907627406,0,1723045654.4426947,3.1734512319644956,0,0.00025267566290999985,1.3204166889190674,2.742790699005127,0.6041145206636918
0.2406836319069881,1,1723045654.7490401,0.22763569431166134,1,0.013047937595326764,1.901643991470337,3.049136161804199,0.5782577043765472
0.19231367622593845,2,1723045655.125226,0.17576477984198846,2,0.016548896383949997,2.2774362564086914,3.4253220558166504,0.3939705400828776
0.12238387049574528,3,1723045655.5259013,0.10932091970220278,3,0.013062950793542498,2.6779706478118896,3.8259973526000977,0.3248133833096098
0.07569501663199545,4,1723045655.950767,0.06008802157153168,4,0.01560699506046376,3.102871894836426,4.250863075256348,0.18823389385230022
0.04237174345183799,5,1723045656.4206455,0.03271421002734778,5,0.009657533424490213,3.5729596614837646,4.720741510391235,0.16637250464740425
0.02794362756222476,6,1723045656.9438667,0.018958072968259385,6,0.008985554593965375,4.096068859100342,5.24396276473999,0.13628461129167885
0.017502752346431078,7,1723045657.495483,0.014554227619538026,7,0.0029485247268930524,4.64760422706604,5.795578956604004,0.1055101347694855
0.011588528486157003,8,1723045658.0882993,0.007846918613473405,8,0.0037416098726835967,5.240365982055664,6.388395309448242,0.08320613045971213
0.007103249107732033,9,1723045658.8210952,0.004688205841467645,9,0.0024150432662643885,5.973074197769165,7.1211912631988525,0.06009122832122896
0.00440199193484277,10,1723045659.5633695,0.0026366626765129625,10,0.0017653292583298071,6.7154223918914795,7.8634655475616455,0.0435033181343335
0.002630309499282806,11,1723045660.2647953,0.0015102133233798646,11,0.0011200961759029412,7.4168195724487305,8.564891338348389,0.031239628133375025
0.001482291390208488,12,1723045661.0087547,0.0009859280135812078,12,0.0004963633766272804,8.15961241722107,9.308850765228271,0.028568434768905675
0.0011125367121286732,13,1723045661.7102973,0.0007472410425135415,13,0.00036529566961513175,8.862447023391724,10.010393381118774,0.025003291879839993
0.0010273489195536318,14,1723045662.4239028,0.0007256112572994516,14,0.0003017376622541801,9.575856447219849,10.723998785018921,0.02294061603990634
0.0007306259497756326,15,1723045663.1323872,0.0004677550456698132,15,0.0002628709041058195,10.28448486328125,11.432483196258545,0.02089287587631131
0.0006166125918517618,16,1723045663.832994,0.000406331655072807,16,0.00021028093677895484,10.985101461410522,12.133090019226074,0.020678724699014262
0.0005774207342793109,17,1723045664.544984,0.00038000147805716746,17,0.00019741925622214344,11.696984767913818,12.845080137252808,0.020609097173994013
0.0005153571504580764,18,1723045665.267977,0.0003525579550733896,18,0.00016279919538468674,12.419739484786987,13.568073034286499,0.01821177750980404
0.0005177641458215025,19,1723045665.9744763,0.00036414995674385024,19,0.00015361418907765227,13.126548290252686,14.274572372436523,0.01771477027420214
0.0004711573000260378,20,1723045666.6811461,0.00032027978275387504,20,0.0001508775172721628,13.833136081695557,14.981242179870605,0.018207369806646417
0.000418155168889969,21,1723045667.3877394,0.000290030070775424,21,0.000128125098114545,14.539715051651001,15.687835454940796,0.018494696623864725
0.00043423377062485816,22,1723045668.105596,0.0003170621004879003,22,0.00011717167013695785,15.257624626159668,16.405692100524902,0.018853976629455056
0.00040545441126357346,23,1723045668.803348,0.00028604717862020114,23,0.0001194072326433723,15.955458641052246,17.10344409942627,0.017947869039307014
0.0003982045305558186,24,1723045669.5246093,0.0002955867841333827,24,0.00010261774642243589,16.67669367790222,17.824705362319946,0.017228057155436738
0.0003439283981543796,25,1723045670.2480237,0.00024229980874907958,25,0.00010162858940530002,17.400108337402344,18.54811978340149,0.01825887824503727
0.00031550979605075386,26,1723045670.9372518,0.00023028064661849437,26,8.522914943225949e-05,18.08927845954895,19.237347841262817,0.01715112493590873
0.0003070284935698234,27,1723045671.635871,0.00021406213354926084,27,9.296636002056256e-05,18.78790307044983,19.935966968536377,0.015780966127623225
0.00032142181724313537,28,1723045672.34302,0.000227863009941577,28,9.355880730155841e-05,19.494932174682617,20.643115997314453,0.01659054158465016
0.0002807947033106417,29,1723045673.0548868,0.00019130208097724067,29,8.949262233340103e-05,20.206934213638306,21.35498285293579,0.016541531174085855
0.000285631093926179,30,1723045673.7609801,0.00020089465703544663,30,8.473643689073237e-05,20.912984609603882,22.061076164245605,0.015313884711997924
0.00029288858517505126,31,1723045674.4786882,0.00020780057233055885,31,8.508801284449239e-05,21.63066601753235,22.77878427505493,0.015531634888565285
0.0002730740482305145,32,1723045675.1825461,0.00018650073753519736,32,8.657331069531717e-05,22.334613800048828,23.48264217376709,0.01663503854061669
0.0002931515507871396,33,1723045675.891222,0.000212232804913292,33,8.091874587384758e-05,23.043246030807495,24.191318035125732,0.015569915699598652
0.00025322100315772677,34,1723045676.597263,0.00017795823520587366,34,7.526276795185314e-05,23.74925947189331,24.897359132766724,0.014376913421403166
0.00024710576664082115,35,1723045677.3087878,0.00016586702169597313,35,8.123874494484803e-05,24.460886001586914,25.60888385772705,0.014338111624978946
0.0002106855229706934,36,1723045678.0012178,0.00013359716958366772,36,7.708835338702569e-05,25.15332269668579,26.301313877105713,0.013937519380458263
0.00023191489609918227,37,1723045678.711728,0.00015868154047726313,37,7.323335562191914e-05,25.863665103912354,27.011824131011963,0.01320464071088885
0.00022186355434838554,38,1723045679.4219985,0.00014665313766553482,38,7.52104166828507e-05,26.5739963054657,27.722094535827637,0.013046001542544887
0.00021599109199197752,39,1723045680.1239002,0.0001424784177891865,39,7.351267420279105e-05,27.275996446609497,28.423996210098267,0.013919873958095415
