step,time,_step,_timestamp,_runtime,l2_error,loss_interior,loss,loss_boundary
1539,400.57808327674866,79,1723046052.5601888,401.9376208782196,3.5605465192488904e+30,0.0,1.9298535566786028e+61,1.9298535566786028e+61
1693,508.8074622154236,80,1723046160.7895825,510.16701459884644,9.989386807366465e+33,0.0,1.152366204204884e+68,1.152366204204884e+68
1863,627.4682900905609,81,1723046279.4504511,628.8278832435608,9.916415446256312e+38,0.0,2.3961347626284566e+77,2.3961347626284566e+77
2049,757.2022149562836,82,1723046409.1843114,758.5617434978485,7.307251592475092e+46,0.0,2.3537307621372495e+93,2.3537307621372495e+93
2254,900.553305387497,83,1723046552.5355306,901.9129626750946,6.782114053439348e+42,0.0,1.256393630137341e+86,1.256393630137341e+86
2479,1059.9223608970642,84,1723046711.9056478,1061.2830798625946,1.8403655467438014e+38,0.0,3.669470459379045e+76,3.669470459379045e+76
2727,1236.9981043338776,85,1723046888.9802995,1238.3577315807343,6.457266857210126e+35,0.0,8.264685700808207e+70,8.264685700808207e+70
3000,1424.815245628357,86,1723047076.7973542,1426.1747863292694,4.1664492162255444e+29,0.0,6.273317222988721e+58,6.273317222988721e+58
3299,1630.5228295326233,87,1723047282.50497,1631.8824021816254,1.3633987648404165e+22,0.0,3.048573207200738e+43,3.048573207200738e+43
3629,1857.5070281028748,88,1723047509.4892592,1858.866691350937,155744178137878.97,0.0,2.0554429182393234e+28,2.0554429182393234e+28
3992,2107.4123108386993,89,1723047759.3944955,2108.7719275951385,1938479.918758222,0.0,11426131.598938584,11426131.598938584
4391,2382.269109725952,90,1723048034.2513232,2383.6287553310394,0.723217838554156,0.0,0.31219255323252354,0.31219255323252354
4831,2684.8084268569946,91,1723048336.7906234,2686.168055534363,0.7164302628395185,0.0,0.3031304244934634,0.3031304244934634
5289,3000.067407131195,92,1723048652.0505068,3001.427938938141,0.7009316809950853,0.0,0.29733413405335385,0.29733413405335385
