_runtime,loss_boundary,time,step,loss,l2_error,_step,_timestamp,loss_interior
2.0417439937591553,2.7664645100319722,1.3490440845489502,0,2.766838655504229,1.858314772942204,0,1723045696.283601,0.00037414547225684495
2.185493230819702,2.7664567086538163,1.7357559204101562,1,2.7668308613329238,0.6383242888773195,1,1723045696.4273503,0.00037415267910757567
2.308537483215332,0.43496407024027206,1.8596251010894775,2,0.4481010302442893,0.626053092990178,2,1723045696.5503945,0.013136960004017269
2.420771598815918,0.43067446422010836,1.972489595413208,3,0.4307668494115518,0.718789981022858,3,1723045696.6626287,9.23851914434198e-05
2.5280203819274902,0.3432100446711188,2.0797784328460693,4,0.3452106624754422,0.5677211015129879,4,1723045696.7698774,0.002000617804323379
2.635586738586426,0.3136745671205178,2.1873018741607666,5,0.3547202196450365,0.6947584325722285,5,1723045696.8774438,0.04104565252451878
2.7420148849487305,0.29766087866649593,2.2937374114990234,6,0.3124527404475614,0.5671878116884636,6,1723045696.983872,0.014791861781065467
2.8497488498687744,0.15592852065486681,2.4014315605163574,7,0.2279514380975528,0.581371494002328,7,1723045697.091606,0.07202291744268598
2.9574038982391357,0.169063714804782,2.509115219116211,8,0.18115629349055853,0.5347841519788742,8,1723045697.199261,0.012092578685776548
3.0652520656585693,0.16196517099036983,2.615629196166992,9,0.17863618994512556,0.5323716261130402,9,1723045697.307109,0.016671018954755718
3.172553300857544,0.13649222904979746,2.724152088165283,10,0.16235973253833694,0.5540207124072237,10,1723045697.4144104,0.025867503488539473
3.2798056602478027,0.14155883086088886,2.831454038619995,11,0.15225458675235182,0.5057395576279259,11,1723045697.5216627,0.010695755891462974
3.3866753578186035,0.13972502656113409,2.9382598400115967,12,0.14872989157406494,0.4638114684981962,12,1723045697.6285324,0.00900486501293085
3.4940145015716553,0.11664025071614975,3.0456299781799316,13,0.13818469429943414,0.4903288427113708,13,1723045697.7358716,0.0215444435832844
3.603884696960449,0.11856202556596603,3.1553080081939697,14,0.13552649313598172,0.45801610671786785,14,1723045697.8457417,0.016964467570015705
3.712953567504883,0.11706152051279413,3.264409065246582,15,0.13311872551612677,0.43008126088055465,15,1723045697.9548106,0.016057205003332634
3.819739580154419,0.10034623333853111,3.371356964111328,16,0.12416067415423822,0.45112990574201245,16,1723045698.0615966,0.023814440815707105
3.927015542984009,0.10038214555153033,3.478447198867798,17,0.12254717689442514,0.4096492574479213,17,1723045698.1688726,0.02216503134289481
4.03454065322876,0.09851628202172794,3.5861246585845947,18,0.11683466873391403,0.42936891559567925,18,1723045698.2763977,0.018318386712186097
4.141342401504517,0.09455910599812478,3.6929571628570557,19,0.11153769633381246,0.40066436945017947,19,1723045698.3831995,0.016978590335687677
4.24831223487854,0.08947675214893444,3.7999043464660645,20,0.108880785993799,0.3945512767835954,20,1723045698.4901693,0.01940403384486455
4.355867385864258,0.08715922001288463,3.9074759483337402,21,0.09840190940600729,0.35440945967279747,21,1723045698.5977244,0.011242689393122665
4.463006496429443,0.08058626650408675,4.014626502990723,22,0.0941851481671166,0.37863635568248893,22,1723045698.7048635,0.013598881663029846
4.573960781097412,0.0733729159329426,4.125378370285034,23,0.08825188597432485,0.32381894538192746,23,1723045698.8158178,0.014878970041382252
4.682847499847412,0.061301429758301156,4.234355926513672,24,0.078461606997088,0.2976732460039107,24,1723045698.9247046,0.017160177238786843
4.79132080078125,0.055374832987898984,4.342735290527344,25,0.07406621237697181,0.32782018072772295,25,1723045699.0331779,0.018691379389072817
4.905282258987427,0.054192775853947314,4.456662893295288,26,0.06872769407619227,0.30008733061048426,26,1723045699.1471393,0.01453491822224495
5.013733148574829,0.053567063321473964,4.565265655517578,27,0.06331238227841532,0.26869437811997365,27,1723045699.2555902,0.009745318956941359
5.123523473739624,0.050560908282348625,4.674890756607056,28,0.06100464543151525,0.2744774176187811,28,1723045699.3653805,0.010443737149166625
5.234697103500366,0.042813454763084735,4.78613805770874,29,0.0529680666330375,0.27692131345621934,29,1723045699.4765542,0.010154611869952763
5.342470169067383,0.042610267144748575,4.893915414810181,30,0.05030089866477147,0.24023550115617665,30,1723045699.5843272,0.007690631520022896
5.454534530639648,0.03976169769305167,5.005941390991211,31,0.04834499107280076,0.24959922610155344,31,1723045699.6963916,0.008583293379749092
5.564803600311279,0.03333948501547513,5.11623477935791,32,0.043186407208954516,0.25748504252087523,32,1723045699.8066607,0.009846922193479388
5.674553871154785,0.033734837539708025,5.2260308265686035,33,0.04232442768352285,0.23654604638155158,33,1723045699.916411,0.008589590143814819
5.78570818901062,0.03313924160010578,5.3371477127075195,34,0.0408233705510703,0.22886480540735424,34,1723045700.0275652,0.007684128950964522
5.894845724105835,0.030175349887759353,5.446319818496704,35,0.03713934583106622,0.23558925504826603,35,1723045700.1367028,0.006963995943306864
6.0050389766693115,0.030128487867230512,5.556463003158569,36,0.03638174413487921,0.20705401244576072,36,1723045700.246896,0.0062532562676487
6.117536306381226,0.027499281035774033,5.669004678726196,37,0.03348401450438076,0.2071457908564649,37,1723045700.3593934,0.005984733468606727
6.225918292999268,0.026554351043700325,5.77748703956604,38,0.03282665585259233,0.21642723278252024,38,1723045700.4677753,0.006272304808892009
6.337582349777222,0.02652558803144395,5.888956308364868,39,0.032236476599008704,0.196013908997291,39,1723045700.5794394,0.005710888567564751
6.44587779045105,0.025025105886003013,5.997466087341309,40,0.030468719631963043,0.19009359748488652,40,1723045700.6877348,0.005443613745960031
6.658082723617554,0.021957481493597455,6.209623098373413,42,0.027065681701645767,0.17627964696793558,41,1723045700.8999398,0.005108200208048312
