time,loss_boundary,loss_interior,loss,_runtime,step,l2_error,_timestamp,_step
39.73404407501221,3.2617973017784463,0.001954453830865279,3.2637517556093116,40.64901518821716,0,2.0569276870585393,1723045707.9615881,0
81.26216459274292,3.1706295155933013,0.001987721045454371,3.1726172366387555,81.7261734008789,1,0.7725029612971842,1723045749.0387464,1
122.90218782424927,0.32275006860057714,0.3958281637333439,0.718578232333921,123.36618399620056,2,0.7403069987784998,1723045790.678757,2
166.55995345115662,0.23484279912202255,0.31126696529013703,0.5461097644121595,167.02543258666992,3,0.289428740167426,1723045834.3380055,3
206.94702315330505,0.054944835937372774,0.1588844718515095,0.21382930778888226,207.41131114959717,4,0.16794061199972005,1723045874.723884,4
250.7434093952179,0.02015502558827147,0.01739598874085865,0.03755101432913012,251.20686197280884,5,0.0940207938154507,1723045918.519435,5
292.7104971408844,0.006814586278330627,0.008713406763772092,0.01552799304210272,293.1742067337036,6,0.04017089099820849,1723045960.4867797,6
332.5009889602661,0.0012592482728863937,0.0021101336223502383,0.003369381895236632,332.9648849964142,7,0.01670682574452208,1723046000.277458,7
376.1188077926636,0.0002281534836758482,0.00015209234025069323,0.00038024582392654144,376.5826976299286,8,0.008891459603598708,1723046043.8952706,8
420.3935148715973,4.5748327280583334e-05,6.870604825669123e-05,0.00011445437553727456,420.85732221603394,9,0.0051599904364475506,1723046088.1698952,9
463.89667797088623,1.5403525957908843e-05,7.751390839077874e-06,2.315491679698672e-05,464.3607268333435,10,0.0024913513793738485,1723046131.6732998,10
502.72175908088684,3.356182076949999e-06,2.232264288048837e-06,5.588446364998836e-06,503.1858820915222,11,0.0015738344068228095,1723046170.498455,11
542.63267993927,2.081057126757357e-06,1.7311814001864312e-06,3.8122385269437886e-06,543.0962941646576,12,0.0013436503559815078,1723046210.4088671,12
585.9874796867371,1.6180985767657317e-06,1.1523484539254469e-06,2.7704470306911784e-06,586.4516654014587,13,0.0010765481048269085,1723046253.7642384,13
625.5329780578613,9.751930822518001e-07,9.373585882852962e-07,1.9125516705370963e-06,625.9966752529144,14,0.0009470645819385266,1723046293.3092482,14
667.5500867366791,9.70304680895779e-07,8.124898591634422e-07,1.7827945400592212e-06,668.0146405696869,15,0.0008602164436369114,1723046335.3272135,15
708.9705157279968,6.060481382909441e-07,6.452437403685613e-07,1.2512918786595055e-06,709.4361500740051,16,0.0007638688029917757,1723046376.748723,16
749.4355084896088,5.745588085310307e-07,5.95117305595269e-07,1.1696761141262998e-06,749.8995537757874,17,0.0007265313119032588,1723046417.2121267,17
791.158910036087,5.448788219685666e-07,4.5377671087689706e-07,9.986555328454637e-07,791.6230134963989,18,0.0006387085684202641,1723046458.9355865,18
831.2178149223328,3.382019920568066e-07,4.4566450989386993e-07,7.838665019506765e-07,831.6821880340576,19,0.0005665617591684512,1723046498.994761,19
871.6944901943207,3.506334712498753e-07,4.2076198578238386e-07,7.713954570322591e-07,872.1584267616272,20,0.000597775056188408,1723046539.4709997,20
911.6462230682373,3.00136690853281e-07,3.317146154178487e-07,6.318513062711298e-07,912.1120939254761,21,0.0005346538287838022,1723046579.424667,21
952.2198996543884,2.4886837960316615e-07,3.051326053600172e-07,5.540009849631834e-07,952.6839301586151,22,0.0005681334808947295,1723046619.996503,22
992.311526298523,3.809971277030105e-07,3.006134935005589e-07,6.816106212035694e-07,992.7753279209137,23,0.0004776510640997829,1723046660.0879009,23
1032.1628172397614,2.1455230817222168e-07,2.9162950958876656e-07,5.061818177609883e-07,1032.6272480487823,24,0.0004562219107176555,1723046699.939821,24
1072.3522810935974,1.7007510665077902e-07,2.537329203650366e-07,4.2380802701581566e-07,1072.8185322284698,25,0.0005360374885817329,1723046740.1311052,25
1112.026615858078,2.176377034339403e-07,2.1654408611412944e-07,4.341817895480697e-07,1112.4908735752106,26,0.00039504497935123796,1723046779.8034465,26
1153.2885012626648,1.2502316067951976e-07,2.2031063007702494e-07,3.453337907565447e-07,1153.7523045539856,27,0.00037624741982193494,1723046821.0648775,27
1194.2474293708801,1.7580635823648504e-07,2.0402433061205934e-07,3.7983068884854436e-07,1194.7115001678467,28,0.00043756406574567495,1723046862.0240731,28
1234.49103307724,1.6117405723784397e-07,2.0723298934827615e-07,3.684070465861201e-07,1234.9554240703583,29,0.0003771153148029215,1723046902.267997,29
1276.3470318317413,1.339556848186278e-07,1.9060491537402899e-07,3.245606001926568e-07,1276.8108642101288,30,0.0003369436760241391,1723046944.1234372,30
1316.665512561798,1.2297148718186932e-07,1.584541439352134e-07,2.814256311170827e-07,1317.1314690113068,31,0.00032818871163846347,1723046984.444042,31
1357.6419813632965,8.643787998897424e-08,1.670841334141313e-07,2.5352201340310553e-07,1358.105906009674,32,0.0003321038817502771,1723047025.418479,32
1397.2956776618958,9.383582851365047e-08,1.4992900324804442e-07,2.437648317616949e-07,1397.7595717906952,33,0.0003386667541645749,1723047065.0721447,33
1435.8344440460205,1.0337152057438895e-07,1.570201724603204e-07,2.6039169303470936e-07,1436.2985055446625,34,0.0003005553673816342,1723047103.6110785,34
1478.1767299175262,8.810171817387859e-08,1.35541108510152e-07,2.236428266840306e-07,1478.6409015655518,35,0.0002942374683777374,1723047145.9534745,35
1518.6661775112152,7.755347654306414e-08,1.4442976700167803e-07,2.2198324354474218e-07,1519.1297233104706,36,0.00029325245828999095,1723047186.4422963,36
1558.149936914444,9.762684767063253e-08,1.358819084366977e-07,2.335087561073302e-07,1558.6136910915375,37,0.0003541688787256675,1723047225.926264,37
