step,l2_error,loss_interior,_runtime,loss,_timestamp,loss_boundary,time,_step
0,1.9157129451366615,2.484706696701231e-05,2.714543104171753,2.992959675888267,1723045654.4447901,2.9929348288213,1.3038709163665771,0
1,1.8997029428907668,0.0006026910883535516,3.1132678985595703,2.872624310341695,1723045654.843515,2.8720216192533417,1.9726855754852295,1
2,1.6281692851514131,1.1737365311756942,3.7479474544525146,2.344324476207955,1723045655.4781945,1.170587945032261,2.607452392578125,2
3,0.3602687171103598,0.07085598173649911,4.255780935287476,1.6162694138949218,1723045655.986028,1.5454134321584228,3.1152420043945312,3
4,0.5757448845717504,0.3320135475623527,5.18207573890686,0.48241583472818494,1723045656.9123228,0.15040228716583223,4.041499853134155,4
5,0.1490224201867688,0.10759263409191354,5.874914884567261,0.4101099467587474,1723045657.605162,0.30251731266683385,4.734301805496216,5
6,0.10481370162736514,0.00751486108017415,6.638129949569702,0.017146457778851907,1723045658.368377,0.009631596698677757,5.49559211730957,6
7,0.04199938133232717,0.008653762802663908,8.351186037063599,0.01268543698754528,1723045660.081433,0.004031674184881372,7.210604906082153,7
8,0.012615628861222873,0.00469170717690664,9.829771041870117,0.005409675934119337,1723045661.560018,0.0007179687572126969,8.689228296279907,8
9,0.009271137548312283,0.00042480113724913083,12.3656644821167,0.0005496061846926657,1723045664.0959115,0.00012480504744353485,11.2249915599823,9
10,0.0151984293587984,0.00015712645820944784,14.536097764968872,0.00022664177861774344,1723045666.2663448,6.951532040829561e-05,13.395274639129639,10
11,0.013962959297260321,9.410494910006103e-05,16.20835828781128,0.00019870497917197526,1723045667.9386053,0.00010460003007191423,15.067761421203613,11
12,0.013121529966374055,4.445574211702154e-05,17.874123573303223,0.0001535920664633047,1723045669.6043706,0.00010913632434628316,16.73355746269226,12
13,0.009295212864440173,3.913391640017654e-05,19.449764490127563,0.00012845204002981465,1723045671.1800115,8.931812362963812e-05,18.309207439422607,13
14,0.0049221521135888145,1.5351647456940755e-05,23.66614007949829,7.03285972192983e-05,1723045675.396387,5.497694976235755e-05,22.525603532791138,14
15,0.0035245279906272148,1.8721992037843754e-05,24.830769062042236,3.645873410295702e-05,1723045676.561016,1.7736742065113263e-05,23.69019627571106,15
16,0.003088926835051128,2.2405220188702862e-05,27.31603193283081,3.0426351918309333e-05,1723045679.046279,8.021131729606471e-06,26.17551827430725,16
17,0.003045581982395498,1.9173968223462527e-05,28.528624296188354,2.652460077964623e-05,1723045680.2588713,7.3506325561837065e-06,27.388038396835327,17
18,0.002775612878530727,1.554219301347522e-05,31.128063678741455,2.455186105396896e-05,1723045682.8583107,9.009668040493742e-06,29.987406492233276,18
19,0.0026332378200501325,1.686393417827837e-05,33.81034827232361,2.3188041841200164e-05,1723045685.5405953,6.324107662921793e-06,32.6694974899292,19
20,0.002453500906226791,1.4438253357619572e-05,34.957107067108154,1.9502463182158254e-05,1723045686.687354,5.0642098245386806e-06,33.81651520729065,20
21,0.0024797430146941456,1.2358000932034642e-05,40.37631702423096,1.737946445816494e-05,1723045692.106564,5.0214635261302975e-06,39.23464488983154,21
22,0.0021146954639429468,1.2250565126515035e-05,41.866127252578735,1.817335859770085e-05,1723045693.5963743,5.922793471185815e-06,40.7245397567749,22
23,0.0018983706498606995,1.3154536113696036e-05,43.00124216079712,1.7338065015340736e-05,1723045694.7314892,4.1835289016447e-06,41.86071991920471,23
24,0.0017359039835499637,1.2525421853501505e-05,44.065741300582886,1.5712301400618837e-05,1723045695.7959883,3.1868795471173327e-06,42.925225496292114,24
25,0.0016624061825548425,1.2209624373922715e-05,45.11268877983093,1.4597883088970362e-05,1723045696.8429358,2.3882587150476476e-06,43.971221923828125,25
26,0.001607638744431607,1.1840119076658527e-05,47.61445212364197,1.4016991075822368e-05,1723045699.3446991,2.1768719991638416e-06,46.473917961120605,26
27,0.0015748192065544845,1.1367848022599345e-05,49.23749923706055,1.2967675700043416e-05,1723045700.9677463,1.5998276774440704e-06,48.09698963165283,27
28,0.0015246461988413986,1.0485696741835225e-05,50.490113496780396,1.2237078357475713e-05,1723045702.2203605,1.751381615640488e-06,49.34959697723389,28
29,0.0015016948831809704,9.451437700548437e-06,55.89035892486572,1.103063834314974e-05,1723045707.620606,1.5792006426013039e-06,54.749542474746704,29
30,0.001501938389077599,9.354388475506206e-06,56.71099805831909,1.0747049886374871e-05,1723045708.441245,1.3926614108686653e-06,55.57042336463928,30
31,0.0015075942301098896,8.72610073962712e-06,58.94811034202576,1.0192086459565974e-05,1723045710.6783574,1.465985719938854e-06,57.807491302490234,31
32,0.0014949049049147647,8.466182354815182e-06,60.12699580192566,9.829626553800217e-06,1723045711.8572428,1.3634441989850334e-06,58.98643755912781,32
33,0.001515704804225846,7.537630080418198e-06,61.24028182029724,9.16238208010236e-06,1723045712.9705288,1.6247519996841626e-06,60.09979581832886,33
34,0.001509491375172691,7.239336982394299e-06,62.297834634780884,8.738011867508719e-06,1723045714.0280817,1.4986748851144191e-06,61.15727996826172,34
35,0.001465342325234721,6.923090194992555e-06,63.32098722457886,8.456316367602698e-06,1723045715.0512342,1.533226172610143e-06,62.18045163154602,35
36,0.001546751308971059,5.979100784514727e-06,68.82320070266724,7.846291066600129e-06,1723045720.5534477,1.8671902820854015e-06,67.68264198303223,36
37,0.001621968444129748,5.0795491157442936e-06,69.99230194091797,7.200396724272667e-06,1723045721.722549,2.1208476085283732e-06,68.8517837524414,37
38,0.0016808786237706252,4.492751524691652e-06,71.17373585700989,7.157720778737913e-06,1723045722.9039829,2.664969254046261e-06,70.03319764137268,38
39,0.0017025146459617691,3.6705734221505186e-06,73.7668764591217,6.3002569227642624e-06,1723045725.4971235,2.629683500613744e-06,72.62629461288452,39
40,0.0016650225012605176,3.1151538132578706e-06,74.91471004486084,5.676782383952728e-06,1723045726.644957,2.5616285706948574e-06,73.77417325973511,40
42,0.0015362623295694835,3.225942639971386e-06,81.26047372817993,4.93276881092602e-06,1723045732.9907207,1.706826170954634e-06,80.11966848373413,41
46,0.0016328822451352298,1.7859418965306903e-06,91.68139672279358,2.7996557271241882e-06,1723045743.4116437,1.0137138305934979e-06,90.54068160057068,42
50,0.001150173337144949,1.501554360104693e-06,101.97131657600403,2.2164277948669284e-06,1723045753.7015636,7.148734347622355e-07,100.83079361915588,43
55,0.0008320558378894917,1.2947595928133814e-06,113.19458198547363,1.5894297952975167e-06,1723045764.924829,2.9467020248413526e-07,112.05361795425415,44
61,0.001255121862179863,3.6809717277781064e-07,133.22290301322937,1.0045625149923229e-06,1723045784.95315,6.364653422145123e-07,132.08222222328186,45
67,0.000417917033580876,3.0928140909223374e-07,151.06818294525146,5.008700742437761e-07,1723045802.79843,1.9158866515154238e-07,149.92747449874878,46
73,0.0002809301375868018,2.0240754724847144e-07,181.26519107818604,2.601525393891615e-07,1723045832.995438,5.774499214069007e-08,180.1243884563446,47
81,0.00019855758881013601,7.037026924741247e-08,225.2692584991455,9.023776496736598e-08,1723045876.9995055,1.9867495719953508e-08,224.1284282207489,48
89,0.00018810591700820547,2.264541918913311e-08,270.059921503067,4.6020764082846774e-08,1723045921.7901685,2.3375344893713664e-08,268.91917300224304,49
98,0.00018969977066376478,1.646883513646159e-08,320.12912464141846,4.166734059883897e-08,1723045971.8593717,2.5198505462377376e-08,318.98842692375183,50
107,0.00011321255031947589,9.439436546653562e-09,371.3094298839569,1.8495437732607774e-08,1723046023.039677,9.056001185954212e-09,370.16860246658325,51
118,8.235221597138603e-05,6.893012323089717e-09,432.52687764167786,1.131769581628323e-08,1723046084.2571247,4.424683493193514e-09,431.38605666160583,52
130,5.071118187731335e-05,5.435781091110084e-09,498.3863060474396,8.277251807992073e-09,1723046150.116553,2.8414707168819886e-09,497.24550580978394,53
143,4.740648583005453e-05,4.1107466311303185e-09,569.510333776474,5.974524714786651e-09,1723046221.2405808,1.8637780836563328e-09,568.3694798946381,54
157,3.8539330184034226e-05,3.1953218054016923e-09,646.2326762676239,4.648980440021127e-09,1723046297.9629233,1.4536586346194346e-09,645.0918662548065,55
172,3.494014403341347e-05,2.6448205401294483e-09,729.3742444515228,3.721231964697394e-09,1723046381.1044915,1.0764114245679458e-09,728.2334172725677,56
190,3.406835846820934e-05,2.0634408220537786e-09,829.128086566925,2.9136201274161633e-09,1723046480.8583336,8.501793053623848e-10,827.9871342182159,57
208,3.2817047798823914e-05,1.7573815139440494e-09,929.3551070690155,2.650431757089813e-09,1723046581.085354,8.930502431457635e-10,928.2142767906189,58
229,3.296044757809539e-05,1.5633140700886895e-09,1046.122082710266,2.3315921820277766e-09,1723046697.8523297,7.68278111939087e-10,1044.9812002182007,59
252,2.581143664522091e-05,1.334964433518392e-09,1174.391283273697,1.936529096522915e-09,1723046826.1215303,6.015646630045231e-10,1173.2504622936249,60
277,2.42408209631773e-05,1.0808224485039925e-09,1313.7864446640015,1.6678042647468673e-09,1723046965.5166917,5.869818162428748e-10,1312.6455872058868,61
305,2.341964533702271e-05,9.942649016946684e-10,1471.5711560249329,1.448137043154034e-09,1723047123.301403,4.5387214145936557e-10,1470.4303567409515,62
335,2.348692409156305e-05,9.03130935469469e-10,1637.479113817215,1.432483656213078e-09,1723047289.2093608,5.29352720743609e-10,1636.3383214473724,63
369,2.1568547500240302e-05,8.480131692758345e-10,1826.9733922481537,1.2622376352222007e-09,1723047478.7036393,4.142244659463662e-10,1825.8324935436249,64
