_step,loss_boundary,loss_interior,loss,_runtime,_timestamp,time,step,l2_error
73,5.079177195009526e-09,1.2980857638014106e-08,1.8060034833023633e-08,85.13096070289612,1723045781.1864138,84.6668312549591,869,0.00017106304874972295
74,4.222135851104265e-09,1.2178492732391691e-08,1.6400628583495957e-08,93.3576385974884,1723045789.4130917,92.89391493797302,956,0.00014393835466212142
75,3.4616285588354326e-09,1.0055654962795578e-08,1.3517283521631012e-08,102.43681263923645,1723045798.4922657,101.9726710319519,1052,0.00012968953953336788
76,2.97643888671288e-09,6.896637186427054e-09,9.873076073139935e-09,112.38131380081177,1723045808.4367669,111.91759061813354,1157,0.00010493349832025173
77,2.191498440565528e-09,4.38687182348133e-09,6.578370264046858e-09,123.28157019615173,1723045819.3370233,122.81761646270752,1272,9.946838816783306e-05
78,1.0449786715300847e-08,2.1573210130391836e-08,3.2022996845692683e-08,135.4375832080841,1723045831.4930363,134.9738531112671,1400,9.294030199387948e-05
79,2.05783836152014e-09,4.178929329335899e-09,6.236767690856039e-09,148.63449716567993,1723045844.6899502,148.17026233673096,1539,8.345750619387342e-05
80,7.645581683846953e-10,2.329074339237848e-09,3.0936325076225436e-09,163.2975766658783,1723045859.3530297,162.83380579948425,1693,8.06481337365723e-05
81,7.332275920697225e-10,2.5092506852555614e-09,3.242478277325284e-09,179.45892429351807,1723045875.5143774,178.99475479125977,1863,6.597400903292571e-05
82,7.760870560875715e-10,2.410151750393514e-09,3.1862388064810854e-09,197.09962511062622,1723045893.1550782,196.6358630657196,2049,5.997966017426569e-05
83,7.729906526312117e-10,2.191206575060249e-09,2.964197227691461e-09,216.56339311599731,1723045912.6188462,216.09941029548645,2254,5.7037674061947944e-05
84,5.04452741514137e-10,1.5499940416911345e-09,2.0544467832052713e-09,238.0535991191864,1723045934.1090522,237.5892117023468,2479,5.857460639095711e-05
85,1.1966507658226625e-09,2.1167672560888333e-09,3.313418021911496e-09,261.7643766403198,1723045957.8198297,261.3003258705139,2727,5.0024825143178645e-05
86,2.8182350191816612e-09,6.629669246608571e-09,9.447904265790232e-09,287.76769733428955,1723045983.8231504,287.303591966629,3000,5.5189732012654434e-05
87,3.1213650818073844e-10,1.1404609541692063e-09,1.4525974623499448e-09,316.1789741516113,1723046012.2344272,315.7149238586426,3299,5.2021755881098404e-05
88,7.074996629718878e-10,1.5384290651748965e-09,2.2459287281467844e-09,347.55089807510376,1723046043.6063511,347.0868113040924,3629,4.4406412697955706e-05
89,2.991332757554715e-10,8.293401144286571e-10,1.1284733901841287e-09,382.23380970954895,1723046078.2892628,381.76961851119995,3992,4.3309823595003586e-05
90,2.727376880861254e-10,9.062950611072349e-10,1.1790327491933602e-09,420.2168245315552,1723046116.2722776,419.7526168823242,4391,4.274659162407409e-05
91,4.342658593174602e-10,1.2151411698092185e-09,1.6494070291266786e-09,462.01723432540894,1723046158.0726874,461.5530662536621,4831,3.716687994315056e-05
92,7.855451502407938e-10,1.4897982436853103e-09,2.275343393926104e-09,507.8117325305939,1723046203.8671856,507.347585439682,5314,3.872334983109763e-05
93,2.9036940832885513e-10,7.577219761343386e-10,1.0480913844631938e-09,558.1458439826965,1723046254.201297,557.6817681789398,5845,3.2877314374149573e-05
94,4.084370652874309e-10,9.192767941160001e-10,1.327713859403431e-09,613.5450558662415,1723046309.600509,613.081033706665,6429,3.0741592819872946e-05
95,1.7864892137016158e-10,5.994177785722729e-10,7.780666999424345e-10,674.7866055965424,1723046370.8420587,674.3223760128021,7072,3.02209783230156e-05
96,1.5723818556974474e-10,5.86813916400948e-10,7.440521019706926e-10,741.9011249542236,1723046437.956578,741.4369792938232,7779,3.087110670321081e-05
97,2.2731047763676102e-10,6.04931753319828e-10,8.32242230956589e-10,815.6656577587128,1723046511.7211108,815.2015907764435,8557,2.8767954605753397e-05
98,3.970650802113587e-10,9.132433519633553e-10,1.3103084321747141e-09,896.8255324363708,1723046592.8809855,896.3614740371704,9413,2.70656159851874e-05
99,1.5510378147076585e-10,4.848457362929228e-10,6.399495177636887e-10,985.976809501648,1723046682.0322626,985.5126905441284,10354,2.5509565164088173e-05
100,1.1034239563647863e-10,3.7209761060831265e-10,4.824400062447913e-10,1084.249873161316,1723046780.3053262,1083.7856106758118,11389,2.6997105294734136e-05
101,1.8716390905675837e-10,5.61035531816774e-10,7.481994408735323e-10,1192.2956488132477,1723046888.3511019,1191.8315756320953,12528,2.387707434759623e-05
102,1.004639496504687e-10,3.0987392267885246e-10,4.1033787232932114e-10,1311.042717218399,1723047007.0981703,1310.5786411762238,13781,2.3600812685752374e-05
103,9.425612092396298e-11,3.197748370967689e-10,4.140309580207319e-10,1441.6764614582062,1723047137.7319145,1441.2123668193817,15159,2.1811529731510703e-05
104,6.599505030669653e-11,2.4240051751062564e-10,3.0839556781732214e-10,1585.2532591819763,1723047281.3087122,1584.7889444828033,16675,2.0676720688553523e-05
105,1.115249793827502e-10,3.3872582276448136e-10,4.5025080214723154e-10,1743.2926054000854,1723047439.3480585,1742.8285071849823,18342,2.0277325936803093e-05
106,6.367712551640422e-11,2.2121347790950787e-10,2.848906034259121e-10,1917.636981010437,1723047613.692434,1917.1727468967438,20177,1.9014075618167782e-05
107,4.919260420883953e-11,2.0747142982358178e-10,2.566640340324213e-10,2109.2863335609436,1723047805.3417866,2108.8222737312317,22194,1.988077070356212e-05
108,1.524194889391945e-10,3.749233764448675e-10,5.27342865384062e-10,2320.151170730591,1723048016.2066238,2319.686970472336,24414,1.7352487754808527e-05
109,6.071405043484431e-11,2.0278698104098702e-10,2.6350103147583136e-10,2551.875797510147,1723048247.9312506,2551.411778450012,26855,1.5994039253775922e-05
110,7.858901634907668e-11,2.2124330939106217e-10,2.9983232574013883e-10,2806.404116630554,1723048502.4595697,2805.940089225769,29540,1.6772102476590454e-05
111,3.9736770593545484e-11,1.5721431282396609e-10,1.9695108341751157e-10,3000.5179176330566,1723048696.5733707,3000.052731990814,31589,1.543011991101949e-05
