loss_interior,time,loss_boundary,l2_error,loss,_runtime,_timestamp,step,_step
0.0006522653040536535,42.66091513633728,3.123687466814027,1.9581501122428882,3.1243397321180804,43.4538197517395,1723045715.4548147,0,0
0.0017090066210879234,91.02243447303772,2.9730215128325272,1.9293136425552029,2.9747305194536153,91.44834065437317,1723045763.4493356,1,1
0.001960144226919209,139.6778542995453,2.8682238946059635,0.9511614984596017,2.8701840388328828,140.10325503349304,1723045812.10425,2,2
0.009828270095303548,178.56717920303345,0.8218330156874214,0.6696414670040429,0.8316612857827249,178.99330615997314,1723045850.994301,3,3
0.005693766343545864,218.93894958496094,0.4177039114240048,0.30647346423327854,0.42339767776755066,219.36502480506897,1723045891.3660197,4,4
0.057827621778287285,260.06098985671997,0.13005038199255628,0.08052455854731688,0.18787800377084357,260.48654222488403,1723045932.4875371,5,5
0.00578975044677426,298.66281938552856,0.003998620080684286,0.028435758500048352,0.009788370527458547,299.0886435508728,1723045971.0896385,6,6
0.0002360265021098633,338.1624827384949,0.0002985513148923008,0.01140241868389024,0.0005345778170021641,338.58813643455505,1723046010.5891314,7,7
5.111704926080694e-05,378.5926501750946,0.00010777229400510026,0.003274274827180254,0.0001588893432659072,379.01836585998535,1723046051.0193608,8,8
3.7121135354989465e-06,418.0206220149994,6.148290726018361e-06,0.002612718437873423,9.860404261517308e-06,418.44645047187805,1723046090.4474454,9,9
3.2611338660551345e-06,460.503564119339,4.275580818471782e-06,0.0015635799782664286,7.536714684526917e-06,460.92943835258484,1723046132.9304333,10,10
1.6881558635863834e-06,500.637508392334,2.9033279304413314e-06,0.0014854938595632845,4.591483794027714e-06,501.06333899497986,1723046173.064334,11,11
1.4500421008068587e-06,542.9663047790527,1.6894776070966173e-06,0.0011178163434581753,3.139519707903476e-06,543.3919234275818,1723046215.3929183,12,12
1.20322763329788e-06,586.3643529415131,1.312720865012545e-06,0.00121829727476688,2.515948498310425e-06,586.7901260852814,1723046258.791121,13,13
9.146143508003268e-07,629.2018258571625,9.037475290695607e-07,0.0009077148600994254,1.8183618798698875e-06,629.6276640892029,1723046301.628659,14,14
5.643635881910527e-07,667.6519103050232,5.993333617673143e-07,0.0007520777798256219,1.163696949958367e-06,668.0777986049652,1723046340.0787935,15,15
6.470713089778399e-07,707.6275091171265,4.727384587867283e-07,0.0006296624560518209,1.1198097677645682e-06,708.0532767772675,1723046380.0542717,16,16
4.914979259137495e-07,745.4568586349487,3.740057812998383e-07,0.0006817474538281555,8.655037072135877e-07,745.8825318813324,1723046417.8835268,17,17
4.209077463530125e-07,788.4724261760712,3.562293584832942e-07,0.000551406673019052,7.771371048363067e-07,788.8980267047882,1723046460.8990216,18,18
3.231968951932119e-07,829.5403656959534,2.2137143432780418e-07,0.00046625036990365065,5.445683295210161e-07,829.9660792350769,1723046501.9670742,19,19
3.1341391500242586e-07,871.4655237197876,1.735341365413535e-07,0.00046963234864945516,4.869480515437793e-07,871.8912589550018,1723046543.8922539,20,20
2.732815385936764e-07,912.0985803604126,1.9468525273783734e-07,0.00042766292853466684,4.679667913315137e-07,912.5243203639984,1723046584.5253153,21,21
2.2547685830708662e-07,950.399425983429,1.5886993711803418e-07,0.0005330327626759857,3.843467954251208e-07,950.8267734050751,1723046622.8277683,22,22
2.0783777746096605e-07,991.0715725421906,1.9354079307439735e-07,0.00038262442075189413,4.0137857053536343e-07,991.499968290329,1723046663.5009632,23,23
1.8213028388781382e-07,1030.1853432655334,1.3414756974505536e-07,0.000384585834223988,3.162778536328692e-07,1030.6113831996918,1723046702.6123781,24,24
1.8515184547727465e-07,1068.66344165802,1.0885107070783062e-07,0.0004037638138236789,2.9400291618510524e-07,1069.0907549858093,1723046741.09175,25,25
1.823041941877223e-07,1110.1150317192078,1.3972214458412295e-07,0.0003641272730224788,3.2202633877184526e-07,1110.540766954422,1723046782.5417619,26,26
1.565599921888975e-07,1148.6829135417938,9.817054238711021e-08,0.0003369159703814904,2.547305345760077e-07,1149.1088063716888,1723046821.1098013,27,27
1.608089977235616e-07,1188.3294999599457,1.1851056643873796e-07,0.0003281708663510884,2.7931956416229956e-07,1188.7557237148285,1723046860.7567186,28,28
1.3476416078411333e-07,1226.398638010025,7.977510285635876e-08,0.00032312567182469663,2.145392636404721e-07,1226.8246607780457,1723046898.8256557,29,29
1.3079040300020938e-07,1265.9592022895813,9.78780460337124e-08,0.00033194558174309835,2.2866844903392177e-07,1266.3853940963745,1723046938.386389,30,30
1.416627969501604e-07,1305.1756474971771,7.980141183136759e-08,0.0002970754541684733,2.2146420878152796e-07,1305.6014730930328,1723046977.602468,31,31
1.873028826581917e-07,1344.7451181411743,7.348577233147845e-08,0.00026530472567573733,2.6078865498967015e-07,1345.1713092327118,1723047017.1723042,32,32
1.1203296558095949e-07,1384.6680624485016,5.830646087222903e-08,0.0003154972540527809,1.7033942645318853e-07,1385.0940504074097,1723047057.0950453,33,33
1.1260432916087839e-07,1424.7982504367828,7.937590529238235e-08,0.0002768076557943107,1.9198023445326073e-07,1425.2246329784393,1723047097.225628,34,34
1.1530796222777567e-07,1465.7149937152863,6.726296465065152e-08,0.00025549807165097937,1.825709268784272e-07,1466.1409821510315,1723047138.141977,35,35
1.059063281568261e-07,1507.079564332962,6.561045596444548e-08,0.0002554800558732904,1.7151678412127158e-07,1507.5057227611542,1723047179.5067177,36,36
9.959883927856517e-08,1546.7272124290466,5.045218403496132e-08,0.0002552511635647636,1.500510233135265e-07,1547.1533303260803,1723047219.1543252,37,37
