_runtime,loss_boundary,time,loss_interior,step,_step,l2_error,_timestamp,loss
2.604882001876831,3.1734512319644956,1.7147278785705566,0.00025267566290999985,0,0,0.8330587009107862,1723045692.929141,3.173703907627406
3.0846147537231445,0.8419525224482591,2.5631136894226074,0.001642613108539912,1,1,0.7002155670917262,1723045693.4088738,0.843595135556799
3.6042003631591797,0.35964426865422183,3.0827603340148926,0.00029256747598037873,2,2,0.7758727801690537,1723045693.9284594,0.3599368361302022
4.109070777893066,0.37376385479929514,3.587458848953247,0.000564142663314493,3,3,0.5994504679245963,1723045694.4333298,0.37432799746260964
4.6926047801971436,0.2654399018464668,4.171072483062744,0.05379496836995914,4,4,0.728918240747656,1723045695.0168638,0.31923487021642594
5.2470293045043945,0.2874476206517637,4.725679159164429,0.028258996265154313,5,5,0.646591737517882,1723045695.5712883,0.31570661691691804
5.732451915740967,0.268677160270161,5.20816445350647,0.028839452810300873,6,6,0.7556075313497042,1723045696.056711,0.29751661308046184
6.306073427200317,0.2443411747571888,5.784607887268066,0.006845799733023861,7,7,0.6588783949953959,1723045696.6303325,0.25118697449021266
6.840685129165649,0.21961267979673568,6.319216251373291,0.013271658168275142,8,8,0.5454362623514505,1723045697.1649442,0.23288433796501082
7.423861742019653,0.1799959039778925,6.902566194534302,0.027133839603725517,9,9,0.6455052167980004,1723045697.7481208,0.207129743581618
7.962207317352295,0.19411061146956649,7.440813779830933,0.01566995413408019,10,10,0.5861161806833737,1723045698.2864664,0.20978056560364666
8.464824676513672,0.1619534996458694,7.942872762680054,0.017010176622590554,11,11,0.6755207677999845,1723045698.7890837,0.17896367626845994
8.977215051651001,0.194838135972323,8.455724716186523,0.009531641041500864,12,12,0.5540456326538983,1723045699.301474,0.20436977701382386
9.439826726913452,0.17709580484074133,8.918440818786621,0.01743269019011446,13,13,0.5880415412941423,1723045699.7640858,0.19452849503085579
9.899115085601807,0.183200983688708,9.377676010131836,0.013732775366137805,14,14,0.515204355881111,1723045700.2233741,0.1969337590548458
10.3214852809906,0.17209191257851872,9.800011396408081,0.022411423121604643,15,15,0.5774214368669973,1723045700.6457443,0.19450333570012335
10.784278392791748,0.17589543821386514,10.262833595275879,0.013737013005050524,16,16,0.4974714916809445,1723045701.1085374,0.18963245121891567
11.32240104675293,0.168619576877151,10.800792217254639,0.019130215198412178,17,17,0.5708384850249995,1723045701.64666,0.1877497920755632
11.813510417938232,0.15340617112051166,11.291882276535034,0.011451608122651225,18,18,0.5359425080556875,1723045702.1377695,0.1648577792431629
12.256600141525269,0.1472118639808742,11.735200643539429,0.006717488794005246,19,19,0.47731544412481003,1723045702.5808592,0.15392935277487946
12.69964861869812,0.13521982030133847,12.177913665771484,0.014836370952751626,20,20,0.5281434344031158,1723045703.0239077,0.1500561912540901
13.204881191253662,0.14253596165944207,12.68328332901001,0.009156832408567666,21,21,0.4833670705758876,1723045703.5291402,0.15169279406800973
13.66597318649292,0.1389105732599136,13.144540786743164,0.012141169667137063,22,22,0.5077983029775505,1723045703.9902322,0.15105174292705068
14.178223609924316,0.14705282544725162,13.65657091140747,0.011852818063764028,23,23,0.5488668101646298,1723045704.5024827,0.15890564351101566
14.70162582397461,0.11808913205189137,14.17957091331482,0.01762872547588751,24,24,0.48515525404253246,1723045705.0258849,0.13571785752777887
15.141772747039795,0.11693263727890627,14.620035886764526,0.019196242383957438,25,25,0.44446691822193135,1723045705.4660318,0.1361288796628637
15.581337451934814,0.11782097930138831,15.059903860092163,0.010302007518328288,26,26,0.4911427312478252,1723045705.9055965,0.1281229868197166
16.113696813583374,0.11382247987369826,15.592007160186768,0.012982698879263755,27,27,0.46044422617134584,1723045706.4379559,0.12680517875296202
16.63263702392578,0.10874395055767193,16.111107349395752,0.013729957983776643,28,28,0.5058848653852973,1723045706.956896,0.12247390854144857
17.09693169593811,0.11245277789501222,16.575340747833252,0.012009238113477977,29,29,0.441611008873471,1723045707.4211907,0.1244620160084902
17.533493041992188,0.10928766583532601,17.01192831993103,0.015778798546279615,30,30,0.4612843907770222,1723045707.857752,0.12506646438160562
18.035120964050293,0.09925812841895157,17.513357877731323,0.013756972796393369,31,31,0.45746873368004953,1723045708.35938,0.11301510121534494
18.56259298324585,0.10508883052420606,18.040977954864502,0.009611493782625189,32,32,0.4170531622740721,1723045708.886852,0.11470032430683125
19.0612690448761,0.10675969396223611,18.53972363471985,0.014294954285684388,33,33,0.4402011096566569,1723045709.385528,0.1210546482479205
19.50995969772339,0.10795944407348088,18.988422870635986,0.013778544183150951,34,34,0.39849679121937887,1723045709.8342187,0.12173798825663183
20.03861403465271,0.09709400466871204,19.517005681991577,0.017623553773873767,35,35,0.4441857987553138,1723045710.362873,0.11471755844258581
20.543939113616943,0.09425884287237793,20.02228832244873,0.012614146393170687,36,36,0.43826120670303564,1723045710.8681982,0.10687298926554861
21.02172088623047,0.09873397891431979,20.500257968902588,0.01761720543218322,37,37,0.4121505481109981,1723045711.34598,0.116351184346503
21.538429021835327,0.09301475397335637,21.016657829284668,0.014953320151666415,38,38,0.44185875337383995,1723045711.862688,0.1079680741250228
22.04534673690796,0.09884319082599384,21.523902654647827,0.01348356550342007,39,39,0.39871341263037074,1723045712.3696058,0.11232675632941391
22.5879225730896,0.09224582889392713,22.06614851951599,0.015126987746925991,40,40,0.38148603580624313,1723045712.9121816,0.10737281664085312
23.65895676612854,0.07520373778439678,23.137338399887085,0.024312331113202097,42,41,0.396177444164372,1723045713.9832158,0.09951606889759887
