time,_runtime,loss_boundary,loss_interior,_step,l2_error,_timestamp,loss,step
1.6044795513153076,2.2554991245269775,2.789697141878816,3.796917940553107e-06,0,0.647353916205294,1723045695.677849,2.7897009387967566,0
2.042253017425537,2.46620512008667,0.5090331740009183,0.005765843057550395,1,0.7881444148098826,1723045695.888555,0.5147990170584686,1
2.2489993572235107,2.6714773178100586,0.34819213985626996,0.007314199702953151,2,0.8199768686114494,1723045696.0938272,0.3555063395592231,2
2.450972318649292,2.8734707832336426,0.34725153961411015,0.007099294581417949,3,0.8313952201045174,1723045696.2958207,0.3543508341955281,3
2.65329909324646,3.077049493789673,0.34719439827003795,0.006826956396340076,4,0.8603751119075143,1723045696.4993994,0.354021354666378,4
2.8568575382232666,3.279388904571533,0.3469022782056817,0.0053066152283469835,5,0.9035215632257222,1723045696.7017388,0.35220889343402867,5
3.059516668319702,3.4819998741149902,0.34272071633402984,0.0007940551324034636,6,0.7750039363284302,1723045696.9043498,0.3435147714664333,6
3.2625234127044678,3.684946298599243,0.28696905993198174,0.013694215847354979,7,0.6789968988636119,1723045697.1072962,0.3006632757793367,7
3.4632084369659424,3.885662794113159,0.2620255875756233,0.02993161608505078,8,0.660928582019015,1723045697.3080127,0.29195720366067407,8
3.666194438934326,4.088655948638916,0.25841210985898194,0.03326481900623936,9,0.6368640106900479,1723045697.5110059,0.2916769288652213,9
3.867046356201172,4.2895188331604,0.2537336329573666,0.03708461598545203,10,0.4869527860968766,1723045697.7118688,0.29081824894281866,10
4.073440790176392,4.49621319770813,0.22204768864232477,0.04662119880429354,11,0.6084171104189106,1723045697.9185631,0.2686688874466183,11
4.276617527008057,4.699182510375977,0.1993443472550348,0.02493259564353922,12,0.676387761025284,1723045698.1215324,0.22427694289857403,12
4.478218078613281,4.900812149047852,0.20512068549882623,0.015804878934046574,13,0.7013702955952293,1723045698.323162,0.2209255644328728,13
4.681137561798096,5.103699445724487,0.2049422398840101,0.00760726331283386,14,0.5902005998138892,1723045698.5260494,0.212549503196844,14
4.884134769439697,5.306695461273193,0.18549157947308528,0.00915777968553871,15,0.5496351665055922,1723045698.7290454,0.194649359158624,15
5.089129209518433,5.511686086654663,0.1805268520165244,0.011870170794269611,16,0.5302369616147441,1723045698.934036,0.19239702281079402,16
5.29280948638916,5.71538782119751,0.1678613516807969,0.019454765522344403,17,0.5828509996820181,1723045699.1377378,0.1873161172031413,17
5.495836973190308,5.918466806411743,0.1610734122163045,0.022982001262190944,18,0.5941722288284002,1723045699.3408167,0.18405541347849544,18
5.700029373168945,6.1226959228515625,0.1604639394531436,0.02309241301429891,19,0.4795685275515151,1723045699.5450459,0.1835563524674425,19
5.903888702392578,6.326588153839111,0.15121412653460478,0.018114255128957712,20,0.5715270634883884,1723045699.748938,0.16932838166356248,20
6.109546184539795,6.53225564956665,0.15078662214367566,0.009527724579939927,21,0.5888718519023735,1723045699.9546056,0.16031434672361558,21
6.31461501121521,6.737337350845337,0.14919476450286154,0.00910589876459875,22,0.4996927191651519,1723045700.1596873,0.15830066326746028,22
6.520503997802734,6.943227291107178,0.13586152978862062,0.017374518986011018,23,0.4627496220591653,1723045700.3655772,0.15323604877463165,23
6.725590229034424,7.1483235359191895,0.13213718705375213,0.017238090888077883,24,0.49960910851246637,1723045700.5706735,0.14937527794183,24
6.9298341274261475,7.352525472640991,0.1324922984211327,0.012522137039314353,25,0.5176155984471689,1723045700.7748754,0.14501443546044704,25
7.133146286010742,7.555912017822266,0.1332840437905017,0.011145602134496054,26,0.5323553895969724,1723045700.978262,0.14442964592499777,26
7.337356090545654,7.760121583938599,0.1331840951386176,0.010667172173794653,27,0.4499398565744027,1723045701.1824715,0.14385126731241224,27
7.541690111160278,7.964426040649414,0.119078626220145,0.020869312125759796,28,0.4939647883273946,1723045701.386776,0.1399479383459048,28
7.746468782424927,8.169257164001465,0.12183024964617556,0.015051265805304205,29,0.46441877172074786,1723045701.591607,0.13688151545147975,29
7.952950954437256,8.375808954238892,0.11286808812577166,0.017740764044011797,30,0.4344928566409407,1723045701.798159,0.13060885216978346,30
8.157880306243896,8.58073091506958,0.10779619989800752,0.020582008392649682,31,0.41876054172051724,1723045702.0030808,0.12837820829065721,31
8.360925197601318,8.78367829322815,0.10401925485809849,0.023672966461580524,32,0.4773456405663583,1723045702.2060282,0.127692221319679,32
8.566408634185791,8.989247798919678,0.10593998521020997,0.017709037846425964,33,0.4012358102740441,1723045702.4115977,0.12364902305663594,33
8.769808053970337,9.192528247833252,0.09888810495303064,0.020049994544107802,34,0.4101740998795982,1723045702.6148782,0.11893809949713845,34
8.973443031311035,9.396162986755371,0.1020373599934577,0.011672750594997982,35,0.4098219078615177,1723045702.818513,0.11371011058845568,35
9.177218914031982,9.599968910217285,0.09257795006609461,0.014824827910093995,36,0.41400794144575703,1723045703.0223188,0.10740277797618861,36
9.381380319595337,9.804127216339111,0.08699417127665213,0.01808183461821154,37,0.40153325838547754,1723045703.2264771,0.10507600589486367,37
9.584688901901245,10.007393836975098,0.08767975689766618,0.011265918408229218,38,0.3607631979151061,1723045703.4297438,0.09894567530589539,38
9.789922714233398,10.212708473205566,0.07982357038173027,0.013785706836444594,39,0.3488405543418721,1723045703.6350584,0.09360927721817486,39
9.994993925094604,10.417989492416382,0.07313781453682817,0.019380206992307844,40,0.3808330315703316,1723045703.8403394,0.09251802152913602,40
10.401418924331665,10.824169635772705,0.07435934877212423,0.012926534335294714,41,0.30490826410752525,1723045704.2465196,0.08728588310741894,42
