loss_boundary,loss_interior,loss,step,_step,_timestamp,time,_runtime,l2_error
2.631385783201568,6.3281793471193575e-06,2.631392111380915,0,0,1723045697.845759,1.3755509853363037,2.007957935333252,1.8276542423032023
2.631379686546189,6.328612408331106e-06,2.6313860151585975,1,1,1723045697.9826899,1.722125768661499,2.1448888778686523,0.9121191871994178
0.40520716974441195,0.0003401611925063542,0.4055473309369183,2,2,1723045698.1120472,1.8524072170257568,2.2742462158203125,0.749173972123804
0.3719209080260164,0.0004942658586214584,0.37241517388463785,3,3,1723045698.222617,1.9631338119506836,2.3848159313201904,0.5623856003393137
0.24405232837376023,0.06935707811619998,0.3134094064899602,4,4,1723045698.3377368,2.078084707260132,2.4999358654022217,0.6578324164940341
0.24531728108355105,0.052532375671199436,0.2978496567547505,5,5,1723045698.4499924,2.1905624866485596,2.6121914386749268,0.6321689720133128
0.25505401758878515,0.002524730517752246,0.2575787481065374,6,6,1723045698.558701,2.2994120121002197,2.720900058746338,0.7088975652093166
0.1878984306520217,0.024510529941351156,0.21240896059337286,7,7,1723045698.6579564,2.398663282394409,2.820155382156372,0.5706301112709744
0.17046126001166337,0.01360707370288032,0.18406833371454367,8,8,1723045698.7567317,2.4974772930145264,2.918930768966675,0.5666714929817626
0.15538373618958368,0.022449723737546907,0.1778334599271306,9,9,1723045698.8572352,2.5966060161590576,3.0194342136383057,0.4897883952893178
0.1456847054931709,0.01602956365893642,0.16171426915210732,10,10,1723045698.957045,2.6977505683898926,3.11924409866333,0.5263643987639088
0.14705456900679742,0.010534317119158367,0.15758888612595578,11,11,1723045699.056163,2.7968108654022217,3.2183620929718018,0.4573612362100995
0.13351756629031725,0.012959471786090117,0.14647703807640736,12,12,1723045699.1549757,2.8956849575042725,3.3171746730804443,0.5049108697271806
0.13387549211106875,0.008309659949366216,0.14218515206043497,13,13,1723045699.2545724,2.9952874183654785,3.416771411895752,0.4250048027786353
0.10026767910071306,0.017281432651309925,0.11754911175202298,14,14,1723045699.3534298,3.094097137451172,3.5156288146972656,0.44816975551405475
0.09973970980972185,0.01616607530269491,0.11590578511241677,15,15,1723045699.4531422,3.1937899589538574,3.6153411865234375,0.4005267793312567
0.08880567227506901,0.017441055778744708,0.10624672805381372,16,16,1723045699.5523868,3.2930915355682373,3.714585781097412,0.40292040328702844
0.08891481497608067,0.008848182426319075,0.09776299740239974,17,17,1723045699.6524847,3.393195867538452,3.814683675765991,0.3430438386637983
0.08073408823056706,0.00898992290214533,0.08972401113271239,18,18,1723045699.752277,3.492957592010498,3.914475917816162,0.37670411637355233
0.07285039760558765,0.010921650009133036,0.08377204761472068,19,19,1723045699.8513694,3.5920186042785645,4.01356840133667,0.32493756756403197
0.0606021576350055,0.014438540929391555,0.07504069856439706,20,20,1723045699.950421,3.691099166870117,4.112620115280151,0.3156274937556944
0.05707518084624231,0.014671373045315178,0.07174655389155749,21,21,1723045700.0500984,3.7907774448394775,4.212297439575195,0.3369743456777475
0.05703725361930774,0.013177110156694951,0.0702143637760027,22,22,1723045700.1491077,3.8897857666015625,4.311306715011597,0.30147515944832554
0.05410808648642111,0.011433962153181735,0.06554204863960285,23,23,1723045700.248833,3.989531993865967,4.41103196144104,0.32564569922279446
0.05225854870195921,0.008870625945375105,0.06112917464733431,24,24,1723045700.3490722,4.089807987213135,4.511271238327026,0.27046394964453957
0.0436125970535047,0.011859845101400679,0.05547244215490538,25,25,1723045700.4479208,4.188628196716309,4.610119819641113,0.28284565585729926
0.04084989050532866,0.01247777054583492,0.05332766105116358,26,26,1723045700.5474725,4.28817343711853,4.709671497344971,0.24017106365571203
0.033610875672606254,0.016172708714859523,0.049783584387465774,27,27,1723045700.6463723,4.387084007263184,4.8085713386535645,0.2531382160633326
0.03154663038872467,0.01663044883076995,0.048177079219494615,28,28,1723045700.7463877,4.487116575241089,4.908586740493774,0.2321398690413004
0.02837288109641633,0.017068192399735924,0.04544107349615226,29,29,1723045700.8448997,4.585616111755371,5.00709867477417,0.23718734812656528
0.027991369874041477,0.015838200572253328,0.043829570446294805,30,30,1723045700.9436648,4.684428691864014,5.105863809585571,0.20874028372039702
0.02687180285575496,0.01486721482288603,0.041739017678640994,31,31,1723045701.0579693,4.798439979553223,5.220168352127075,0.2159918384932024
0.025754218923722257,0.01423999978362021,0.03999421870734247,32,32,1723045701.1601639,4.900885820388794,5.322362899780273,0.20395607299476395
0.02516715303413666,0.01370716077621181,0.03887431381034847,33,33,1723045701.2594452,5.000158071517944,5.42164421081543,0.20311389840539906
0.02609054076612716,0.010350931150836453,0.03644147191696361,34,34,1723045701.3582675,5.098982572555542,5.520466566085815,0.18661749881126455
0.025713058185846686,0.0094214676019894,0.03513452578783609,35,35,1723045701.4578466,5.198591947555542,5.6200456619262695,0.19584143582407695
0.02498918377259947,0.007550866736719318,0.03254005050931879,36,36,1723045701.5568075,5.297603368759155,5.719006538391113,0.19624177547150137
0.023776207925320827,0.007579611227004908,0.031355819152325735,37,37,1723045701.6578066,5.39806604385376,5.820005655288696,0.20847391087979744
0.023668645452899213,0.0063910811400499775,0.03005972659294919,38,38,1723045701.7719452,5.512303829193115,5.9341442584991455,0.19740976849307518
0.02322603479561669,0.006064615358502133,0.029290650154118823,39,39,1723045701.884262,5.6246864795684814,6.04646110534668,0.21358055207675494
0.022461650839186584,0.004954722520601883,0.027416373359788467,40,40,1723045701.9921002,5.73266863822937,6.154299259185791,0.2105434648386309
0.02138878777150581,0.004219031466238257,0.025607819237744068,42,41,1723045702.2117774,5.952533006668091,6.373976469039917,0.19849308068581523
