step,loss,time,_runtime,loss_interior,_timestamp,loss_boundary,_step,l2_error
0,2.394158178271784,1.6540210247039795,2.3341057300567627,1.0692413319824011e-05,1723045698.3318427,2.3941474858584644,0,1.7036732704674442
1,2.3941525169990037,2.3080685138702393,2.7701354026794434,1.0692652318715356e-05,1723045698.7678723,2.394141824346685,1,0.5992306868359889
2,0.3850508879801564,2.7409074306488037,3.2021985054016113,0.04616528467915907,1723045699.1999354,0.3388856033009973,2,0.6864245100696154
3,0.3428853073120186,3.1740853786468506,3.635416269302368,0.006772365231927381,1723045699.6331532,0.33611294208009124,3,0.7517405957445578
4,0.3309934445842481,3.606229782104492,4.067681550979614,0.01052436429311502,1723045700.0654185,0.3204690802911331,4,0.5349557248663078
5,0.28428609977465524,4.038516283035278,4.500770092010498,0.08659428810836826,1723045700.498507,0.197691811666287,5,0.6784278634773826
6,0.20469003608265687,4.473490238189697,4.935489654541016,0.016210994887091566,1723045700.9332266,0.1884790411955653,6,0.5782098111939484
7,0.19321790418409548,4.906736135482788,5.368818521499634,0.021297942326315794,1723045701.3665555,0.1719199618577797,7,0.5705620840725887
8,0.1852189668873267,5.340871334075928,5.803250551223755,0.02703773914104328,1723045701.8009875,0.15818122774628343,8,0.5099013119391831
9,0.17540412817756207,5.77455472946167,6.238534450531006,0.014283632760963574,1723045702.2362714,0.16112049541659848,9,0.5575086985279416
10,0.17013220084238176,6.210994720458984,6.674319744110107,0.005665767692841898,1723045702.6720567,0.16446643314953985,10,0.40211425202527246
11,0.14705752355454446,6.64785361289978,7.111531496047974,0.03764476550362774,1723045703.1092684,0.10941275805091673,11,0.47365277831242913
12,0.1368467772636351,7.084564685821533,7.548175096511841,0.02259973221747978,1723045703.545912,0.11424704504615531,12,0.4347638787097947
13,0.1291619791084617,7.520729064941406,7.98399806022644,0.015124092773446809,1723045703.981735,0.1140378863350149,13,0.4172991762234986
14,0.11235250597062771,7.9568140506744385,8.420286655426025,0.015609825491576827,1723045704.4180236,0.09674268047905088,14,0.44539561934140626
15,0.11060109231905,8.392236232757568,8.855575323104858,0.01256008505678537,1723045704.8533123,0.09804100726226464,15,0.41102071674339796
16,0.10506606446437214,8.830055236816406,9.293423175811768,0.009408543226180772,1723045705.29116,0.09565752123819136,16,0.3922382762224858
17,0.10168027178078423,9.265557765960693,9.728855609893799,0.013594594428863845,1723045705.7265925,0.08808567735192038,17,0.4281171335349164
18,0.09836487314223397,9.700875043869019,10.164012670516968,0.010573979699228712,1723045706.1617496,0.08779089344300525,18,0.3282049873664896
19,0.08666737540542732,10.136346817016602,10.599549531936646,0.01665969795871117,1723045706.5972865,0.07000767744671615,19,0.3564868590860536
20,0.08189099571651937,10.5718834400177,11.035053968429565,0.016175953687595498,1723045707.032791,0.06571504202892386,20,0.31022199408630363
21,0.0779456548285648,11.006875991821289,11.47004771232605,0.018823939646798925,1723045707.4677846,0.05912171518176588,21,0.32686260578603643
22,0.07277564313261481,11.441657066345215,11.90483832359314,0.012105662883468028,1723045707.9025753,0.060669980249146785,22,0.35092026554603073
23,0.07125008137469296,11.876052856445312,12.339226722717285,0.011904013754287278,1723045708.3369637,0.05934606762040568,23,0.3199353489885031
24,0.06871416749901102,12.31143856048584,12.774549007415771,0.016036584382802626,1723045708.772286,0.05267758311620839,24,0.3062381247355623
25,0.0640905036670609,12.753121137619019,13.216389894485474,0.013317381967775795,1723045709.2141268,0.0507731216992851,25,0.3218071917672992
26,0.061255413288155605,13.191435813903809,13.654806137084961,0.012969131953980938,1723045709.652543,0.04828628133417467,26,0.27212620960949163
27,0.057120990706179445,13.62667989730835,14.089832782745361,0.01745024557910443,1723045710.0875697,0.03967074512707501,27,0.23928910216629956
28,0.053269747118234,14.062981128692627,14.526026964187622,0.016672926009695218,1723045710.523764,0.03659682110853878,28,0.23260459385069626
29,0.04962508366365255,14.498589277267456,14.961814641952515,0.017635662745351336,1723045710.9595516,0.03198942091830121,29,0.21401494946400784
30,0.04896172858930015,14.933730363845825,15.396721124649048,0.017865755761582634,1723045711.394458,0.03109597282771752,30,0.20512924080487258
31,0.0464045947684132,15.368378162384033,15.83128809928894,0.014984863674724097,1723045711.829025,0.031419731093689104,31,0.21946410741835162
32,0.04258509783342037,15.80290412902832,16.265743494033813,0.012765883049073869,1723045712.2634804,0.0298192147843465,32,0.20893100164762718
33,0.03713405505890521,16.23750352859497,16.700278759002686,0.009091565025250666,1723045712.6980157,0.02804249003365455,33,0.1972849351362626
34,0.03633565540502067,16.672411918640137,17.13528800010681,0.00904464252512565,1723045713.133025,0.02729101287989502,34,0.2008229708137262
35,0.03424801293039862,17.107200860977173,17.57005500793457,0.007164559585651984,1723045713.567792,0.027083453344746638,35,0.19612468299096417
36,0.03345695636487954,17.542991638183594,18.005890369415283,0.006647696171515108,1723045714.0036273,0.02680926019336443,36,0.18318040126050517
37,0.0322838061861134,17.97968292236328,18.442580699920654,0.006334327580933321,1723045714.4403176,0.025949478605180078,37,0.19703991212115063
38,0.0310698922734228,18.414406299591064,18.877298831939697,0.006341190658937182,1723045714.8750358,0.024728701614485617,38,0.20198927719766308
39,0.03021711526247199,18.84911608695984,19.311999559402466,0.006203689654969729,1723045715.3097365,0.024013425607502262,39,0.19556109165125016
40,0.029747350338803553,19.28366255760193,19.746529817581177,0.0062782638152777065,1723045715.7442667,0.023469086523525848,40,0.203388489549211
42,0.026832324621100318,20.13672661781311,20.599550485610962,0.00644922085361977,1723045716.5972874,0.020383103767480548,41,0.1805479760183401
