_runtime,_timestamp,loss_interior,_step,loss_boundary,loss,step,l2_error,time
2.9453818798065186,1723045655.2244308,3.796917940553107e-06,0,2.789697141878816,2.7897009387967566,0,0.6521161079034085,1.955000638961792
3.256424903869629,1723045655.5354738,0.015781377082331714,1,0.23817906534977704,0.25396044243210875,1,0.5099219691882334,2.6389071941375732
3.6082472801208496,1723045655.8872962,0.010962205116420414,2,0.14753956009630098,0.15850176521272138,2,0.4090650969075218,2.990541696548462
3.996843099594116,1723045656.275892,0.02657503378921669,3,0.09121246003815432,0.11778749382737101,3,0.2767100635154708,3.379246711730957
4.4237425327301025,1723045656.7027915,0.011964998802676053,4,0.05136928364138116,0.06333428244405721,4,0.7434298559042646,3.805919885635376
4.884734869003296,1723045657.1637838,0.007810613398070281,5,0.3500188030419581,0.35782941644002836,5,75806216407.28165,4.267401933670044
5.3820641040802,1723045657.661113,0.0,6,4.0902642682386396e+21,4.0902642682386396e+21,6,828337393058.7057,4.764707088470459
5.920762777328491,1723045658.1998117,0.0,7,4.23985726768406e+23,4.23985726768406e+23,7,305203855268.33795,5.303386449813843
6.4902942180633545,1723045658.7693431,0.0,8,6.402721242394905e+22,6.402721242394905e+22,8,61450732090.47529,5.87296199798584
7.094314813613892,1723045659.3733637,0.0,9,3.626331873359628e+21,3.626331873359628e+21,9,16390921540.04163,6.476951599121094
7.7305779457092285,1723045660.0096269,0.0,10,4.863653600460015e+20,4.863653600460015e+20,10,96014593814.46051,7.113253116607666
8.398265361785889,1723045660.6773143,0.0,11,4.2656740043591495e+21,4.2656740043591495e+21,11,66839968556.2732,7.780874252319336
9.09184741973877,1723045661.3708963,0.0,12,2.1289819625004154e+21,2.1289819625004154e+21,12,1395866715559.2288,8.47317361831665
9.796453475952148,1723045662.0755024,0.0,13,2.9975186983410687e+24,2.9975186983410687e+24,13,593340210349.8369,9.179027318954468
10.50214409828186,1723045662.781193,0.0,14,1.8057607735563736e+23,1.8057607735563736e+23,14,169680824992.81253,9.884756088256836
11.215545892715454,1723045663.4945948,0.0,15,1.848278352716366e+22,1.848278352716366e+22,15,214739319390.11304,10.598126411437988
11.917055130004883,1723045664.196104,0.0,16,2.8731632594564384e+22,2.8731632594564384e+22,16,129566692028.40033,11.299708366394043
12.608651876449585,1723045664.8877008,0.0,17,8.751527171802637e+21,8.751527171802637e+21,17,53759182626.15413,11.991307973861694
13.29951024055481,1723045665.5785592,0.0,18,1.9526093383677303e+21,1.9526093383677303e+21,18,58208822137.933685,12.682114362716675
13.996847152709961,1723045666.275896,0.0,19,1.8049849847266943e+21,1.8049849847266943e+21,19,63788332705.10546,13.379423379898071
14.696851253509521,1723045666.9759002,0.0,20,2.7291837492441624e+21,2.7291837492441624e+21,20,139990360442.2394,14.07946515083313
15.400106430053711,1723045667.6791553,0.0,21,1.0303390166532986e+22,1.0303390166532986e+22,21,166230935801.59274,14.782681465148926
16.097155809402466,1723045668.3762047,0.0,22,1.4383011695739649e+22,1.4383011695739649e+22,22,26009075085.620686,15.479819536209106
16.791508674621582,1723045669.0705576,0.0,23,6.574521366344212e+20,6.574521366344212e+20,23,8180510931.909373,16.17418360710144
17.488102674484253,1723045669.7671516,0.0,24,1.9766988001666826e+20,1.9766988001666826e+20,24,52636867893.489265,16.870666980743408
18.18747901916504,1723045670.466528,0.0,25,2.0853942945879588e+21,2.0853942945879588e+21,25,21272460002.772114,17.5700581073761
18.887145280838013,1723045671.1661942,0.0,26,2.6060604486385857e+20,2.6060604486385857e+20,26,3269524761.2907662,18.269713640213013
19.586157083511353,1723045671.865206,0.0,27,4.887110828261415e+19,4.887110828261415e+19,27,3376322140.771249,18.96871018409729
20.30902910232544,1723045672.588078,0.0,28,3.7989477176413e+19,3.7989477176413e+19,28,3875281175.7115417,19.69158697128296
21.009525537490845,1723045673.2885745,0.0,29,6.807832460395512e+19,6.807832460395512e+19,29,26890732809.786846,20.39223289489746
21.715320348739624,1723045673.9943693,0.0,30,4.691254799859709e+20,4.691254799859709e+20,30,14255267403.536293,21.097965955734253
22.420714616775513,1723045674.6997635,0.0,31,1.0983806302038635e+20,1.0983806302038635e+20,31,328115102011.43176,21.803293704986572
23.11926579475403,1723045675.3983147,0.0,32,4.925065115717463e+22,4.925065115717463e+22,32,174813384640.72894,22.50186800956726
23.82564949989319,1723045676.1046984,0.0,33,2.5316174961789656e+22,2.5316174961789656e+22,33,26044253392346.344,23.2082839012146
24.524863958358765,1723045676.8039129,0.0,34,3.21637064113346e+26,3.21637064113346e+26,34,2155353657357.723,23.90732431411743
25.230191707611084,1723045677.5092406,0.0,35,2.7604382293146054e+24,2.7604382293146054e+24,35,1247568093073.7493,24.612739086151123
25.922635078430176,1723045678.201684,0.0,36,1.473366715510404e+24,1.473366715510404e+24,36,1180300627306.1848,25.305234909057617
26.620742797851562,1723045678.8997917,0.0,37,6.22500359786648e+23,6.22500359786648e+23,37,1269353185382.9358,26.0033118724823
27.318855047225952,1723045679.597904,0.0,38,4.713516846659027e+23,4.713516846659027e+23,38,5925960810206.369,26.701520919799805
28.01457643508911,1723045680.2936254,0.0,39,1.621783673048084e+25,1.621783673048084e+25,39,179292294830110.6,27.397221565246582
28.717880964279175,1723045680.99693,0.0,40,1.5432303168842655e+28,1.5432303168842655e+28,40,12169882706676.47,28.100578784942627
30.07125735282898,1723045682.3503063,0.0,41,3.9931670765046295e+24,3.9931670765046295e+24,42,1599971581843.5715,29.453929901123047
32.801353454589844,1723045685.0804024,0.0,42,1.2537115885421672e+23,1.2537115885421672e+23,46,95563150663.78894,32.18393850326538
35.55473828315735,1723045687.8337872,0.0,43,3.5052454339143438e+25,3.5052454339143438e+25,50,285622296160659.6,34.937335729599
39.03459715843201,1723045691.313646,0.0,44,1.602165670647639e+25,1.602165670647639e+25,55,535026076060.1737,38.417277574539185
43.16298532485962,1723045695.4420342,0.0,45,4.951786478762777e+16,4.951786478762777e+16,61,36444471.74874719,42.544530391693115
47.21660399436951,1723045699.495653,0.0,46,10656013.085441535,10656013.085441535,67,460.31186424792185,46.59933042526245
50.26211953163147,1723045702.5411685,0.0,47,0.331151543907048,0.331151543907048,73,0.7540864970610438,49.64482069015503
50.69773197174072,1723045702.976781,0.0,48,0.3307079942690278,0.3307079942690278,81,0.7450520463347178,50.080451011657715
51.098071813583374,1723045703.3771207,0.0,49,0.3324258357776096,0.3324258357776096,89,0.7450520463347178,50.480798959732056
51.550832748413086,1723045703.8298817,0.0,50,0.3498820748191708,0.3498820748191708,98,0.7450520463347178,50.933584690093994
51.98737549781799,1723045704.2664244,0.0,51,0.3396846651227243,0.3396846651227243,107,0.7450520463347178,51.37009406089783
52.44135618209839,1723045704.720405,0.0,52,0.31347745955676226,0.31347745955676226,118,0.7450520463347178,51.824069023132324
52.898542165756226,1723045705.177591,0.0,53,0.31225387027501444,0.31225387027501444,130,0.7450520463347178,52.281254053115845
53.39366674423218,1723045705.6727157,0.0,54,0.3193766877867867,0.3193766877867867,143,0.7450520463347178,52.77639055252075
53.93293309211731,1723045706.211982,0.0,55,0.35853633950185915,0.35853633950185915,157,0.7450520463347178,53.31563472747803
54.503530979156494,1723045706.78258,0.0,56,0.32612054170114874,0.32612054170114874,172,0.7450520463347178,53.886252880096436
55.18704676628113,1723045707.4660957,0.0,57,0.33208414383895574,0.33208414383895574,190,0.7450520463347178,54.56976294517517
55.97694373130798,1723045708.2559927,0.0,58,0.3320935367443277,0.3320935367443277,208,0.7163012619269783,55.35964894294739
56.77112698554993,1723045709.050176,0.0,59,0.30811436743545334,0.30811436743545334,229,0.7163012619269783,56.15385675430298
57.652523040771484,1723045709.931572,0.0,60,2.3597888253241153e+25,2.3597888253241153e+25,252,0.7163012619269783,57.03524422645569
58.603949785232544,1723045710.8829987,0.0,61,0.3270060366732414,0.3270060366732414,277,0.7163012619269783,57.98668313026428
59.67973852157593,1723045711.9587874,0.0,62,0.3195254314007155,0.3195254314007155,305,0.7163012619269783,59.06244897842407
60.83376359939575,1723045713.1128125,0.0,63,0.32961267586334353,0.32961267586334353,335,0.7163012619269783,60.21651077270508
62.13977909088135,1723045714.418828,0.0,64,0.32671102782087386,0.32671102782087386,369,0.7163012619269783,61.522473096847534
63.558449029922485,1723045715.837498,0.0,65,0.32965877129818716,0.32965877129818716,406,0.7163012619269783,62.94109272956848
65.09355020523071,1723045717.3725991,0.0,66,0.36316388566749735,0.36316388566749735,446,0.7163012619269783,64.47623491287231
66.80676913261414,1723045719.085818,0.0,67,0.3224573527064174,0.3224573527064174,491,0.7163012619269783,66.18948435783386
68.70629954338074,1723045720.9853485,0.0,68,0.3437438443910703,0.3437438443910703,540,0.7163012619269783,68.0888319015503
70.77265810966492,1723045723.051707,0.0,69,0.32473762190235733,0.32473762190235733,594,0.7163012619269783,70.1553852558136
73.01991367340088,1723045725.2989626,0.0,70,0.3333145735476981,0.3333145735476981,653,0.7163012619269783,72.40252447128296
75.49083018302917,1723045727.769879,0.0,71,0.30846532886069783,0.30846532886069783,718,0.7163012619269783,74.87352705001831
78.21835064888,1723045730.4973996,0.0,72,0.34182456015973206,0.34182456015973206,790,0.7163012619269783,77.60094547271729
81.198974609375,1723045733.4780235,0.0,73,0.33637883411732683,0.33637883411732683,869,0.7163012619269783,80.58168339729309
84.49834656715393,1723045736.7773955,0.0,74,0.34408436346471377,0.34408436346471377,956,0.7163012619269783,83.88105487823486
88.12907123565674,1723045740.4081202,0.0,75,0.3254961877925584,0.3254961877925584,1052,0.7163012619269783,87.51175928115845
92.10266828536987,1723045744.3817172,0.0,76,0.3273329185314178,0.3273329185314178,1157,0.7163012619269783,91.48535084724426
96.43395733833313,1723045748.7130063,0.0,77,0.3074737989719117,0.3074737989719117,1272,0.7163012619269783,95.81666994094849
101.33973813056946,1723045753.618787,0.0,78,0.34437003027674185,0.34437003027674185,1400,0.7163012619269783,100.72242307662964
106.59414649009705,1723045758.8731954,0.0,79,0.33788400933464097,0.33788400933464097,1539,0.7163012619269783,105.9768123626709
112.4255838394165,1723045764.7046328,0.0,80,0.34680434598315885,0.34680434598315885,1693,0.7163012619269783,111.80829358100891
118.85401630401611,1723045771.1330652,0.0,81,0.32995903418643674,0.32995903418643674,1863,0.7163012619269783,118.236656665802
125.91140508651733,1723045778.190454,0.0,82,0.3241017586662548,0.3241017586662548,2049,0.7163012619269783,125.29395198822021
133.6567084789276,1723045785.9357574,0.0,83,0.33329092792878356,0.33329092792878356,2254,0.7163012619269783,133.03927493095398
142.16534233093262,1723045794.4443913,0.0,84,0.3186520769665027,0.3186520769665027,2479,0.7163012619269783,141.54795742034912
151.55746746063232,1723045803.8365164,0.0,85,0.3196163133324553,0.3196163133324553,2727,0.7163012619269783,150.94014382362366
161.88256669044495,1723045814.1616156,0.0,86,0.3476416136394999,0.3476416136394999,3000,0.7163012619269783,161.265239238739
173.19020056724548,1723045825.4692495,0.0,87,0.31408226159052366,0.31408226159052366,3299,0.7163012619269783,172.57264518737793
185.71891140937805,1723045837.9979603,0.0,88,0.3224145322141623,0.3224145322141623,3629,0.7163012619269783,185.10147500038147
199.46474289894104,1723045851.7437918,0.0,89,0.31294474587446836,0.31294474587446836,3992,0.7163012619269783,198.84742093086243
220.2595841884613,1723045872.538633,0.0,90,1.6374789278440733e+17,1.6374789278440733e+17,4391,549750024.1774238,219.64217710494995
287.78834676742554,1723045940.0673957,0.0,91,8.176935648325578e+134,8.176935648325578e+134,4831,4.043992000072596e+67,287.17081928253174
311.8019094467163,1723045964.0809584,0.0,92,8.176935648325578e+134,8.176935648325578e+134,5314,4.043992000072596e+67,311.18453574180603
338.1931552886963,1723045990.4722042,0.0,93,8.176935648325578e+134,8.176935648325578e+134,5845,4.043992000072596e+67,337.5756742954254
367.12998485565186,1723046019.4090338,0.0,94,8.176935648325578e+134,8.176935648325578e+134,6429,4.043992000072596e+67,366.51253294944763
398.96175503730774,1723046051.240804,0.0,95,8.176935648325578e+134,8.176935648325578e+134,7072,4.043992000072596e+67,398.34423780441284
434.01386523246765,1723046086.2929142,0.0,96,8.176935648325578e+134,8.176935648325578e+134,7779,4.043992000072596e+67,433.39650559425354
472.5655198097229,1723046124.8445687,0.0,97,8.176935648325578e+134,8.176935648325578e+134,8557,4.043992000072596e+67,471.9479467868805
514.9685437679291,1723046167.2475927,0.0,98,8.176935648325578e+134,8.176935648325578e+134,9413,4.043992000072596e+67,514.3509395122528
561.4647943973541,1723046213.7438433,0.0,99,8.176935648325578e+134,8.176935648325578e+134,10354,4.043992000072596e+67,560.8472933769226
612.6385939121246,1723046264.9176428,0.0,100,8.176935648325578e+134,8.176935648325578e+134,11389,4.043992000072596e+67,612.0210971832275
668.993156671524,1723046321.2722056,0.0,101,8.176935648325578e+134,8.176935648325578e+134,12528,4.043992000072596e+67,668.3754661083221
731.0735652446747,1723046383.3526142,0.0,102,8.176935648325578e+134,8.176935648325578e+134,13781,4.043992000072596e+67,730.4559354782104
799.8358945846558,1723046452.1149435,0.0,103,8.176935648325578e+134,8.176935648325578e+134,15159,4.043992000072596e+67,799.2183237075806
874.8924696445465,1723046527.1715186,0.0,104,8.176935648325578e+134,8.176935648325578e+134,16675,4.043992000072596e+67,874.2748973369598
957.4514842033386,1723046609.7305331,0.0,105,8.176935648325578e+134,8.176935648325578e+134,18342,4.043992000072596e+67,956.8338832855225
1048.5250749588013,1723046700.8041239,0.0,106,8.176935648325578e+134,8.176935648325578e+134,20177,4.043992000072596e+67,1047.9074788093567
1148.3171167373657,1723046800.5961657,0.0,107,8.176935648325578e+134,8.176935648325578e+134,22194,4.043992000072596e+67,1147.699465751648
1258.081614971161,1723046910.360664,0.0,108,8.176935648325578e+134,8.176935648325578e+134,24414,4.043992000072596e+67,1257.4639921188354
1379.5848515033722,1723047031.8639004,0.0,109,8.176935648325578e+134,8.176935648325578e+134,26855,4.043992000072596e+67,1378.967141866684
1512.461575269699,1723047164.7406242,0.0,110,8.176935648325578e+134,8.176935648325578e+134,29540,4.043992000072596e+67,1511.8439872264862
1658.6282777786255,1723047310.9073267,0.0,111,8.176935648325578e+134,8.176935648325578e+134,32494,4.043992000072596e+67,1658.0107309818268
1819.3678262233734,1723047471.6468751,0.0,112,8.176935648325578e+134,8.176935648325578e+134,35744,4.043992000072596e+67,1818.750252008438
1996.6221575737,1723047648.9012065,0.0,113,8.176935648325578e+134,8.176935648325578e+134,39318,4.043992000072596e+67,1996.0043528079987
2191.5578730106354,1723047843.836922,0.0,114,8.176935648325578e+134,8.176935648325578e+134,43250,4.043992000072596e+67,2190.940302848816
2405.8249864578247,1723048058.1040354,0.0,115,8.176935648325578e+134,8.176935648325578e+134,47575,4.043992000072596e+67,2405.2074167728424
2641.09681224823,1723048293.3758612,0.0,116,8.176935648325578e+134,8.176935648325578e+134,52332,4.043992000072596e+67,2640.479254961014
2900.123640060425,1723048552.402689,0.0,117,8.176935648325578e+134,8.176935648325578e+134,57566,4.043992000072596e+67,2899.50608420372
3000.629241466522,1723048652.9082904,0.0,118,8.176935648325578e+134,8.176935648325578e+134,59598,4.043992000072596e+67,3000.0107367038727
