step,_runtime,loss,_step,time,l2_error,loss_boundary,_timestamp,loss_interior
24,3.3973591327667236,0.34977626298030073,24,1.8067128658294678,0.7055970944100077,0.3427424893064873,1723045654.6400962,0.007033773673813416
25,3.417668342590332,0.33938543242424246,25,1.8271570205688477,0.7580714549662662,0.33273479058116917,1723045654.6604054,0.006650641843073276
26,3.438688278198242,0.33718424250056056,26,1.848283290863037,0.8117878789995762,0.3310228855730415,1723045654.6814253,0.006161356927519045
27,3.4596595764160156,0.3565026575463764,27,1.8695752620697021,0.8612813616734136,0.350875460357551,1723045654.7023966,0.005627197188825398
28,3.480842351913452,0.33656169972907485,28,1.89036226272583,0.9048339417539208,0.33139655457236994,1723045654.7235794,0.005165145156704925
29,3.5011394023895264,0.32494986005984244,29,1.910640001296997,0.9407018200333566,0.3203816333014305,1723045654.7438765,0.00456822675841196
30,3.521491050720215,0.364326173141955,30,1.930920124053955,0.967563807783507,0.36038827475750407,1723045654.764228,0.0039378983844509195
31,3.5430383682250977,0.36600406294480586,31,1.9538135528564453,0.9850874042517853,0.36268190799320277,1723045654.7857754,0.0033221549516030996
32,3.5628373622894287,0.3675365971262848,32,1.9722042083740234,0.9936263534465378,0.36487008293849266,1723045654.8055744,0.0026665141877921365
33,3.5825979709625244,0.40975186604919933,33,1.9919650554656982,0.9930058325254907,0.40753866803462324,1723045654.825335,0.0022131980145760964
34,3.6023972034454346,0.3695024570125811,34,2.011817216873169,0.9846619950121814,0.36780792212357527,1723045654.8451343,0.001694534889005864
35,3.622361421585083,0.36671781154146554,35,2.0317583084106445,0.9696916602359172,0.3654557249684146,1723045654.8650985,0.001262086573050912
36,3.642679452896118,0.3762335593092465,36,2.05216383934021,0.9486610347913713,0.37532282600254463,1723045654.8854165,0.0009107333067019083
37,3.6648426055908203,0.3686214734760695,37,2.0762455463409424,0.9226847091873477,0.36797190906881677,1723045654.9075797,0.0006495644072527334
38,3.6866614818573,0.36165947426000883,38,2.0962846279144287,0.8930846975751608,0.3612177376632382,1723045654.9293985,0.00044173659677061304
39,3.7067461013793945,0.3422717506207495,39,2.1162188053131104,0.8607122744801109,0.34187041804036217,1723045654.9494832,0.00040133258038731087
40,3.726602554321289,0.326012329265773,40,2.1361119747161865,0.8272056138277701,0.3255615710109253,1723045654.9693396,0.00045075825484771357
42,3.762329339981079,0.31196580001693797,41,2.171698570251465,0.7588483438359348,0.3107522425809422,1723045655.0050664,0.0012135574359957708
46,3.829305410385132,0.30745436034892687,42,2.2385668754577637,0.6447424353200543,0.30259814194452317,1723045655.0720425,0.004856218404403717
