_runtime,loss_interior,step,time,_step,loss,_timestamp,loss_boundary,l2_error
2.962968111038208,0.0006522653040536535,0,0.9530079364776611,0,3.1243397321180804,1723045652.507409,3.123687466814027,1.9274108702277648
3.0250039100646973,0.0008948795499385293,1,1.2543725967407227,1,2.9147620184849714,1723045652.569445,2.913867138935033,1.8243086877067405
3.085444211959839,0.001470699624616356,2,1.3140814304351807,2,2.6688602576315,1723045652.6298852,2.667389558006884,1.6808809331518866
3.145636796951294,0.0024909161664246823,3,1.374345302581787,3,2.415711500343049,1723045652.6900778,2.4132205841766243,1.5024434302791627
3.206491708755493,0.004194850364531455,4,1.4349267482757568,4,2.0568431069270896,1723045652.7509327,2.0526482565625583,1.2945726307844223
3.268036365509033,0.006646719474560589,5,1.496826171875,5,1.6160234370813842,1723045652.8124774,1.6093767176068237,1.0666304585908157
3.329739570617676,0.010149253675101002,6,1.558548927307129,6,1.2434822104962755,1723045652.8741806,1.2333329568211744,0.8396660913583209
3.39091157913208,0.014864391995481414,7,1.6191847324371338,7,0.8817505086450785,1723045652.9353526,0.8668861166495971,0.6784585496133912
3.452235460281372,0.020499911501608747,8,1.680030107498169,8,0.5988274394569532,1723045652.9966764,0.5783275279553444,0.6954186613498616
3.5140068531036377,0.02627940998500683,9,1.74143385887146,9,0.4178621925135514,1723045653.0584478,0.39158278252854456,0.8955988783611435
3.576035499572754,0.03107776166015811,10,1.8031485080718994,10,0.41261292022558615,1723045653.1204765,0.381535158565428,1.1571581847307824
3.638212203979492,0.03195186098742413,11,1.8653507232666016,11,0.5195834549931162,1723045653.1826532,0.48763159400569206,1.3787613919344135
3.7019758224487305,0.03073856208209083,12,1.9273746013641357,12,0.6567229820484253,1723045653.2464168,0.6259844199663345,1.5052817915760146
3.764209747314453,0.026446974787766624,13,1.9910118579864502,13,0.7963739246124664,1723045653.3086507,0.7699269498246998,1.510520934375736
3.826608657836914,0.018841441892290412,14,2.0534143447875977,14,0.7578025841550698,1723045653.3710496,0.7389611422627794,1.4082391805090524
3.889342784881592,0.01125333621118663,15,2.1159424781799316,15,0.6862314341366654,1723045653.4337838,0.6749780979254788,1.2266616404003687
3.952826738357544,0.004934928659747551,16,2.1800220012664795,16,0.5170168949644854,1723045653.4972677,0.5120819663047379,1.019511292459391
4.015998125076294,0.001294516758466678,17,2.243455171585083,17,0.43596303536567294,1723045653.560439,0.43466851860720623,0.8278771054143789
4.078282594680786,0.00047787770208600314,18,2.3055646419525146,18,0.38051455215742264,1723045653.6227236,0.3800366744553366,0.6931040785029747
4.140247821807861,0.0019156146086479794,19,2.3676881790161133,19,0.3405500281122119,1723045653.6846888,0.33863441350356394,0.6300136671006974
4.204312562942505,0.004627215049016153,20,2.431903123855591,20,0.3909453378953407,1723045653.7487535,0.38631812284632455,0.6202502877581625
4.2663469314575195,0.007544440322511773,21,2.4937591552734375,21,0.43145896039516274,1723045653.810788,0.42391452007265096,0.6295894898740674
4.328132629394531,0.010143695492898876,22,2.5554258823394775,22,0.4882326414661226,1723045653.8725736,0.4780889459732237,0.6346897974038161
4.39007568359375,0.012047066482601308,23,2.6173999309539795,23,0.5091200024267108,1723045653.9345167,0.4970729359441095,0.6286000718166823
4.45182466506958,0.013203823038465354,24,2.6791131496429443,24,0.5236859209114387,1723045653.9962656,0.5104820978729734,0.6161717664926138
4.513890504837036,0.013679120509376873,25,2.7408084869384766,25,0.3984772792171725,1723045654.0583315,0.38479815870779566,0.6107424316198087
4.576157331466675,0.013664503772003978,26,2.8036410808563232,26,0.39554738420767416,1723045654.1205983,0.3818828804356702,0.6221921123676426
4.639309883117676,0.013401524389486908,27,2.867055892944336,27,0.38780135462548493,1723045654.1837509,0.37439983023599804,0.6576624055696714
4.701878070831299,0.012865809666665897,28,2.929445743560791,28,0.34169256548834515,1723045654.246319,0.32882675582167925,0.7148825946040427
4.763756036758423,0.012299498691682944,29,2.9912185668945312,29,0.3419381414658329,1723045654.308197,0.32963864277414995,0.7807783843293815
4.825618505477905,0.011769737307379556,30,3.0528957843780518,30,0.3674289801934943,1723045654.3700595,0.3556592428861147,0.8420706728970426
4.887545347213745,0.011392921285806167,31,3.1147823333740234,31,0.3510417945927176,1723045654.4319863,0.33964887330691146,0.8916306564057782
4.949687480926514,0.011294323812340851,32,3.1766390800476074,32,0.35925997303951956,1723045654.4941285,0.3479656492271787,0.9198867851376333
5.0124711990356445,0.0113291531299815,33,3.239919900894165,33,0.3856219363666805,1723045654.5569122,0.374292783236699,0.9254691523342659
5.074366331100464,0.01152224028188651,34,3.3017609119415283,34,0.36925324148590405,1723045654.6188073,0.3577310012040175,0.9064143888627878
5.136736631393433,0.011904072464773041,35,3.3642938137054443,35,0.3497841175821492,1723045654.6811776,0.3378800451173762,0.8729540578394419
5.198957204818726,0.012526578880996135,36,3.4264538288116455,36,0.3746356565488333,1723045654.7433982,0.3621090776678372,0.8291463323958354
5.261681318283081,0.013202016061182015,37,3.489389181137085,37,0.3339368648423017,1723045654.8061223,0.3207348487811197,0.7812606287630018
5.32480263710022,0.013780020517600284,38,3.5530261993408203,38,0.32968808743973765,1723045654.8692436,0.31590806692213735,0.7384023850196955
5.388071298599243,0.014366613478942634,39,3.6159138679504395,39,0.32196091165570384,1723045654.9325123,0.3075942981767612,0.7026528737363126
5.449574947357178,0.014852369270000401,40,3.6773180961608887,40,0.3463422000334018,1723045654.994016,0.33148983076340144,0.6734396799994256
5.557111740112305,0.015568600032932077,42,3.784755229949951,41,0.3536171387493512,1723045655.1015527,0.3380485387164191,0.6378894926544207
