_runtime,loss_boundary,loss_interior,l2_error,_timestamp,step,loss,time,_step
326.1912386417389,2.515194173220324,0.00033220436291789117,1.0278723844269873,1723045984.5944307,0,2.515526377583242,325.3829650878906,0
647.25373005867,1.083213331667355,0.048450247164590184,1.0177981218723908,1723046305.656922,1,1.1316635788319451,646.847651720047,1
967.1448335647583,1.027811131033741,0.04862403773254738,1.0120692365282478,1723046625.5480256,2,1.0764351687662883,966.739075422287,2
1290.248604297638,1.1049527743088758,0.04629194201062054,1.0039050491697203,1723046948.6517963,3,1.1512447163194963,1289.842455625534,3
1613.772024154663,1.0413124061229184,0.04351416760606587,0.9857335711198015,1723047272.1752162,4,1.0848265737289844,1613.3655853271484,4
1936.6044459342957,0.9954519201985211,0.041213670889178426,0.9052674895714533,1723047595.007638,5,1.0366655910876996,1936.198380947113,5
2259.7867279052734,0.8724382994799085,0.06116044130991533,0.22500241776494526,1723047918.18992,6,0.9335987407898239,2259.3806524276733,6
2583.536281108856,0.049497789242688855,0.008195273921687677,0.17234188026585798,1723048241.9394732,7,0.05769306316437653,2583.130139350891,7
2907.7823765277863,0.029082317451009594,0.007218094856104946,0.03512749295526427,1723048566.1855686,8,0.03630041230711454,2907.376160621643,8
3228.619366645813,0.0013756089252260045,0.004097922750963126,0.020816795057816927,1723048887.0225587,9,0.005473531676189131,3228.2133288383484,9
