step,loss_interior,_step,_runtime,_timestamp,loss,l2_error,loss_boundary,time
26,2.3672744824736306e-07,26,992.4099941253662,1723046664.6529322,3.758221955305291e-07,0.00037338901481852153,1.3909474728316602e-07,991.9696810245514
27,2.125415354020198e-07,27,1029.0175034999847,1723046701.2604415,3.5300091453037516e-07,0.0004247304214638342,1.404593791283554e-07,1028.5768163204193
28,1.891907106940014e-07,28,1065.8894879817963,1723046738.132426,3.460959699021693e-07,0.000343711827857623,1.5690525920816788e-07,1065.448932647705
29,2.1549428433913292e-07,29,1102.4025738239288,1723046774.6455119,3.56678452557845e-07,0.000402186191224035,1.4118416821871206e-07,1101.9621000289917
30,1.8891143295949732e-07,30,1138.9382960796356,1723046811.1812341,3.007649399789303e-07,0.0003377092424637732,1.1185350701943296e-07,1138.4975938796997
31,1.675423949702356e-07,31,1175.6436252593994,1723046847.8865633,2.6528929795331563e-07,0.0002825483406095227,9.774690298308004e-08,1175.2030775547028
32,1.3947739106728397e-07,32,1212.418428182602,1723046884.6613662,2.1381133772963843e-07,0.00033223780683384413,7.433394666235446e-08,1211.977918624878
33,1.4538188442293102e-07,33,1249.0425271987915,1723046921.2854652,2.4297078754296533e-07,0.0002912196592905006,9.758890312003432e-08,1248.6020460128784
34,1.3270111026783835e-07,34,1285.7337095737457,1723046957.9766476,2.1079549517133764e-07,0.00031550407242852995,7.80943849034993e-08,1285.2930212020874
35,1.3719322196075176e-07,35,1322.3517503738403,1723046994.5946884,2.1511411221210834e-07,0.00024234632194209744,7.792089025135659e-08,1321.911425113678
36,1.2167638808482917e-07,36,1359.0301020145416,1723047031.27304,1.889900143190591e-07,0.0002623600408602091,6.731362623422991e-08,1358.5895736217499
37,1.2354736451174333e-07,37,1395.7547545433044,1723047067.9976926,1.8598051118512075e-07,0.00022691429684739057,6.243314667337742e-08,1395.3141078948975
38,1.0771166535818766e-07,38,1432.2882347106934,1723047104.5311728,1.606228178897633e-07,0.0002297975737240214,5.2911152531575635e-08,1431.8477759361267
39,1.1289047121228299e-07,39,1468.7875533103943,1723047141.0304914,1.6324867648216059e-07,0.00023710716639258576,5.035820526987759e-08,1468.3468070030212
40,9.138026292805435e-08,40,1505.5010850429535,1723047177.744023,1.4468521984201518e-07,0.00023143718239633718,5.330495691396084e-08,1505.06032204628
42,1.0124412988923883e-07,41,1578.6766562461853,1723047250.9195943,1.5303788540377113e-07,0.0002606995446610942,5.179375551453229e-08,1578.2360951900482
46,8.406400647205661e-08,42,1725.5226774215698,1723047397.7656155,1.2942364169602685e-07,0.00020072496951404101,4.535963522397026e-08,1725.0818507671356
50,7.68792471296035e-08,43,1872.2692432403564,1723047544.5121813,1.2042786827048136e-07,0.00020326052978918144,4.3548621140877855e-08,1871.8286037445068
55,7.035701925287686e-08,44,2055.8725423812866,1723047728.1154804,1.0162151180612973e-07,0.00017525107639383938,3.126449255325287e-08,2055.4319801330566
61,5.691399771367353e-08,45,2276.6618461608887,1723047948.9047842,7.931844067793023e-08,0.00016878725306112186,2.2404442964256704e-08,2276.2212443351746
67,5.3286779007395436e-08,46,2497.7785828113556,1723048170.0215209,7.719650234029572e-08,0.0001416650525239605,2.3909723332900278e-08,2497.3382110595703
73,4.424075185847271e-08,47,2716.726710319519,1723048388.9696484,7.008762123079588e-08,0.00015817532979765195,2.5846869372323173e-08,2716.2861363887787
81,3.57159210147126e-08,48,3010.6903586387634,1723048682.9332967,5.211187230262749e-08,0.00013418787368354011,1.639595128791489e-08,3010.248640537262
