l2_error,step,time,loss_interior,_step,_timestamp,loss_boundary,loss,_runtime
1.1410224332882886,0,1.5153181552886963,0.0006522653040536535,0,1723045695.1340528,3.123687466814027,3.1243397321180804,2.5689117908477783
0.8155460005516498,1,2.3157999515533447,0.013312552341189764,1,1723045695.546716,0.49251640082534404,0.5058289531665338,2.9815750122070312
0.7075091720954257,2,2.7242684364318848,0.003945569403948348,2,1723045695.9564757,0.38917905276762,0.39312462217156835,3.3913347721099854
0.7876554334046687,3,3.141707420349121,0.003063702612340054,3,1723045696.3730588,0.3526943679752549,0.35575807058759495,3.807917833328247
0.6711724225538025,4,3.5517947673797607,0.0024515303089061905,4,1723045696.7826393,0.3569114873769571,0.3593630176858633,4.217498302459717
0.7303576052991186,5,3.9648220539093018,0.020894891522934892,5,1723045697.1960187,0.3135986074910739,0.33449349901400877,4.630877733230591
0.5929177841323569,6,4.380904912948608,0.0138402292285001,6,1723045697.6130683,0.2740918755108303,0.2879321047393304,5.047927379608154
0.6609192980655096,7,4.785909175872803,0.0061324576723671715,7,1723045698.0166934,0.23604004321738606,0.24217250088975323,5.451552391052246
0.5241033468421118,8,5.197022438049316,0.006795913782261707,8,1723045698.428027,0.22572815425687176,0.23252406803913347,5.86288595199585
0.5802270827177324,9,5.605811357498169,0.031621286559870176,9,1723045698.8367932,0.1814997784517846,0.2131210650116548,6.2716522216796875
0.6098205552506181,10,6.015059947967529,0.015898615759944865,10,1723045699.245973,0.19366865430187824,0.2095672700618231,6.680832147598267
0.5582573310330514,11,6.418817520141602,0.0059231659777200536,11,1723045699.649517,0.1896092527269762,0.19553241870469626,7.084376096725464
0.6326436511593179,12,6.8245227336883545,0.011970599747249337,12,1723045700.0553226,0.17277767994880686,0.1847482796960562,7.4901816844940186
0.5156334539894407,13,7.232555627822876,0.007991205215553281,13,1723045700.4635324,0.17984713239443426,0.18783833760998753,7.898391485214233
0.5764367052060937,14,7.638383150100708,0.016565177807603863,14,1723045700.869497,0.14906948804666043,0.16563466585426428,8.304356098175049
0.5328643616016245,15,8.048710823059082,0.009470019028006534,15,1723045701.2796218,0.16398961177807422,0.17345963080608076,8.714480876922607
0.5859602229817089,16,8.455506324768066,0.012765469048029355,16,1723045701.6863146,0.1609947210758464,0.17376019012387575,9.121173620223999
0.5359028365894142,17,8.860673666000366,0.009006945886816702,17,1723045702.0916073,0.1516170935877249,0.1606240394745416,9.526466369628906
0.5941198799559023,18,9.26268744468689,0.012208950568043608,18,1723045702.4935155,0.1566297921105523,0.16883874267859592,9.928374528884888
0.45488778086011544,19,9.674034595489502,0.007818869779579445,19,1723045702.905612,0.16886846240241424,0.17668733218199367,10.340471029281616
0.5230673362509074,20,10.081289291381836,0.018889474653989196,20,1723045703.3121371,0.12586659408381792,0.1447560687378071,10.7469961643219
0.48815867817085934,21,10.485079526901245,0.011977970285186015,21,1723045703.7158966,0.13663243532210378,0.1486104056072898,11.150755643844604
0.5254023844252513,22,10.887501955032349,0.015595896202719728,22,1723045704.1182902,0.1282397249316246,0.14383562113434434,11.553149223327637
0.4727928995259047,23,11.294262647628784,0.008249106554338961,23,1723045704.525072,0.13631589201419794,0.1445649985685369,11.959931135177612
0.5129706058594642,24,11.696275234222412,0.013928388188217941,24,1723045704.927043,0.13026366673620746,0.14419205492442538,12.361901998519897
0.4522241446639615,25,12.102226495742798,0.013747290548291597,25,1723045705.3330152,0.12321545174438474,0.13696274229267633,12.767874240875244
0.4810153079365533,26,12.511084079742432,0.01678697361107921,26,1723045705.742212,0.12004613962062806,0.13683311323170727,13.17707109451294
0.46192254595411153,27,12.918606996536255,0.01144833850968281,27,1723045706.149472,0.11798673064489211,0.12943506915457492,13.584331035614014
0.5013928150679162,28,13.322941541671753,0.015270001161202515,28,1723045706.5538623,0.11115587724138445,0.12642587840258696,13.988721370697021
0.4548602391064078,29,13.723487615585327,0.011508317979100525,29,1723045706.9542692,0.11449186483299854,0.12600018281209907,14.3891282081604
0.4064017375186569,30,14.132230043411255,0.01370110725801761,30,1723045707.3631928,0.12267285900044791,0.1363739662584655,14.798051834106445
0.4611320462466137,31,14.536307334899902,0.022430359309624847,31,1723045707.7671518,0.10767743478314692,0.13010779409277176,15.202010869979858
0.4286042180782046,32,14.93960428237915,0.013816791674004889,32,1723045708.1704314,0.1096420912745501,0.12345888294855499,15.605290412902832
0.4524496121805671,33,15.342176914215088,0.016509369200202868,33,1723045708.5730186,0.09978758359647374,0.11629695279667661,16.007877588272095
0.4212083942436846,34,15.745095252990723,0.01385196377176077,34,1723045708.975934,0.11345167002447525,0.12730363379623602,16.41079306602478
0.454736434397639,35,16.14768385887146,0.017686026500663313,35,1723045709.3785102,0.10282336103587864,0.12050938753654195,16.813369274139404
0.42085096716261144,36,16.54664921760559,0.014756391050205875,36,1723045709.7774303,0.11316901692503478,0.12792540797524066,17.212289333343506
0.44398250585331983,37,16.947797060012817,0.017045363743764017,37,1723045710.1785831,0.09505631344840305,0.11210167719216707,17.613442182540894
0.46560962433014735,38,17.35387372970581,0.014191501859932532,38,1723045710.5847654,0.09565518896077038,0.10984669082070292,18.01962447166443
0.4232255968191636,39,17.758285760879517,0.013757589125268697,39,1723045710.9892786,0.10496566164539128,0.11872325077065998,18.424137592315674
0.44624330433334874,40,18.166966438293457,0.01652336082385232,40,1723045711.3979847,0.10549967753908311,0.12202303836293543,18.832843780517578
0.44207826963268654,42,18.967804193496704,0.015735652412375553,41,1723045712.1986785,0.1008176071951078,0.11655325960748335,19.633537530899048
