_timestamp,time,_runtime,_step,l2_error,step,loss,loss_boundary,loss_interior
1723045694.8410017,1.539682149887085,2.5098187923431396,0,1.0270390965275922,0,2.766838655504229,2.7664645100319722,0.00037414547225684495
1723045695.252318,2.303358554840088,2.9211349487304688,1,0.8092884434097177,1,0.43349191381811214,0.4146583018940609,0.018833611924051263
1723045695.6798964,2.73114275932312,3.3487133979797363,2,0.6202812813020349,2,0.3900918369818238,0.3805595773998826,0.009532259581941217
1723045696.151186,3.2006185054779053,3.820003032684326,3,0.7443919723565651,3,0.31683270360957366,0.31331948025692474,0.003513223352648927
1723045696.6200678,3.6712124347686768,4.288884878158569,4,0.6412290858785571,4,0.32105840579917544,0.3182654150594154,0.002792990739760044
1723045697.0872078,4.1382482051849365,4.7560248374938965,5,0.7412013903337994,5,0.2966990675653232,0.2869222307968264,0.009776836768496815
1723045697.533179,4.58304762840271,5.201996088027954,6,0.5834177557893985,6,0.30141238576764223,0.2918754686143633,0.009536917153278921
1723045698.0213282,5.072551965713501,5.690145254135132,7,0.6471940043627726,7,0.29132493797302417,0.2713737820964563,0.019951155876567865
1723045698.4702306,5.52154278755188,6.139047622680664,8,0.49112885190676236,8,0.27042457768532346,0.2549267123609687,0.015497865324354786
1723045698.935401,5.986637115478516,6.604218006134033,9,0.6277199161467308,9,0.22995054694531128,0.2124586078339445,0.017491939111366792
1723045699.4039085,6.455154895782471,7.072725534439087,10,0.5559920331094661,10,0.21920263183417188,0.20888503493162136,0.01031759690255053
1723045699.8352852,6.886455059051514,7.5041022300720215,11,0.6392280096757272,11,0.19370788593355256,0.17761892667364315,0.016088959259909424
1723045700.2413492,7.292555809020996,7.910166263580322,12,0.5312737592191851,12,0.19438835490282166,0.18739512383111145,0.0069932310717101985
1723045700.6661654,7.717237710952759,8.33498239517212,13,0.5849042198014398,13,0.17597187263400185,0.16157484172881745,0.014397030905184408
1723045701.12071,8.171862125396729,8.78952693939209,14,0.535870798177255,14,0.18161977311108188,0.17097641410859676,0.010643359002485111
1723045701.5809195,8.632046937942505,9.249736547470093,15,0.5782008730550218,15,0.18661968902717,0.1729745044406297,0.013645184586540281
1723045702.005829,9.05712342262268,9.674646139144897,16,0.5260784270650048,16,0.16027492180509872,0.1496001802415679,0.01067474156353082
1723045702.4104812,9.461511373519897,10.079298257827759,17,0.4680842597044941,17,0.16830031888362879,0.15352104850888412,0.014779270374744658
1723045702.8142767,9.865517854690552,10.483093738555908,18,0.5224463344719661,18,0.16208652416767927,0.14817755917189906,0.013908964995780216
1723045703.2174554,10.268463373184204,10.886272430419922,19,0.4859255651515385,19,0.16712789487850965,0.15604195696078826,0.011085937917721375
1723045703.6180835,10.669198989868164,11.286900520324707,20,0.5353253223290761,20,0.16093508406922943,0.14541216166760323,0.015522922401626187
1723045704.0216315,11.072742938995361,11.690448522567749,21,0.4807031282666743,21,0.15603257989116678,0.14753406781734182,0.008498512073824965
1723045704.4276702,11.478704452514648,12.096487283706665,22,0.5153903740607114,22,0.15180483556924015,0.1329256116626126,0.018879223906627548
1723045704.8294835,11.880530834197998,12.498300552368164,23,0.4774295731890025,23,0.14952342448389422,0.13878914675154663,0.010734277732347579
1723045705.2305918,12.281648635864258,12.89940881729126,24,0.5234537086504715,24,0.12284643391116823,0.10271544941967661,0.02013098449149162
1723045705.634335,12.685189485549927,13.303152084350586,25,0.4810466066604482,25,0.1483389147294575,0.13553903482847462,0.012799879900982887
1723045706.0403514,13.091243028640747,13.709168434143066,26,0.48673360821094347,26,0.13172362839572802,0.11664681868503732,0.015076809710690706
1723045706.4420323,13.49308156967163,14.110849380493164,27,0.4552634063430172,27,0.1420818314592123,0.13143956387753383,0.01064226758167846
1723045706.8464286,13.897456407546997,14.51524567604065,28,0.4886592506414561,28,0.14484936107821056,0.12842065210856535,0.016428708969645215
1723045707.2497935,14.300832033157349,14.918610572814941,29,0.4407064069542879,29,0.12810704971106507,0.11431848247112252,0.013788567239942541
1723045707.6581354,14.709028005599976,15.326952457427979,30,0.47516612033556527,30,0.13836552120226517,0.12308493727541509,0.015280583926850088
1723045708.1145916,15.165755987167358,15.783408641815186,31,0.41940090094102306,31,0.1326588852549771,0.11859065849442572,0.014068226760551366
1723045708.5632565,15.614118814468384,16.232073545455933,32,0.46259209648291344,32,0.12024377805983907,0.09302176700266566,0.027222011057173402
1723045708.9677024,16.018633604049683,16.63651943206787,33,0.4149215952674723,33,0.11885205156806132,0.10276410262521285,0.016087948942848474
1723045709.3700223,16.42101788520813,17.03883934020996,34,0.43838588363598974,34,0.12449033103686942,0.10918682586301895,0.015303505173850472
1723045709.7719462,16.822919368743896,17.440763235092163,35,0.4055161846464366,35,0.12170699171232366,0.10604068365663245,0.015666308055691212
1723045710.175242,17.22633934020996,17.844058990478516,36,0.43788542678602027,36,0.12274603083716348,0.1033762837212311,0.019369747115932378
1723045710.5786262,17.62950372695923,18.247443199157715,37,0.4631919065108251,37,0.11769438355753603,0.10276515946026857,0.014929224097267458
1723045711.0245185,18.075467586517334,18.69333553314209,38,0.42451936920770117,38,0.12624888061877143,0.11220632604524987,0.014042554573521548
1723045711.4871762,18.538169145584106,19.155993223190308,39,0.4435997337941552,39,0.12112033024428959,0.10454748685967007,0.01657284338461952
1723045711.940866,18.99181294441223,19.6096830368042,40,0.42304148163983,40,0.11516033520974889,0.10081195459240054,0.014348380617348345
1723045712.8601902,19.911054849624634,20.52900719642639,41,0.42942589277950527,42,0.11223955308441014,0.09445844842889457,0.017781104655515564
