loss,_runtime,loss_boundary,step,time,loss_interior,_step,l2_error,_timestamp
2.631392111380915,2.6230432987213135,2.631385783201568,0,1.7547907829284668,6.3281793471193575e-06,0,1.1494535677088333,1723045695.7387962
0.5300497065649519,2.8170223236083984,0.5223477852088824,1,2.185237407684326,0.007701921356069522,1,0.8383978173283007,1723045695.9327753
0.3918771579198722,3.0052428245544434,0.3917986524521264,2,2.374905586242676,7.850546774577532e-05,2,0.7517554694789429,1723045696.1209958
0.3805232019143135,3.1943862438201904,0.3801436716420273,3,2.564072608947754,0.0003795302722861941,3,0.7232563795953264,1723045696.3101392
0.3793931300060898,3.3897817134857178,0.3783154133659477,4,2.758033275604248,0.0010777166401421251,4,0.6635247631124533,1723045696.5055346
0.37521469780919786,3.5782604217529297,0.36805069386624817,5,2.947903871536255,0.007164003942949683,5,0.6752780811420064,1723045696.6940134
0.3427062717314303,3.7672157287597656,0.3143406311167428,6,3.1368019580841064,0.028365640614687486,6,0.7018110805561969,1723045696.8829687
0.33809473602169493,3.956001043319702,0.2995718991267739,7,3.325651168823242,0.03852283689492105,7,0.7056907104750922,1723045697.071754
0.3217546396070215,4.145380735397339,0.2588915810074101,8,3.515019416809082,0.06286305859961137,8,0.568360605893231,1723045697.2611337
0.29079867092664763,4.333302021026611,0.2378280359710864,9,3.702960252761841,0.05297063495556121,9,0.6211362968517379,1723045697.449055
0.2510141923439591,4.522455930709839,0.24690822615256286,10,3.8920388221740723,0.004105966191396265,10,0.7089328284612517,1723045697.6382089
0.2431312380766997,4.706897497177124,0.2410851945286546,11,4.076415061950684,0.0020460435480451184,11,0.5302004036885812,1723045697.8226504
0.20831101953872905,4.898473501205444,0.18448999694629484,12,4.268064737319946,0.0238210225924342,12,0.6003091975030029,1723045698.0142264
0.19736213586644052,5.089964389801025,0.17427973299446256,13,4.459489822387695,0.023082402871977974,13,0.6322738994054518,1723045698.2057173
0.19663817226277414,5.281121730804443,0.1757632747031655,14,4.650638103485107,0.020874897559608634,14,0.6405432123822404,1723045698.3968747
0.18379572909618444,5.471465587615967,0.17315226548502255,15,4.840991973876953,0.010643463611161879,15,0.5549890804521679,1723045698.5872185
0.17707349952577636,5.665308475494385,0.16258115802450337,16,5.03477668762207,0.014492341501272984,16,0.5220651374995762,1723045698.7810614
0.17503726836260852,5.861879348754883,0.1568020717415892,17,5.231396198272705,0.018235196621019318,17,0.5613419352776425,1723045698.9776323
0.1681483382451282,6.054097414016724,0.1523067462935519,18,5.423598527908325,0.015841591951576313,18,0.5914870140267513,1723045699.1698503
0.16612930596659506,6.246702194213867,0.15294359126559662,19,5.616184711456299,0.013185714700998429,19,0.459260636199849,1723045699.3624551
0.15735581456924946,6.439597845077515,0.14118782266046218,20,5.8090338706970215,0.016167991908787295,20,0.5148141335958728,1723045699.5553508
0.1496238083700256,6.630992412567139,0.13887371144053015,21,6.0004119873046875,0.010750096929495441,21,0.5381522419255618,1723045699.7467453
0.14880470798678097,6.824196815490723,0.1395589515561321,22,6.193462133407593,0.009245756430648878,22,0.5492220964706697,1723045699.9399498
0.1319065207813536,7.019341707229614,0.12099145105553759,23,6.388688087463379,0.010915069725815992,23,0.4317973625837281,1723045700.1350946
0.12417924196858711,7.213156700134277,0.10760717698268758,24,6.582578182220459,0.016572064985899526,24,0.4317973625837281,1723045700.3289096
0.12417924196858711,7.406188249588013,0.10760717698268758,25,6.7755749225616455,0.016572064985899526,25,0.48613787498289,1723045700.5219412
0.11865341530941356,7.599214553833008,0.1061435578626294,26,6.968587875366211,0.012509857446784171,26,0.42424295840350634,1723045700.7149675
0.1130580286293881,7.790510892868042,0.09788098919281323,27,7.159874200820923,0.015177039436574882,27,0.4068860769534654,1723045700.9062638
0.11252343370405392,7.98275351524353,0.0953915910249111,28,7.352095127105713,0.017131842679142816,28,0.4253156049670345,1723045701.0985065
0.10682386214550435,8.174039602279663,0.08432862850438921,29,7.543396949768066,0.022495233641115133,29,0.39744274129911433,1723045701.2897925
0.09865203256132038,8.365627765655518,0.0862322428143879,30,7.734885931015015,0.01241978974693248,30,0.37939144105601236,1723045701.4813807
0.0962330781027444,8.558237314224243,0.08528896889192404,31,7.927574634552002,0.010944109210820358,31,0.38847464772204315,1723045701.6739902
0.08922085836304124,8.74854564666748,0.07525441635875212,32,8.11786675453186,0.013966442004289115,32,0.36171477076076947,1723045701.8642986
0.08379961002844877,8.938619375228882,0.06288403910519436,33,8.307999610900879,0.020915570923254405,33,0.36086764758536144,1723045702.0543723
0.07739802364577023,9.125855684280396,0.0647283939946077,34,8.49521517753601,0.012669629651162523,34,0.35287562402825906,1723045702.2416086
0.07665229844738397,9.316467761993408,0.06503614747545024,35,8.685726881027222,0.01161615097193373,35,0.30793533274545787,1723045702.4322207
0.07456523477990148,9.503883123397827,0.06283902532220363,36,8.873241186141968,0.011726209457697857,36,0.3484942347502505,1723045702.619636
0.06880619672206158,9.689759492874146,0.05428178613768256,37,9.05911111831665,0.01452441058437902,37,0.25353746943175226,1723045702.8055124
0.06226168809563045,9.875591039657593,0.04491378978282276,38,9.244935750961304,0.01734789831280769,38,0.2774017351198118,1723045702.991344
0.057776225711909185,10.062384366989136,0.04351117047496766,39,9.431677341461182,0.014265055236941528,39,0.2932795851040912,1723045703.1781373
0.057405803476189905,10.249240159988403,0.04371069831471324,40,9.61859393119812,0.013695105161476666,40,0.2976191730146782,1723045703.364993
0.05516755344022318,10.622875690460205,0.040216991993426016,42,9.992209672927856,0.014950561446797165,41,0.26300098218373785,1723045703.7386286
