_timestamp,loss_boundary,l2_error,step,time,_runtime,loss_interior,loss,_step
1723045654.3742182,2.631385783201568,1.7769918725798182,0,1.1331939697265625,2.6433122158050537,6.3281793471193575e-06,2.631392111380915,0
1723045654.3997598,2.607287844476913,1.6815051504857652,1,1.5072581768035889,2.668853759765625,1.9079802199980022e-05,2.607306924279113,1
1723045654.4232085,2.402928550040104,1.5484550866509987,2,1.5289556980133057,2.6923024654388428,6.975890541739577e-05,2.4029983089455214,2
1723045654.4468935,2.046341222723852,1.3855754204286286,3,1.552415132522583,2.71598744392395,0.00019813509411805265,2.0465393578179705,3
1723045654.4692776,1.8027886717052761,1.1984898972149893,4,1.5747358798980713,2.7383716106414795,0.0004546386789134433,1.8032433103841896,4
1723045654.4912288,1.412770061636737,0.9965160819846367,5,1.5965015888214111,2.7603228092193604,0.0008837384360475203,1.4136538000727845,5
1723045654.5134463,1.1467070841208211,0.7985213704120689,6,1.6188621520996094,2.7825403213500977,0.0015269675597760998,1.1482340516805971,6
1723045654.5356185,0.7372648889063869,0.6574727201175551,7,1.6409683227539062,2.8047125339508057,0.0024150541470632125,0.7396799430534501,7
1723045654.5584638,0.5363751073281894,0.6548151823693152,8,1.6647119522094727,2.8275578022003174,0.0035466463084076662,0.539921753636597,8
1723045654.5806365,0.39258198086747426,0.809083300484629,9,1.6858875751495361,2.8497304916381836,0.004880344221287119,0.3974623250887614,9
1723045654.6029823,0.34887125125414853,1.0371953167194432,10,1.708144187927246,2.8720762729644775,0.005963217571062087,0.35483446882521064,10
1723045654.6261897,0.4146081174011993,1.2538389992591013,11,1.7313895225524902,2.8952836990356445,0.006721704339886411,0.4213298217410857,11
1723045654.6514084,0.5452918034077898,1.403488960422365,12,1.7552170753479004,2.9205024242401123,0.006841933728721957,0.5521337371365118,12
1723045654.6729202,0.6930446814016179,1.4563499159757123,13,1.7803807258605957,2.942014217376709,0.0059138100134248075,0.6989584914150427,13
1723045654.6932116,0.7283201194663793,1.4100142088535976,14,1.8003289699554443,2.9623055458068848,0.004340967288170941,0.7326610867545502,14
1723045654.7129679,0.6491979090473254,1.289331842692949,15,1.8202240467071533,2.9820618629455566,0.002485059998385165,0.6516829690457107,15
1723045654.7348857,0.6061661561070711,1.1230853619146077,16,1.839811086654663,3.0039796829223633,0.0009336583999741679,0.6070998145070453,16
1723045654.7559521,0.46166281656037106,0.9483133017732768,17,1.8639683723449707,3.0250461101531982,0.0002439329018925948,0.4619067494622637,17
1723045654.7754242,0.3854118500244767,0.793220421909355,18,1.8828208446502686,3.044518232345581,0.0005162582182800192,0.3859281082427567,18
1723045654.7951465,0.3230411824868792,0.682123882306897,19,1.9025795459747314,3.0642404556274414,0.0016431834839494865,0.32468436597082867,19
1723045654.815079,0.3445131695192865,0.6222412107627132,20,1.9225490093231201,3.0841729640960693,0.0032413653143476147,0.3477545348336341,20
1723045654.8351371,0.3928605439519691,0.6012011240492272,21,1.9424934387207031,3.104231119155884,0.004992650437378846,0.39785319438934796,21
1723045654.8558464,0.37336605877418866,0.5982992122123512,22,1.963597297668457,3.1249403953552246,0.006813396949410992,0.3801794557235996,22
1723045654.876863,0.40597425323828235,0.598797011182349,23,1.984435796737671,3.1459569931030273,0.008434038563552277,0.41440829180183464,23
1723045654.8980844,0.43207057834027957,0.5962005975701923,24,2.0062098503112793,3.1671783924102783,0.00996790840906888,0.4420384867493484,24
1723045654.9189792,0.4163870363206945,0.5908644624488341,25,2.0265650749206543,3.18807315826416,0.011291167383822347,0.42767820370451687,25
1723045654.9389591,0.42349671697746183,0.5865915301820601,26,2.0463922023773193,3.2080531120300293,0.012618960775377568,0.4361156777528394,26
1723045654.9587743,0.37394817973891875,0.5890076008002167,27,2.0662622451782227,3.2278683185577393,0.013736567126093958,0.3876847468650127,27
1723045654.978709,0.3464741276361316,0.6029754356327081,28,2.0857229232788086,3.247802972793579,0.014901651085737098,0.3613757787218687,28
1723045654.9984148,0.3010908844760091,0.6308602577119842,29,2.1058027744293213,3.2675087451934814,0.016000252230103908,0.31709113670611305,29
1723045655.01831,0.3069815761602331,0.6706387708822673,30,2.1257426738739014,3.2874040603637695,0.01705097338160107,0.32403254954183414,30
1723045655.0378673,0.2877313211542284,0.7169866913484958,31,2.145268440246582,3.3069612979888916,0.01800516698751438,0.30573648814174276,31
1723045655.0576534,0.2811161167686267,0.7637772104800582,32,2.1655900478363037,3.326747417449951,0.018842857781248057,0.29995897454987475,32
1723045655.0801444,0.3158097565721649,0.8032755480448606,33,2.1885554790496826,3.349238395690918,0.019651414983250418,0.3354611715554153,33
1723045655.0997572,0.2952183490751473,0.831758630644221,34,2.2071259021759033,3.3688511848449707,0.020350598518001074,0.3155689475931484,34
1723045655.1194365,0.30353666228857634,0.8471011816980265,35,2.226778984069824,3.3885304927825928,0.02104040147878484,0.3245770637673612,35
1723045655.1389925,0.32288886303925335,0.8472308441490505,36,2.2464261054992676,3.4080865383148193,0.02151018639276094,0.34439904943201427,36
1723045655.158864,0.32096998710555014,0.8334611613622145,37,2.2663400173187256,3.4279580116271973,0.022007223414090858,0.342977210519641,37
1723045655.1829824,0.3239952405549812,0.8092632176013381,38,2.29034686088562,3.4520764350891113,0.022361695708013704,0.3463569362629949,38
1723045655.2029912,0.3074603632667797,0.7773157357884254,39,2.3104469776153564,3.4720852375030518,0.02268699957626094,0.3301473628430407,39
1723045655.2232127,0.29692729572723875,0.7431209639225371,40,2.3306758403778076,3.492306709289551,0.022601318968489027,0.3195286146957278,40
