time,_step,_timestamp,loss,loss_interior,step,l2_error,loss_boundary,_runtime
1.4846253395080566,0,1723045654.820053,2.6393765714064155,2.2510704673150684e-06,0,1.760712582756192,2.639374320335948,2.728257179260254
1.960007667541504,1,1723045654.8454418,2.465632235927098,2.578971505983408e-06,1,1.668474144302391,2.465629656955592,2.753645896911621
1.9796850681304932,2,1723045654.8674798,2.3137093285496317,8.712096869822953e-06,2,1.5379423769295288,2.313700616452762,2.775683879852295
2.0016214847564697,3,1723045654.8892727,2.137532954551945,3.167927791767882e-05,3,1.37198404065381,2.137501275274027,2.7974767684936523
2.0236563682556152,4,1723045654.9113421,1.778046096238095,9.565680582199712e-05,4,1.1751400789925885,1.7779504394322732,2.8195462226867676
2.046370506286621,5,1723045654.9342067,1.3296219824494386,0.00024278469900386012,5,0.9584170722256866,1.3293791977504348,2.8424108028411865
2.0683648586273193,6,1723045654.9561584,1.0313074335342887,0.0005419702351210776,6,0.7488187243443448,1.0307654632991676,2.8643624782562256
2.0907065868377686,7,1723045654.9774318,0.6960396288742927,0.0011073650115515084,7,0.6266936511033455,0.6949322638627412,2.8856358528137207
2.111840009689331,8,1723045654.998707,0.48424537249795696,0.0020040467970920037,8,0.6991437137375628,0.482241325700865,2.9069111347198486
2.133554458618164,9,1723045655.0205193,0.34459080855409946,0.0032860719355155116,9,0.9290127941073593,0.34130473661858396,2.9287233352661133
2.1547727584838867,10,1723045655.0419743,0.38654442624451507,0.00459719903385992,10,1.1893503926096478,0.38194722721065516,2.950178384780884
2.1768639087677,11,1723045655.0639617,0.48964838008482764,0.005581806718232539,11,1.393858905392966,0.4840665733665951,2.972165822982788
2.2040858268737793,12,1723045655.0919158,0.6816543275420124,0.005465085809318393,12,1.486885488642121,0.676189241732694,3.000119924545288
2.226186752319336,13,1723045655.1130793,0.7674822423959342,0.004430052390723192,13,1.4560268130051426,0.7630521900052111,3.0212833881378174
2.2475903034210205,14,1723045655.1344326,0.7539206777734138,0.0026567307335172647,14,1.3199507790899294,0.7512639470398965,3.0426366329193115
2.2690412998199463,15,1723045655.1559331,0.5998597169564321,0.000966855374943917,15,1.1299161126214228,0.5988928615814882,3.0641372203826904
2.290963649749756,16,1723045655.1771002,0.493719614270464,0.00018655221188850282,16,0.9305263864562134,0.4935330620585755,3.0853042602539062
2.311187982559204,17,1723045655.1971195,0.38647924303734765,0.000615679336173008,17,0.7631336753296919,0.38586356370117464,3.105323553085327
2.3314907550811768,18,1723045655.2171638,0.32895107325797374,0.0020346486917751706,18,0.6534815781089879,0.32691642456619857,3.1253678798675537
2.3519864082336426,19,1723045655.2377806,0.33214825310081075,0.003987775133103027,19,0.6044741872880935,0.32816047796770775,3.145984649658203
2.3725624084472656,20,1723045655.258351,0.38405293529433754,0.005946850441979677,20,0.5936703058337345,0.37810608485235786,3.166555166244507
2.392725944519043,21,1723045655.278592,0.42590886103346387,0.0078186440716202,21,0.5972032259085098,0.4180902169618437,3.186796188354492
2.412698984146118,22,1723045655.2981815,0.43959571469072967,0.009307759581688519,22,0.5996867678147983,0.43028795510904116,3.206385612487793
2.432288408279419,23,1723045655.3180003,0.49874472277065823,0.010598719443154199,23,0.5952234875597662,0.488146003327504,3.2262043952941895
2.452545166015625,24,1723045655.3380573,0.44756588974167677,0.011701707470001849,24,0.5871408939641339,0.43586418227167495,3.2462613582611084
2.472156047821045,25,1723045655.3578005,0.3940706754037203,0.012551285706478028,25,0.5822956839759666,0.3815193896972423,3.2660045623779297
2.4913997650146484,26,1723045655.3771424,0.3727802821825526,0.013392330226925885,26,0.5885934767955806,0.3593879519556267,3.285346508026123
2.510648250579834,27,1723045655.3963253,0.3588344483110774,0.014055790949125919,27,0.6122259382291574,0.3447786573619515,3.3045294284820557
2.529890775680542,28,1723045655.4152496,0.33050146307197964,0.014647050692706538,28,0.6537252165686122,0.3158544123792731,3.323453664779663
2.548994779586792,29,1723045655.4346583,0.3340279728765818,0.015011774624507689,29,0.70730102217263,0.3190161982520741,3.342862367630005
2.5680739879608154,30,1723045655.453904,0.2961827653758389,0.015528739860685405,30,0.7676038341383589,0.28065402551515345,3.362107992172241
2.5877771377563477,31,1723045655.4734533,0.3229678295951031,0.01592065376131586,31,0.8214574593427445,0.30704717583378727,3.381657361984253
2.6074657440185547,32,1723045655.4930544,0.3296642242388042,0.016197258769824523,32,0.8613340528595996,0.3134669654689797,3.4012584686279297
2.6268808841705322,33,1723045655.5143085,0.35571508398593793,0.01661527133124553,33,0.8787007704995511,0.3390998126546924,3.4225125312805176
2.647514820098877,34,1723045655.5333674,0.3262145906816834,0.016960988015010246,34,0.8769453983103033,0.3092536026666732,3.4415714740753174
2.667029619216919,35,1723045655.5528138,0.3637666513501794,0.017603477983892887,35,0.8576977782602554,0.3461631733662865,3.4610178470611572
2.686738967895508,36,1723045655.5723267,0.34631047719792873,0.018302186125964317,36,0.8236058127757635,0.32800829107196444,3.4805307388305664
2.7063474655151367,37,1723045655.5920985,0.3291562369727882,0.019017322915528448,37,0.7816107407748476,0.31013891405725974,3.50030255317688
2.725615978240967,38,1723045655.6113925,0.3221367605270895,0.0197505830871792,38,0.7357785283631304,0.3023861774399103,3.519596576690674
2.7452585697174072,39,1723045655.6308892,0.3064182017965202,0.020773127091314493,39,0.6947196890086871,0.28564507470520567,3.539093255996704
2.764648914337158,40,1723045655.6506007,0.3178328249893763,0.021286743145078422,40,0.6600524662549977,0.29654608184429787,3.558804750442505
