step,_timestamp,loss_boundary,time,_step,_runtime,l2_error,loss_interior,loss
27,1723045654.6649454,0.37934317130710843,1.8156836032867432,27,3.4234204292297363,0.5748885241422615,0.02110374595733283,0.40044691726444126
28,1723045654.6846335,0.3251211989813971,1.8353328704833984,28,3.443108558654785,0.5973927050542586,0.02176900074650481,0.34689019972790186
29,1723045654.7039952,0.3304237542196159,1.8545548915863037,29,3.462470293045044,0.636623364321843,0.022239299616715707,0.3526630538363316
30,1723045654.7232368,0.3135249014131473,1.873889446258545,30,3.4817118644714355,0.686855395621501,0.0224735882774431,0.33599848969059043
31,1723045654.7430158,0.31185042779726957,1.8938345909118652,31,3.501490831375122,0.7420504326877465,0.022583808180545242,0.3344342359778148
32,1723045654.762471,0.3023969755119297,1.913029670715332,32,3.5209460258483887,0.7941959378500637,0.022501108055145786,0.32489808356707545
33,1723045654.7832026,0.30305116677076704,1.935009479522705,33,3.541677713394165,0.8352834052594873,0.021963188036069236,0.32501435480683627
34,1723045654.804199,0.3129524907761025,1.954937219619751,34,3.562674045562744,0.8617175284628641,0.022075070318492488,0.335027561094595
35,1723045654.824989,0.3116917291936222,1.9762942790985107,35,3.5834641456604004,0.8679609543751852,0.021430966316948293,0.3331226955105705
36,1723045654.844647,0.32256748480457575,1.995326042175293,36,3.6031219959259033,0.8544966814016925,0.021453796825306654,0.34402128162988244
37,1723045654.8639724,0.31208174716323206,2.0146515369415283,37,3.6224474906921387,0.8288988308782962,0.020481366064663168,0.3325631132278952
38,1723045654.88367,0.31125055254602385,2.0343244075775146,38,3.6421451568603516,0.7950181845647283,0.02077235115588025,0.3320229037019041
39,1723045654.9029722,0.30203586159867585,2.0538666248321533,39,3.661447286605835,0.7570047731288384,0.020290865004970137,0.322326726603646
40,1723045654.9223242,0.29995928833974317,2.073019027709961,40,3.6807992458343506,0.717797984615132,0.0200557656170763,0.32001505395681945
42,1723045654.9572802,0.2577970358858831,2.107783555984497,41,3.7157552242279053,0.6521205742134968,0.019618545785157863,0.27741558167104097
46,1723045655.02422,0.2686993619834783,2.174750804901123,42,3.7826950550079346,0.5880868038791872,0.01895837403237142,0.28765773601584976
50,1723045655.0921254,0.27802287875422754,2.242995500564575,43,3.850600481033325,0.6009650329339347,0.01733014461916641,0.295353023373394
55,1723045655.176476,0.25463008073559484,2.326908826828003,44,3.934951066970825,0.6854155725022612,0.014987780386065847,0.2696178611216607
61,1723045655.2748013,0.2461963859658139,2.4252545833587646,45,4.033276319503784,0.6801215899814367,0.014711436571692122,0.260907822537506
67,1723045655.3731625,0.2210415458450788,2.523800849914551,46,4.1316375732421875,0.5885824914937959,0.017856909056563973,0.23889845490164277
73,1723045655.4724019,0.18897500476883441,2.622999429702759,47,4.230876922607422,0.5983837086880847,0.018591428083560388,0.2075664328523948
81,1723045655.6011953,0.19942499900508295,2.7518253326416016,48,4.359670400619507,0.6152319235947512,0.01545505312267443,0.21488005212775738
89,1723045655.734107,0.18612040175228742,2.8845691680908203,49,4.492582082748413,0.5692671914848988,0.018537038215931518,0.20465743996821895
98,1723045655.8826942,0.17526359936418204,3.0335614681243896,50,4.641169309616089,0.5954849352935903,0.017042465327982634,0.19230606469216466
107,1723045656.0297394,0.17570440908131768,3.1800832748413086,51,4.788214445114136,0.5585945393943857,0.019028266377454396,0.19473267545877207
118,1723045656.2107067,0.16029608394696182,3.3610377311706543,52,4.969181776046753,0.5568209834886868,0.01619374744777459,0.1764898313947364
130,1723045656.4075289,0.1509929411119402,3.5578978061676025,53,5.166003942489624,0.557521328938937,0.013202736062248175,0.16419567717418837
143,1723045656.6257367,0.15105863735990274,3.775944471359253,54,5.384211778640747,0.5347862065900745,0.012589120444953077,0.16364775780485583
157,1723045656.8601408,0.14378741603554032,4.010361671447754,55,5.6186158657073975,0.527284523687603,0.011041814618038942,0.15482923065357926
172,1723045657.1015508,0.1403567778922333,4.251736164093018,56,5.860025882720947,0.5034742558139943,0.010687254424981677,0.15104403231721497
190,1723045657.3964734,0.12532789983977416,4.546855211257935,57,6.154948472976685,0.4544471439698849,0.012721475458318202,0.13804937529809236
208,1723045657.693627,0.11123721601107141,4.844722509384155,58,6.452102184295654,0.46733336542393206,0.01183120597454742,0.12306842198561882
229,1723045658.040726,0.09941907024834273,5.190660238265991,59,6.799201011657715,0.43321568305481695,0.012975931042366226,0.11239500129070897
252,1723045658.4097333,0.09142359029976939,5.559993505477905,60,7.168208360671997,0.39973808876322914,0.013131678052549604,0.10455526835231899
277,1723045658.8184464,0.07942216803083563,5.968600034713745,61,7.576921463012695,0.3863682553661959,0.011694134646145575,0.0911163026769812
305,1723045659.2767687,0.0636475472690744,6.4268529415130615,62,8.03524374961853,0.33433902093599677,0.013355532556943004,0.07700307982601741
335,1723045659.7763405,0.04628497714847562,6.926366329193115,63,8.534815549850464,0.292349677676142,0.013389873478032714,0.05967485062650833
369,1723045660.328991,0.03586350207796947,7.479146718978882,64,9.08746600151062,0.24897469412160692,0.013424291895875249,0.04928779397384472
406,1723045660.9287558,0.031022376795148267,8.078526973724365,65,9.687230825424194,0.22517515078595357,0.012108626987943235,0.0431310037830915
446,1723045661.5773468,0.027337301558092605,8.727480173110962,66,10.335821866989136,0.1995044691107338,0.010130198047079621,0.037467499605172226
491,1723045662.3070915,0.026010037023733175,9.45720386505127,67,11.065566539764404,0.19348106856708333,0.00921377782467264,0.03522381484840582
540,1723045663.1152704,0.02433407411314313,10.265522956848145,68,11.873745441436768,0.1733516940492775,0.00819222149288208,0.03252629560602521
594,1723045663.988221,0.018682880080554697,11.138331174850464,69,12.74669599533081,0.1673540354634504,0.006789894064362038,0.025472774144916735
653,1723045664.9585683,0.01835445632088113,12.108928203582764,70,13.717043399810791,0.1621622204240062,0.00668614208227362,0.02504059840315475
718,1723045666.0002418,0.015779724074316957,13.150060892105103,71,14.758716821670532,0.16344012015928186,0.005508491656609164,0.02128821573092612
790,1723045667.1614516,0.013848170064924814,14.311746835708618,72,15.919926643371582,0.14911304917159052,0.005080049057031593,0.018928219121956406
869,1723045668.4367237,0.012606103015184398,15.586752891540527,73,17.19519877433777,0.1349013528276412,0.004316339785167334,0.016922442800351732
956,1723045669.8177986,0.011141065896984843,16.968278646469116,74,18.576273679733276,0.11460406072579389,0.004324305307885703,0.015465371204870546
1052,1723045671.3518853,0.007975585873698602,18.501550912857056,75,20.110360383987427,0.10814430563761009,0.0034539818400426284,0.011429567713741231
1157,1723045673.0509527,0.005826346832491377,20.201186418533325,76,21.809427738189697,0.08689660951225024,0.0029935124610998304,0.008819859293591206
1272,1723045674.9000258,0.004817342686886347,22.050058126449585,77,23.658500909805298,0.07214754708671542,0.002875150286918423,0.00769249297380477
1400,1723045676.964641,0.004091912039473036,24.11478042602539,78,25.723116159439087,0.06030911258656204,0.002587118236244552,0.0066790302757175875
1539,1723045679.1858084,0.002125757810757412,26.33556818962097,79,27.944283485412598,0.050565046173172916,0.0019448211829088014,0.004070578993666214
1693,1723045681.6536524,0.0019437796395472128,28.803842306137085,80,30.41212749481201,0.054631310871485,0.0015621591808254516,0.0035059388203726644
1863,1723045684.4081397,0.0025759836552916543,31.55825448036194,81,33.16661477088928,0.0816425474516567,0.0015651556194511969,0.004141139274742851
2049,1723045687.3950207,0.0011906556072891095,34.54471516609192,82,36.15349578857422,0.03797780431274332,0.0011763916278170706,0.00236704723510618
2254,1723045690.6577919,0.0009537295624765713,37.808098554611206,83,39.41626691818237,0.03513522540278651,0.001113811636816424,0.0020675411992929953
2479,1723045694.2655878,0.0008573615794364133,41.41291308403015,84,43.02406287193298,0.032386900830596296,0.0008916256671687607,0.001748987246605174
2727,1723045698.2537374,0.0007631737821721675,45.403849601745605,85,47.01221251487732,0.03225491180464747,0.0008380819948031811,0.0016012557769753486
3000,1723045702.6089175,0.0009207782984294478,49.75876975059509,86,51.36739253997803,0.03733889362790682,0.0007231783347256785,0.0016439566331551262
3299,1723045707.4000547,0.001127112008114993,54.54987454414368,87,56.15852975845337,0.045999499995270164,0.0007220105479891921,0.0018491225561041852
3629,1723045712.6969376,0.0007685642907366075,59.846396684646606,88,61.45541262626648,0.02554068431828311,0.0005565195690710117,0.001325083859807619
3992,1723045718.444732,0.0013783339931942812,65.59478878974915,89,67.20320701599121,0.041215506482378185,0.0005817325657867512,0.0019600665589810324
4391,1723045724.8112695,0.0005061089976929211,71.96235752105713,90,73.56974458694458,0.0241868940082352,0.00040345065935747305,0.0009095596570503942
4831,1723045731.825121,0.00035738108322394313,78.9752025604248,91,80.58359599113464,0.021882308016914574,0.0003897870774356315,0.0007471681606595746
5314,1723045739.48979,0.0007011824192981443,86.6394910812378,92,88.24826502799988,0.020430379244542076,0.0003377324967425368,0.0010389149160406812
5845,1723045747.9231348,0.00032165917714188565,95.07317566871643,93,96.6816098690033,0.01968221335523054,0.00029848601514676155,0.0006201451922886471
6429,1723045757.2413642,0.00030064400808166617,104.39081764221191,94,105.99983930587769,0.02015165488419468,0.000251840890190906,0.0005524848982725722
7072,1723045767.4614623,0.0003534636151875401,114.61106467247009,95,116.21993732452393,0.019277075882032004,0.00022863908014161626,0.0005821026953291564
7779,1723045778.8141696,0.0002570677759318157,125.96469449996948,96,127.57264471054077,0.018647435907590482,0.0001859974421127671,0.0004430652180445828
8557,1723045791.2016883,0.00035602774925833194,138.3517062664032,97,139.96016335487366,0.0157958631915519,0.00017417597473455055,0.0005302037239928825
9413,1723045804.820931,0.00026956767434355904,151.97097373008728,98,153.5794060230255,0.022521532321203654,0.00016253927942277836,0.0004321069537663374
10354,1723045819.915808,0.0001945763867130045,167.06561613082886,99,168.67428302764893,0.01769759359886299,0.00014541576621420455,0.00033999215292720904
11389,1723045836.7599406,0.00017715063009690146,183.91007947921753,100,185.51841568946838,0.016013788104354085,0.00013697676255094505,0.0003141273926478465
12528,1723045855.5384495,0.00017493214389625747,202.68815875053406,101,204.29692459106445,0.0176047702216535,0.00011449195094355502,0.0002894240948398125
13781,1723045876.0946863,0.00015089310302783838,223.2445375919342,102,224.85316133499146,0.017124667560247872,0.00010584008964774964,0.00025673319267558803
15159,1723045898.4210458,9.967092321065433e-05,245.57103157043457,103,247.1795208454132,0.011380606398874173,8.98849351159786e-05,0.0001895558583266329
16675,1723045922.7215805,0.00011645236403708768,269.8711347579956,104,271.4800555706024,0.011497953095746867,8.320063688271684e-05,0.00019965300091980454
18342,1723045949.3782625,8.91186828891388e-05,296.52777075767517,105,298.13673758506775,0.01067685413637802,7.240695007129157e-05,0.00016152563296043036
20177,1723045978.773408,9.441041013960968e-05,325.92309761047363,106,327.5318830013275,0.013239627735719184,6.666165536639942e-05,0.0001610720655060091
22194,1723046010.9822338,8.49348073184092e-05,358.1318943500519,107,359.7407088279724,0.0093567843483045,5.539884952537693e-05,0.00014033365684378612
24414,1723046046.5057006,7.59903709133702e-05,393.6554033756256,108,395.26417565345764,0.009169881585249092,5.042711055903592e-05,0.00012641748147240614
26855,1723046085.6001017,5.9183562103113816e-05,432.74985551834106,109,434.35857677459717,0.0088991446370654,4.743447407035421e-05,0.00010661803617346803
29540,1723046128.5020623,6.654666600670081e-05,475.65085554122925,110,477.26053738594055,0.012991847461525938,3.7965679010275e-05,0.00010451234501697581
32494,1723046175.689021,7.109661179158614e-05,522.8385856151581,111,524.447496175766,0.008616486935567446,3.605568756610784e-05,0.00010715229935769398
35744,1723046227.6623907,0.00010948621789706076,574.8121926784515,112,576.4208657741547,0.01579510381027541,3.2056600743901686e-05,0.00014154281864096245
39318,1723046284.531449,5.46481509900936e-05,631.6810939311981,113,633.2899241447449,0.00866525387944229,2.8905148152024782e-05,8.355329914211838e-05
43250,1723046347.2213864,5.9921684295942716e-05,694.3711082935333,114,695.979861497879,0.00948539796676129,2.420673820332227e-05,8.412842249926499e-05
47575,1723046416.126945,4.8980195768127554e-05,763.276603937149,115,764.8854200839996,0.006689013552332089,2.4065113801337576e-05,7.304530956946513e-05
52332,1723046491.8993855,4.2684608609756606e-05,839.0490584373474,116,840.6578605175018,0.007199850355877112,2.1875068329355198e-05,6.455967693911181e-05
57566,1723046575.0406513,3.688965376472838e-05,922.1903471946716,117,923.7991263866425,0.007324972532682201,2.081803866795047e-05,5.770769243267885e-05
63322,1723046666.891893,3.39289640059877e-05,1014.0415062904358,118,1015.650367975235,0.006354599376343867,1.978539262134511e-05,5.371435662733281e-05
69654,1723046767.9014983,3.506274542121935e-05,1115.0512204170227,119,1116.6599733829498,0.007763651531590973,1.8307297753634106e-05,5.3370043174853455e-05
76620,1723046878.5599754,3.344886403543572e-05,1225.7094521522522,120,1227.3184504508972,0.005713737387854411,1.7991380977406528e-05,5.1440245012842245e-05
84281,1723047001.3268,6.803865129510921e-05,1348.476590871811,121,1350.0852751731873,0.011942274944619807,1.6421087240426587e-05,8.44597385355358e-05
92710,1723047135.3321903,2.748316253561976e-05,1482.4822931289673,122,1484.0906653404236,0.005526135054534683,1.5112886128189074e-05,4.259604866380883e-05
101980,1723047283.8803408,2.684352498413968e-05,1631.0299038887024,123,1632.6388158798218,0.005727249737937937,1.4570786315416524e-05,4.141431129955621e-05
112178,1723047446.3119435,2.7868369389383537e-05,1793.461637020111,124,1795.0704185962677,0.005219603657778067,1.4265056705014582e-05,4.213342609439812e-05
123396,1723047624.290389,2.2725566956210898e-05,1971.4400341510773,125,1973.0488641262054,0.004952962807526645,1.4749373103400847e-05,3.7474940059611745e-05
135736,1723047820.3079362,2.1719812292930476e-05,2167.457490682602,126,2169.06641125679,0.005253895577918524,1.3774959738389866e-05,3.549477203132034e-05
149309,1723048036.771288,1.9732543775593618e-05,2383.9208447933197,127,2385.529762983322,0.004673257078046987,1.1789920768783349e-05,3.1522464544376966e-05
164240,1723048274.6971946,1.852197154152018e-05,2621.8469071388245,128,2623.4556696414948,0.004888865276029125,1.1443105644009063e-05,2.9965077185529244e-05
180664,1723048535.9149444,1.5159340852834093e-05,2883.064213991165,129,2884.6734194755554,0.004291629028693695,1.0726876000719546e-05,2.5886216853553637e-05
188031,1723048652.8595264,1.5455111621018936e-05,3000.008629798889,130,3001.618001461029,0.0053238841160398506,1.015755007641281e-05,2.5612661697431746e-05
