input_dimension,peakmem
1,0.21697092056274414
5,0.3930191993713379
10,0.6085400581359863
15,0.8239541053771973
20,1.0402379035949707
25,1.2583603858947754
30,1.473949909210205
35,1.6922860145568848
40,1.9096760749816895
45,2.128042697906494
50,2.346897602081299
55,2.5657525062561035
60,2.784729480743408
65,3.005415439605713
70,3.2245450019836426
75,3.4450783729553223
80,3.665886402130127
85,3.887129306793213
90,4.109455585479736
95,4.330759525299072
100,4.553146839141846
