input_dimension,time
1,0.03251234690348307
5,0.0644999345143636
10,0.10360916455586751
15,0.14264543851216635
20,0.18462522824605307
25,0.2268657684326172
30,0.2617661952972412
35,0.30727529525756836
40,0.34411168098449707
45,0.3850855032602946
50,0.42516279220581055
55,0.4640657901763916
60,0.5102721055348715
65,0.5461224714914957
70,0.5860892136891683
75,0.6305564244588217
80,0.6708508332570394
85,0.7106179396311442
90,0.7529170513153076
95,0.8003895282745361
100,0.8393487930297852
