input_dimension,time
1,0.0510411262512207
5,0.11574999491373698
10,0.19611493746439615
15,0.27781303723653156
20,0.3597094217936198
25,0.4362207253774007
30,0.5164469877878824
35,0.5907665093739828
40,0.6715262730916342
45,0.7465925216674805
50,0.826820453008016
55,0.9090807437896729
60,0.9934673309326172
65,1.0853112538655598
70,1.1768221060434978
75,1.2530481020609539
80,1.3358327547709148
85,1.4188880920410156
90,1.5051229000091553
95,1.5834450721740723
100,1.6721541086832683
