input_dimension,peakmem
1,0.20929574966430664
5,0.5533127784729004
10,0.9836773872375488
15,1.4144234657287598
20,1.8462834358215332
25,2.277540683746338
30,2.7084622383117676
35,3.1416420936584473
40,3.573875904083252
45,4.007086277008057
50,4.440784931182861
55,4.874483585357666
60,5.308304309844971
65,5.743834018707275
70,6.177807331085205
75,6.613184452056885
80,7.0488362312316895
85,7.484922885894775
90,7.922092914581299
95,8.358240604400635
100,8.795471668243408
