step,time,_timestamp,loss,_runtime,loss_boundary,loss_interior,l2_error,_step
0,1.3005812168121338,1715668125.02322,3.413785867082854,5.547145128250122,3.411320357613169,0.002465509469684491,0.6113694034041064,0
1,1.8396289348602295,1715668125.203267,0.20676394000761544,5.727192163467407,0.18584202080533924,0.02092191920227621,0.29545365322840444,1
2,2.0303492546081543,1715668125.3939302,0.0784403192098368,5.917855262756348,0.05785001501112109,0.020590304198715714,0.17152951921575924,2
3,2.264202356338501,1715668125.627817,0.030431403055949657,6.151741981506348,0.019017879717087866,0.011413523338861793,0.1490798617123261,3
4,2.540834665298462,1715668125.9044254,0.022344032570495626,6.428350448608398,0.015448909406229437,0.006895123164266188,0.1277771976046119,4
5,2.859983444213867,1715668126.2236075,0.016873086878353732,6.747532606124878,0.010875671385784524,0.0059974154925692075,0.09075548744883073,5
6,3.212967872619629,1715668126.5765815,0.011887223169758585,7.100506544113159,0.006078320467258245,0.00580890270250034,0.07014391496945074,6
7,3.6086249351501465,1715668126.9722614,0.006355495001340633,7.4961864948272705,0.0035483810158593847,0.0028071139854812482,0.046468712315496756,7
8,4.05553936958313,1715668127.4192579,0.004182924178818028,7.943182945251465,0.0018820093130269566,0.0023009148657910715,0.044132379257454196,8
9,4.50042724609375,1715668127.8641005,0.0030795713068909464,8.388025522232056,0.001747114100581078,0.0013324572063098683,0.03639859628630718,9
10,4.943420886993408,1715668128.3070576,0.0022540685127980407,8.830982685089111,0.0012592035137529729,0.000994864999045068,0.038724995390200065,10
11,5.379876136779785,1715668128.744835,0.002055039984012985,9.268759965896606,0.0011300203710599686,0.0009250196129530164,0.03470053361966917,11
12,5.825164556503296,1715668129.1888018,0.0017146018163035756,9.712726831436157,0.0009762280894854473,0.0007383737268181282,0.029537046770949548,12
13,6.28968620300293,1715668129.6533453,0.0014844717967897336,10.177270412445068,0.0008488402763166261,0.0006356315204731075,0.029877735596172295,13
14,6.759034872055054,1715668130.1227238,0.0014601940104145687,10.64664888381958,0.0008417340045198129,0.0006184600058947559,0.028293091050570707,14
15,7.226505517959595,1715668130.5902119,0.0013560753536837563,11.114136934280396,0.0007833711343943258,0.0005727042192894306,0.025031569346462716,15
16,7.694957256317139,1715668131.0586412,0.0012738039893258686,11.582566261291504,0.000730210795920648,0.0005435931934052208,0.024892435364086987,16
17,8.164786338806152,1715668131.5284803,0.0010180958368466427,12.05240535736084,0.0005327662726494015,0.0004853295641972412,0.02365122311064729,17
18,8.640032291412354,1715668132.0037029,0.0009876972479908428,12.527627944946289,0.0005574813885423488,0.000430215859448494,0.022800430420942475,18
19,9.104836463928223,1715668132.4685102,0.0009171175345299486,12.992435216903687,0.0005181232033316988,0.00039899433119824977,0.021201950900806364,19
20,9.55920147895813,1715668132.9228837,0.0009023824675731687,13.446808815002441,0.0004951092086291981,0.0004072732589439707,0.02125146367840427,20
21,10.019322156906128,1715668133.3830209,0.0008010763253068498,13.906945943832397,0.0004122077530445006,0.00038886857226234917,0.021084922646168743,21
22,10.481869459152222,1715668133.845584,0.0007762059535605297,14.369508981704712,0.0004194983783148253,0.00035670757524570437,0.020893555577081658,22
23,10.94328784942627,1715668134.3069882,0.0007904696045956466,14.830913305282593,0.00042739941245403747,0.00036307019214160916,0.020265249354740607,23
24,11.40458345413208,1715668134.7682807,0.0007017652672491582,15.292205810546875,0.0003646088162233826,0.0003371564510257756,0.019676466163188303,24
25,11.855802297592163,1715668135.2194657,0.0006752155793148411,15.743390798568726,0.00037739641145353363,0.00029781916786130743,0.01890243138452716,25
26,12.30229115486145,1715668135.6659503,0.000680883749606297,16.18987536430359,0.000369472314128007,0.00031141143547829003,0.01887544900624455,26
27,12.764960765838623,1715668136.128619,0.0006535031044361655,16.652544021606445,0.00032361648346242264,0.00032988662097374285,0.018910664073767236,27
28,13.218351125717163,1715668136.5820124,0.0006269360803209444,17.105937480926514,0.0003307146330921191,0.0002962214472288253,0.018306299333250044,28
29,13.678102254867554,1715668137.0418015,0.0005695825131163904,17.56572651863098,0.00029266533820657505,0.0002769171749098153,0.018700717739474414,29
30,14.137004852294922,1715668137.5006747,0.0005368594785951438,18.02459979057312,0.0002604456128949636,0.0002764138657001802,0.01904492695221759,30
31,14.587437152862549,1715668137.9510868,0.0005904685414842063,18.475011825561523,0.00031771921698495463,0.0002727493244992517,0.016840304191333515,31
32,15.045180559158325,1715668138.4088595,0.0005231919180284008,18.93278455734253,0.00024908794171334977,0.0002741039763150511,0.017691401662894592,32
33,15.481062650680542,1715668138.8447077,0.0005106161060814128,19.368632793426514,0.0002680415845373271,0.0002425745215440858,0.017436267737691948,33
34,15.927093744277954,1715668139.2907414,0.00046090694618483683,19.814666509628296,0.00022270647784219266,0.00023820046834264417,0.015595240691147113,34
35,16.365460634231567,1715668139.7291005,0.00043515917044160474,20.2530255317688,0.000218271304909949,0.00021688786553165573,0.01525994945252064,35
36,16.806781768798828,1715668140.1703846,0.00046118523456288753,20.6943097114563,0.00024930894355307563,0.0002118762910098119,0.015484930367234067,36
37,17.24729895591736,1715668140.6109715,0.0004072908344771125,21.134896516799927,0.00020283384335437633,0.00020445699112273618,0.01497005085258037,37
38,17.68030834197998,1715668141.0439293,0.0003851415322081679,21.567854404449463,0.00019131167361787613,0.00019382985859029176,0.014957417855834612,38
39,18.121090173721313,1715668141.4847064,0.0003774587882868054,22.008631467819214,0.0002083790749513277,0.0001690797133354777,0.014596974522575962,39
40,18.564762115478516,1715668141.9283953,0.00034257598297922104,22.452320337295532,0.00016227277496953696,0.00018030320800968406,0.014515856296089818,40
42,19.44875144958496,1715668142.812379,0.0003109847696260318,23.33630394935608,0.0001503579348549071,0.00016062683477112468,0.014049033772905863,41
46,21.294529676437378,1715668144.6582284,0.0002642660923289598,25.182153463363647,0.00010815954546332943,0.00015610654686563032,0.012784772702876025,42
50,23.137916088104248,1715668146.5016155,0.00025340988426470824,27.025540590286255,0.00011593005615646453,0.00013747982810824374,0.012260508214561783,43
55,25.37162709236145,1715668148.7353313,0.0002310245449608794,29.25925636291504,0.00010849453977247548,0.00012253000518840394,0.011601603572639438,44
61,28.168222188949585,1715668151.531904,0.0001765206733356226,32.05582904815674,8.451901055101234e-05,9.200166278461028e-05,0.009475314202528215,45
67,30.824588537216187,1715668154.1883156,0.00015633982483567206,34.71224069595337,7.592251946003564e-05,8.041730537563643e-05,0.009060285705627209,46
73,33.49125361442566,1715668156.8549452,0.00012599258665952232,37.378870248794556,5.65571744110482e-05,6.943541224847412e-05,0.008482646941767268,47
81,37.011075496673584,1715668160.3747299,0.00011197400868323646,40.89865493774414,5.396719423635313e-05,5.800681444688332e-05,0.007943025171333544,48
89,40.65660786628723,1715668164.020289,9.654547869717439e-05,44.54421401023865,4.320953056106462e-05,5.3335948136109775e-05,0.006902124505693588,49
98,44.73882079124451,1715668168.1027555,9.055525065552298e-05,48.62668061256409,3.590650357635772e-05,5.464874707916525e-05,0.006827520281569453,50
107,48.76206111907959,1715668172.1256785,7.864780678876575e-05,52.649603605270386,2.774916535018143e-05,5.089864143858432e-05,0.005962911081045413,51
118,53.68005084991455,1715668177.0437942,6.634246280002521e-05,57.56771922111511,2.4038547581879074e-05,4.2303915218146133e-05,0.0057561878015675765,52
130,59.1660315990448,1715668182.5297065,5.574103661039463e-05,63.05363154411316,1.6735346449876676e-05,3.900569016051795e-05,0.004941196830111254,53
143,65.00172281265259,1715668188.365425,4.8524831718494835e-05,68.88935017585754,1.6676222836313516e-05,3.184860888218132e-05,0.00461823878015637,54
157,71.28430652618408,1715668194.6479378,4.133447919814518e-05,75.17186284065247,1.299426550090128e-05,2.8340213697243904e-05,0.004238875486628877,55
172,78.07160878181458,1715668201.4352484,3.984403750404279e-05,81.95917344093323,1.2606754587665354e-05,2.723728291637744e-05,0.004060642658320688,56
190,86.21118760108948,1715668209.5748534,3.518038268033359e-05,90.09877848625183,1.0734529806516454e-05,2.4445852873817133e-05,0.0038249478949936994,57
208,94.3898434638977,1715668217.7538562,2.9948888720087128e-05,98.27778124809265,8.148920081310739e-06,2.179996863877639e-05,0.0036397195717694612,58
