loss_boundary,loss,loss_interior,l2_error,_timestamp,_step,time,_runtime,step
3.411320357613169,3.413785867082854,0.002465509469684491,2.0971326896555986,1715675213.5954037,0,1.4003427028656006,5.584606647491455,0
3.1521930392202413,3.1577568043925086,0.00556376517226728,1.42839745402629,1715675213.8686593,1,1.9375700950622559,5.857862234115601,1
1.4423476289205375,1.6193572428297862,0.17700961390924877,0.9591521915619031,1715675214.1247506,2,2.1935954093933105,6.113953590393066,2
0.8877772011398395,0.952107044433352,0.06432984329351255,0.5697150416302558,1715675214.3859806,3,2.454876184463501,6.375183582305908,3
0.37215722229703785,0.434113191016506,0.06195596871946812,0.34743026167103497,1715675214.642619,4,2.711505174636841,6.631821870803833,4
0.06181678183051686,0.1073283796659907,0.04551159783547384,0.2572785529683874,1715675214.8933978,5,2.9605963230133057,6.882600784301758,5
0.03913915741563713,0.06274452623315632,0.023605368817519196,0.19080328082146308,1715675215.1427817,6,3.2113914489746094,7.131984710693359,6
0.0301114594361489,0.041575909277385255,0.011464449841236356,0.10485251781029777,1715675215.3971639,7,3.466068744659424,7.386366844177246,7
0.00721707460802751,0.010006702389641478,0.0027896277816139674,0.05622356232766867,1715675215.6524007,8,3.721325159072876,7.641603708267212,8
0.0022004089934433745,0.003921591373871051,0.0017211823804276763,0.04864810333537305,1715675215.9031987,9,3.97184157371521,7.892401695251465,9
0.0015480779625702908,0.0024030064661939767,0.0008549285036236859,0.046267340370218714,1715675216.153127,10,4.221781492233276,8.142329931259155,10
0.0013696108880640696,0.001773809972278235,0.00040419908421416537,0.040951762858510016,1715675216.4035335,11,4.4722020626068115,8.392736434936523,11
0.0011215272850387654,0.0013028013992628113,0.00018127411422404592,0.026355080757313975,1715675216.6568096,12,4.725468635559082,8.646012544631958,12
0.00045782818964737584,0.0005386631366918406,8.083494704446469e-05,0.019117136596788476,1715675216.905567,13,4.974212884902954,8.89476990699768,13
0.00021679038113146665,0.00025645945832350865,3.9669077192042e-05,0.008676945541603774,1715675217.1555557,14,5.224181175231934,9.144758701324463,14
3.856142200525141e-05,5.707047672145567e-05,1.850905471620426e-05,0.005086262990683979,1715675217.4164605,15,5.485317945480347,9.40566349029541,15
1.4822983986307392e-05,3.0125582618996647e-05,1.5302598632689257e-05,0.004261366713918212,1715675217.6709094,16,5.739561557769775,9.660112380981445,16
9.407428088458252e-06,2.1933352393192655e-05,1.2525924304734403e-05,0.0036269459375778555,1715675217.925173,17,5.993724346160889,9.914376020431519,17
7.616275407026035e-06,1.8025533547597906e-05,1.0409258140571872e-05,0.003309001658913869,1715675218.1741638,18,6.2427918910980225,10.163366794586182,18
5.617268106684769e-06,1.532968030230148e-05,9.71241219561671e-06,0.0027505561627091018,1715675218.4221563,19,6.490795373916626,10.411359310150146,19
4.088874418828322e-06,1.2828090808618859e-05,8.739216389790537e-06,0.0023409750094340485,1715675218.6740913,20,6.7423951625823975,10.663294315338135,20
3.431272627755448e-06,1.1128101631577112e-05,7.696829003821665e-06,0.001991467494205768,1715675218.9284537,21,6.997089624404907,10.917656660079956,21
2.4089582948003414e-06,8.777416016690658e-06,6.368457721890317e-06,0.0017604094373913732,1715675219.1787539,22,7.247425079345703,11.167956829071045,22
2.136649059776881e-06,7.3934679529809804e-06,5.256818893204099e-06,0.0015858901017690788,1715675219.4304159,23,7.4991090297698975,11.419618844985962,23
1.827664885201082e-06,6.136726423498237e-06,4.309061538297155e-06,0.0014082825142722655,1715675219.687507,24,7.756393194198608,11.6767098903656,24
1.6891573209705698e-06,4.948396954752445e-06,3.259239633781876e-06,0.0013004732115005138,1715675219.9470043,25,8.015901565551758,11.936207294464111,25
1.4546966156144929e-06,4.287626057024531e-06,2.8329294414100385e-06,0.0009691329438168288,1715675220.1965365,26,8.265161991119385,12.185739517211914,26
9.029950483918094e-07,3.2108217959400962e-06,2.307826747548287e-06,0.0008572119677321057,1715675220.4543936,27,8.523200988769531,12.443596601486206,27
7.401083406392799e-07,2.8123938993501494e-06,2.0722855587108694e-06,0.0008153472580264307,1715675220.7344224,28,8.803298234939575,12.723625421524048,28
5.680034049869342e-07,2.4775047142346895e-06,1.9095013092477555e-06,0.0007777043099310145,1715675220.9862804,29,9.054945945739746,12.975483417510986,29
5.221822082972824e-07,2.2520273400804566e-06,1.7298451317831744e-06,0.0006855486705613553,1715675221.236379,30,9.304765462875366,13.225581884384155,30
5.267414804215847e-07,2.014011653488813e-06,1.4872701730672284e-06,0.0006779461878980967,1715675221.4897497,31,9.558663845062256,13.478952646255493,31
4.871810223977256e-07,1.8107074759890037e-06,1.3235264535912782e-06,0.0006769267739171458,1715675221.7410462,32,9.809656620025635,13.730249166488647,32
4.056892407022542e-07,1.7093969185901964e-06,1.3037076778879422e-06,0.000656458860403111,1715675221.9966376,33,10.065326929092407,13.985840559005737,33
4.467605159079767e-07,1.6325869373162827e-06,1.185826421408306e-06,0.0006425071997940663,1715675222.2446787,34,10.313342809677124,14.233881711959839,34
3.777395850687535e-07,1.4729812333206046e-06,1.095241648251851e-06,0.0006693931534670411,1715675222.494632,35,10.563285112380981,14.483834981918335,35
3.2907758676666065e-07,1.3915852353232026e-06,1.062507648556542e-06,0.0006615535397475414,1715675222.7567658,36,10.825691223144531,14.74596881866455,36
3.191015201816377e-07,1.2606789500503732e-06,9.415774298687354e-07,0.0006476972771502335,1715675223.0139477,37,11.082820177078247,15.003150701522827,37
2.895198701551242e-07,1.2174064241565971e-06,9.278865540014729e-07,0.0006590576065243621,1715675223.2647867,38,11.333288669586182,15.253989696502686,38
