step,_step,loss_interior,loss,_timestamp,time,_runtime,loss_boundary,l2_error
0,0,0.002465509469684491,3.413785867082854,1715768306.6465704,1.2928342819213867,5.22431755065918,3.411320357613169,2.1233996210980206
1,1,0.0024654949266437955,3.4137671200330075,1715768306.6973264,1.5908803939819336,5.275073528289795,3.411301625106364,0.5606151135406618
2,2,0.018479290034714782,0.2320987012989496,1715768306.738742,1.632413387298584,5.316489219665527,0.21361941126423484,0.47351182247919327
3,3,0.013524408008180938,0.22753253592391087,1715768306.780219,1.6739227771759033,5.357966184616089,0.21400812791572993,0.6016835263774981
4,4,0.013855527225110851,0.1951446766640808,1715768306.8190608,1.7128937244415283,5.396807909011841,0.18128914943896995,0.5760248644404183
5,5,0.023553266623893634,0.1929404097531512,1715768306.8560452,1.7498753070831299,5.433792352676392,0.16938714312925754,0.555239180938956
6,6,0.015432504277112322,0.18010822433190085,1715768306.8932219,1.7870137691497803,5.470968961715698,0.16467572005478853,0.6018513660201521
7,7,0.012857861975077923,0.17727148303485638,1715768306.9317806,1.8255701065063477,5.509527683258057,0.16441362105977844,0.5037818284232486
8,8,0.01024873591369516,0.10267652585518346,1715768306.971691,1.8639018535614014,5.549437999725342,0.0924277899414883,0.3080805280085535
9,9,0.029719871947535323,0.08438628925692751,1715768307.0080438,1.9019780158996582,5.5857908725738525,0.05466641730939219,0.2688010762642052
10,10,0.024321403930312204,0.0672062210081265,1715768307.0437434,1.9375989437103271,5.621490478515625,0.04288481707781429,0.3062421484580305
11,11,0.022664397803193403,0.0644861974880391,1715768307.0779693,1.9718809127807617,5.655716419219971,0.0418217996848457,0.26816320962750106
12,12,0.014237352660956194,0.054573176093730476,1715768307.11314,2.0070278644561768,5.690887212753296,0.04033582343277428,0.26170332316082623
13,13,0.01608035179135228,0.05078719485826862,1715768307.1475337,2.0414845943450928,5.72528076171875,0.034706843066916335,0.2637707533204183
14,14,0.011040495481267466,0.04421397977652545,1715768307.1832442,2.0771117210388184,5.760991334915161,0.03317348429525798,0.21719859664360383
15,15,0.01200513518288797,0.04244472212387096,1715768307.2164469,2.1103901863098145,5.794193983078003,0.03043958694098299,0.20477549534874573
16,16,0.012424749347714467,0.03624095427334571,1715768307.2509754,2.14487886428833,5.8287224769592285,0.02381620492563125,0.19445165837127756
17,17,0.0128966953254832,0.03390173350793511,1715768307.282082,2.1760308742523193,5.8598291873931885,0.021005038182451904,0.21309826158353248
18,18,0.01290866566399308,0.0328672653900721,1715768307.3129718,2.206925392150879,5.890718936920166,0.019958599726079017,0.189566249280478
19,19,0.013093843575759266,0.03094319668486123,1715768307.3435428,2.2375378608703613,5.921289920806885,0.017849353109101962,0.189652898882668
20,20,0.012689957748939754,0.030087964656853518,1715768307.3798418,2.2738027572631836,5.9575889110565186,0.017398006907913762,0.17807242522985772
21,21,0.01275315934877021,0.029449765464734854,1715768307.4116962,2.305558919906616,5.989443302154541,0.016696606115964643,0.16347840078830544
22,22,0.012018354383198248,0.028930511075488642,1715768307.4490323,2.34299373626709,6.026779413223267,0.016912156692290396,0.16818424118075076
23,23,0.010893034591147004,0.027882929536094073,1715768307.4841528,2.378053903579712,6.061899900436401,0.016989894944947067,0.1750043911958975
24,24,0.010357706192908319,0.027600525101245568,1715768307.5172596,2.41120982170105,6.095006704330444,0.01724281890833725,0.17380053650957453
25,25,0.009803551845695705,0.026399302930034084,1715768307.5513847,2.4453186988830566,6.12913179397583,0.01659575108433838,0.19218941896032984
26,26,0.008834155723427512,0.025123367426357856,1715768307.5869625,2.480861186981201,6.164709568023682,0.016289211702930344,0.18892998395383448
27,27,0.00837855711126591,0.023884894713608613,1715768307.6210868,2.5150394439697266,6.19883394241333,0.015506337602342704,0.17102167476117136
28,28,0.008090153012473669,0.023160919519045198,1715768307.6567395,2.550590991973877,6.2344865798950195,0.015070766506571527,0.15620794572150687
29,29,0.008583325866476551,0.021858005226439294,1715768307.6902208,2.5841732025146484,6.267967939376831,0.013274679359962743,0.15867702299835706
30,30,0.008013036357100314,0.020703388266212364,1715768307.7256465,2.6194779872894287,6.303393602371216,0.01269035190911205,0.15798043267542142
31,31,0.007716209803019777,0.019243998384881972,1715768307.758825,2.6527740955352783,6.336572170257568,0.011527788581862193,0.1563486174433959
32,32,0.007124693838249893,0.018396926308334657,1715768307.7917445,2.685698986053467,6.3694915771484375,0.011272232470084766,0.13294781430006108
33,33,0.007068009527095477,0.017428574842299684,1715768307.8270147,2.7208974361419678,6.404761791229248,0.010360565315204205,0.1314036142547755
34,34,0.006603790722676188,0.016789223256473598,1715768307.861603,2.755532741546631,6.439350128173828,0.01018543253379741,0.12860101273720742
35,35,0.006505254272663189,0.01603154554120523,1715768307.8940375,2.7879486083984375,6.471784591674805,0.009526291268542042,0.13502894478563615
36,36,0.006447318161186728,0.01574321380589518,1715768307.932467,2.826336622238159,6.51021409034729,0.009295895644708452,0.1361233107296483
37,37,0.006513188390668651,0.015484949373552524,1715768307.9693122,2.863180637359619,6.5470592975616455,0.008971760982883872,0.1309608152991938
