step,_step,l2_error,_runtime,loss_interior,time,loss_boundary,loss,_timestamp
0,0,0.7989259119276353,5.268879413604736,0.002465509469684491,1.3867154121398926,3.411320357613169,3.413785867082854,1715764216.0709703
1,1,0.7989259119276353,5.346486568450928,0.004684753164650278,1.7097136974334717,0.25520415886677283,0.2598889120314231,1715764216.1485775
2,2,0.7989259119276353,5.412097454071045,0.004684753164650278,1.7771120071411133,0.25520415886677283,0.2598889120314231,1715764216.2141883
3,3,0.7989259119276353,5.4719836711883545,0.004684753164650278,1.8369698524475098,0.25520415886677283,0.2598889120314231,1715764216.2740746
4,4,0.7989259119276353,5.534743070602417,0.004684753164650278,1.89974045753479,0.25520415886677283,0.2598889120314231,1715764216.336834
5,5,0.8034703172261427,5.595917224884033,0.004684753164650278,1.9611351490020752,0.25520415886677283,0.2598889120314231,1715764216.398008
6,6,0.8031993019247619,5.654888153076172,0.005840572201949012,2.020068645477295,0.2536050315086298,0.2594456037105788,1715764216.456979
7,7,0.7945563625559207,5.713937044143677,0.010287553667073197,2.079148054122925,0.24746121217045242,0.2577487658375256,1715764216.516028
8,8,0.7790702752176759,5.772368431091309,0.01770185895836721,2.1375651359558105,0.2388501117239177,0.2565519706822849,1715764216.5744593
9,9,0.7375767667298725,5.832245111465454,0.02728877437802743,2.197453022003174,0.228326615361421,0.2556153897394484,1715764216.634336
10,10,0.550821081577852,5.891247987747192,0.04812952730938859,2.2563838958740234,0.20520000128369395,0.25332952859308255,1715764216.6933389
11,11,0.48115913667515536,5.952605962753296,0.09784480081641007,2.3176658153533936,0.12925666209930164,0.2271014629157117,1715764216.7546968
12,12,0.48115913667515536,6.014960289001465,0.011309607201026745,2.380021810531616,0.14629915247175967,0.15760875967278642,1715764216.8170512
13,13,0.48115913667515536,6.071849822998047,0.011309607201026745,2.4370179176330566,0.14629915247175967,0.15760875967278642,1715764216.8739407
14,14,0.4366351132954136,6.134046316146851,0.011309607201026745,2.4992361068725586,0.14629915247175967,0.15760875967278642,1715764216.9361372
15,15,0.3785167905629405,6.192662239074707,0.012732893122673738,2.557814598083496,0.142708208922562,0.15544110204523573,1715764216.9947531
16,16,0.31664401961799216,6.251312494277954,0.01811485216630684,2.6165244579315186,0.1260444445802983,0.14415929674660513,1715764217.0534034
17,17,0.2846971806497024,6.305576324462891,0.0372803506574254,2.670773983001709,0.09635435524806966,0.13363470590549506,1715764217.1076672
18,18,0.29986134345585136,6.36419415473938,0.02162715224591301,2.7293801307678223,0.06485375186007307,0.08648090410598608,1715764217.166285
19,19,0.313743240603423,6.42407751083374,0.022140214040203422,2.7892277240753174,0.05055509163633428,0.0726953056765377,1715764217.2261684
20,20,0.326247897425581,6.483199119567871,0.023950221881832788,2.848372220993042,0.044578087350518915,0.0685283092323517,1715764217.28529
21,21,0.33068603463800644,6.538525342941284,0.023516325716405426,2.903583288192749,0.040432480159034084,0.06394880587543951,1715764217.3406162
22,22,0.33088002384719933,6.598344087600708,0.023854259550455965,2.9635157585144043,0.0393724264597069,0.06322668601016286,1715764217.400435
23,23,0.3301499235829794,6.656569480895996,0.023943829274310522,3.0217373371124268,0.039250920872062466,0.06319475014637299,1715764217.4586604
24,24,0.3279865239538215,6.710880517959595,0.024336759206952288,3.0760765075683594,0.03865117468846373,0.06298793389541602,1715764217.5129714
25,25,0.32010508153398687,6.765719890594482,0.024852031120602268,3.130918264389038,0.03796928049925772,0.06282131161985999,1715764217.5678108
26,26,0.2918290534749415,6.823935508728027,0.0261099648211503,3.1891098022460938,0.03631857642678124,0.06242854124793154,1715764217.6260264
27,27,0.2489215236699188,6.883342266082764,0.02896497813934743,3.2485275268554688,0.03168499668730319,0.06064997482665062,1715764217.6854331
28,28,0.22344284357019797,6.938738822937012,0.029407697753368225,3.30391788482666,0.025653796204172317,0.05506149395754054,1715764217.7408297
29,29,0.21675215240407117,6.996857166290283,0.029516051017381147,3.361994743347168,0.023114196220600243,0.05263024723798139,1715764217.798948
30,30,0.20285767887636733,7.058843374252319,0.029630657945485,3.424008846282959,0.022651641960758147,0.05228229990624315,1715764217.8609343
31,31,0.18773765310733342,7.1174116134643555,0.029634108065527725,3.482492685317993,0.02198119569515562,0.051615303760683344,1715764217.9195025
32,32,0.15279866396094138,7.178208589553833,0.02915796459790487,3.543280601501465,0.021640457360754668,0.05079842195865954,1715764217.9802995
33,33,0.13575709752293563,7.239688158035278,0.02539419974521,3.604642629623413,0.021732766199301836,0.04712696594451184,1715764218.041779
34,34,0.12863872220228628,7.2971415519714355,0.023051184638229576,3.6621627807617188,0.021833934605559862,0.044885119243789434,1715764218.0992324
35,35,0.12566809016955,7.356001138687134,0.02256891554993434,3.7209978103637695,0.021669373208235188,0.04423828875816953,1715764218.158092
36,36,0.12315763777180044,7.413379907608032,0.022608727852001204,3.7783823013305664,0.021469229688204274,0.04407795754020548,1715764218.2154708
37,37,0.12112136250721006,7.46996283531189,0.02280482316227147,3.8349993228912354,0.0211576063549384,0.04396242951720987,1715764218.2720537
38,38,0.11844573639852514,7.526419401168823,0.02311975915602153,3.8914403915405273,0.02072902406683246,0.04384878322285399,1715764218.3285103
39,39,0.13824842971873558,7.585020065307617,0.024079807565385625,3.950059413909912,0.019548377698534087,0.04362818526391971,1715764218.387111
40,40,0.18448863804602222,7.642232418060303,0.02649902078248517,4.007251977920532,0.01401482525739235,0.04051384603987752,1715764218.4443233
42,41,0.2075962479545727,7.754597902297974,0.018006149518070627,4.119570255279541,0.016195413146472815,0.03420156266454344,1715764218.5566888
