l2_error,loss_boundary,loss,_runtime,time,_timestamp,loss_interior,_step,step
2.023355363986531,3.411320357613169,3.413785867082854,4.954776763916016,0.9599301815032959,1715668085.4566267,0.002465509469684491,0,0
1.924226438519927,3.0201933360290085,3.0217393477696155,4.9719908237457275,1.2677245140075684,1715668085.4738407,0.0015460117406068156,1,1
1.825840278576363,2.8885779723164577,2.8894650598106586,4.98688530921936,1.2827253341674805,1715668085.4887352,0.0008870874942006561,2,2
1.728366023513387,2.6553183349865455,2.655771032418626,5.001386404037476,1.2974183559417725,1715668085.5032363,0.0004526974320806198,3,3
1.6318163466928481,2.459707485765274,2.4599708249596097,5.017693996429443,1.3137569427490234,1715668085.519544,0.00026333919433541307,4,4
1.53612238800676,2.2714562176971858,2.2717422456126077,5.0293402671813965,1.3254551887512207,1715668085.5311902,0.00028602791542208113,5,5
1.4415333842528262,2.006954747636621,2.0074853199489886,5.041486978530884,1.337658166885376,1715668085.5433369,0.0005305723123675331,6,6
1.3481118407799089,1.8243946846428962,1.8253730894221745,5.052952766418457,1.3491318225860596,1715668085.5548027,0.000978404779278138,7,7
1.2558204265267707,1.7563736554074216,1.757989600904782,5.064901351928711,1.3610703945159912,1715668085.5667512,0.0016159454973603518,8,8
1.1650603282167689,1.5240426854626268,1.526584065321785,5.077531099319458,1.3735344409942627,1715668085.579381,0.0025413798591582973,9,9
1.0763122820272417,1.3535617093392098,1.3571681126950867,5.09440279006958,1.3905532360076904,1715668085.5962527,0.0036064033558768464,10,10
0.9901842149435603,1.2318180611644698,1.2365593979085274,5.108741998672485,1.4034721851348877,1715668085.610592,0.004741336744057578,11,11
0.9071652351270257,1.1292083190892068,1.135356038417842,5.121891260147095,1.4180521965026855,1715668085.6237411,0.006147719328635172,12,12
0.8284159964261221,0.9841907447421935,0.9916522941569061,5.133947849273682,1.430109977722168,1715668085.6357977,0.0074615494147127065,13,13
0.7552248672480855,0.881052577552945,0.8898841615396482,5.146056890487671,1.4422240257263184,1715668085.6479068,0.008831583986703253,14,14
0.6893674982072878,0.7153342924463924,0.7253812857530657,5.162310600280762,1.4583766460418701,1715668085.6641605,0.010046993306673302,15,15
0.6324159789695606,0.6485989424061531,0.6598409718877394,5.175196647644043,1.4713466167449951,1715668085.6770465,0.011242029481586292,16,16
0.5864928268086552,0.5544262673993358,0.566333815811262,5.188158273696899,1.4842736721038818,1715668085.6900082,0.01190754841192617,17,17
0.5531389301526319,0.4879327054818047,0.5004201933632454,5.198390960693359,1.4945294857025146,1715668085.7002409,0.012487487881440723,18,18
0.5334136457550785,0.4437848070745101,0.45570535652170013,5.209691047668457,1.5058205127716064,1715668085.711541,0.011920549447189998,19,19
0.5275119439927421,0.35463401934726063,0.36609101067766475,5.221166610717773,1.5172970294952393,1715668085.7230165,0.011456991330404136,20,20
0.5342476997078461,0.3320110852450551,0.34245072632106405,5.233331203460693,1.5294859409332275,1715668085.735181,0.01043964107600893,21,21
0.5514365124640692,0.2988612363926588,0.3087364973356005,5.246639728546143,1.5424613952636719,1715668085.7484896,0.009875260942941671,22,22
0.5762264842855197,0.2721457074332565,0.28080461631324366,5.259831428527832,1.555713415145874,1715668085.7616813,0.008658908879987147,23,23
0.6058049236726385,0.242758500131071,0.2501481342840349,5.275998830795288,1.572152853012085,1715668085.7778487,0.0073896341529638525,24,24
0.6372282501231123,0.23320978222142946,0.23944068311851796,5.288482189178467,1.584580421447754,1715668085.790332,0.006230900897088502,25,25
0.6686104414874543,0.22471628838649843,0.22998036399801344,5.303187131881714,1.5977742671966553,1715668085.805037,0.005264075611515012,26,26
0.698080481977247,0.20602834606621637,0.21050819893923178,5.322242021560669,1.6179368495941162,1715668085.824092,0.00447985287301541,27,27
0.7243943161121665,0.20096571366758134,0.20525136521889079,5.3332178592681885,1.6293213367462158,1715668085.8350677,0.004285651551309449,28,28
0.7460886224023111,0.22220272532767377,0.22680558980351173,5.342642307281494,1.638730764389038,1715668085.8444922,0.0046028644758379705,29,29
0.7629298521578002,0.22005668714146434,0.22549508950218325,5.352123498916626,1.648184061050415,1715668085.8539734,0.005438402360718918,30,30
0.7739122528400336,0.22014857811108396,0.22707623858610973,5.361498832702637,1.6575777530670166,1715668085.8633487,0.006927660475025774,31,31
0.7796881792573864,0.20489361974571893,0.2147179028013662,5.371337890625,1.6674253940582275,1715668085.8731878,0.009824283055647282,32,32
0.7799432239983564,0.2305149754463373,0.2434763359511274,5.3812925815582275,1.677400827407837,1715668085.8831425,0.012961360504790062,33,33
0.774754633729656,0.24148062988609711,0.2579326517475741,5.391193389892578,1.6872711181640625,1715668085.8930433,0.01645202186147702,34,34
0.7649071108724492,0.22135630959028846,0.24349142196046733,5.400951147079468,1.697047233581543,1715668085.902801,0.02213511237017887,35,35
0.7511610176813118,0.2174364947294327,0.24449004733797822,5.410632848739624,1.7066607475280762,1715668085.9124827,0.027053552608545535,36,36
0.7346502288151651,0.19621139791697773,0.2286885817232836,5.420416593551636,1.7165086269378662,1715668085.9222665,0.03247718380630589,37,37
0.7160393769048508,0.1929208932268936,0.23102827689066194,5.430096387863159,1.726254940032959,1715668085.9319463,0.03810738366376835,38,38
0.6955235432868522,0.20191078850276062,0.245629664422296,5.441377639770508,1.7374677658081055,1715668085.9432275,0.043718875919535376,39,39
0.6743597234877476,0.1903604654842456,0.23874676755652993,5.450770616531372,1.7468087673187256,1715668085.9526205,0.048386302072284344,40,40
0.6324859464873127,0.18111966075177188,0.23612992484068712,5.46801495552063,1.7640752792358398,1715668085.9698648,0.055010264088915226,41,42
