_step,_runtime,_timestamp,time,loss,step,loss_boundary,loss_interior,l2_error
0,5.376885890960693,1715638206.016312,1.1110069751739502,3.413785867082854,0,3.411320357613169,0.002465509469684491,2.0017340047499
1,5.390423536300659,1715638206.0298495,1.4483058452606201,2.963318013879615,1,2.9611410043071067,0.002177009572508421,1.7817887466031428
2,5.404292821884155,1715638206.0437188,1.4621808528900146,2.547084688664075,2,2.545294237949672,0.0017904507144028555,1.4852301745448508
3,5.418052673339844,1715638206.0574787,1.475949764251709,1.9121642409193416,3,1.910710370423156,0.0014538704961855461,1.142291698171968
4,5.4322829246521,1715638206.071709,1.4901769161224365,1.3139237295282316,4,1.3125477816120432,0.0013759479161883992,0.7971352088999216
5,5.4437949657440186,1715638206.083221,1.5018069744110107,0.7936468033138596,5,0.7920490903512609,0.0015977129625987137,0.5453841959595369
6,5.454641819000244,1715638206.0940678,1.5126874446868896,0.41697935785422874,6,0.4148733998292605,0.0021059580249681953,0.5645426101660225
7,5.466124534606934,1715638206.1055505,1.5241706371307373,0.24847481866091886,7,0.24544391278003466,0.0030309058808842015,0.8058171896558859
8,5.477443695068359,1715638206.1168697,1.5354118347167969,0.25446673672174897,8,0.25058391388286966,0.003882822838879331,1.0870187841225258
9,5.488526821136475,1715638206.1279528,1.5465052127838135,0.37886004900719467,9,0.37396293842955924,0.004897110577635426,1.327850484633142
10,5.5000152587890625,1715638206.1394413,1.557997226715088,0.6129099880078496,10,0.6065983932017383,0.006311594806111332,1.4947504715779336
11,5.516796588897705,1715638206.1562226,1.569730281829834,0.7645295336199984,11,0.7560773299744601,0.008452203645538283,1.5773712486854248
12,5.530726432800293,1715638206.1701524,1.5887176990509033,0.8574952355024081,12,0.8461924317900762,0.01130280371233197,1.5752490222388724
13,5.543365001678467,1715638206.182791,1.6013562679290771,0.8608567431307401,13,0.8444621171989074,0.016394625931832676,1.498998105238413
14,5.554605484008789,1715638206.1940315,1.6126043796539307,0.7819224671963122,14,0.7572190498200666,0.024703417376245578,1.3648916143549181
15,5.566521167755127,1715638206.2059472,1.6244921684265137,0.6938149166530445,15,0.6596128905044573,0.034202026148587195,1.1897335775399192
16,5.579302787780762,1715638206.2187288,1.6371665000915527,0.5271602355299158,16,0.48098804445946597,0.0461721910704498,0.9967469467442234
17,5.59152626991272,1715638206.2309523,1.6495361328125,0.4191464140672922,17,0.3607325015811513,0.05841391248614091,0.8053094814857944
18,5.603592157363892,1715638206.2430182,1.6616005897521973,0.3150566221919431,18,0.2458232963063906,0.06923332588555246,0.6355548183271319
19,5.614699125289917,1715638206.254125,1.6727626323699951,0.2571194742950217,19,0.17744621599060076,0.07967325830442096,0.5061267811368785
20,5.625673055648804,1715638206.265099,1.683764934539795,0.23973338315769804,20,0.15481947923133127,0.08491390392636677,0.42882129305329353
21,5.6364593505859375,1715638206.2758853,1.6945524215698242,0.26216274206208934,21,0.1757842719810324,0.08637847008105692,0.40389046090042874
22,5.6469621658325195,1715638206.2863882,1.7051281929016113,0.2915744584150428,22,0.21100018805918633,0.0805742703558565,0.4127095853064748
23,5.658332586288452,1715638206.2977586,1.7164080142974854,0.3222274085503984,23,0.24822694835767567,0.07400046019272273,0.43296826619601936
24,5.669790506362915,1715638206.3092165,1.727938175201416,0.3440105420070254,24,0.27931346434831156,0.06469707765871388,0.45076241714351706
25,5.680967569351196,1715638206.3203936,1.7390871047973633,0.35574782219259254,25,0.302187156017135,0.05356066617545758,0.46104640709848804
26,5.6929755210876465,1715638206.3324015,1.7511475086212158,0.36724673177661515,26,0.3253616620077989,0.04188506976881626,0.4637921482519063
27,5.704578876495361,1715638206.3440049,1.7627089023590088,0.3400648978022666,27,0.30828634893328694,0.031778548868979684,0.4627495619900172
28,5.715916872024536,1715638206.3553429,1.7740528583526611,0.3224568437541908,28,0.2996849016670371,0.022771942087153704,0.46304172074432925
29,5.727398872375488,1715638206.3668249,1.785485029220581,0.3096017801905207,29,0.29363719624638374,0.015964583944136954,0.4699113228523715
30,5.73820424079895,1715638206.3776302,1.7963247299194336,0.3041854845453745,30,0.29372639524528876,0.010459089300085727,0.48732345354647255
31,5.748891592025757,1715638206.3883176,1.8070385456085205,0.25252025624563845,31,0.24570233419932516,0.006817922046313287,0.5163595845766892
32,5.759408473968506,1715638206.3988345,1.8175287246704102,0.23993142924023686,32,0.23492981341767166,0.005001615822565184,0.5559180599921865
33,5.770065069198608,1715638206.409491,1.8281676769256592,0.24463946902562145,33,0.24074134791787602,0.003898121107745428,0.6015369385021943
34,5.780862092971802,1715638206.420288,1.8389637470245361,0.2466668830057612,34,0.24330542139071548,0.003361461615045732,0.6482414474576327
35,5.791955471038818,1715638206.4313815,1.8500769138336182,0.2252578976410182,35,0.2216685016678778,0.003589395973140402,0.6915061307084747
36,5.803064346313477,1715638206.4424903,1.8611867427825928,0.23185227376211184,36,0.22833513004700343,0.003517143715108423,0.7279643627382051
37,5.814302206039429,1715638206.4537282,1.872434377670288,0.22052678721505325,37,0.2165515138093429,0.003975273405710362,0.7550360266587558
38,5.82578182220459,1715638206.4652078,1.8839154243469238,0.22573880356803463,38,0.22132437908726832,0.004414424480766304,0.7711163935481034
39,5.836919546127319,1715638206.4763455,1.8950121402740479,0.24310314141905381,39,0.237970167808866,0.0051329736101877995,0.7741928582627731
40,5.8480541706085205,1715638206.4874802,1.9061598777770996,0.23750398110633564,40,0.23079231630791905,0.006711664798416583,0.7661780679716466
41,5.86962366104126,1715638206.5090497,1.927694320678711,0.24127812429301332,42,0.22958290383562122,0.011695220457392111,0.7218950683326798
