loss_interior,loss,_runtime,l2_error,step,loss_boundary,_timestamp,time,_step
0.002465509469684491,3.413785867082854,5.6684980392456055,0.5206271287613383,0,3.411320357613169,1715668677.532529,1.136150598526001,0
0.0030113047036360286,0.25973609671980274,5.74893856048584,0.6092638178282207,1,0.2567247920161667,1715668677.6129696,1.5351252555847168,1
0.002758490836055145,0.2275139724377844,5.847427129745483,0.6114939840207619,2,0.22475548160172926,1715668677.7114582,1.633610486984253,2
0.002195380093120152,0.19384634620478233,5.950122356414795,0.6091016581669662,3,0.19165096611166219,1715668677.8141534,1.7362439632415771,3
0.0014208545675871633,0.21101494360521558,6.061159372329712,0.5778730345971405,4,0.2095940890376284,1715668677.9251904,1.8474879264831543,4
0.0007849135862862149,0.18681487716086764,6.17749547958374,0.5109418852833505,5,0.18602996357458143,1715668678.0415266,1.9638564586639404,5
0.0006819377849309293,0.14141883862462587,6.3217926025390625,0.439983253872198,6,0.14073690083969495,1715668678.1858237,2.108145236968994,6
0.0017600359521851392,0.10203666961555208,6.477799892425537,0.339407623135631,7,0.10027663366336693,1715668678.341831,2.2640750408172607,7
0.002590194363149126,0.07092054784771164,6.663047790527344,0.2629210924738441,8,0.06833035348456251,1715668678.5270789,2.4493980407714844,8
0.003059344619564264,0.040564389086108106,6.867455244064331,0.20749489177594596,9,0.03750504446654384,1715668678.7314863,2.652543306350708,9
0.00263731793634955,0.03365786618791481,7.095471143722534,0.15786511539716463,10,0.03102054825156526,1715668678.9595022,2.881592273712158,10
0.002606102507917737,0.023427753515136096,7.3269267082214355,0.13767741311671683,11,0.020821651007218358,1715668679.1909578,3.1130783557891846,11
0.0008990230759160722,0.015706462744211856,7.608559846878052,0.1131723156776679,12,0.014807439668295785,1715668679.472591,3.394890308380127,12
0.0010623435617649849,0.010061231709558988,7.894948482513428,0.0928714702858537,13,0.008998888147794003,1715668679.7589796,3.6812903881073,13
0.0005348441387788217,0.007151452766080406,8.250609874725342,0.06690406526737873,14,0.006616608627301584,1715668680.114641,4.036929368972778,14
0.0004794924453426139,0.004507394136347641,8.689858436584473,0.05748395474800115,15,0.004027901691005027,1715668680.5538895,4.47619891166687,15
0.0003691555113156899,0.0035332419186633727,9.177830457687378,0.054084936102337444,16,0.003164086407347683,1715668681.0418615,4.964184761047363,16
0.0003260155413245236,0.002854237941209033,9.707226991653442,0.037344486005896044,17,0.0025282223998845093,1715668681.571258,5.493273973464966,17
0.00013986352361620863,0.0012426086683665614,10.302842617034912,0.03289354187618532,18,0.0011027451447503528,1715668682.1668737,6.089192628860474,18
0.00010823629383680364,0.0009269803006490122,10.975516557693481,0.02873254624508071,19,0.0008187440068122085,1715668682.8395476,6.761682987213135,19
0.00010069904863187077,0.0007363323120081923,11.726017713546753,0.029411522094078935,20,0.0006356332633763215,1715668683.5900488,7.512312173843384,20
0.00011399666141215258,0.0007154062151743097,12.3931245803833,0.028995157759081614,21,0.0006014095537621571,1715668684.2571557,8.179450750350952,21
0.00010477358034299151,0.000609562212222176,12.943682670593262,0.023101454861596506,22,0.0005047886318791845,1715668684.8077137,8.73004150390625,22
0.00013248262964101756,0.0005021834560131066,13.439450740814209,0.019457699867769733,23,0.000369700826372089,1715668685.3034818,9.225790977478027,23
0.0001384095743949285,0.0004225272239790997,14.017231464385986,0.016140831784456907,24,0.0002841176495841712,1715668685.8812625,9.803537607192993,24
0.00014694727605429124,0.00036166728472348186,14.71933102607727,0.014678853026386999,25,0.0002147200086691906,1715668686.583362,10.505612134933472,25
0.00014602437030981886,0.00031334106682970954,15.464155197143555,0.01257229444471284,26,0.00016731669651989068,1715668687.3281863,11.250452756881714,26
0.0001464912326327131,0.00025436351055484256,16.17736291885376,0.019513181662933494,27,0.00010787227792212948,1715668688.041394,11.963452816009521,27
5.367175249033339e-05,0.0002703764665746486,16.902660846710205,0.018021265533871362,28,0.00021670471408431524,1715668688.766692,12.68899154663086,28
6.0256402777284914e-05,0.00023614229217748994,17.466447591781616,0.022860660957834008,29,0.00017588588940020501,1715668689.3304787,13.252811431884766,29
3.110977732846888e-05,0.0003164478055686303,18.373878955841064,0.017981770023477454,30,0.0002853380282401614,1715668690.23791,14.160125732421875,30
2.3994373230483294e-05,0.00022500973649349664,18.90323758125305,0.013309391446988887,31,0.00020101536326301334,1715668690.7672687,14.689568519592285,31
2.577948861372056e-05,0.00015005314722721646,19.601130723953247,0.010974651608704098,32,0.0001242736586134959,1715668691.4651618,15.387394428253174,32
2.9125119793551377e-05,0.00012004757829608918,20.465545654296875,0.008487479775547929,33,9.09224585025378e-05,1715668692.3295767,16.25178027153015,33
2.598134215805939e-05,8.436479248093062e-05,21.06777024269104,0.0076221249014335225,34,5.8383450322871224e-05,1715668692.9318013,16.85412907600403,34
2.3352400218669938e-05,6.781349301516535e-05,22.750406503677368,0.005288810452522521,35,4.446109279649541e-05,1715668694.6144376,18.536667346954346,35
2.519518985832804e-05,4.604478798232406e-05,23.231769800186157,0.004988088519185515,36,2.084959812399602e-05,1715668695.0958009,19.018097162246704,36
2.3373378111858218e-05,4.218520901639945e-05,24.064085960388184,0.00521073585039278,37,1.881183090454123e-05,1715668695.928117,19.850380659103394,37
2.2188017320680783e-05,3.9776060916008715e-05,24.618897676467896,0.005076264437093427,38,1.758804359532793e-05,1715668696.4829288,20.4052414894104,38
1.998431366069206e-05,3.90997141645454e-05,26.30683946609497,0.005568295230625108,39,1.911540050385334e-05,1715668698.1708705,22.093164205551147,39
