_timestamp,loss_interior,time,l2_error,loss,step,_step,_runtime,loss_boundary
1715674220.3444552,0.002465509469684491,1.4896447658538818,0.6254062546085174,3.413785867082854,0,0,7.023105144500732,3.411320357613169
1715674220.6178145,0.012426455288608779,2.414530038833618,0.5305328180827749,0.2231480880563578,1,1,7.296464443206787,0.21072163276774902
1715674220.8807282,0.025671543662108495,2.6774847507476807,0.5896551863749991,0.21307082401259161,2,2,7.559378147125244,0.18739928035048312
1715674221.1412663,0.014648422066949052,2.938016891479492,0.553801504879929,0.18508673438332396,3,3,7.819916248321533,0.1704383123163749
1715674221.4047658,0.011621112787728633,3.2015082836151123,0.5088753726164671,0.19095462267680788,4,4,8.083415746688843,0.17933350988907926
1715674221.6664221,0.01174756192065834,3.4617934226989746,0.32035159450589956,0.15844772415063157,5,5,8.345072031021118,0.14670016222997323
1715674221.9362943,0.006805730797653058,3.733766555786133,0.33002639460123834,0.09491489885470239,6,6,8.614944219589233,0.08810916805704933
1715674222.2039921,0.011047551711829525,4.001473426818848,0.1533696629698624,0.06455042958785101,7,7,8.882642030715942,0.05350287787602149
1715674222.4633603,0.015331781716318929,4.260101318359375,0.19899055756685818,0.043912117900005966,8,8,9.14201021194458,0.02858033618368704
1715674222.731578,0.011291447256179213,4.528316020965576,0.14394369153672748,0.029185563538019342,9,9,9.41022801399231,0.01789411628184013
1715674222.999582,0.008728867112478063,4.7970545291900635,0.16010422944783484,0.025350907924792266,10,10,9.678231954574585,0.016622040812314203
1715674223.2592554,0.007484289016155599,5.056045770645142,0.11019081386384301,0.021938944742645187,11,11,9.937905311584473,0.014454655726489588
1715674223.5239215,0.005893998049377534,5.320166826248169,0.10865418211875115,0.017266876183366153,12,12,10.202571392059326,0.011372878133988618
1715674223.7874105,0.004318999467795797,5.584606885910034,0.07771565676218868,0.011980557860059483,13,13,10.466060400009155,0.007661558392263686
1715674224.0569468,0.0038073649895312795,5.8535239696502686,0.05544398874712015,0.008069612606077832,14,14,10.735596656799316,0.004262247616546553
1715674224.3189673,0.0025867842978885016,6.115717172622681,0.04757092935223591,0.005818075494747865,15,15,10.997617244720459,0.0032312911968593637
1715674224.5818639,0.0020075518528140574,6.378530502319336,0.04144452829269619,0.0047594123962120954,16,16,11.26051378250122,0.0027518605433980376
1715674224.849373,0.0015807068924328853,6.646074295043945,0.03420453627265791,0.0030562383802073797,17,17,11.52802300453186,0.0014755314877744942
1715674225.108994,0.0011811358359309113,6.905704975128174,0.036650055764496176,0.0023000007269160564,18,18,11.787643909454346,0.001118864890985145
1715674225.3774025,0.0008459513339423552,7.1745688915252686,0.025018039031099313,0.0018497281728670242,19,19,12.056052446365356,0.001003776838924669
