_timestamp,loss_interior,loss,step,loss_boundary,time,_runtime,_step,l2_error
1715623118.4885087,122.66030248931287,124.1572763305401,0,1.496973841227229,1.5798680782318115,8.532299757003784,0,1.5476063663728163
1715623118.5848255,121.94271861046094,123.27135082413044,1,1.3286322136694995,3.006009578704834,8.628616571426392,1,1.5199986382418529
1715623118.6665905,117.85119574001462,119.19253858648771,2,1.3413428464731016,3.0926716327667236,8.710381507873535,2,1.491288403624731
1715623118.7477481,113.56056242807654,114.78458758504418,3,1.2240251569676421,3.1790435314178467,8.791539192199707,3,1.4574760815124705
1715623118.8328335,122.65920430480674,123.86925948706333,4,1.2100551822565915,3.260222911834717,8.876624584197998,4,1.4168538854333548
1715623118.9131815,120.24392672812628,121.34370549907983,5,1.0997787709535456,3.345519542694092,8.956972599029541,5,1.3673684471766399
1715623118.99363,115.5939555174219,116.79114492176382,6,1.1971894043419171,3.425581693649292,9.037420988082886,6,1.30746523845228
1715623119.0742042,115.34861483263164,116.26220267233472,7,0.913587839703081,3.5060935020446777,9.117995262145996,7,1.2364144648391604
1715623119.156804,116.76610736985586,117.6525134302488,8,0.8864060603929482,3.5866196155548096,9.200595140457153,8,1.1532734469134467
1715623119.2388334,116.4832472300065,117.18328504741743,9,0.7000378174109353,3.669477701187134,9.28262448310852,9,1.0571212175513125
1715623119.3202865,110.98277329248907,111.59312047431183,10,0.6103471818227608,3.752228260040283,9.3640775680542,10,0.9474714014673304
1715623119.4016783,106.75595272584044,107.21280608609672,11,0.4568533602562718,3.8334460258483887,9.445469379425049,11,0.8256160432143299
1715623119.4830573,96.18913480662164,96.55895756343327,12,0.3698227568116234,3.9148435592651367,9.526848316192627,12,0.6952711965138055
1715623119.5645046,87.60705948021852,87.8853147326863,13,0.2782552524677711,3.9962940216064453,9.608295679092407,13,0.5645590349591112
1715623119.6462202,76.1680088896095,76.33314254085435,14,0.16513365124485982,4.077996730804443,9.690011262893677,14,0.4544629415934283
1715623119.7338476,66.69423854266458,66.83331904849109,15,0.13908050582650597,4.165593385696411,9.777638673782349,15,0.4158482612100064
1715623119.8157094,56.66288975135487,56.77429406808658,16,0.11140431673171336,4.247350454330444,9.859500408172607,16,0.5019793300869135
1715623119.8974676,44.81110368617945,45.013562927053904,17,0.20245924087445283,4.329085350036621,9.941258668899536,17,0.6906603638291394
1715623119.9793973,34.62727636731488,34.95301150435885,18,0.3257351370439683,4.410936594009399,10.023188352584839,18,0.9196572217971054
1715623120.0610347,36.574027316157824,37.149915587391035,19,0.5758882712332092,4.492651700973511,10.104825735092163,19,1.1365903108154385
1715623120.1429565,45.2269920647707,46.09056686097407,20,0.8635747962033727,4.574494361877441,10.186747550964355,20,1.22371297931539
1715623120.2249207,48.06191095371507,49.060086251640136,21,0.9981752979250653,4.661244869232178,10.268711805343628,21,1.2285268801124212
1715623120.3094313,44.25085987859039,45.255145116406354,22,1.0042852378159661,4.741061449050903,10.353222370147705,22,1.1570110884955567
1715623120.391832,38.497594344299884,39.401851106283125,23,0.9042567619832379,4.822645425796509,10.435623168945312,23,1.046630448566136
1715623120.4739974,32.606510070499645,33.36348598055869,24,0.7569759100590452,4.905219316482544,10.517788410186768,24,0.9305277721422157
1715623120.558553,28.75844905732905,29.387536095004588,25,0.6290870376755391,4.989745140075684,10.602344036102295,25,0.8290024759121191
1715623120.6422038,26.97435075107956,27.44427455276791,26,0.4699238016883534,5.073585033416748,10.685994863510132,26,0.7521171394110139
1715623120.7246246,29.454605558481095,29.880343623247285,27,0.4257380647661904,5.160712003707886,10.768415689468384,27,0.7025006946938029
1715623120.8064797,29.853657500117414,30.2296662611282,28,0.3760087610107887,5.237630128860474,10.850270748138428,28,0.6841647181668767
1715623120.88864,32.79213201559349,33.13622259085959,29,0.3440905752661028,5.3198816776275635,10.932430982589722,29,0.6942068563648687
1715623120.9706118,33.37901486200032,33.747762026492474,30,0.36874716449215295,5.40179443359375,11.014402866363525,30,0.7333499732759086
1715623121.0526247,33.1066261037969,33.50368169604428,31,0.3970555922473812,5.483591079711914,11.096415758132935,31,0.786497141434901
1715623121.1345568,29.541859688415173,29.9981332010693,32,0.45627351265412813,5.5657432079315186,11.178347826004028,32,0.853663567394025
1715623121.2167513,27.215039587571674,27.754427876017115,33,0.539388288445442,5.648014068603516,11.260542392730713,33,0.9399639046431821
1715623121.2989917,27.710361949990094,28.3028185488624,34,0.5924565988723064,5.729975700378418,11.342782735824585,34,1.0339540609567541
1715623121.381102,23.33462060558849,24.061278168450656,35,0.7266575628621644,5.812420129776001,11.424893140792847,35,1.1182419002968533
1715623121.463199,22.88189589206235,23.710295550611495,36,0.8283996585491457,5.894418001174927,11.5069899559021,36,1.1888183670990322
1715623121.5452437,25.24261375782171,26.21317740405027,37,0.9705636462285572,5.976275205612183,11.589034795761108,37,1.2435801700386835
1715623121.6274312,21.789829478389574,22.761242081489492,38,0.9714126030999164,6.0585432052612305,11.67122220993042,38,1.2709895402995652
1715623121.7099118,22.044468688945713,23.08108048735144,39,1.0366117984057277,6.140900611877441,11.753702878952026,39,1.2639102637223523
1715623121.7922833,23.866675806915236,24.884594084919062,40,1.017918278003825,6.223249673843384,11.836074352264404,40,1.2405147842940993
1715623121.9345455,19.389565585807997,20.282001205163073,42,0.8924356193550762,6.3655617237091064,11.978336572647095,41,1.1703731671641042
1715623122.195801,17.893330003218967,18.751339846429214,46,0.8580098432102482,6.626489877700806,12.2395920753479,42,1.1076770713333266
1715623122.4579937,16.111949424773,17.20508516115719,50,1.093135736384189,6.888715028762817,12.501784801483154,43,1.242218807961307
1715623122.7800953,14.208172490847335,15.37181937333268,55,1.163646882485345,7.210747480392456,12.823886394500732,44,1.3174939823525793
1715623123.164022,14.229639493825335,15.241457985053477,61,1.011818491228143,7.59415340423584,13.207813024520874,45,1.2007142751077187
1715623123.5534673,11.67447146572321,12.717001134251289,67,1.0425296685280787,7.983571529388428,13.59725832939148,46,1.2989999309624995
1715623123.935316,10.062656377577422,11.098412661728512,73,1.0357562841510888,8.365793228149414,13.979107141494751,47,1.2170804229919232
1715623124.4403718,8.309615156440104,9.357584721705493,81,1.0479695652653893,8.869966268539429,14.4841628074646,48,1.270376199739103
1715623124.9424903,6.451366468958441,7.464075286458277,89,1.012708817499836,9.372227430343628,14.986281394958496,49,1.2317377543274937
1715623125.5073829,5.276423744840872,6.328514972099707,98,1.0520912272588347,9.936660528182983,15.55117392539978,50,1.2411187156512187
1715623126.0687222,3.9873671113350393,5.035009473739873,107,1.0476423624048334,10.49911880493164,16.112513303756714,51,1.2297509797191006
1715623126.7543073,3.104917374692218,4.090281267301762,118,0.985363892609544,11.184789657592773,16.79809832572937,52,1.213565187595744
1715623127.497447,2.038784391165896,2.97307873900209,130,0.9342943478361942,11.926181554794312,17.5412380695343,53,1.1685915329639485
1715623128.3018627,1.7751068386464515,2.7635087713668876,143,0.9884019327204362,12.7319917678833,18.345653772354126,54,1.1804300006653892
1715623129.163675,1.3202516288568056,2.2423024397657914,157,0.9220508109089857,13.593333959579468,19.20746612548828,55,1.1707938974716945
1715623130.0855105,0.9297933455837653,1.8604680869434946,172,0.9306747413597293,14.515474319458008,20.12930154800415,56,1.1337780776052213
1715623131.195948,0.705129576007929,1.482535985964549,190,0.77740640995662,15.625638723373413,21.239738941192627,57,1.0730713905237648
1715623132.2953675,0.5510482991560347,1.2671896109206768,208,0.7161413117646421,16.725550889968872,22.339158535003662,58,1.0016111095553952
1715623133.5748365,0.47147381254586235,1.0706914890989745,229,0.5992176765531122,18.004239082336426,23.618627548217773,59,0.930397631304053
1715623134.9771168,0.35450829671765155,0.9098749704983577,252,0.5553666737807061,19.40700674057007,25.020907878875732,60,0.848301004729543
1715623136.4968476,0.30836994461290923,0.7085609899061506,277,0.40019104529324134,20.926780939102173,26.54063868522644,61,0.7725391474405697
1715623138.1956925,0.2750653561853437,0.6129474019625187,305,0.337882045777175,22.625829219818115,28.23948359489441,62,0.7112796300138661
1715623140.0168264,0.3101884855730427,0.6060998287116632,335,0.2959113431386205,24.44622802734375,30.060617446899414,63,0.6502190759348915
1715623142.0906951,0.2526393143904086,0.49378285594538246,369,0.24114354155497386,26.519259452819824,32.13448619842529,64,0.5761506511045746
1715623144.332511,0.18567888405564653,0.3549912584844503,406,0.16931237442880376,28.761839151382446,34.376302003860474,65,0.5058406335378426
1715623146.7528527,0.16827452857707315,0.2982534550930428,446,0.12997892651596965,31.182610273361206,36.79664373397827,66,0.42237141110237597
1715623149.4688053,0.1425025272736074,0.24053458010450135,491,0.09803205283089395,33.898961544036865,39.51259636878967,67,0.36030465691090435
1715623152.428059,0.22781192098396724,0.29759208626110845,540,0.0697801652771412,36.85796642303467,42.47185015678406,68,0.3080656485190368
1715623155.6861897,0.0989368553795786,0.15618810084192092,594,0.05725124546234234,40.11578941345215,45.72998070716858,69,0.268212813405653
1715623159.2510161,0.08471967644056198,0.12181312440356717,653,0.03709344796300519,43.68073105812073,49.29480719566345,70,0.22703099852642436
1715623163.1703475,0.2434633693814406,0.2694926629601195,718,0.026029293578678902,47.59921216964722,53.21413850784302,71,0.20902689809588418
1715623167.507033,0.08564647200119242,0.10707458060669914,790,0.021428108605506715,51.93685007095337,57.55082416534424,72,0.1673087959282815
1715623172.2970343,0.05572017749698716,0.07269185452718237,869,0.01697167703019521,56.72650146484375,62.34082531929016,73,0.13849257173560417
1715623177.539703,0.07570246917910736,0.08986867594124533,956,0.01416620676213797,61.96947717666626,67.58349394798279,74,0.12078560295572992
1715623183.317844,0.02669716178417342,0.035959760433398075,1052,0.00926259864922465,67.74746513366699,73.3616349697113,75,0.10056304276881793
1715623189.6254764,0.08729651369112006,0.09636344296547324,1157,0.009066929274353175,74.05528736114502,79.66926741600037,76,0.09298649853018093
