time,loss_interior,_runtime,_timestamp,_step,step,l2_error,loss_boundary,loss
2.539182662963867,122.66030248931287,6.631958723068237,1715445478.4605818,0,0,0.7373475771286865,1.496973841227229,124.1572763305401
4.656637668609619,85.32948805553401,8.487240552902222,1715445480.3158636,1,1,3.267062744211656,0.31268335738087943,85.64217141291489
7.143644094467163,51.882821118667465,10.974139213562012,1715445482.8027623,2,2,2.08103025417042,5.8669262645079305,57.7497473831754
9.812569618225098,27.350992278181664,13.64316987991333,1715445485.471793,3,3,2.261547810062619,2.717697553686147,30.06868983186781
13.679700374603271,13.70609167249292,17.510698556900024,1715445489.3393216,4,4,1.0581826488638957,3.2222044313861717,16.92829610387909
18.08458113670349,4.1037111807117395,21.91678261756897,1715445493.7454057,5,5,0.500284393975363,0.6855626951247589,4.789273875836498
22.781675577163696,0.925528527861642,26.612236738204956,1715445498.4408598,6,6,0.3800216573114631,0.19545587597642589,1.1209844038380679
27.827850341796875,0.15774317915971134,31.6587131023407,1715445503.4873362,7,7,0.3100166492286779,0.1121953060835206,0.26993848524323194
32.92552471160889,0.03848993843053598,36.756107807159424,1715445508.5847309,8,8,0.22726920067851317,0.08772103693275189,0.12621097536328788
37.98741030693054,0.024052913657184857,41.8179669380188,1715445513.64659,9,9,0.16379165308382085,0.04160159074034013,0.06565450439752499
43.043713331222534,0.011334932392631222,46.874382734298706,1715445518.7030058,10,10,0.09902312231007833,0.024375735870760265,0.03571066826339149
48.09763741493225,0.009470765942428166,51.92851758003235,1715445523.7571406,11,11,0.05938192108310893,0.008273954080128394,0.01774472002255656
53.13003206253052,0.005536124201940962,56.96073865890503,1715445528.7893617,12,12,0.03453707617225159,0.002710317213371084,0.008246441415312045
58.18282127380371,0.002646668314685458,62.013542890548706,1715445533.842166,13,13,0.033878558089567044,0.0008886131064377631,0.003535281421123221
63.26600456237793,0.0014106396413780867,67.09686946868896,1715445538.9254925,14,14,0.032879702671296855,0.0009467585455024327,0.0023573981868805194
68.3267776966095,0.001035993230043304,72.15793204307556,1715445543.986555,15,15,0.0309523523481086,0.0008837377547996842,0.0019197309848429883
73.40080094337463,0.0006952867388280893,77.23164558410645,1715445549.0602686,16,16,0.028210208929980912,0.0010815503884105148,0.001776837127238604
78.45702195167542,0.0005388133597941096,82.28792142868042,1715445554.1165445,17,17,0.02670354327596737,0.0009240507832556451,0.0014628641430497547
83.50724720954895,0.0004477488919055424,87.33820700645447,1715445559.16683,18,18,0.025165027045877756,0.0008321940355935202,0.0012799429274990626
88.57230019569397,0.0003472207381417307,92.40331840515137,1715445564.2319415,19,19,0.02306469022099572,0.0007135630760047044,0.0010607838141464352
93.64194464683533,0.0003394071943758164,97.47319030761719,1715445569.3018134,20,20,0.021280018618780473,0.0004679696518427579,0.0008073768462185742
98.68714833259583,0.00029797364767099506,102.5181074142456,1715445574.3467305,21,21,0.019378635290963852,0.000426003961675877,0.000723977609346872
103.7399730682373,0.00026812870721178514,107.5709502696991,1715445579.3995733,22,22,0.018097800953849774,0.0003657068070133468,0.000633835514225132
108.81189322471619,0.00023148148831385074,112.64291715621948,1715445584.4715402,23,23,0.01723759645804663,0.0003257267274957725,0.0005572082158096232
113.86920976638794,0.00020322407352932632,117.70020914077759,1715445589.5288322,24,24,0.017313893919810093,0.00031886903495228596,0.0005220931084816123
118.92523980140686,0.00016750944166179466,122.75654006004333,1715445594.585163,25,25,0.01584399081049705,0.0003255336564440827,0.0004930430981058773
124.01268601417542,0.00017299915182370944,127.84375524520874,1715445599.6723783,26,26,0.01532424578207017,0.00027068968314707825,0.0004436888349707877
129.0535273551941,0.00016802722192772664,132.88451480865479,1715445604.7131379,27,27,0.014157168163285692,0.0002120229212170441,0.0003800501431447707
134.10447907447815,0.00015382815469795925,137.93547320365906,1715445609.7640963,28,28,0.01336129418105481,0.00020241053620002276,0.000356238690897982
139.1395583152771,0.00015138619866531225,142.97056698799133,1715445614.79919,29,29,0.012823859611492077,0.00015938315976209036,0.0003107693584274026
144.21192359924316,0.00015009080065942062,148.04296112060547,1715445619.8715842,30,30,0.012257365791555617,0.0001608274723721782,0.00031091827303159883
149.2668218612671,0.00014256634178259786,153.09783720970154,1715445624.9264603,31,31,0.012014915856828354,0.0001547760447070882,0.0002973423864896861
154.31206274032593,0.00014105198652298708,158.14340806007385,1715445629.972031,32,32,0.011546835116484584,0.00014290976490021685,0.00028396175142320393
159.34624075889587,0.0001273933990008497,163.17735767364502,1715445635.0059807,33,33,0.011242853022816551,0.0001453122290514119,0.0002727056280522616
164.39143109321594,0.00011606281361720201,168.2224485874176,1715445640.0510716,34,34,0.010575004298164317,0.00010649292640806556,0.00022255574002526756
169.41441679000854,0.0001292231475950704,173.24542951583862,1715445645.0740526,35,35,0.010854114955176273,0.00013043391684452804,0.00025965706443959846
174.46908688545227,0.00010565390111922945,178.30005526542664,1715445650.1286783,36,36,0.010331574130322355,0.00012457019762184988,0.00023022409874107934
179.48726272583008,0.00011325384524098593,183.31829714775085,1715445655.1469202,37,37,0.010263705910856775,0.00010455346065572422,0.00021780730589671015
184.5559422969818,9.119588219453312e-05,188.3870666027069,1715445660.2156897,38,38,0.009808663522593552,9.393807133311297e-05,0.0001851339535276461
189.6247501373291,0.0001013385179615345,193.4558413028717,1715445665.2844644,39,39,0.009466517412417209,9.087082746874239e-05,0.00019220934543027687
194.71862316131592,0.00010051225914086377,198.5498194694519,1715445670.3784425,40,40,0.009304185927164126,9.33402348753658e-05,0.00019385249401622956
