loss_boundary,time,_step,step,_timestamp,_runtime,l2_error,loss_interior,loss
1.496973841227229,2.1649022102355957,0,0,1715599615.0409596,6.397631645202637,1.1607354576779267,122.66030248931287,124.1572763305401
0.6249992804672735,3.2283778190612793,1,1,1715599615.8194656,7.176137685775757,1.4368309369645418,101.96625601256689,102.59125529303417
1.0399175678894608,4.006845951080322,2,2,1715599616.5964987,7.9531707763671875,1.1059729047429483,73.50777536795545,74.5476929358449
0.8051718531317222,4.7836925983428955,3,3,1715599617.3734002,8.730072259902954,1.2377373721173734,40.431053291240865,41.23622514437259
1.1058693947132496,5.564637899398804,4,4,1715599618.1542778,9.510949850082397,1.2377373721173734,34.51007114011662,35.615940534829875
1.1058693947132496,6.346264839172363,5,5,1715599618.9359725,10.292644500732422,1.2483149991952602,34.51007114011662,35.615940534829875
1.1245877491694447,7.123395919799805,6,6,1715599619.713107,11.06977915763855,1.2834246453268223,34.47795751342982,35.602545262599264
1.1867539538384717,7.900176286697388,7,7,1715599620.489975,11.846647024154663,1.3433011636697325,34.29960479467604,35.48635874851451
1.2938805973068466,8.677290678024292,8,8,1715599621.2670755,12.62374758720398,1.4440650790082485,33.929505883764776,35.22338648107162
1.4804477948331092,9.454957008361816,9,9,1715599622.0447457,13.40141773223877,1.6025889579979746,33.12526494393829,34.6057127387714
1.796332186029891,10.232232332229614,10,10,1715599622.82196,14.178632020950317,1.7986591298830972,31.238432485991485,33.034764672021375
2.2421248312820246,11.009420156478882,11,11,1715599623.5993295,14.95600152015686,1.9766930066420467,26.556002249906737,28.79812708118876
2.664371056409871,11.78764820098877,12,12,1715599624.3777936,15.734465599060059,2.018613128663036,14.838629933565805,17.503000989975675
2.7516438031514103,12.566364526748657,13,13,1715599625.1563654,16.51303744316101,2.1577653174897464,14.574345993616577,17.32598979676799
3.0763880434367517,13.34623670578003,14,14,1715599625.9367037,17.293375730514526,2.2922631531025353,13.563120369214705,16.639508412651455
3.5693847483904175,14.125640153884888,15,15,1715599626.7159033,18.072575330734253,2.4226565520979078,8.499472382741835,12.068857131132253
4.031852729997996,14.907334089279175,16,16,1715599627.4977272,18.85439920425415,2.398544445574064,6.210018384369878,10.241871114367875
3.9333820142407423,15.68781566619873,17,17,1715599628.2781932,19.634865283966064,2.383466009516228,5.0931398632444544,9.026521877485196
3.8778734415230556,16.468509912490845,18,18,1715599629.0589714,20.415643453598022,2.30730886772946,5.10427290097129,8.982146342494346
3.6142830955605576,17.249446392059326,19,19,1715599629.8398883,21.196560382843018,2.254849470183891,4.929375295553694,8.543658391114251
3.4334026333420544,18.030189752578735,20,20,1715599630.6206522,21.97732424736023,2.219854790273015,4.513449285795766,7.946851919137821
3.3071240259066084,18.811896562576294,21,21,1715599631.402464,22.759135961532593,2.1290429579952264,4.230288614035134,7.537412639941742
3.0087873890819536,19.59323024749756,22,22,1715599632.1837955,23.540467500686646,1.9468581309343067,3.803064984031964,6.811852373113918
2.516430669332522,20.3746554851532,23,23,1715599632.965323,24.32199501991272,1.7213464944626664,2.9870300151497364,5.503460684482258
1.9918289866901138,21.158239364624023,24,24,1715599633.7488842,25.10555624961853,1.5379575263289638,2.579697702636002,4.571526689326116
1.595552995622908,21.940433025360107,25,25,1715599634.5311465,25.887818574905396,1.4593500286867649,1.9105027288714835,3.5060557244943915
1.4224462387806267,22.722889184951782,26,26,1715599635.3137627,26.670434713363647,1.3725985042222182,1.5685915526468106,2.9910377914274373
1.2412855437019525,23.5053288936615,27,27,1715599636.096266,27.452938079833984,1.2649146654456398,1.3960647135047635,2.637350257206716
1.0479192779552713,24.287994861602783,28,28,1715599636.8787389,28.235410928726196,1.0100883551136937,1.4245182500167577,2.472437527972029
0.6800995522050294,25.070744514465332,29,29,1715599637.661793,29.018465042114258,0.7893356976938779,1.420319976276659,2.1004195284816882
0.42538944033968995,25.85372233390808,30,30,1715599638.4445164,29.801188468933105,0.6392269124178069,1.304012529993309,1.729401970332999
0.2798321352361702,26.636178731918335,31,31,1715599639.2271752,30.583847284317017,0.5012831672912103,1.1679541591355207,1.4477862943716908
0.17683451378787535,27.420634746551514,32,32,1715599640.0114808,31.368152856826782,0.38517768390284485,0.8727181942323,1.0495527080201754
0.10886082299868992,28.203737258911133,33,33,1715599640.794597,32.15126895904541,0.33751470858958915,0.7225530685259243,0.8314138915246142
0.0858748340350121,28.987943649291992,34,34,1715599641.5787883,32.935460329055786,0.30204552640823296,0.5893101781561803,0.6751850121911923
0.07002270929217921,29.769800901412964,35,35,1715599642.360643,33.71731495857239,0.25963206855205123,0.5489773396473312,0.6190000489395104
0.052501861250595555,30.5521183013916,36,36,1715599643.1429162,34.49958825111389,0.23079023810590266,0.4708322704054402,0.5233341316560357
0.04251779212015598,31.33438801765442,37,37,1715599643.9252524,35.28192448616028,0.219038854349621,0.3678895250862262,0.4104073172063822
0.038820907621404,32.11645841598511,38,38,1715599644.707306,36.06397795677185,0.19914047747681973,0.339807219955975,0.378628127577379
0.03274635728404114,32.89946508407593,39,39,1715599645.4902961,36.84696817398071,0.19078358084820854,0.2880847971972366,0.32083115448127775
0.029887789574331983,33.68208885192871,40,40,1715599646.2729623,37.629634380340576,0.18296316383793543,0.24754957234906427,0.27743736192339624
0.027193447444173246,35.226091146469116,41,42,1715599647.816965,39.17363715171814,0.17516997754485755,0.18018677452524828,0.20738022196942152
0.02418807451832955,38.2927930355072,42,46,1715599650.88363,42.240302085876465,0.1637381244712495,0.13088075267134458,0.15506882718967413
