time,_runtime,l2_error,_timestamp,_step,loss,loss_boundary,loss_interior,step
2.0851330757141113,6.081908464431763,1.0131913736404399,1715444829.6928174,0,124.1572763305401,1.496973841227229,122.66030248931287,0
3.4112963676452637,7.1470441818237305,1.9711174824425852,1715444830.7579532,1,41.43199808592373,0.6954602210933671,40.73653786483036,1
4.51364278793335,8.249635219573975,2.256905484059548,1715444831.8605442,2,14.790309692075652,2.6496194985553174,12.140690193520335,2
5.664462566375732,9.400407791137695,2.482561580734315,1715444833.0113168,3,12.64520513985797,3.3311543020828283,9.314050837775142,3
6.85035252571106,10.586416482925415,2.4760119239117047,1715444834.1973255,4,10.484514569607391,4.148953834105787,6.335560735501604,4
8.080544710159302,11.817081451416016,2.1797639504021076,1715444835.4279904,5,8.953584512111092,3.928545118769371,5.025039393341721,5
9.351081132888794,13.08763337135315,1.7129012975429736,1715444836.6985424,6,6.465717519434691,3.4890938332527415,2.97662368618195,6
10.65386962890625,14.390427112579346,1.395463459340442,1715444838.001336,7,4.216323354726777,1.8155936762921523,2.4007296784346246,7
11.998321771621704,15.735028266906738,1.067224148751783,1715444839.3459373,8,3.5091867373609134,1.312061115910709,2.1971256214502044,8
13.385977983474731,17.122759342193604,0.8819725887933823,1715444840.7336683,9,2.391530139965746,0.7263923232152384,1.6651378167505075,9
14.82311725616455,18.561429977416992,0.864121817769182,1715444842.172339,10,1.727458134863192,0.536973205473674,1.190484929389518,10
16.29349970817566,20.030636310577393,0.6079336039104709,1715444843.6415453,11,48.34352889013902,0.5495137891492384,47.79401510098978,11
17.78009605407715,21.517154693603516,0.5028298126473483,1715444845.1280637,12,13.73097565908226,0.2492898325255562,13.481685826556703,12
19.266170263290405,23.003236770629883,0.45011968761055715,1715444846.6141458,13,6.560670173083359,0.19040440215149557,6.370265770931864,13
20.748125076293945,24.48514747619629,0.4440421257989599,1715444848.0960565,14,2.8968083101065867,0.14153190429531187,2.7552764058112746,14
22.23047423362732,25.967535734176636,0.42986727787369716,1715444849.5784447,15,1.9351251570997456,0.16687072313051385,1.7682544339692319,15
23.7155978679657,27.45260262489319,0.3587140258024079,1715444851.0635116,16,0.8820171090903853,0.14911547399370015,0.7329016350966852,16
25.203867197036743,28.94098663330078,0.28448633539028384,1715444852.5518956,17,0.5252394059362477,0.099302157601667,0.4259372483345807,17
26.688424348831177,30.425681352615356,0.23060682472319685,1715444854.0365903,18,0.3249949687225237,0.06922266913815618,0.25577229958436754,18
28.200589656829834,31.937576293945312,0.20099660477026968,1715444855.5484853,19,0.22935153925418506,0.049056850775483204,0.18029468847870186,19
29.681853532791138,33.41883969306946,0.19123925910702205,1715444857.0297487,20,0.17579428028071883,0.03724892756469384,0.138545352716025,20
31.164358615875244,34.90140771865845,0.18775736973706506,1715444858.5123167,21,0.12582056618346155,0.029111765051200753,0.0967088011322608,21
32.641988039016724,36.37897849082947,0.18503916758361122,1715444859.9898875,22,0.1019483002548259,0.0308863733734246,0.0710619268814013,22
34.1229088306427,37.859861612319946,0.1751507858358694,1715444861.4707706,23,0.08651757204996773,0.02686059896914607,0.05965697308082166,23
35.60119009017944,39.338160037994385,0.16143448316285927,1715444862.949069,24,0.06912739030221589,0.02956956984883823,0.03955782045337766,24
37.08539891242981,40.822410345077515,0.1417680564975889,1715444864.4333193,25,0.053590606272558426,0.02444813034268985,0.029142475929868576,25
38.56380295753479,42.30075120925903,0.11927983510316834,1715444865.9116602,26,0.04151351191151539,0.018190456976038116,0.02332305493547727,26
40.04595875740051,43.78294658660889,0.09772230336502165,1715444867.3938556,27,0.03354257426424925,0.013333800701860108,0.02020877356238914,27
41.525776624679565,45.262787103652954,0.08076951378767849,1715444868.873696,28,0.0246375888637282,0.007630366445322692,0.017007222418405507,28
43.007455587387085,46.74448204040527,0.06397719474130924,1715444870.355391,29,0.021063107278265568,0.0060414128385052005,0.015021694439760366,29
44.484551668167114,48.22156572341919,0.053023178824565795,1715444871.8324747,30,0.018450014735753313,0.004178313238454308,0.014271701497299007,30
45.962685346603394,49.69970488548279,0.04876156462121253,1715444873.3106139,31,0.014558520832902674,0.0029030167401819986,0.011655504092720675,31
47.44044542312622,51.177494287490845,0.04798658376544494,1715444874.7884033,32,0.011888483005090579,0.0026469747773682885,0.00924150822772229,32
48.92495822906494,52.66204643249512,0.063332612652758,1715444876.2729554,33,0.011202898630886866,0.0024705542996392,0.008732344331247666,33
50.41031503677368,54.147361040115356,0.05368795101598636,1715444877.75827,34,0.022469205680115335,0.0034067574494820326,0.019062448230633303,34
51.90299201011658,55.64006280899048,0.04818850093068369,1715444879.2509718,35,0.014307301531115143,0.0026159249569769195,0.011691376574138223,35
53.39096736907959,57.12800049781799,0.043386190183765015,1715444880.7389095,36,0.010353325052380902,0.0021945386222342106,0.008158786430146692,36
54.86799931526184,58.605011224746704,0.04231672825238212,1715444882.2159202,37,0.00814591677088006,0.0018869600814755412,0.006258956689404519,37
56.34369468688965,60.08081316947937,0.04154427887366162,1715444883.6917222,38,0.007456059992295349,0.0017916805863238637,0.005664379405971485,38
57.8449490070343,61.58203411102295,0.04086022512576907,1715444885.192943,39,0.007698448686928941,0.001636319466659536,0.006062129220269405,39
59.327412128448486,63.06443548202515,0.04010155472655651,1715444886.6753445,40,0.008039140849874189,0.0019142766034454417,0.006124864246428746,40
62.32650947570801,66.06377601623535,0.03748621173130775,1715444889.674685,41,0.006936826245163549,0.0016694236975632474,0.005267402547600302,42
