_timestamp,loss,_step,l2_error,time,_runtime,step,loss_boundary,loss_interior
1715441675.1204357,124.1572763305401,0,1.5747921617599725,1.2190730571746826,5.469977617263794,0,1.496973841227229,122.66030248931287
1715441675.2372985,123.69048538269973,1,1.5707390413067055,1.6276402473449707,5.586840391159058,1,1.3868911247517888,122.30359425794795
1715441675.3437147,119.86962783863184,2,1.5654317973427385,1.7247235774993896,5.693256616592407,2,1.4308251797273648,118.43880265890448
1715441675.4320443,115.8813351288101,3,1.5587931551725767,1.8224596977233887,5.781586170196533,3,1.3656393509805649,114.51569577782954
1715441675.51646,125.65111738648193,4,1.5506387748156212,1.911634922027588,5.866001844406128,4,1.3973924688370702,124.25372491764486
1715441675.6005356,123.77567952110986,5,1.5409905312830585,1.9959874153137207,5.950077533721924,5,1.3505796636371374,122.42509985747273
1715441675.684814,120.21755154541559,6,1.529573407932438,2.080906629562378,6.034355878829956,6,1.5431602792720072,118.67439126614359
1715441675.767256,121.1541669017836,7,1.515845172813243,2.1694836616516113,6.116797924041748,7,1.2796540130481804,119.87451288873541
1715441675.8497016,124.54788329353181,8,1.4991246276627777,2.247762680053711,6.199243545532227,8,1.3747330668221438,123.17315022670967
1715441675.9325862,126.74407725822832,9,1.4785829843315554,2.327784776687622,6.282128095626831,9,1.2208835225962176,125.5231937356321
1715441676.0185993,124.34963328946797,10,1.4528878817782462,2.4155776500701904,6.368141174316406,10,1.2680005034801403,123.08163278598784
1715441676.1011925,124.50107012566427,11,1.4199663012283796,2.49918532371521,6.450734376907349,11,1.136799518345196,123.36427060731907
1715441676.184619,118.75222517815567,12,1.3768509496650607,2.5812337398529053,6.534160852432251,12,1.1943945079819238,117.55783067017374
1715441676.2674246,116.33605719463927,13,1.3172545838414706,2.6640496253967285,6.616966485977173,13,1.1644975614656792,115.17155963317359
1715441676.3518264,111.97432062575363,14,1.2274641367188133,2.747826337814331,6.70136833190918,14,1.000859521759395,110.97346110399424
1715441676.4414477,110.78800533432609,15,1.0821007751496674,2.8376314640045166,6.790989637374878,15,0.8431200047342061,109.94488532959188
1715441676.5317595,108.34502270604274,16,0.8254988738657083,2.9206464290618896,6.881301403045654,16,0.6533252816882875,107.69169742435446
1715441676.616201,96.56819566648558,17,0.4952791243427493,3.0128896236419678,6.965742826461792,17,0.4187035627223344,96.14949210376325
1715441676.6981776,69.09405616930648,18,1.2732474598822794,3.0940439701080322,7.047719478607178,18,0.15128965359239,68.9427665157141
1715441676.7813027,43.95314169100598,19,4.744310525545586,3.1766581535339355,7.130844593048096,19,1.1065432395662806,42.846598451439704
1715441676.8647463,206.9783031349522,20,1.5600081870732578,3.2599291801452637,7.214288234710693,20,10.455365672589027,196.52293746236316
1715441676.9489238,52.22740254708682,21,0.6012879305319866,3.345165729522705,7.298465728759766,21,1.3538632770692156,50.8735392700176
1715441677.031552,60.37843428874865,22,1.0377845818451192,3.427902936935425,7.381093978881836,22,0.2824289813923205,60.09600530735633
1715441677.115263,54.129708843021206,23,1.9730449587167789,3.5108838081359863,7.4648048877716064,23,0.7548408567449876,53.37486798627622
1715441677.2003744,46.38943888972216,24,5.878764873169638,3.5959417819976807,7.5499162673950195,24,2.605772013592026,43.783666876130134
1715441677.2875435,164.59252732143318,25,3.067742308106834,3.682371139526367,7.637085437774658,25,16.365823578009557,148.22670374342363
1715441677.3721964,82.9737949422051,26,1.3538312866048936,3.7667102813720703,7.721738338470459,26,4.488175829027214,78.48561911317789
1715441677.4563444,103.77123074165198,27,1.7475573325475378,3.851884126663208,7.805886268615723,27,0.8030813264157337,102.96814941523624
1715441677.5401814,109.67951848588076,28,0.7373680182552841,3.9361019134521484,7.889723300933838,28,1.3532652685237698,108.32625321735699
1715441677.6236367,90.11869397380244,29,0.9423050994758565,4.0195300579071045,7.9731786251068115,29,0.2809344972590674,89.83775947654337
1715441677.70671,79.51685847203495,30,1.5653135448924498,4.101601600646973,8.056252002716064,30,0.4137237474301113,79.10313472460484
1715441677.7902212,60.83010776131098,31,1.833129704669509,4.185362339019775,8.139763116836548,31,1.2218371434221824,59.60827061788879
1715441677.8743942,51.50655204532586,32,1.707152879730209,4.270008563995361,8.223936080932617,32,2.220468506573294,49.28608353875257
1715441677.9606843,25.30016161097808,33,0.9405744378074827,4.356240272521973,8.310226202011108,33,1.7057871281766361,23.594374482801445
1715441678.044645,27.34602093203593,34,1.259979126288879,4.440166711807251,8.394186973571777,34,0.5736818614644461,26.772339070571483
1715441678.1290028,26.014285099692906,35,2.3580582141420408,4.524132251739502,8.47854471206665,35,1.0442574472640662,24.97002765242884
1715441678.21353,29.44831216905116,36,1.6936427066391968,4.608724117279053,8.563071966171265,36,2.9032530657467333,26.54505910330443
1715441678.297859,16.8358723322234,37,1.317065847500416,4.693193197250366,8.647400856018066,37,1.8029984149675198,15.03287391725588
1715441678.3821561,18.237847274779696,38,1.6796219042991243,4.777590274810791,8.731698036193848,38,1.106710934424652,17.131136340355045
1715441678.4784403,18.78253920229797,39,1.7688024354329928,4.861712694168091,8.827982187271118,39,1.565631822830427,17.216907379467543
1715441678.581071,13.756710207756067,40,1.6493853872830033,4.972086668014526,8.930612802505493,40,1.7750464237040438,11.981663784052023
1715441678.7544959,14.747879924691617,41,0.9170218407788419,5.152026176452637,9.104037761688232,42,0.8226900497613969,13.92518987493022
1715441679.0224504,8.565660452393663,42,1.8100860918032597,5.41796350479126,9.371992349624634,46,0.9848472814632439,7.580813170930419
